timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Осадки (достигают поверхности земли)
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,22.9,,,западный,,,,6,,,,,,,,,,,748,,8.5,,,,,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,13.0,,,,,,,,28.7,,,северо-западный,,,9.5,6,,,0,,,,,,,10.0,749,,6.5,,,,,,6.0,,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,13.0,,,,,,,,31.7,,,северо-западный,,,,5,,,,,,,,,,,750,,5.3,,,,,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,10.0,,,,,,,,49.7,,,,,,,0,,,,,,,,,,10.0,751,,0.5,,,,,,0.0,,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,,,,,,,,,58.4,,,,,,,0,,,,,,,,,,,751,,-1.4,,,,,,,,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,,,,,,,,,70.6,,,,,,,0,,,,,,,,,,,752,,-2.5,,,,,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,63.7,,,северо-западный,,,,1,,,,,,,,,,10.0,752,,-1.3,,,,,,2.0,,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,72.7,,,юго-западный,,,,1,,,,,,,,,,,753,,-3.4,,,,,,,,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,71.5,,,юго-западный,,,,1,,,,,,,,,,,753,,-3.5,,,,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,70.5,,,юго-западный,,,,1,,,,,,,,,,10.0,753,,-3.0,,,,,,0.0,,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,73.8,,,юго-западный,,,,1,,,,,,,,,,,753,,-3.6,,,,,,,,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,78.4,,,юго-западный,,,,1,,,,,,,,,,,753,,-4.2,,,,,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,80.2,,-4.5,юго-западный,,,,2,,,0,,0,,,,,10.0,753,,-4.2,,,,,,2.0,,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,77.4,,,юго-западный,,,,1,,,,,,,,,,,753,,-2.8,,,,,,,,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,70.1,,,юго-западный,,,,1,,,,,,,,,,,753,,0.0,,,,,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,57.2,,,юго-западный,,,,2,,,,,,,,,,10.0,753,,2.5,,,,,,6.0,,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,41.3,,,западный,,,,2,,,,,,,,,,,753,,5.2,,,,,,,,
1586073600,"Воскресенье, 5 апреля
08:00 (UTC)",,,,,,,,,,30.8,,,западный,,,,4,,,,,,,,,,,752,,6.4,,,,,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,10.0,,,,,,,,29.9,,,западный,,,,3,,,,,,,,,,10.0,752,,5.9,,,,,,10.0,,
1586080800,"Воскресенье, 5 апреля
10:00 (UTC)",,15.0,,,,,,,,56.3,,,северо-западный,,,,11,,,,,,,,,,,752,,3.7,,,,,,,,
1586084400,"Воскресенье, 5 апреля
11:00 (UTC)",,16.0,,,,,,,,62.0,,,северо-западный,,,,6,,,,,,,,,,,753,,3.5,,,,,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,16.0,,,True,,,,,64.0,,,северо-западный,,,,10,,,,,,,,,,10.0,753,,2.0,,,,,,10.0,,
1586091600,"Воскресенье, 5 апреля
13:00 (UTC)",,,,,,,,,,66.4,,,северо-западный,,,,4,,,,,,,,,,,753,,1.8,,,,,,,,
1586095200,"Воскресенье, 5 апреля
14:00 (UTC)",,,,,,,,,,62.1,,,западный,,,,5,,,,,,,,,,,753,,2.2,,,,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,15.0,,,,,,,,50.9,,,северо-западный,,,7.4,6,,,менее 0.1,,,,,,,10.0,754,,2.1,,,True,,,7.0,,
1586102400,"Воскресенье, 5 апреля
16:00 (UTC)",,,,,,,,,,55.9,,,северо-западный,,,,4,,,,,,,,,,,754,,0.8,,,,,,,,
1586106000,"Воскресенье, 5 апреля
17:00 (UTC)",,,,,,,,,,56.1,,,северо-западный,,,,4,,,,,,,,,,,755,,-0.1,,,,,,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,68.7,,,северо-западный,,,,4,,,,,,,,,,10.0,755,,-1.5,,,True,,,2.0,,
1586113200,"Воскресенье, 5 апреля
19:00 (UTC)",,,,,,,,,,72.9,,,северо-западный,,,,4,,,,,,,,,,,755,,-2.1,,,,,,,,
1586116800,"Воскресенье, 5 апреля
20:00 (UTC)",,,,,,,,,,75.6,,,северо-западный,,,,4,,,,,,,,,,,755,,-3.0,,,,,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,71.8,,,северо-западный,,,,4,,,,,,,,,,10.0,755,,-2.1,,,,,,0.0,,
1586124000,"Воскресенье, 5 апреля
22:00 (UTC)",,,,,,,,,,77.3,,,северо-западный,,,,4,,,,,,,,,,,755,,-3.5,,,,,,,,
1586127600,"Воскресенье, 5 апреля
23:00 (UTC)",,,,,,,,,,74.5,,,северо-западный,,,,4,,,,,,,,,,,756,,-2.6,,,,,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,72.3,,,северо-западный,,,,5,,,,,,,,,,10.0,756,,-2.4,,,,,,6.0,,
1586134800,"Понедельник, 6 апреля
01:00 (UTC)",,,,,,,,,,73.3,,,северо-западный,,,,4,,,,,,,,,,,756,,-2.8,,,,,,,,
1586138400,"Понедельник, 6 апреля
02:00 (UTC)",,,,,,,,,,77.8,,,северо-западный,,,,4,,,,,,,,,,,757,,-3.7,,,,,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,76.7,,-4.0,северо-западный,,,,4,,,0,,менее 0.1,,,,,10.0,757,,-3.1,,,,,,10.0,,
1586145600,"Понедельник, 6 апреля
04:00 (UTC)",,,,,,,,,,74.0,,,северо-западный,,,,5,,,,,,,,,,,758,,-2.5,,,,,,,,
1586149200,"Понедельник, 6 апреля
05:00 (UTC)",,,,,,,,,,66.1,,,северный,,,,5,,,,,,,,,,,758,,-1.5,,,,,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,10.0,,,,,,,,47.6,,,северный,,,,5,,,,,,,,,,10.0,759,,0.0,,,,,,2.0,,
1586156400,"Понедельник, 6 апреля
07:00 (UTC)",,,,,,,,,,33.6,,,северный,,,,6,,,,,,,,,,,759,,1.4,,,,,,,,
1586160000,"Понедельник, 6 апреля
08:00 (UTC)",,14.0,,,,,,,,25.4,,,северный,,,,8,,,,,,,,,,,759,,2.0,,,,,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,14.0,,,,,,,,25.8,,,северо-западный,,,,8,,,,,,,,,,10.0,759,,2.6,,,,,,5.0,,
1586167200,"Понедельник, 6 апреля
10:00 (UTC)",,,,,,,,,,21.5,,,северо-западный,,,,7,,,,,,,,,,,760,,2.9,,,,,,,,
1586170800,"Понедельник, 6 апреля
11:00 (UTC)",,,,,,,,,,19.2,,,северный,,,,6,,,,,,,,,,,759,,2.7,,,,,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,14.0,,,,,,,,35.7,,,западный,,,,5,,,,,,,,,,10.0,760,,2.8,,,,,,5.0,,
1586178000,"Понедельник, 6 апреля
13:00 (UTC)",,,,,,,,,,40.9,,,северо-западный,,,,4,,,,,,,,,,,760,,3.0,,,,,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,13.0,,,True,,,,,51.4,,,северо-западный,,,4.4,8,,,0.2,,,,,,,10.0,761,,1.1,,,,,,5.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,13.0,,,,,,,,68.7,,,северо-западный,,,,2,,,,,,,,,,10.0,762,,-4.1,,,True,,,0.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,74.6,,,северо-западный,,,,2,,,,,,,,,,10.0,763,,-5.2,,,,,,0.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,78.1,,,северо-западный,,,,1,,,,,,,,,,10.0,764,,-6.0,,,,,,2.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,79.8,,-7.5,северо-западный,,,,1,,,менее 0.1,,,,,,,10.0,765,,-6.8,,,,,,0.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,35.4,,,северо-западный,,,,3,,,,,,,,,,10.0,765,,1.7,,,,,,4.0,,
1586246400,"Вторник, 7 апреля
08:00 (UTC)",,,,,,,,,,21.0,,,западный,,,,5,,,,,,,,,,,764,,3.7,,,,,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,20.0,,,северо-западный,,,,5,,,,,,,,,,10.0,763,,4.3,,,,,,9.0,,
1586253600,"Вторник, 7 апреля
10:00 (UTC)",,,,,,,,,,19.3,,,западный,,,,4,,,,,,,,,,,763,,5.2,,,,,,,,
1586257200,"Вторник, 7 апреля
11:00 (UTC)",,,,,,,,,,18.3,,,западный,,,,4,,,,,,,,,,,762,,5.8,,,,,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,10.0,,,,,,,,20.0,,,западный,,,,5,,,,,,,,,,10.0,761,,5.6,,,,,,10.0,,
1586264400,"Вторник, 7 апреля
13:00 (UTC)",,,,,,,,,,21.0,,,западный,,,,4,,,,,,,,,,,761,,5.3,,,,,,,,
1586268000,"Вторник, 7 апреля
14:00 (UTC)",,,,,,,,,,21.7,,,западный,,,,3,,,,,,,,,,,760,,5.4,,,,,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,22.7,,,юго-западный,,,6.1,3,,,0,,,,,,,10.0,759,,5.2,,,,,,10.0,,
1586278800,"Вторник, 7 апреля
17:00 (UTC)",,,,,,,,,,32.0,,,юго-западный,,,,1,,,,,,,,,,,757,,2.2,,,,,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,38.2,,,юго-западный,,,,1,,,,,,,,,,10.0,757,,2.2,,,,,,10.0,,
1586286000,"Вторник, 7 апреля
19:00 (UTC)",,,,,,,,,,46.6,,,юго-западный,,,,2,,,,,,,,,,,756,,1.6,,,,,,,,
1586289600,"Вторник, 7 апреля
20:00 (UTC)",,,,,,,,,,47.9,,,южный,,,,2,,,,,,,,,,,755,,2.0,,,,,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,54.2,,,южный,,,,2,,,,,,,,,,10.0,754,,0.9,,,,,,10.0,,
1586296800,"Вторник, 7 апреля
22:00 (UTC)",,,,,,,,,,57.3,,,южный,,,,2,,,,,,,,,,,753,,1.2,,,,,,,,
1586300400,"Вторник, 7 апреля
23:00 (UTC)",,,,,,,,,,61.8,,,южный,,,,2,,,,,,,,,,,752,,1.1,,,,,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,65.7,,,юго-западный,,,,2,,,,,,,,,,10.0,751,,1.0,,,,,,2.0,,
1586307600,"Среда, 8 апреля
01:00 (UTC)",,,,,,,,,,68.2,,,юго-западный,,,,2,,,,,,,,,,,750,,1.0,,,,,,,,
1586311200,"Среда, 8 апреля
02:00 (UTC)",,,,,,,,,,70.3,,,юго-западный,,,,2,,,,,,,,,,,749,,1.0,,,,,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,71.9,,0.6,южный,,,,2,,,0,,0,,,,,10.0,749,,1.0,,,,,,10.0,,
1586318400,"Среда, 8 апреля
04:00 (UTC)",,,,,,,,,,69.9,,,южный,,,,2,,,,,,,,,,,748,,1.8,,,,,,,,
1586322000,"Среда, 8 апреля
05:00 (UTC)",,,,,,,,,,64.9,,,юго-западный,,,,2,,,,,,,,,,,747,,4.0,,,,,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,46.4,,,западный,,,,4,,,,,,,,,,10.0,747,,8.0,,,,,,9.0,,
1586329200,"Среда, 8 апреля
07:00 (UTC)",,,,,,,,,,40.2,,,западный,,,,3,,,,,,,,,,,747,,9.8,,,,,,,,
1586332800,"Среда, 8 апреля
08:00 (UTC)",,,,,,,,,,34.4,,,северо-западный,,,,5,,,,,,,,,,,747,,11.8,,,,,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,32.7,,,юго-западный,,,,4,,,,,,,,,,10.0,747,,12.9,,,,,,10.0,,
1586340000,"Среда, 8 апреля
10:00 (UTC)",,,,,,,,,,31.4,,,западный,,,,6,,,,,,,,,,,747,,14.0,,,,,,,,
1586343600,"Среда, 8 апреля
11:00 (UTC)",,,,,,,,,,34.4,,,северо-западный,,,,7,,,,,,,,,,,747,,14.5,,,,,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,12.0,,,,,,,,35.6,,,северо-западный,,,,8,,,,,,,,,,10.0,747,,14.2,,,,,,7.0,,
1586350800,"Среда, 8 апреля
13:00 (UTC)",,,,,,,,,,38.5,,,северо-западный,,,,7,,,,,,,,,,,748,,13.9,,,,,,,,
1586354400,"Среда, 8 апреля
14:00 (UTC)",,,,,,,,,,37.1,,,северо-западный,,,,7,,,,,,,,,,,748,,13.8,,,,,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,13.0,,,,,,,,45.2,,,северо-западный,,,14.9,8,,,0,,,,,,,10.0,748,,11.9,,,,,,7.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,13.0,,,,,,,,61.8,,,северо-западный,,,,3,,,,,,,,,,10.0,750,,6.7,,,,,,2.0,,
1586372400,"Среда, 8 апреля
19:00 (UTC)",,,,,,,,,,70.9,,,северо-западный,,,,1,,,,,,,,,,,750,,4.0,,,,,,,,
1586376000,"Среда, 8 апреля
20:00 (UTC)",,,,,,,,,,74.5,,,северо-западный,,,,1,,,,,,,,,,,751,,3.2,,,,,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,78.3,,,северо-западный,,,,1,,,,,,,,,,10.0,751,,2.5,,,,,,0.0,,
1586383200,"Среда, 8 апреля
22:00 (UTC)",,,,,,,,,,78.8,,,северо-западный,,,,2,,,,,,,,,,,751,,2.1,,,,,,,,
1586386800,"Среда, 8 апреля
23:00 (UTC)",,,,,,,,,,82.1,,,,,,,0,,,,,,,,,,,751,,0.4,,,,,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,86.4,,,северо-западный,,,,1,,,,,,,,,,10.0,751,,-0.2,,,,,,0.0,,
1586394000,"Четверг, 9 апреля
01:00 (UTC)",,,,,,,,,,93.6,,,,,,,0,,,,,,,,,,,751,,-1.6,,,,,,,,
1586397600,"Четверг, 9 апреля
02:00 (UTC)",,,,,,,,,,94.9,,,,,,,0,,,,,,,,,,,751,,-2.5,,,,,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,94.9,,-3.1,южный,,,,1,,,0,,0,,,,,10.0,751,,-3.0,,,,,,0.0,,
1586404800,"Четверг, 9 апреля
04:00 (UTC)",,,,,,,,,,89.7,,,юго-западный,,,,1,,,,,,,,,,,751,,0.5,,,,,,,,
1586408400,"Четверг, 9 апреля
05:00 (UTC)",,,,,,,,,,73.0,,,юго-западный,,,,2,,,,,,,,,,,751,,4.2,,,,,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,51.5,,,юго-западный,,,,4,,,,,,,,,,10.0,750,,8.3,,,,,,2.0,,
1586415600,"Четверг, 9 апреля
07:00 (UTC)",,,,,,,,,,34.7,,,западный,,,,5,,,,,,,,,,,750,,11.2,,,,,,,,
1586419200,"Четверг, 9 апреля
08:00 (UTC)",,,,,,,,,,32.8,,,западный,,,,5,,,,,,,,,,,750,,12.2,,,,,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,30.9,,,западный,,,,4,,,,,,,,,,10.0,749,,13.2,,,,,,2.0,,
1586426400,"Четверг, 9 апреля
10:00 (UTC)",,,,,,,,,,26.3,,,юго-западный,,,,4,,,,,,,,,,,748,,13.7,,,,,,,,
1586430000,"Четверг, 9 апреля
11:00 (UTC)",,,,,,,,,,25.4,,,юго-западный,,,,4,,,,,,,,,,,747,,14.5,,,,,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,11.0,,,,,,,,26.3,,,юго-западный,,,,5,,,,,,,,,,10.0,747,,14.5,,,,,,7.0,,
1586437200,"Четверг, 9 апреля
13:00 (UTC)",,,,,,,,,,25.4,,,юго-западный,,,,6,,,,,,,,,,,746,,14.5,,,,,,,,
1586440800,"Четверг, 9 апреля
14:00 (UTC)",,,,,,,,,,26.1,,,юго-западный,,,,5,,,,,,,,,,,745,,14.4,,,,,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,11.0,,,,,,,,28.9,,,юго-западный,,,15.0,3,,,0,,,,,,,10.0,745,,13.3,,,,,,7.0,,
1586448000,"Четверг, 9 апреля
16:00 (UTC)",,,,,,,,,,32.0,,,южный,,,,2,,,,,,,,,,,745,,12.2,,,,,,,,
1586451600,"Четверг, 9 апреля
17:00 (UTC)",,,,,,,,,,35.0,,,южный,,,,3,,,,,,,,,,,744,,11.4,,,,,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,37.6,,,южный,,,,2,,,,,,,,,,10.0,744,,10.8,,,,,,10.0,,
1586458800,"Четверг, 9 апреля
19:00 (UTC)",,,,,,,,,,40.6,,,южный,,,,3,,,,,,,,,,,743,,10.1,,,,,,,,
1586462400,"Четверг, 9 апреля
20:00 (UTC)",,,,,,,,,,43.1,,,южный,,,,2,,,,,,,,,,,743,,9.4,,,,,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,45.0,,,южный,,,,2,,,,,,,,,,10.0,742,,9.1,,,,,,10.0,,
1586469600,"Четверг, 9 апреля
22:00 (UTC)",,,,,,,,,,48.4,,,юго-западный,,,,2,,,,,,,,,,,742,,8.8,,,,,,,,
1586473200,"Четверг, 9 апреля
23:00 (UTC)",,,,,,,,,,53.6,,,западный,,,,2,,,,,,,,,,,742,,8.7,,,,,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,56.3,,,южный,,,,2,,,,,,,,,,10.0,741,,8.4,,,,,,9.0,,
1586480400,"Пятница, 10 апреля
01:00 (UTC)",,,,,,,,,,58.8,,,южный,,,,2,,,,,,,,,,,740,,8.5,,,,,,,,
1586484000,"Пятница, 10 апреля
02:00 (UTC)",,,,,,,,,,65.3,,,юго-западный,,,,1,,,,,,,,,,,740,,7.7,,,,,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,True,,,,,,78.9,,6.6,западный,,,,2,,,0.3,,0.3,,,,,4.0,740,,6.6,,,,,,10.0,,
1586491200,"Пятница, 10 апреля
04:00 (UTC)",,,,,,,,,,88.8,,,западный,,,,2,,,,,,,,,,,740,,5.9,,,,,,,,
1586494800,"Пятница, 10 апреля
05:00 (UTC)",,,,,,,,,,89.4,,,северо-западный,,,,6,,,,,,,,,,,741,,4.9,,,,,,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,10.0,,,,,,,,88.1,,4.4,северо-западный,,,,5,,,,,,True,,,,4.0,742,,4.4,,,,,,10.0,,
1586502000,"Пятница, 10 апреля
07:00 (UTC)",,,,,,,,,,90.0,,,северо-западный,,,,6,,,,,,,,,,,742,,4.5,,,,,,,,
1586505600,"Пятница, 10 апреля
08:00 (UTC)",,,,,,,,,,83.8,,,северо-западный,,,,6,,,,,,,,,,,743,,4.8,,,,,,,,
