timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Пыльная (песчаная) буря, слабая или умеренная, ослабела","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,19.0,,,,,,,,,10,753,,,5.9,,24.5,,,северо-западный,6.0,,,13
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,22.0,,,,,,,,,10,754,,,5.1,,23.1,,,северо-западный,6.0,,,14
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,20.0,,,,,,,,,10,755,,,3.9,,25.3,,,северо-западный,5.0,,7.1,12
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,20.0,,,,,,,,,10,757,,,0.7,,38.6,,,северо-западный,0.0,,,5
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,10,758,,,-4.4,,55.4,,,западный,0.0,,,4
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,10,758,,,-6.6,,67.6,,,западный,0.0,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,10,759,,,-7.6,,71.8,-8.5,,северо-западный,0.0,,,2
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,11.0,,,,,,,,,10,760,,,2.7,,32.7,,,северный,0.0,,,7
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,17.0,,,,,,,,,10,760,,,6.0,,19.6,,,северный,5.0,,,9
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,17.0,,,,,,,,,10,759,,,7.4,,17.5,,,северный,5.0,,,9
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,16.0,,,,,,,,,10,760,,,6.5,,23.9,,,северный,6.0,,8.1,7
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,16.0,,,,,,,,,10,761,,,-0.5,,39.2,,,западный,0.0,,,2
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,10,761,,,-2.8,,41.4,,,западный,0.0,,,3
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,10,760,,,-4.3,,42.7,,,западный,0.0,,,2
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,,10,759,,,-3.2,,53.5,-6.7,,западный,4.0,,,3
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,10.0,,,,,,,,,10,758,,,6.9,,20.0,,,западный,0.0,,,9
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,14.0,,,,,,,,,10,756,,,11.7,,17.6,,,западный,4.0,,,9
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,15.0,,,,,,,,,10,754,,,13.1,,17.7,,,западный,0.0,,,9
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,14.0,,,,,,,,,10,753,,,11.3,,19.3,,,юго-западный,4.0,,13.7,9
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,14.0,,,,,,,,,10,752,,,5.7,,27.1,,,юго-западный,5.0,,,5
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,10,751,,,3.8,,30.7,,,юго-западный,0.0,,,7
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,10,751,,,3.3,,33.4,,,юго-западный,4.0,,,5
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,10,751,,,2.4,,37.9,2.4,,юго-западный,2.0,,,5
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,10,751,,,9.5,,26.1,,,южный,6.0,,,6
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,10.0,,,,,,,,,10,751,,,14.0,,19.0,,,южный,5.0,,,6
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,10.0,,,,,,,,,10,751,,,14.0,,23.5,,,юго-восточный,2.0,,,7
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,10.0,,,,,,,,,10,750,,,11.8,,30.7,,,юго-восточный,0.0,,15.0,5
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,10.0,,,,,,,,,10,751,,,4.9,,53.3,,,юго-восточный,0.0,,,5
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,10.0,,,,,,,,,10,751,,,5.5,,67.7,,,южный,0.0,,,7
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,10,750,,,2.4,,88.5,,,южный,0.0,,,5
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,10,750,,,2.4,,88.5,,,южный,0.0,,,3
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,10,750,,,8.4,,66.4,1.6,,южный,5.0,,,7
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,11.0,,,,,,,,,10,749,,,12.5,,44.1,,,южный,6.0,,,7
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,12.0,,,,,,,,,10,748,,,14.3,,37.5,,,южный,4.0,,,7
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,10.0,,,,,,,,,10,747,,,12.8,,37.3,,,южный,2.0,,14.9,5
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,10.0,,,,,,,,,10,747,,,4.9,,59.2,,,юго-восточный,0.0,,,4
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,10,746,,,5.7,,55.6,,,юго-восточный,0.0,,,5
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,10,745,,,3.6,,63.4,,,южный,0.0,,,4
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,10,745,,,4.8,,62.7,2.4,,южный,7.0,,,5
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,13.0,,,,,,,,,10,743,,,10.8,,51.5,,,южный,5.0,,,7
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,16.0,,,,,,,,,10,742,,,16.1,,31.8,,,южный,7.0,,,11
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,16.0,,,,True,,,,,10,741,,,9.8,,77.7,,,западный,9.0,,,8
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,13.0,,,,True,,,,,10,743,,,3.9,,89.9,,,северо-западный,9.0,,16.8,10
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,13.0,,,,,,,,,10,744,,,3.8,,83.1,,True,западный,7.0,,,8
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,10,745,,,2.0,,85.3,,,западный,2.0,,,6
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,10,745,,,0.1,,85.8,,,западный,0.0,,,5
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,10,745,,,0.0,,87.0,-2.2,,западный,6.0,,,5
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,14.0,,,,,,,,,10,746,,,2.8,,70.1,,,северо-западный,7.0,,,11
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,17.0,,,,,,,,,10,746,,,6.0,,49.0,,,северо-западный,7.0,,,12
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,21.0,,,,True,,,,,10,747,,,5.6,,59.3,,,западный,7.0,,,11
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,20.0,,,,,,,,,4,748,,,6.4,True,32.5,,,северо-западный,6.0,,8.1,12
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,20.0,,,,,,,,,10,749,,,3.4,,44.0,,True,западный,9.0,,,7
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,10,750,,,0.8,,60.4,,,западный,0.0,,,6
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,10,750,,,-1.0,,70.9,,,западный,0.0,,,5
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,10,751,,,0.8,,67.6,-2.1,,западный,4.0,,,4
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,10,751,,,6.6,,34.4,,,северо-западный,0.0,,,8
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,13.0,,,,,,,,,10,751,,,11.4,,29.5,,,северо-западный,2.0,,,9
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,14.0,,,,,,,,,10,750,,,13.8,,22.1,,,северо-западный,6.0,,,8
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,13.0,,,,,,,,,10,749,,,13.0,,20.9,,,западный,2.0,,14.4,5
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,13.0,,,,,,,,,10,750,,,4.6,,42.0,,,юго-западный,0.0,,,2
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,10,750,,,2.7,,49.9,,,юго-западный,0.0,,,3
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,10,749,,,3.1,,53.6,,,юго-западный,0.0,,,5
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,10,749,,,2.3,,62.1,1.2,,юго-западный,0.0,,,4
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,10,749,,,11.2,,31.5,,,юго-западный,4.0,,,8
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,14.0,,,,,,,,,10,748,,,15.7,,23.7,,,юго-западный,7.0,,,9
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,14.0,,,,,,,,,10,747,,,16.9,,20.5,,,юго-западный,7.0,,,7
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,12.0,,,,,,,,,10,746,,,15.5,,22.9,,,юго-западный,9.0,,17.7,3
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,12.0,,,,,,,,,10,746,,,8.1,,42.4,,,южный,0.0,,,5
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,10,745,,,9.8,,37.3,,,южный,0.0,,,8
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,11.0,,,,,,,,,10,744,,,7.8,,64.8,,,юго-восточный,7.0,,,6
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,10,744,,,6.6,,69.9,6.4,,южный,7.0,,,5
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,10,743,,,13.8,,42.0,,,южный,9.0,,,7
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,14.0,,,,True,,,,,10,741,,,17.5,,34.3,,,южный,9.0,,,11
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,21.0,,,,,,True,,,10,741,,,14.7,,51.5,,,юго-западный,9.0,,,14
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,16.0,,,,,,True,,,4,743,,,4.2,,92.5,,,западный,9.0,,18.9,8
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,16.0,,,,,,,,,10,745,,,3.1,,94.5,,True,западный,7.0,,,5
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,10,745,,,1.0,,93.7,,,западный,6.0,,,4
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,10,745,,,0.6,,91.0,,,западный,2.0,,,3
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,10,746,,,0.7,,93.0,-0.2,,юго-западный,6.0,,,5
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,10,746,,,5.2,,75.4,,,западный,7.0,,,6
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,14.0,,,,True,,,,,10,745,,,7.6,,56.5,,,западный,9.0,,,9
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,16.0,,,,,,True,,,10,744,,,8.2,,52.6,,,западный,7.0,,,11
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,14.0,,,,,,,,,10,743,,,8.7,,48.0,,,юго-западный,9.0,,9.7,9
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,14.0,,,,,,,,,10,743,,,6.9,,62.8,,,юго-западный,7.0,,,9
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,15.0,,,,,,,,,10,741,,,6.9,,65.6,,,юго-западный,7.0,,,13
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,18.0,,,,True,,,,,10,739,,,8.0,,70.2,,,юго-западный,6.0,,,12
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,18.0,,,,,,,,,10,739,,,7.5,,74.2,6.2,,юго-западный,9.0,,,12
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,19.0,,,,,,,,,10,739,,,11.0,,56.9,,,западный,5.0,,,14
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,19.0,,,,,,,,,10,739,,,14.4,,36.5,,,западный,7.0,,,14
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,20.0,,,,,,,,,10,740,,,16.0,,28.4,,,западный,7.0,,,11
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,16.0,,,,,,,,,10,741,,,14.8,,28.3,,,западный,7.0,,16.7,8
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,16.0,,,,,,,,,10,742,,,9.4,,42.2,,,северный,7.0,,,2
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,10,742,,,4.8,,63.2,,,юго-восточный,6.0,,,3
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,10,743,,,3.2,,65.7,,,северо-восточный,2.0,,,3
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,10.0,,,,,,,,,10,744,,,1.3,,74.1,0.1,,западный,5.0,,,2
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,10.0,,,,,,,,,10,745,,,10.5,,32.2,,,западный,4.0,,,5
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,12.0,,,,,,,,,10,745,,,12.9,,23.2,,,западный,5.0,,,8
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,14.0,,,,,,,,,10,745,,,14.0,,24.7,,,западный,7.0,,,9
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,15.0,,,,,,,,,10,746,,,12.9,,26.9,,,западный,7.0,,15.2,9
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,15.0,,,,,,,,,10,748,,,6.6,,53.0,,,северо-восточный,4.0,,,4
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,10,748,,,3.9,,66.8,,,восточный,6.0,,,4
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,10,748,,,3.0,,69.7,,,восточный,4.0,,,3
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,10,748,,,4.0,,74.6,2.0,,юго-восточный,6.0,,,4
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,10,749,,,10.9,,32.4,,,восточный,4.0,,,4
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,10,748,,,13.4,,26.6,,,юго-восточный,7.0,,,3
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,10,747,,,14.1,,28.9,,,юго-восточный,7.0,,,3
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,10,747,,,13.3,,33.6,,,восточный,7.0,,14.8,3
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,10,748,,,7.7,,50.6,,,северо-восточный,6.0,,,3
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,10,748,,,4.8,,63.2,,,восточный,6.0,,,3
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,10,747,,,1.7,,79.3,,,восточный,5.0,,,4
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,10,746,,,5.4,,72.7,1.3,,восточный,5.0,,,4
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,10,745,,,10.4,,51.0,,,юго-восточный,9.0,,,5
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,True,,,4,744,,,8.2,,92.1,,,юго-восточный,9.0,,,2
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,True,,,4,743,,,9.7,,92.9,,,южный,10.0,,,7
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,12.0,,,,,,True,,,10,742,,,8.5,,92.8,,,западный,9.0,,10.7,5
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,12.0,,,,True,,,,,10,742,,,5.7,,86.3,,,западный,9.0,,,8
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,10.0,,,,,,,,,10,743,,,2.6,,90.5,,,западный,5.0,,,4
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,11.0,,,,,,,,,10,742,,,1.4,,92.4,,,юго-западный,0.0,,,6
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,11.0,,,,,,,,,0,742,,,1.8,,91.1,0.4,,юго-западный,7.0,,,8
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,15.0,,,,,,,,,10,742,,,5.1,,85.7,,,западный,9.0,,,11
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,17.0,,,,,,,,,10,743,,,9.3,,62.0,,,западный,7.0,,,12
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,19.0,,,,,,,,,10,743,,,11.2,,45.6,,,западный,7.0,,,13
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,19.0,,,,,,,,,10,743,,,10.7,,46.2,,,западный,7.0,,12.6,9
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,19.0,,,,,,,,,10,744,,,5.2,,78.7,,,западный,4.0,,,5
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,11.0,,,,True,,,,,10,744,,,4.8,,86.9,,,западный,7.0,,,6
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,11.0,,,,,,,,,10,743,,,3.5,,90.5,,True,западный,4.0,,,8
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,10,743,,,3.0,,86.7,2.2,,западный,0.0,,,6
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,11.0,,,,,,,,,10,743,,,8.8,,58.4,,,западный,2.0,,,9
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,17.0,,,,,,,,,10,743,,,10.1,,36.0,,,западный,9.0,,,12
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,19.0,,,,,,,,,10,743,,,11.1,,29.8,,,западный,9.0,,,12
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,19.0,,,,,,,,,10,743,,,8.9,,42.0,,,западный,9.0,,11.9,11
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,10,744,,,6.1,,51.7,,,западный,6.0,,,4
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,10,744,,,2.6,,77.7,,,западный,6.0,,,3
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,10,745,,,0.7,,92.3,,,западный,5.0,,,4
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,,,,,,10,746,,,1.2,,88.4,-0.2,,западный,7.0,,,6
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,12.0,,,,,,,,,10,747,,,4.3,,64.0,,,северо-западный,9.0,,,8
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,12.0,,,,,,,,,10,748,,,7.1,,33.2,,,северо-западный,7.0,,,7
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,13.0,,,,,,,,,10,747,,,8.7,,24.7,,,северо-западный,6.0,,,7
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,12.0,,,,,,,,,10,747,,,8.4,,26.8,,,западный,6.0,,10.1,6
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,12.0,,,,,,,,,10,747,,,1.5,,52.8,,,южный,0.0,,,4
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,10,747,,,3.1,,49.7,,,южный,0.0,,,6
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,10.0,,,,,,,,,10,746,,,3.2,,48.6,,,юго-западный,0.0,,,7
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,12.0,,,,,,,,,10,746,,,4.4,,54.8,1.4,,юго-западный,0.0,,,9
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,15.0,,,,,,,,,10,746,,,11.9,,47.5,,,юго-западный,0.0,,,11
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,16.0,,,,,,,,,10,745,,,16.7,,19.6,,,западный,4.0,,,12
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,17.0,,,,,,,,,10,743,,,18.6,,16.8,,,западный,4.0,,,11
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,14.0,,,,,,,,,10,743,,,16.5,,25.2,,,юго-западный,5.0,,18.7,9
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,14.0,,,,,,,,,10,743,,,9.7,,44.9,,,юго-западный,5.0,,,5
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,10,743,,,8.6,,52.8,,,юго-западный,2.0,,,7
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,10.0,,,,,,,,,10,743,,,9.9,,49.4,,,юго-западный,7.0,,,8
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,11.0,,,,,,,,,10,743,,,9.4,,52.6,8.3,,юго-западный,5.0,,,6
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,12.0,,,,,,,,,10,743,,,15.5,,35.7,,,юго-западный,4.0,,,9
