timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм","Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Изменение количества облаков неизвестно,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой снег умеренный или сильный,Снежная крупа (возможно с дождем) слабая,Дождь (незамерзающий) слабый с перерывами
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,10,744,,,9.9,,52.4,,,юго-восточный,10,,,,,2,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,10,744,,,9.3,,48.9,,,юго-западный,7,,,,,2,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,0,1.0,,,0,,,,,10,747,,,5.7,,58.1,5.7,,юго-западный,10,,,,,2,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,11.0,,,,,,,,,,,10,749,,,5.3,,51.1,4.9,,юго-западный,10,,,,,4,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,15.0,,,,,,,,,,,10,752,,,3.3,,43.6,,,западный,10,,,,,3,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,12.0,,,,,,,,,,,10,753,,,4.1,,39.7,,,западный,10,,,,,4,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,12.0,,0,,,,,,,,,10,754,,,3.7,,40.8,,,юго-западный,9,,,,5.7,3,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,,10,755,,,1.9,,52.9,,,юго-западный,9,,,,,1,,,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,10,755,,,1.1,,53.9,,,юго-западный,2,,,,,2,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,10,755,,,0.4,,59.8,,,западный,4,,,,,1,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,0,,,,0,,,,,10,756,,,0.9,,54.7,0.2,,юго-западный,10,,,,,1,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,10,757,,,2.4,,47.6,,,юго-западный,10,,,,,2,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,10,757,,,4.8,,36.3,,,западный,10,,,,,3,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,10,758,,,5.9,,31.6,,,западный,10,,,,,3,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,11.0,,0,,,,,,,,,10,760,,,4.6,,36.0,,,западный,10,,,,6.1,2,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,10,761,,,2.8,,51.1,,,западный,7,,,,,1,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,10,762,,,1.7,,55.3,,,западный,9,,,,,1,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,10,762,,,1.3,,56.0,,,юго-западный,10,,,,,1,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,0,,,,0,,,,,10,763,,,0.7,,74.0,0.5,,южный,7,,,,,1,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,10,763,,,3.3,,67.7,,,южный,10,,,,,2,,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,10,762,,,8.2,,45.4,,,юго-западный,10,,,,,2,,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,11.0,,,,,,,,True,,,4,762,,,4.8,,71.1,,,юго-западный,10,,,,,2,,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,10.0,,0.1,,True,,,,,,,10,763,,,3.4,,75.0,,,южный,10,,,,8.4,2,,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,10,763,,,1.7,,78.1,,,,0,,,,,0,,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,10,762,,,0.5,,85.8,,,восточный,0,,,,,1,,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,10,762,,,-0.4,,90.9,,,восточный,0,,,,,1,,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,0,,,,0.1,,,True,,4,762,,,-0.3,,90.3,-0.6,,восточный,4,,,,,1,,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,10,762,,,5.0,,67.6,,,юго-восточный,0,,,,,1,,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,10,762,,,9.3,,47.1,,,южный,0,,,,,1,,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,10,761,,,11.0,,28.7,,,южный,4,,,,,1,,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,761,,,9.2,,32.8,,,юго-западный,2,,,,11.3,1,,,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,,10,760,,,6.4,,41.6,,,восточный,0,,,,,1,,,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,10,760,,,4.4,,46.4,,,восточный,0,,,,,1,,,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,10,759,,,3.1,,56.1,,,,0,,,,,0,,,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,0,,,,0,,,True,,4,759,,,-0.7,,74.9,-0.7,,,0,,,,,0,,,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,True,4,759,,,8.2,,37.1,-0.8,,восточный,0,,,,,1,,,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,True,4,757,,,11.7,,24.2,,,восточный,0,,,,,2,,,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,True,4,756,,,12.5,,22.6,,,восточный,0,,,,,2,,,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,755,,,11.2,,27.4,,,восточный,0,,,,12.9,2,,,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,10,754,,,8.7,,32.7,,,северный,0,,,,,1,,,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,10,752,,,6.2,,33.7,,,восточный,0,,,,,1,,,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,10,752,,,4.5,,39.8,,,восточный,0,,,,,1,,,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,751,,,3.2,,46.4,3.0,,,6,,,,,0,,,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,10,750,,,7.1,,36.2,,,восточный,10,,,,,1,,,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,10,749,,,11.4,,25.9,,,восточный,10,,,,,3,,,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,10,749,,,13.4,,24.9,,,восточный,10,,,,,2,,,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,749,,,12.1,,28.6,,,юго-западный,10,,,,14.1,1,,,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,True,,,,,,10,749,,,10.5,,45.1,,,западный,10,,,,,1,,,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,10,750,,,8.3,,61.8,,True,северо-западный,10,,,,,1,,,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,10,750,,,6.6,,70.9,,,,10,,,,,0,,,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,менее 0.1,,,,менее 0.1,,,,,10,751,,,6.0,,75.0,5.7,,,10,,,,,0,,,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,True,4,752,,,8.5,,60.9,,,северо-западный,9,,,,,1,,,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,True,4,752,,,15.1,,38.9,,,южный,0,,,,,1,,,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,True,4,752,,,16.4,,22.1,,,северо-западный,0,,,,,2,,,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,752,,,14.6,,33.2,,,юго-западный,0,,,,17.4,2,,,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,True,4,753,,,9.9,,45.9,,,,0,,,,,0,,,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,True,4,752,,,7.0,,52.7,,,восточный,0,,,,,1,,,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,752,,,4.9,,63.2,,,восточный,0,,,,,1,,,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,752,,,3.9,,64.9,3.7,,восточный,4,,,,,1,,,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,10,751,,,9.8,,49.7,,,юго-восточный,10,,,,,2,,,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,10,750,,,15.0,,34.8,,,юго-восточный,10,,,,,1,,,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,11.0,,,,,,,,True,,,4,752,,,5.9,,88.8,,,западный,10,,,,,2,,,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,3,,,,,True,,,,10,753,,,7.9,,64.4,,,западный,4,,,,15.3,1,,,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,,10,754,,,6.1,,68.8,,,,9,,,,,0,,,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,10,755,,,5.2,,60.6,,,западный,10,,,,,1,,,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,10,755,,,3.5,,66.2,,,юго-западный,0,,,,,1,,,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,0,,,,3,,,,,10,754,,,2.7,,69.6,2.7,,юго-западный,6,,,,,1,,,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,,10,755,,,6.0,,62.1,,,западный,7,,,,,2,,,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,12.0,,,,,,,,,,,10,755,,,10.8,,38.1,,,западный,6,,,,,2,,,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,12.0,,,,,,,,,,,10,755,,,11.3,,35.5,,,западный,7,,,,,2,,,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,12.0,,0,,,,,,,,,10,754,,,11.3,,32.5,,,северо-западный,6,,,,12.0,3,,,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,,10,755,,,7.6,,46.6,,,,2,,,,,0,,,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,10,755,,,5.9,,54.0,,,,6,,,,,0,,,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,10,755,,,3.3,,69.2,,,восточный,6,,,,,1,,,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,0,,,,0,,,True,,4,756,,,2.4,,75.4,2.0,,восточный,0,,,,,1,,,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,,10,756,,,9.4,,49.6,,,,0,,,,,0,,,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,10,756,,,14.2,,31.4,,,западный,0,,,,,1,,,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,10,756,,,16.7,,23.8,,,северный,6,,,,,1,,,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,756,,,15.4,,23.6,,,северный,7,,,,17.2,1,,,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,10,757,,,12.0,,32.0,,,,10,,,,,0,,,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,10,757,,,9.2,,42.5,,,восточный,10,,,,,1,,,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,10,757,,,6.7,,51.5,,,восточный,7,,,,,2,,,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,0,,,,0,,,,,10,758,,,4.7,,60.9,4.5,,восточный,4,,,,,2,,,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,,10,759,,,10.1,,40.9,,,восточный,0,,,,,3,,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,10,758,,,15.2,,23.7,,,восточный,0,,,,,2,,,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,10,757,,,16.4,,16.8,,,восточный,0,,,,,2,,,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,757,,,15.2,,19.6,,,восточный,0,,,,16.6,2,,,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,,10,757,,,12.5,,26.8,,,восточный,0,,,,,2,,,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,10,757,,,9.4,,28.9,,,восточный,0,,,,,1,,,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,10,756,,,7.0,,36.1,,,восточный,0,,,,,1,,,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,0,,,,0,,,,,10,757,,,5.5,,40.7,5.0,,восточный,0,,,,,1,,,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,,10,756,,,11.9,,26.2,,,юго-восточный,1,,,,,1,,,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,10,756,,,16.7,,18.6,,,восточный,4,,,,,2,,,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,10,755,,,18.5,,16.2,,,юго-восточный,4,,,,,2,,,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,0,,,,,,,,,10,755,,,17.3,,18.5,,,,2,,,,19.1,0,,,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,True,4,756,,,12.0,,31.2,,,,2,,,,,0,,,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,True,4,756,,,9.0,,41.5,,,,2,,,,,0,,,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,756,,,4.8,,62.7,,,,0,,,,,0,,,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,757,,,4.4,,64.1,3.7,,,2,,,,,0,,,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,True,4,758,,,13.4,,35.1,,,,0,,,,,0,,,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,True,4,758,,,20.4,,16.6,,,восточный,1,,,,,1,,,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,True,4,757,,,22.7,,12.4,,,восточный,0,,,,,1,,,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,757,,,21.6,,14.0,,,,2,,,,23.2,0,,,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,True,4,758,,,15.7,,28.1,,,восточный,0,,,,,1,,,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,True,4,758,,,14.5,,28.2,,,восточный,0,,,,,1,,,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,758,,,11.7,,33.3,,,восточный,0,,,,,1,,,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,758,,,9.2,,43.1,9.2,,восточный,0,,,,,1,,,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,,,True,2,758,,,17.0,,24.2,,,юго-восточный,0,,,,,1,,,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,True,4,757,,,22.8,,16.8,,,южный,7,,,,,1,,,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,True,4,755,,,23.8,,14.6,,,южный,10,,,,,1,,,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,755,,,22.5,,17.6,,,,10,,,,24.3,0,,,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,,,True,4,754,,,17.4,,29.9,,,,10,,,,,0,,,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,True,4,754,,,14.0,,38.8,,,,10,,,,,0,,,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,753,,,11.3,,46.0,,,восточный,7,,,,,1,,,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,753,,,9.9,,48.0,9.7,,восточный,7,,,,,1,,,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,True,2,753,,,17.4,,27.4,,,южный,10,,,,,1,,,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,True,4,752,,,24.7,,13.6,,,южный,7,,,,,1,,,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,True,4,750,,,26.6,,9.8,,,южный,4,,,,,1,,,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,750,,,24.9,,10.5,,,юго-западный,0,,,,26.8,1,,,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,,,True,4,749,,,19.9,,15.5,,,восточный,4,,,,,1,,,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,True,4,748,,,18.4,,16.5,,,юго-восточный,4,,,,,1,,,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,747,,,16.0,,23.4,,,восточный,10,,,,,1,,,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,4,746,,,15.2,,25.6,14.6,,восточный,10,,,,,1,,,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,,,,,,,10,746,,,21.7,,17.9,,,южный,2,,,,,1,,,,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,,10,744,,,27.4,,13.6,,,южный,7,,,,,3,,,,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,13.0,,,,,,,,,,,10,743,,,28.8,,11.9,,,юго-западный,10,,,,,6,,,,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,12.0,,0,,,,,,,,,10,743,,,27.1,,14.1,,,юго-западный,10,,,,29.6,3,,,,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,,,,,,,,,10,745,,,21.3,,37.4,,,западный,10,,,,,3,,,,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,10,747,,,15.5,,55.4,,,западный,10,,,,,2,,,,
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,True,4,748,,,12.7,,62.0,,,северо-западный,10,,,,,2,,,,
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,0,,,,0,,,,True,2,749,,,10.8,,67.4,10.8,,юго-западный,7,,,,,1,,,,
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,,,,,,,,True,2,749,,,14.9,,39.4,,,восточный,10,,,,,1,,,,
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,True,2,748,,,17.8,,27.3,,,западный,10,,,,,1,,,,
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,True,2,745,,,21.1,,25.5,,,восточный,10,,,,,1,,,,
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,0,,,,,,,,True,4,744,,,19.9,,26.9,,,северо-восточный,10,,,,22.1,1,,,,
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,,,,,,,,True,2,742,,,17.0,,33.0,,,восточный,10,,,,,2,,,,
