timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой снег слабый,Снег слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,752,,,7.8,,72.7,,,,западный,9,,,5,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,753,,,5.1,,73.2,,,,юго-западный,10,,9.6,3,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,755,,,3.2,,61.9,,,,западный,2,,,3,,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,757,,,-1.5,,78.8,,,,,0,,,0,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,757,,,-2.0,,76.9,,,,,0,,,0,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,0,,22.0,,0,,,,,10,758,,,-3.9,,86.0,-3.9,,,северо-западный,0,,,1,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,758,,,2.1,,62.6,-4.1,,,северо-восточный,0,,,2,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,758,,,7.5,,37.7,,,,северо-восточный,0,,,2,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,757,,,9.1,,32.6,,,,северо-восточный,6,,,2,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,757,,,7.6,,36.1,,,,северный,4,,9.2,1,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,757,,,2.0,,58.4,,,,северо-западный,0,,,1,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,757,,,-0.9,,67.3,,,,,0,,,0,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,756,,,-1.5,,68.7,,,,северный,0,,,1,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,0,,18.0,,0,,,,,10,755,,,-2.4,,72.3,-3.2,,,северо-восточный,0,,,1,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,754,,,2.7,,60.4,,,,восточный,0,,,2,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,753,,,8.5,,45.5,,,,северо-восточный,0,,,3,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,10,751,,,10.1,,34.9,,,,восточный,2,,,5,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,10.0,,0,,,,,,,,,10,750,,,9.6,,28.0,,,,восточный,2,,10.4,3,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,748,,,5.0,,36.1,,,,северо-восточный,0,,,2,,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,746,,,3.3,,37.6,,,,северо-восточный,5,,,2,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,745,,,1.7,,46.3,,,,восточный,5,,,2,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,0,,14.0,,0,,,,,10,744,,,-0.4,,61.5,-1.2,,,восточный,6,,,1,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,744,,,5.8,,43.7,,,,юго-восточный,2,,,1,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,745,,,10.6,,63.2,,,,западный,1,,,5,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,10,746,,,9.7,,65.3,,,,западный,9,,,6,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,11.0,,0,,,,,,,,,10,747,,,7.7,,71.6,,,,юго-западный,10,,11.4,4,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,748,,,5.6,,81.6,,,,юго-западный,10,,,3,,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,748,,,4.6,,80.3,,,,юго-западный,6,,,1,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,748,,,4.2,,86.2,,,,южный,10,,,1,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,0,,9.0,,0,,,,,10,748,,,4.8,,83.8,3.4,,,юго-восточный,10,,,1,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,748,,,8.8,,67.4,,,,юго-восточный,0,,,3,,,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,746,,,12.9,,46.8,,,,восточный,7,,,2,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,745,,,13.9,,45.8,,,,восточный,7,,,4,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,10.0,,0,,,,,,,,,10,743,,,11.6,,56.7,,,,восточный,5,,14.4,3,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,742,,,8.4,,68.3,,,,восточный,2,,,2,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,741,,,8.7,,60.6,,,,юго-восточный,5,,,4,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,741,,,10.5,,52.9,,,,юго-западный,10,,,4,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,12.0,,0,,1.0,,0,,,,,10,745,,,5.8,,60.3,5.6,,,юго-западный,10,,,3,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,10.0,,,,,,,,,,,10,747,,,5.5,,52.7,5.5,,,юго-западный,10,,,6,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,11.0,,,,,,,,,,,10,749,,,6.2,,58.6,,,,юго-западный,9,,,5,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,10,750,,,5.8,,50.5,,,,юго-западный,7,,,6,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,751,,,5.3,,53.0,,,,юго-западный,9,,6.6,2,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,2.3,,69.5,,,,,7,,,0,,,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,-0.7,,79.5,,,,,4,,,0,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,-1.0,,83.7,,,,,7,,,0,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,0,,1.0,,0,,,,,10,752,,,1.2,,66.2,-1.3,,,южный,10,,,1,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,752,,,2.8,,80.6,,,,юго-западный,10,,,1,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,753,,,5.0,,62.8,,,,южный,10,,,1,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,754,,,4.3,,68.4,,,,южный,10,,,3,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,756,,,4.5,,69.5,,,,южный,10,,5.4,2,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,757,,,2.1,,82.3,,,,южный,10,,,1,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,758,,,1.1,,87.1,,,,южный,10,,,2,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,759,,,0.6,,89.0,,,,южный,10,,,3,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,759,,,-0.3,,90.9,-0.3,,,юго-восточный,6,,,2,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,760,,,4.2,,66.4,-0.7,,,южный,0,,,4,,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,10.0,,,,,,,,,,,10,759,,,7.4,,54.4,,,,юго-восточный,4,,,4,,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,758,,,8.8,,39.0,,,,юго-восточный,5,,,4,,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,10.0,,менее 0.1,,,True,,,,,,10,759,,,6.0,,56.0,,,,юго-западный,10,,9.0,5,,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,759,,,3.3,,80.7,,,,,10,,,0,,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,758,,,2.3,,74.8,,,,юго-восточный,2,,,1,,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,757,,,-0.7,,85.7,,,,восточный,0,,,1,,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,10,758,,,-2.3,,92.8,-2.4,,,южный,0,,,1,,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,758,,,5.9,,67.8,,,,восточный,0,,,1,,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,757,,,9.2,,41.2,,,,северо-восточный,6,,,2,,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,756,,,9.5,,39.8,,,,северо-восточный,7,,,2,,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,755,,,9.0,,37.6,,,,северо-восточный,4,,10.6,1,,,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,755,,,3.0,,52.0,,,,северо-восточный,0,,,1,,,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,754,,,-0.5,,69.4,,,,,0,,,0,,,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,753,,,-2.8,,85.4,,,,,0,,,0,,,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,753,,,-3.5,,92.8,-3.5,,,,0,,,0,,,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,752,,,4.5,,56.5,,,,западный,0,,,1,,,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,11.7,,28.2,,,,северо-восточный,0,,,2,,,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,750,,,12.5,,27.0,,,,северо-восточный,5,,,3,,,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,749,,,11.7,,28.4,,,,северо-восточный,0,,13.0,2,,,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,749,,,3.8,,55.5,,,,,0,,,0,,,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,747,,,-0.7,,76.0,,,,юго-восточный,0,,,1,,,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,745,,,0.0,,69.0,,,,северо-восточный,0,,,1,,,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,745,,,-0.1,,70.6,-1.6,,,северо-восточный,7,,,1,,,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,744,,,5.1,,48.8,,,,северо-восточный,10,,,1,,,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,744,,,8.8,,41.4,,,,северный,10,,,2,,,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,743,,,11.1,,40.6,,True,,северо-восточный,10,,,2,,,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,0.3,,,,,,,,,10,744,,,8.3,,67.8,,True,,северный,10,,11.2,1,,,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,744,,,5.7,,83.9,,True,,западный,10,,,1,,,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,745,,,4.7,,89.4,,True,,северо-западный,10,,,1,,,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,746,,,4.6,,91.3,,,,западный,10,,,2,,,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,менее 0.1,,,,0.3,,True,,,4,746,,,2.2,,93.1,2.2,,,юго-западный,5,,,1,,,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,True,,,4,748,,,6.0,,82.2,2.1,,,западный,10,,,1,,,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,748,,,11.6,,61.7,,,,западный,4,,,2,,,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,748,,,14.6,,45.0,,,,северо-восточный,2,,,2,,,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,748,,,14.3,,37.8,,,,северо-восточный,0,,15.4,2,,,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,748,,,6.3,,63.1,,,,,0,,,0,,,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,748,,,3.5,,80.7,,,,южный,0,,,1,,,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,747,,,2.2,,89.8,,,,восточный,0,,,1,,,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,0,,,,0,,True,,,4,747,,,0.9,,95.1,-0.3,,,южный,7,,,1,,,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,747,,,10.4,,57.2,,,,восточный,9,,,1,,,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,746,,,15.0,,41.1,,,,южный,9,,,4,,,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,15.0,,,,,True,,,,,,10,749,,,6.3,,92.0,,,,западный,10,,,3,,,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,11.0,,3,,,,,,,,,10,750,,,8.4,,71.8,,True,,юго-западный,7,,15.9,3,,,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,5.9,,65.8,,,,южный,2,,,2,,,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,752,,,1.4,,82.8,,,,южный,0,,,1,,,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,752,,,1.1,,86.5,,,,южный,0,,,2,,,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,0,,,,3,,,,,10,753,,,2.3,,81.7,1.1,,,южный,2,,,3,,,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,753,,,7.2,,64.2,,,,южный,9,,,4,,,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,12.0,,,,,,,,,,,10,752,,,11.6,,49.2,,,,юго-западный,7,,,6,,,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,10,751,,,13.5,,46.0,,True,,западный,7,,,3,,,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,10.0,,менее 0.1,,,,,,,,,10,751,,,12.8,,45.1,,True,,западный,4,,14.6,4,,,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,5.7,,73.3,,,,юго-западный,0,,,2,,,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,5.9,,67.8,,,,юго-западный,4,,,2,,,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,4.7,,68.5,,,,западный,0,,,1,,,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,10,752,,,2.5,,78.8,1.4,,,,0,,,0,,,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,752,,,10.6,,54.9,,,,западный,0,,,2,,,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,16.9,,30.2,,,,северо-западный,5,,,2,,,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,751,,,18.6,,23.4,,,,северо-западный,5,,,2,,,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,750,,,16.8,,27.4,,,,северо-западный,2,,18.7,2,,,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,10.4,,44.7,,,,северо-восточный,2,,,1,,,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,8.0,,49.6,,,,северо-восточный,0,,,1,,,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,3.4,,66.7,,,,,0,,,0,,,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,752,,,3.8,,67.8,2.1,,,северо-восточный,1,,,1,,,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,752,,,10.5,,43.5,,,,восточный,1,,,2,,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,752,,,15.3,,20.4,,,,северо-восточный,0,,,3,,,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,751,,,16.6,,25.0,,,,северо-восточный,0,,,3,,,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,751,,,16.1,,28.4,,,,северо-восточный,0,,16.9,2,,,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,10.0,,40.2,,,,северный,0,,,1,,,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,4.1,,58.5,,,,,0,,,0,,,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,-0.3,,70.5,,,,,0,,,0,,,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,0,,,,0,,True,,,4,751,,,-2.4,,84.8,-2.5,,,,0,,,0,,,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,751,,,10.1,,40.3,,,,восточный,0,,,1,,,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,751,,,16.6,,21.2,,,,северо-западный,0,,,1,,,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,750,,,18.8,,15.6,,,,западный,2,,,1,,,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,750,,,18.5,,15.6,,,,северо-западный,0,,19.4,1,,,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,751,,,9.4,,33.7,,,,,0,,,0,,,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,4.6,,50.9,,,,западный,0,,,1,,,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,2.5,,57.7,,,,,0,,,0,,,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,752,,,0.8,,65.1,-0.1,,,,0,,,0,,,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,753,,,14.4,,29.7,,,,западный,0,,,2,,,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,753,,,19.7,,17.2,,,,западный,0,,,1,,,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,752,,,23.3,,14.2,,,,западный,0,,,1,,,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,752,,,22.6,,15.6,,,,северо-восточный,0,,23.4,2,,,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,753,,,13.2,,30.0,,,,,0,,,0,,,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,753,,,8.1,,45.7,,,,,0,,,0,,,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,753,,,5.5,,54.7,,,,,0,,,0,,,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,753,,,5.3,,60.2,4.0,,,,4,,,0,,,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,753,,,16.8,,26.2,,,,северо-восточный,2,,,2,,,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,752,,,22.3,,15.2,,,,северо-восточный,4,,,3,,,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,750,,,24.1,,14.1,,,,восточный,5,,,2,,,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,750,,,23.0,,13.4,,,,восточный,5,,24.3,2,,,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,750,,,13.2,,31.6,,,,юго-восточный,4,,,1,,,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,749,,,10.7,,35.4,,,,,0,,,0,,,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,748,,,4.4,,56.5,,,,,0,,,0,,,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,748,,,4.9,,54.5,3.2,,,,6,,,0,,,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,748,,,16.2,,29.3,,,,северо-восточный,6,,,2,,,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,747,,,23.8,,13.8,,,,восточный,7,,,2,,,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,746,,,27.1,,10.0,,,,юго-восточный,5,,,2,,,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,0,,,,,,,,,10,745,,,26.9,,9.9,,,,восточный,2,,27.7,1,,,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,,,,,10,745,,,16.1,,21.5,,,,,0,,,0,,,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,744,,,14.8,,30.0,,,,юго-восточный,0,,,2,,,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,744,,,16.2,,25.1,,,,юго-восточный,0,,,2,,,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,10,743,,,15.2,,27.8,14.1,,,юго-восточный,7,,,4,,,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,,,,,,,,10,743,,,23.4,,15.8,,,,юго-восточный,2,,,3,,,,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,12.0,,,,,,,,,,,10,741,,,29.7,,11.0,,,,южный,4,,,5,,,,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,16.0,,,,,,,,,,,10,741,,,29.6,,11.5,,,,юго-западный,7,,,8,,,,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,15.0,,0,,,,,,,,,10,741,,,28.2,,14.3,,,,южный,9,,30.6,4,,,,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,13.0,,,,,,,,,,,10,742,,,20.1,,27.7,,,,южный,4,,,1,,,,
