timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,1.0,,,,,,,,,,,83.3,,,,северный,,,,1,,,,,,,,,,,,20.0,746,,,-4.7,,,,0.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,2.0,,,,,,,,,,,85.9,,,,,,,,0,,,,,,,,,,,,20.0,746,,,-4.7,,,,7.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,3.0,,,,,,,,,,,74.6,,,-5.5,северный,,,,2,,,,0,4.0,,менее 0.1,,,,,20.0,746,,,-2.0,,,,10.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,6.0,,,,,,,,,,,86.8,,,,северный,,,,2,,True,,,,,,,,,,2.0,747,,,-2.3,,,,10.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,89.5,,,,северный,,,,3,,True,,,,,,,,,,1.0,748,,,-1.4,,,,10.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,10.0,,,,,,,,,,,87.5,,,,северный,,,,4,,True,,,,,,,,,,1.0,750,,,-1.6,,,,10.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,7.0,,,,,,,,,,,58.3,,,,северный,,,0.1,2,,,,5,,,,,,,,20.0,751,,,-0.2,,,True,9.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,6.0,,,,,,,,,,,57.1,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,753,,,-3.1,,,True,1.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,2.0,,,,,,,,,,,61.7,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,754,,,-5.4,,,,0.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,3.0,,,,,,,,,,,70.8,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,755,,,-6.8,,,,0.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,4.0,,,,,,,,,,,64.1,,,-7.2,северо-западный,,,,1,,,,0,6.0,,5,,,,,20.0,755,,,-5.5,,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,46.1,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,755,,,-0.1,,,,0.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,32.3,,,,северо-западный,,,,3,,,,,,,,,,,,20.0,753,,,1.6,,,,9.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,10.0,,,,,,,,,,,26.7,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,752,,,2.7,,,,4.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,10.0,,,,,,,,,,,23.6,,,,северо-западный,,,3.2,1,,,,0,,,,,,,,20.0,751,,,2.2,,,True,1.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,5.0,,,,,,,,,,,32.7,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,751,,,-1.5,,,True,0.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,3.0,,,,,,,,,,,41.4,,,,,,,,0,,,,,,,,,,,,20.0,750,,,-3.9,,,,0.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,2.0,,,,,,,,,,,63.5,,,,,,,,0,,,,,,,,,,,,20.0,748,,,-8.0,,,,4.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,2.0,,,,,,,,,,,54.4,,,-8.2,юго-западный,,,,1,,,,0,5.0,,0,,,,,20.0,747,,,-4.5,,,,9.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,4.0,,,,,,,,,,,34.2,,,,южный,,,,1,,,,,,,,,,,,20.0,746,,,0.6,,,,9.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,36.8,,,,южный,,,,3,,,,,,,,,,,,20.0,744,,,1.6,,,,10.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,7.0,,,,,,,,,,,34.3,,,,южный,,,,3,,,,,,,,,,,,20.0,742,,,4.7,,,,10.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,6.0,,,,,,,,,,,45.4,,,,южный,,,5.9,1,,,,0,,,,,,,,20.0,741,,,4.8,,,,10.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,2.0,,,,,,,,,,,57.8,,,,,,,,0,,,,,,,,,,,,20.0,742,,,3.1,,,,9.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,4.0,,,,,,,,,,,57.0,,,,северный,,,,1,,,,,,,,,,,,20.0,743,,,3.1,,,,7.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,6.0,,,,,,,,,,,80.6,,,,,,,,0,,,,,,,,,,,,20.0,744,,,-1.3,,,,2.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,2.0,,,,,,,,,,,79.0,,,-1.5,,,,,0,,,,0,2.0,,0,,,,,20.0,745,,,-0.2,,,,7.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,4.0,,,,,,,,,,,60.0,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,746,,,4.6,,,,6.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,7.0,,,,,,,,,,,47.5,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,745,,,9.3,,,,7.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,7.0,,,,,,,,,,,36.6,,,,юго-западный,,,,3,,,,,,,,,,,,20.0,744,,,12.1,,,,7.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,7.0,,,,,,,,,,,41.9,,,,южный,,,12.2,2,,,,0,,,,,,,,20.0,742,,,9.4,,,,10.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,5.0,,,,,,,,,,,50.5,,,,южный,,,,2,,,,,,,,,,,,20.0,742,,,7.2,,,,10.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,5.0,,,,,,,,,,,52.9,,,,южный,,,,2,,,,,,,,,,,,20.0,741,,,6.3,,,,10.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,4.0,,,,,,,,,,,56.7,,,,южный,,,,1,,,,,,,,,,,,20.0,740,,,5.5,,,,10.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,5.0,,,,,,,,,,,58.8,,,5.0,южный,,,,2,,,,0,3.0,,0,,,,,20.0,739,,,5.2,,,,10.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,48.2,,,,южный,,,,3,,,,,,,,,,,,20.0,738,,,9.4,,,,10.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,35.1,,,,южный,,,,5,,,,,,,,,,,,20.0,737,,,14.1,,,,10.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,14.0,,,,,,,,,,,66.7,,,,юго-западный,,,,3,,,,,,,,,True,,,10.0,738,,,9.7,,,,10.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,14.0,,,,True,,,,,,,85.9,,,,юго-западный,,,14.1,3,,,,2,,,,,,,,20.0,738,,,7.0,,,,9.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,11.0,,,,,,,,,,,83.8,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,740,,,4.1,,,True,10.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,5.0,,,,,,,,,,,83.4,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,742,,,1.4,,,,10.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,3.0,,,,,,,,,,,86.4,,,,,,,,0,,,,,,,,,,,,20.0,743,,,0.2,,,,10.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,4.0,,,,,,,,,,,85.1,,,-0.3,,,,,0,,,,0.7,,,2,,,,,20.0,743,,,0.0,,,,10.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,3.0,,,,,,,,,,,73.6,,,,северо-восточный,,,,1,,,,,,,,,,,,20.0,744,,,1.3,,,,10.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,3.0,,,,,,,,,,,58.5,,,,восточный,,,,2,,,,,,,,,,,,20.0,744,,,4.1,,,,10.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,5.0,,,,,,,,,,,47.4,,,,восточный,,,,2,,,,,,,,,,,,20.0,744,,,5.4,,,,10.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,4.0,,,,,,,,,,,51.2,,,,северо-восточный,,,5.6,2,,,,0,,,,,,,,20.0,744,,,4.3,,,,10.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,5.0,,,,,,,,,,,71.4,,,,восточный,,,,1,,,,,,,,,,,,20.0,745,,,1.3,,,,10.0,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,5.0,,,,,,,,,,,67.3,,,,северо-восточный,,,,1,,,,,,,,,,,,20.0,745,,,1.4,,,,10.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,6.0,,,,,,,,,,,74.4,,,,северный,,,,3,,,,,,,,,,,,10.0,744,,,-0.1,,True,,10.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,7.0,,,,,,,,,,,81.8,,,-1.6,северный,,,,4,,,,0.7,1.0,,0.7,,,,,4.0,744,,,-1.5,,True,,10.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,10.0,,,,,,,,,,,87.5,,,-2.0,северный,,,,3,,,,,,,,,,,,4.0,745,,,-1.8,,,,10.0,True
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,85.0,,,,северный,,,,4,,,,,,,,,,,,1.0,745,,True,-1.4,,,,10.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,11.0,,,,,,,,,,,76.1,,,,северный,,,,5,,,,,,,,,,,,2.0,745,,True,-0.4,,,,10.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,11.0,,,,,,,,,,,80.0,,,,северный,,,-0.3,4,,,,4,,,,,,,,4.0,746,,,-1.2,,True,,10.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,8.0,,,,,,,,,,,75.9,,,,северный,,,,3,,,,,,,,,,,,10.0,745,,,-1.4,,True,,10.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,10.0,,,,,,,,,,,58.8,,,,северный,,,,3,,,,,,,,,,,,20.0,744,,,-1.8,,,True,10.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,7.0,,,,,,,,,,,60.0,,,,северный,,,,3,,,,,,,,,,,,20.0,744,,,-2.6,,,True,10.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,7.0,,,,,,,,,,,62.2,,,-3.5,северный,,,,3,,,,менее 0.1,2.0,,4,,,,,20.0,743,,,-3.4,,,,10.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,63.0,,,,северный,,,,3,,,,,,,,,,,,20.0,743,,,-1.9,,,,10.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,6.0,,,,,,,,,,,55.7,,,,северный,,,,3,,,,,,,,,,,,20.0,743,,,1.6,,,,10.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,6.0,,,,,,,,,,,51.4,,,,северный,,,,2,,,,,,,,,,,,20.0,743,,,3.8,,,,10.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,4.0,,,,,,,,,,,57.5,,,,юго-восточный,,,4.0,1,,,,0,,,,,,,,20.0,743,,,3.5,,,,10.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,2.0,,,,,,,,,,,72.9,,,,,,,,0,,,,,,,,,,,,20.0,744,,,0.8,,,,10.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,1.0,,,,,,,,,,,86.1,,,,,,,,0,,,,,,,,,,,,20.0,744,,,-2.7,,,,0.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,1.0,,,,,,,,,,,88.0,,,,,,,,0,,,,,,,,,,,,20.0,744,,,-3.8,,,,0.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,1.0,,,,,,,,,,,88.2,,,-4.2,,,,,0,,,,0,1.0,,0,,,,,20.0,744,,,-0.7,,,,0.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,4.0,,,,,,,,,,,58.3,,,-4.2,восточный,,,,2,,,,,,,,,,,,20.0,744,,,4.9,,,,0.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,5.0,,,,,,,,,,,54.3,,,,восточный,,,,2,,,,,,,,,,,,20.0,744,,,8.7,,,,0.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,6.0,,,,,,,,,,,50.1,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,743,,,9.9,,,,4.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,8.0,,,,,,,,,,,67.1,,,,восточный,,,10.6,3,,,,0,,,,,,,,20.0,743,,,7.4,,,,2.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,7.0,,,,,,,,,,,84.2,,,,восточный,,,,3,,,,,,,,,,,,20.0,744,,,3.1,,,,4.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,6.0,,,,,,,,,,,86.0,,,,восточный,,,,3,,,,,,,,,,,,20.0,743,,,2.4,,,,4.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,6.0,,,,,,,,,,,86.0,,,,восточный,,,,3,,,,,,,,,,,,20.0,742,,,2.1,,,,6.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,7.0,,,,,,,,,,,82.9,,,1.9,восточный,,,,4,,,,0,,,0,,,,,20.0,740,,,2.4,,,,10.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,57.1,,,,восточный,,,,3,,,,,,,,,,,,20.0,739,,,8.4,,,,5.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,7.0,,,,,,,,,,,50.0,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,738,,,10.9,,,,10.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,8.0,,,,,,,,,,,45.3,,,,юго-восточный,,,,4,,,,,,,,,,,,20.0,736,,,13.4,,,,10.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,10.0,,,,,,,,,,,45.9,,,,восточный,,,13.6,3,,,,0,,,,,,,,20.0,733,,,12.2,,,,10.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,8.0,,,,,,,,,,,47.8,,,,юго-восточный,,,,4,,,,,,,,,,,,20.0,731,,,10.4,,,,10.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,11.0,,,,,,,,,,,60.7,,,,юго-восточный,,,,5,,,,,,,,,,,,20.0,728,,,9.1,,,,10.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,12.0,True,,,,,,,,,,85.3,,,,юго-западный,,,,5,,,,,,,,,,,,10.0,727,,,2.1,,,,10.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,12.0,,,,,,,,,,,82.2,,,0.9,юго-западный,,,,4,,,,3,,,3,,,,,20.0,729,,,1.1,,,True,10.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,13.0,,,,,,,,,,,65.7,,,,юго-западный,,,,5,,,,,,,,,,,,20.0,731,,,3.1,,,True,10.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,12.0,,,,True,,,,,,,51.4,,,,южный,,,,4,,,,,,,,,,,,20.0,732,,,5.2,,,,10.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,11.0,,,,,,,,,,,84.2,,,,южный,,,,4,,,,,,,,,True,,,20.0,732,,,3.2,,,,10.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,9.0,,,,True,,,,,,,85.4,,,,южный,,,5.4,4,,,,5,,,,,,,,20.0,731,,,3.0,,,,10.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,10.0,,,,,True,,,,,,86.5,,,,юго-западный,,,,3,,,,,,,,,,,,2.0,731,,,1.6,,,,10.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,8.0,,,,,,,,,,,90.3,,,,южный,,,,2,,,,,,,,,,,,20.0,730,,,0.6,,,True,10.0,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,5.0,,,,,,,,,,,91.7,,,,южный,,,,2,,,,,,,,,,,,10.0,729,,,0.6,,,,10.0,True
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,8.0,,,,,,,,,,,90.4,,,0.4,юго-восточный,,,,3,,,,6,1.0,,11,,True,,,20.0,729,,,1.0,,,,10.0,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,8.0,,,,,,,,,,,87.2,,,,юго-восточный,,,,3,,,,,,,,,,,,20.0,729,,,2.0,,,True,10.0,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,84.9,,,,юго-восточный,,,,4,,,,,,,,,True,,,10.0,729,,,3.5,,,,10.0,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,6.0,,,,,,,,,,,87.4,,,,юго-восточный,,,,2,,,,,,,,,True,,,10.0,730,,,3.5,,,,10.0,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,5.0,,,,,,,,,,,86.2,,,,,,,3.9,0,,,,2,,,,,,,,20.0,730,,,3.8,,,True,10.0,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,2.0,True,,,,,,,,,,89.9,,,,,,,,0,,,,,,,,,,,,4.0,731,,,3.1,,,,10.0,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,2.0,True,,,,,,,,,,91.1,,,,,,,,0,,,,,,,,,,,,4.0,730,,,2.7,,,,10.0,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,1.0,True,,,,,,,,,,92.4,,,,западный,,,,1,,,,,,,,,,,,1.0,730,,,2.4,,,,10.0,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,4.0,True,,,,,,,,,,92.4,,,2.1,западный,,,,1,,,,3,,,5,,,,,4.0,731,,,2.1,,,,10.0,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,7.0,,,,,,,True,,,,91.1,,,0.9,западный,,,,3,,,,,,,,,,,,1.0,732,,,1.7,,,,10.0,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,77.4,,,,юго-западный,,,,3,,,,,,,,,,,,20.0,733,,,4.2,,,True,9.0,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,8.0,,,,,,,,,,,60.0,,,,юго-западный,,,,3,,,,,,,,,,,,20.0,735,,,6.5,,,True,7.0,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,8.0,,,,,,,,,,,80.6,,,,юго-западный,,,7.1,2,,,,2,,,,,,,,20.0,737,,,3.0,,,True,10.0,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,6.0,,,,,,,,,,,87.1,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,738,,,0.3,,,True,2.0,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,3.0,,,,,,,,,,,87.6,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,739,,,-0.5,,,,2.0,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,3.0,,,,,,,,,,,89.6,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,740,,,-0.8,,,,2.0,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,3.0,,,,,,,,,,,90.9,,,-1.4,юго-западный,,,,1,,,,0,,,2,,,,,20.0,741,,,-0.1,,,,10.0,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,5.0,,,,,,,,,,,87.2,,,,юго-западный,,,,2,,,,,,,,,,,,20.0,743,,,2.0,,,,10.0,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,6.0,,,,,,,,,,,65.1,,,,западный,,,,2,,,,,,,,,,,,20.0,744,,,4.7,,,,7.0,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,6.0,,,,True,,,,,,,53.0,,,,западный,,,,1,,,,,,,,,,,,20.0,746,,,6.7,,,,9.0,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,7.0,,,,,,,,,,,53.8,,,,юго-западный,,,7.7,2,,,,менее 0.1,,,,,,,,20.0,746,,,6.6,,,,6.0,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,3.0,,,,,,,,,,,85.0,,,,,,,,0,,,,,,,,,,,,20.0,747,,,-0.7,,,,2.0,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,3.0,,,,,,,,,,,81.4,,,,юго-восточный,,,,1,,,,,,,,,,,,20.0,748,,,-0.2,,,,0.0,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,2.0,,,,,,,,,,,88.2,,,,восточный,,,,1,,,,,,,,,,,,20.0,748,,,-1.4,,,,2.0,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,2.0,,,,,,,,,,,84.5,,,-2.2,северо-восточный,,,,1,,,,0,,,менее 0.1,,,,,20.0,748,,,0.5,,,,10.0,
