timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь со снегом слабый,"Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,5.0,,59.6,,,,северо-западный,2.0,,,,2
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,749,,,3.9,,62.5,,3.2,,северо-западный,0.0,,,,1
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,7.5,,46.9,,,,западный,0.0,,,,2
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,11.0,,38.2,,,,западный,0.0,,,,2
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,13.6,,32.2,,,,северо-западный,0.0,,,,2
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,749,,,11.1,,42.7,,,,юго-восточный,0.0,,,14.6,2
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,8.3,,50.0,,,,юго-восточный,10.0,,,,1
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,6.9,,58.8,,,,юго-восточный,10.0,,,,1
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,6.8,,59.2,,,,южный,9.0,,,,1
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,746,,,6.9,,58.0,,6.2,,юго-восточный,10.0,,,,1
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,11.1,,40.0,,,,южный,10.0,,,,2
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,13.3,,34.3,,,,южный,10.0,,,,3
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,14.0,,32.1,,,,южный,10.0,,,1.0,2
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,11.0,,0,,,,,,,,10.0,,745,,,12.6,,36.5,,,,южный,10.0,,,15.2,3
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,10.0,,746,,,11.0,,53.0,,,,юго-западный,10.0,,,,3
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,12.0,True,,,,,,,,,10.0,,746,,,8.7,,82.0,,,,юго-западный,10.0,,,,2
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,6.8,,82.3,,,True,,10.0,,,,0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,1,,,,,1,,,10.0,,745,,,7.0,,63.3,,6.2,,южный,10.0,,,,1
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,True,10.0,,746,,,7.2,,60.2,,,,юго-восточный,10.0,,,,1
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,True,10.0,,746,,,6.1,,88.2,,,,северо-западный,10.0,,,,1
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,4.4,,95.9,,,True,северо-западный,10.0,,,,2
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,0.8,,,,,,,,10.0,,746,,,3.8,,95.2,,,,северный,10.0,,,7.8,2
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,3.2,,96.5,,,,северо-западный,10.0,,,,2
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,3.0,,97.2,,,,северный,10.0,,,,2
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,2.3,,97.9,,,,северо-восточный,10.0,,,,2
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,0,,,,,0.8,,,10.0,,743,,,2.0,,97.9,,2.0,,северный,10.0,,,,3
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",True,,,,,,,,,,,,10.0,,743,,,3.3,,87.3,,,,северный,10.0,,,,3
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,10.0,,743,,,6.0,,75.5,,,,северный,10.0,,,,2
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,10.0,,744,,,3.3,,78.9,,,,северо-западный,10.0,,,,3
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,12.0,,0,,,,,,,,10.0,,745,,,1.0,,81.5,,,,северный,10.0,,,6.2,4
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,10.0,,745,,,0.3,,81.5,,,True,северный,10.0,,,,4
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,13.0,,,,,,,,,,10.0,,745,,,-0.6,,88.3,,,,северный,10.0,,True,,2
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,10.0,,,,,,,,,,10.0,,745,,,-0.5,,80.1,,,True,северный,10.0,,,,3
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,0.4,,1.0,,,0.4,,,10.0,,745,,,-0.8,,80.7,,-0.8,,северо-западный,10.0,,True,,3
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,0.0,,71.7,,-1.2,True,северо-западный,10.0,,,,3
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,3.0,,61.8,,,,северо-западный,10.0,,,,4
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,3.9,,55.5,,,,северо-западный,10.0,,,,3
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,4.2,,56.4,,,,северный,9.0,,,4.8,2
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,3.8,,57.6,,,,северо-западный,7.0,,,,1
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,-0.7,,82.5,,,,,0.0,,,,0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,-0.7,,72.6,,,,,0.0,,,,0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,748,,,-0.5,,64.3,,-1.9,,,0.0,,,,0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,8.1,,20.2,,-1.9,,юго-западный,0.0,,,,2
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,10.7,,24.9,,,,юго-восточный,4.0,,,,3
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,11.3,,29.7,,,,южный,10.0,,,,2
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,11.5,,36.1,,,,юго-восточный,5.0,,,12.5,2
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,9.0,,47.0,,,,восточный,10.0,,,,2
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,7.7,,53.7,,,,восточный,4.0,,,,2
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,7.1,,56.8,,,,юго-восточный,7.0,,,,1
1586919600,"Среда, 15 апреля
03:00 (UTC)",True,,,,0,,,,,0,,,10.0,,744,,,7.6,,56.5,,6.6,,юго-восточный,10.0,,,,1
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,743,,,10.8,,48.2,,,True,юго-восточный,7.0,,,,1
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,15.2,,26.3,,,,юго-восточный,10.0,,,,4
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,10.0,,740,,,16.2,,28.0,,,,южный,9.0,,,,4
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,14.0,,0,,,,,,,,10.0,,737,,,13.9,,34.8,,,,юго-восточный,10.0,,,17.6,3
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,14.0,True,,,,,,,,,10.0,,735,,,8.5,,92.2,,,,юго-восточный,10.0,,,,4
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,13.0,True,,,,,,,,,10.0,,737,,,1.4,,97.9,,,,западный,10.0,,,,4
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,10.0,,,,,,,,,,10.0,,739,,,1.8,,81.1,,,True,западный,10.0,,,,4
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,12.0,,6,,,,,6,,,10.0,,740,,,1.9,,76.4,,1.3,,юго-западный,10.0,,,,4
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,11.0,,,,,,,,,,10.0,,740,,,5.3,,59.7,,,,юго-западный,9.0,,,,3
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,739,,,7.3,,54.0,,,,южный,10.0,,,,3
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,True,,10.0,,739,,,5.3,,68.1,,,,южный,10.0,,,,2
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,0.3,,,,,,,,10.0,,738,,,5.0,,67.6,,,True,южный,9.0,,,7.3,2
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,738,,,4.3,,68.9,,,True,южный,5.0,,,,1
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,736,,,3.5,,77.8,,,,юго-восточный,9.0,,,,2
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,734,,,3.2,,76.7,,,,юго-восточный,10.0,,,,1
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,True,0.9,,,,,1,,,10.0,,733,,,2.7,,97.2,,2.7,,юго-восточный,10.0,,,,4
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,True,,,,,,,,,10.0,,732,,,2.8,,97.2,,,,юго-восточный,10.0,,,,4
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,True,,,,,,,,,10.0,,732,,,3.0,,98.6,,,,юго-восточный,10.0,,,,2
1587124800,"Пятница, 17 апреля
12:00 (UTC)",True,,,,,,,,,,,,10.0,,732,,,4.6,,97.9,,,,юго-западный,10.0,,,,1
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,4,,,,,,,,10.0,,734,,,6.1,,82.2,,,,западный,9.0,,,6.3,1
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,True,,,,,,,,,10.0,,735,,,4.6,,91.9,,,,западный,10.0,,,,3
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,True,10.0,,737,,,3.8,,84.9,,,,западный,10.0,,,,2
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,738,,,2.1,,85.3,,,True,западный,9.0,,,,2
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,0.6,,,,,5,,,10.0,,739,,,2.2,,78.2,,1.7,,западный,10.0,,,,2
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,740,,,3.7,,78.4,,,,западный,10.0,,,,3
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,True,,,,10.0,,743,,,8.3,,62.2,,,,юго-западный,7.0,,,,4
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,6.0,,68.8,,,True,северо-западный,6.0,,,,2
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,0.3,,,,,,,,10.0,,743,,,6.5,,52.6,,,,западный,5.0,,,8.3,2
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,10.0,,744,,,2.3,,86.6,,,True,юго-восточный,7.0,,,,1
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,745,,,0.9,,94.4,,,,,2.0,,,,0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,1.8,,81.7,,,,юго-западный,2.0,,,,2
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,0.3,,,,,0.3,,,10.0,,747,,,1.6,,85.9,,0.6,,юго-западный,9.0,,,,1
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,5.6,,64.8,,,,западный,5.0,,,,3
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,7.0,,48.6,,,,западный,9.0,,,,2
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,8.2,,44.8,,,True,юго-западный,9.0,,,,4
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,751,,,8.2,,46.8,,,,юго-восточный,9.0,,,9.5,1
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,5.6,,58.5,,,,,6.0,,,,0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,5.5,,56.7,,,,восточный,10.0,,,,1
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,4.7,,62.7,,,,восточный,10.0,,,,1
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,751,,,4.9,,66.6,,4.3,,,10.0,,,,0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,9.0,,50.2,,,,северный,6.0,,,,1
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,10.2,,42.7,,,,юго-западный,7.0,,,,1
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,10.3,,45.7,,,True,западный,7.0,,,,2
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,1,,,,,,,,10.0,,751,,,10.1,,48.4,,,,восточный,10.0,,,11.8,2
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,8.9,,47.7,,,,восточный,10.0,,,,2
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,8.0,,52.2,,,,восточный,10.0,,,,2
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,6.9,,64.2,,,,восточный,10.0,,,,3
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,12.0,,3,,,,,4,True,,10.0,,747,,,4.1,,86.2,,4.1,,восточный,10.0,,,,5
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,15.0,,,True,,,,,,,10.0,,745,,,2.2,,94.4,,1.6,,восточный,10.0,,,,5
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,15.0,,,,,True,,,,,10.0,,743,,,3.1,,95.2,,,,восточный,10.0,,,,5
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,10.0,,742,,,5.4,,96.6,,,True,восточный,10.0,,,,4
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,True,13,,,,,,,,10.0,,741,,,5.5,,98.6,,,,восточный,10.0,,,5.7,3
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,740,,,5.5,,98.6,,,True,восточный,10.0,,,,1
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,738,,,4.7,,100.0,,,,юго-восточный,10.0,,,,1
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,736,,,4.1,,94.5,,,,восточный,10.0,,,,1
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,True,0.4,,,,,13,,,10.0,,734,,,3.4,,97.9,,3.4,,восточный,10.0,,,,1
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,True,,,,,,,,,10.0,,732,,,3.4,,97.9,,2.1,,восточный,10.0,,,,1
1587546000,"Среда, 22 апреля
09:00 (UTC)",True,,,,,,,,,,,,10.0,,731,,,4.6,,85.0,,,,южный,10.0,,,,1
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,True,,,,10.0,,732,,,4.3,,86.2,,,,северо-западный,10.0,,,,2
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,6,,,,,,True,,10.0,,733,,,2.7,,95.1,,,,северо-западный,10.0,,,5.3,3
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,10.0,,735,,,0.7,,95.8,,,,северо-западный,10.0,,True,,3
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,12.0,,,,,,,,,,10.0,,737,,,0.0,,80.8,,,True,северо-западный,10.0,,,,4
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,10.0,,,,,,,,,,10.0,,738,,,-0.7,,77.2,,,True,западный,7.0,,,,3
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,1,,1.0,,,7,,,10.0,,739,,,-1.0,,81.3,,-1.3,,западный,9.0,,,,3
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,740,,,-0.7,,85.0,,-1.3,,западный,10.0,,True,,3
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,14.0,,,,,,,,,,10.0,,741,,,0.3,,72.3,,,True,западный,9.0,,,,5
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,10.0,,741,,,0.6,,76.8,,,,западный,9.0,,True,,3
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,0.8,,,,,,,,10.0,,742,,,0.8,,52.6,,,True,западный,2.0,,,2.2,2
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,-1.1,,67.2,,,,западный,2.0,,,,2
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,-1.6,,76.4,,,,западный,2.0,,,,2
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,742,,,-2.4,,79.2,,,,юго-западный,2.0,,,,1
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,0,,,,,0.8,,,10.0,,742,,,-1.5,,77.0,,-3.1,,юго-западный,0.0,,,,1
