timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Дождь (незамерзающий) слабый с перерывами,Туман без изменений (небо не видно),"Пыльная (песчаная) буря, слабая или умеренная","Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,"Осадки за 6 часов, мм",Балл общей облачности,Туман без изменений (небо видно),Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,747,,,0.6,,58.1,,0.5,,,,южный,,7.0,,,,,3.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,6.9,,42.4,,,,,,южный,,0.0,,,,,5.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,747,,,10.2,,26.5,,,,,,южный,,7.0,,,,,5.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,746,,,12.2,,26.1,,,,,,юго-западный,,6.0,,,,,7.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10,,746,,,12.0,,26.4,,,,,,южный,,0.0,,,,13.1,5.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,746,,,6.2,,37.9,,,,,,юго-восточный,,0.0,,,,,3.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,4.1,,42.5,,,,,,южный,,0.0,,,,,3.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,2.3,,49.1,,,,,,юго-восточный,,0.0,,,,,4.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,747,,,1.5,,50.8,,1.1,,,,южный,,0.0,,,,,4.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,8.9,,28.9,,,,,,южный,,0.0,,,,,3.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,749,,,13.0,,24.0,,,,,,юго-западный,,6.0,,,,,5.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,749,,,12.3,,29.5,,,,,,западный,,7.0,,,,,6.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10,,750,,,10.4,,28.5,,,,,,западный,,7.0,,,,13.5,4.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,752,,,7.6,,38.3,,,,,,северо-западный,,9.0,,,,,5.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,753,,,1.0,,64.2,,,,,,западный,,6.0,,,,,2.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,754,,,-0.8,,73.2,,,,,,северо-западный,,6.0,,,,,2.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,755,,,-3.4,,85.4,,-4.0,,,,западный,,0.0,,,,,2.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,755,,,3.8,,55.9,,-4.2,,,,северо-западный,,0.0,,,,,2.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,754,,,8.4,,31.9,,,,,,западный,,7.0,,,,,7.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,753,,,9.0,,32.3,,,,,,,,7.0,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,15.0,,,менее 0.1,,,,,,,,,,10,,754,,,3.1,,72.3,,,,True,,северо-западный,,9.0,,,,9.6,9.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,755,,,0.1,,83.9,,,,True,,северо-западный,,7.0,,,,,5.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,755,,,-1.1,,76.5,,,,,,северо-западный,,4.0,,,,,5.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,756,,,-2.7,,75.6,,,,,,северо-западный,,0.0,,,,,4.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,менее 0.1,,,менее 0.1,,,,,,,10,,757,,,-4.4,,74.2,,-5.1,,,,северо-западный,,0.0,,,,,2.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,757,,,1.4,,50.3,,,,,,северо-западный,,0.0,,,,,9.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,16.0,,,,,,,,,,,,,10,,758,,,3.2,,38.5,,,,,,северо-западный,,7.0,,,,,10.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,,,10,,758,,,5.0,,27.3,,,,,,,,7.0,,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,17.0,,,0,,,,,,,,,,10,,759,,,2.8,,32.4,,,,,,северный,,7.0,,,,5.3,7.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,760,,,-2.4,,45.1,,,,,,северо-западный,,4.0,,,,,4.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,761,,,-2.9,,49.5,,,,,,северный,,5.0,,,,,2.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,762,,,-6.5,,59.4,,,,,,северо-западный,,0.0,,,,,2.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,764,,,-7.3,,68.0,,-7.7,,,,северо-западный,,0.0,,,,,2.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,765,,,1.0,,48.3,,,,,,северо-западный,,0.0,,,,,4.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,764,,,4.9,,25.6,,,,,,северо-западный,,0.0,,,,,4.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,763,,,7.0,,22.0,,,,,,западный,,0.0,,,,,7.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10,,761,,,6.4,,19.7,,,,,,западный,,2.0,,,,7.4,5.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,760,,,0.8,,32.3,,,,,,южный,,9.0,,,,,2.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,759,,,-0.1,,41.2,,,,,,юго-восточный,,6.0,,,,,3.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,757,,,4.0,,36.1,,,,,,южный,,10.0,,,,,2.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,755,,,5.7,,47.8,,-0.8,,,,юго-западный,,9.0,,,,,4.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,752,,,11.0,,37.4,,,,,,юго-западный,,6.0,,,,,9.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,750,,,16.4,,23.1,,,,,,юго-западный,,4.0,,,,,4.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,,,10,,748,,,16.8,,21.4,,,,,,западный,,7.0,,,,,9.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10,,749,,,13.5,,40.1,,,,,,западный,,7.0,,,,18.3,6.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,749,,,10.3,,54.4,,,,,,западный,,7.0,,,,,2.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,750,,,6.6,,66.5,,,,,,северо-западный,,7.0,,,,,3.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,750,,,3.0,,82.4,,,,,,западный,,7.0,,,,,3.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,0,,,0,,,True,,,,7,,751,,,1.5,,96.5,,0.9,,,,западный,,4.0,,,,,1.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,752,,,9.0,,67.0,,,,,,северный,,0.0,,,,,3.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,751,,,14.3,,45.5,,,,,,северо-западный,,5.0,,,,,4.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10,,750,,,15.6,,38.4,,,,,,юго-западный,,7.0,,,,,3.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10,,749,,,15.4,,35.5,,,,,,западный,,7.0,,,,16.9,4.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,10.2,,48.4,,,,,,юго-восточный,,2.0,,,,,3.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,7.6,,55.7,,,,,,южный,,0.0,,,,,3.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,746,,,6.7,,62.3,,,,,,южный,,4.0,,,,,3.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,745,,,6.1,,65.9,,5.9,,,,южный,,7.0,,,,,4.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,745,,,13.5,,42.2,,,,,,южный,,7.0,,,,,5.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,744,,,16.7,,30.6,,,,,,юго-западный,,9.0,,,,,8.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10,,744,,,15.2,,40.6,,,,,,северо-западный,,10.0,,,,,3.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,10.0,,,менее 0.1,,True,,,,,,,,10,,745,,,10.3,,72.1,,,,,,северный,,10.0,,,,18.1,4.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,11.0,,,,,,,,True,,,,,10,,746,,,5.0,,95.2,,,,,,северный,,10.0,,,,,5.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,True,,,,,10,,746,,,4.6,,96.6,,,,,,северный,,10.0,,,,,2.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,True,,,,,,,,10,,746,,,3.3,,96.5,,,,,,северо-западный,,7.0,,,,,2.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,6,,,6,,,,,,,10,,746,,,2.1,,93.1,,2.0,,,,северо-западный,,7.0,,,,,4.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,746,,,4.9,,87.5,,1.6,,,,северный,,7.0,,,,,5.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10,,746,,,7.5,,45.2,,,,,,северный,,9.0,,,,,7.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,746,,,5.5,,64.8,,,,,,западный,,10.0,,,,,9.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,13.0,,,менее 0.1,,,,,,,,,,10,,746,,,5.6,,57.6,,,,True,,северо-западный,,9.0,,,,8.8,5.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,747,,,1.9,,83.5,,,,True,,северный,,10.0,,,,,4.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,True,,,,,10,,747,,,1.4,,87.2,,,,,,северо-западный,,10.0,,,,,6.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,747,,,1.2,,94.4,,,,True,,северо-западный,,10.0,,,,,7.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,11.0,,,0.4,,,0.4,,,,,,,10,,749,,,0.2,,80.2,,0.1,,,,северо-западный,,7.0,,,,,7.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,18.0,,,,,,,,,,,,,10,,750,,,2.9,,52.3,,,,,,северный,,4.0,,,,,10.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,19.0,,,,,,,,,,,,,10,,750,,,6.0,,30.4,,,,,,северо-западный,,5.0,,,,,13.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,19.0,,,,,,,,,,,,,10,,750,,,5.6,,36.3,,,,,,северо-западный,,9.0,,,,,11.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,18.0,,,0,,,,,,,,,,10,,750,,,4.6,,36.3,,,,,,северо-западный,,6.0,,,,6.8,8.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,751,,,0.0,,52.7,,,,,,северо-западный,,2.0,,,,,4.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,751,,,-1.0,,57.2,,,,,,северный,,2.0,,,,,2.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,751,,,-3.8,,68.7,,,,,,северо-западный,,0.0,,,,,2.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,751,,,-4.2,,74.8,,-4.8,,,,,,7.0,,,,,0.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,751,,,5.0,,41.8,,,,,,южный,,6.0,,,,,2.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,750,,,9.9,,30.4,,,,,,южный,,6.0,,,,,4.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,748,,,13.9,,22.6,,,,,,юго-западный,,4.0,,,,,6.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,10.0,,,0,,,,,,,,,,10,,747,,,14.0,,20.0,,,,,,юго-западный,,2.0,,,,14.5,5.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,746,,,7.8,,31.2,,,,,,южный,,2.0,,,,,3.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,745,,,7.3,,34.3,,,,,,южный,,4.0,,,,,4.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,744,,,5.1,,43.5,,,,,,южный,,2.0,,,,,4.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,744,,,5.3,,48.4,,4.2,,,,южный,,6.0,,,,,5.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,744,,,10.3,,39.1,,,,,,южный,,7.0,,,,,6.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,743,,,14.4,,32.9,,,,,,южный,,6.0,,,,,7.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,742,,,18.2,,24.9,,,,,,юго-западный,,7.0,,,,,8.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,14.0,,,0,,,,,,,,,,10,,742,,,17.2,,25.6,,,,,,южный,,7.0,,,,18.7,6.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,743,,,12.7,,34.1,,,,,,южный,,6.0,,,,,4.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,742,,,10.3,,41.5,,,,,,южный,,7.0,,,,,5.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,741,,,9.0,,35.7,,,,,,юго-восточный,,9.0,,,,,4.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,738,,,8.1,,40.0,,8.0,,,,юго-восточный,,9.0,,,,,3.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,True,,,,,10,,737,,,5.8,,86.4,,5.7,,,,южный,,10.0,,,,,4.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,8,,739,,,1.0,,97.9,,,,,,западный,,10.0,,,True,,7.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,12.0,,,,,True,,,,,,,,10,,740,,,3.5,,89.9,,,,,,западный,,9.0,,,,,7.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,13.0,,,4,,,,,,,,,,10,,740,,,4.1,,72.0,,,,,,юго-западный,,7.0,,,,8.1,5.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,10.0,,,,,,,True,,,,,,10,,742,,,1.3,,86.5,,,,,,южный,,4.0,,,,,5.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,742,,,0.6,,84.6,,,,,,южный,,4.0,,,,,4.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,742,,,0.8,,80.9,,,,,,юго-западный,,6.0,,,,,5.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,менее 0.1,,,4,,,,,,,10,,741,,,1.1,,79.2,,0.5,,,,южный,,7.0,,,,,5.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,741,,,3.3,,76.1,,,,,,южный,,10.0,,,,,6.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10,,740,,,5.5,,70.7,,,,,,южный,,10.0,,,,,7.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,13.0,,,,,True,,,,,,,,10,,737,,,8.2,,57.0,,,,,,южный,,10.0,,,,,8.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,14.0,,,0.6,,,,,True,,,,,10,,736,,,6.2,,78.8,,,,,,южный,,10.0,,,,8.2,8.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,14.0,,,,,,,,True,,,,,10,,734,,,5.0,,88.8,,,,,,южный,,10.0,,,,,4.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,12.0,,,,,,,,True,,,,,10,,732,,,5.6,,89.4,,,,,,западный,,10.0,,,,,4.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,11.0,,,,,,,,,,,,,10,,733,,,5.0,,78.1,,,,True,,юго-западный,,10.0,,,,,6.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,11.0,,,4,,,5,,,,,,,10,,733,,,4.0,,76.8,,3.9,,,,западный,,9.0,,,,,6.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,16.0,,,,,,,,True,,,,,10,,735,,,4.0,,86.8,,3.6,,,,западный,,10.0,,,,,9.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,737,,,6.8,,58.4,,,,True,,западный,,9.0,,,,,9.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,14.0,,,,,,,,True,,,,,10,,739,,,6.9,,54.3,,,,,,западный,,9.0,,,,,8.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,12.0,,,0.3,,,,,,,,,,10,,740,,,6.1,,55.7,,,,True,,юго-западный,,7.0,,,,7.6,5.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,,,10,,741,,,4.7,,63.7,,,,True,,западный,,6.0,,,,,5.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,741,,,1.6,,81.6,,,,,,западный,,0.0,,,,,5.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,741,,,1.0,,84.6,,,,,,западный,,0.0,,,,,6.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,0,,,0.3,,,,,,,10,,742,,,0.0,,83.9,,-0.1,,,,юго-западный,,0.0,,,,,3.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,743,,,4.7,,68.0,,,,,,западный,,2.0,,,,,4.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10,,743,,,8.3,,49.3,,,,,,западный,,7.0,,,,,8.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10,,744,,,7.2,,55.1,,,,True,,северо-западный,,7.0,,,,,7.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,13.0,,,менее 0.1,,,,,,,,,,10,,745,,,6.6,,51.1,,,,True,,западный,,4.0,,,,9.5,5.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,11.0,,,,,,,True,,,,,,10,,747,,,2.5,,58.1,,,,,,юго-западный,,2.0,,,,,2.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,-0.1,,70.1,,,,,,юго-восточный,,0.0,,,,,3.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,-0.2,,72.7,,,,,,южный,,6.0,,,,,2.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,0,,,менее 0.1,,,,,,,10,,748,,,-1.4,,80.0,,-2.1,,,,юго-восточный,,7.0,,,,,2.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,5.9,,61.2,,,,,,южный,,9.0,,,,,4.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,8.7,,46.3,,,,,,юго-западный,,9.0,,,,,5.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,9.6,,40.1,,,,,,юго-западный,,9.0,,,,,5.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10,,749,,,7.7,,45.6,,,,,,западный,,9.0,,,,9.8,6.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,,10,,749,,,3.3,,79.5,,,,,,северо-западный,,7.0,,,,,2.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10,,749,,,0.7,,92.3,,,,,,,,7.0,,,,,0.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,0.5,,92.3,,,,,,,,10.0,,,,,0.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,,10,,748,,,0.9,,94.4,,-0.5,,,,северный,,10.0,,,,,1.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,,10,,748,,,6.0,,58.2,,,,,,северо-восточный,,10.0,,,,,1.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,9.3,,40.0,,,,,,юго-восточный,,10.0,,,,,3.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10,,747,,,8.0,,56.2,,,,True,,северный,,10.0,,,,,2.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,10,,746,,,7.4,,56.4,,,,,,северо-восточный,,10.0,,,,9.3,3.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,True,,,,,,,,,,,10,,745,,,5.3,,78.1,,,,,,северный,,10.0,,,,,4.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,True,,,,,,,,,,,10,,744,,,4.5,,82.0,,,,,,северо-западный,,10.0,,,,,4.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,11.0,,True,,,,,,,,,,,10,,743,,,3.7,,86.8,,,,,,северо-западный,,10.0,,,,,7.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,14.0,,True,2,,,2,,,,,,,10,,742,,,3.3,,95.2,,3.1,,,,северо-западный,,10.0,,,,,9.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,16.0,,True,,,,,,,,,,,9,,742,,,3.9,,95.2,,,,,,северо-западный,,10.0,,,,,10.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,18.0,,True,,,,,,,,,,,10,,742,,,5.1,,91.9,,,,,,северо-западный,,10.0,,,,,10.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,19.0,,,,,,,,True,,,,,6,,743,,,4.7,,93.2,,,,,,северо-западный,,10.0,,,,,8.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,17.0,,,11,,,,,True,,,,,10,,744,,,3.5,,93.2,,,,,,северо-западный,,10.0,,,,5.9,8.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,13.0,,True,,,,,,,,,,,10,,743,,,4.6,,91.9,,,,,,северо-западный,,10.0,,,,,8.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,742,,,5.3,,70.6,,,,True,,северо-западный,,10.0,,,,,5.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,,,,,10,,742,,,4.7,,65.1,,,,True,,западный,,10.0,,,,,6.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,11.0,,,7,,,19,,,,,,,10,,741,,,3.1,,67.6,,2.9,,,,западный,,10.0,,,,,7.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,,,10,,741,,,5.7,,54.7,,,,,,северо-западный,,9.0,,,,,9.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,14.0,,,,,True,,,,,,,,10,,741,,,6.1,,64.0,,,,,,северо-западный,,9.0,,,,,8.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,,,10,,742,,,7.2,,53.1,,,,True,,северо-западный,,6.0,,,,,8.0
