timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Метель низовая (слабая или умеренная),"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,9,,,,,,,,27.9,,,,западный,,,,5,,,,,,,,,,,10.0,743,,,,12.2,,,,6.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,11,,,,,,,,32.7,,,,западный,,,,5,,,,,,,,,,,10.0,743,,,,12.1,,,,6.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,11,,,,,,,,37.0,,,,западный,,,13.2,5,,,,0,,,,,,,10.0,744,,,,9.0,,,,7.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,8,,,,,,,,49.0,,,,западный,,,,2,,,,,,,,,,,10.0,745,,,,6.1,,,,7.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,8,,,,,,,,46.7,,,,северо-западный,,,,5,,,,,,,,,,,10.0,746,,,,5.5,,,,9.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,10,,,,,,,,52.2,,,,северо-западный,,,,7,,,,,,,,,,,10.0,747,,,,2.5,,,,9.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,9,,,,,,,,64.1,,,0.5,северо-западный,,,,4,,,,0,,,0,,,,10.0,748,,,,0.5,,,,7.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,9,,,,,,,,45.3,,,0.5,северный,,,,6,,,,,,,,,,,10.0,749,,,,3.2,,,,0.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,9,,,,,,,,32.7,,,,северо-западный,,,,6,,,,,,,,,,,10.0,749,,,,5.5,,,,2.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,11,,,,,,,,27.8,,,,северо-западный,,,,4,,,,,,,,,,,10.0,748,,,,6.5,,,,4.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,9,,,,,,,,29.0,,,,северо-западный,,,6.7,3,,,,0,,,,,,,10.0,747,,,,4.6,,,,2.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,5,,,,,,,,46.7,,,,западный,,,,3,,,,,,,,,,,10.0,747,,,,0.7,,,,0.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,7,,,,,,,,54.3,,,,северо-западный,,,,5,,,,,,,,,,,10.0,747,,,,1.1,,,,2.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,10,,,,,,,,80.1,,,,северо-западный,,,,4,,,,,,,,,,,10.0,747,,,,-0.8,,,,6.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,10,,,,,,,,78.8,,,-1.5,северо-западный,True,,,7,,,,менее 0.1,1.0,,менее 0.1,,,,10.0,747,,,,-1.2,,,,10.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,13,,,,,,,,72.6,,,,северный,,,,8,,,,,,,,,,,10.0,748,,,,-1.0,,,True,10.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,12,,,,,,,,53.7,,,,северо-западный,,,,8,,,,,,,,,,,10.0,749,,,,0.4,,,,7.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,16,,,,,,,,53.6,,,,северо-западный,,,,8,,,,,,,,,,,10.0,750,,,,1.4,,,True,7.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,16,,,,,,,,41.8,,,,северо-западный,,,1.4,8,,,,менее 0.1,,,,,,,10.0,751,,,,0.5,,,True,6.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,14,,,,,True,,,48.6,,,,северо-западный,,,,7,,,,,,,,,,,10.0,752,,,,-0.5,,,,4.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,15,,,,,,,,67.0,,,,северный,,,,8,,,,,,,,,,,10.0,753,,,,-1.9,,,,0.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,12,,,,,,,,48.7,,,,северный,,,,7,,,,,,,,,,,10.0,755,,,,-1.7,,,,2.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,10,,,,,,,,55.4,,,-3.1,северный,,,,5,,,,0,,,менее 0.1,,,,10.0,757,,,,-2.8,,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,8,,,,,,,,44.1,,,,северо-западный,,,,6,,,,,,,,,,,10.0,757,,,,1.3,,,,0.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,11,,,,,,,,29.4,,,,северо-западный,,,,5,,,,,,,,,,,10.0,756,,,,3.4,,,,2.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,15,,,,,,,,25.0,,,,западный,,,,7,,,,,,,,,,,10.0,755,,,,4.1,,,,4.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,14,,,,,,,,24.3,,,,северо-западный,,,4.3,7,,,,0,,,,,,,10.0,754,,,,2.4,,,,2.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,12,,,,,,,,31.7,,,,западный,,,,3,,,,,,,,,,,10.0,753,,,,0.5,,,,4.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,6,,,,,,,,34.6,,,,западный,,,,4,,,,,,,,,,,10.0,752,,,,0.2,,,,6.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,6,,,,,,,,41.6,,,,западный,,,,1,,,,,,,,,,,10.0,750,,,,1.0,,,,4.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,5,,,,,,,,48.6,,,-2.4,юго-западный,,,,3,,,,0,,,0,,,,10.0,748,,,,-0.6,,,,2.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,5,,,,,,,,33.4,,,,южный,,,,4,,,,,,,,,,,10.0,746,,,,4.1,,,,7.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,7,,,,,,,,31.7,,,,южный,,,,4,,,,,,,,,,,10.0,744,,,,9.6,,,,7.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,8,,,,,,,,28.2,,,,юго-западный,,,,5,,,,,,,,,,,10.0,743,,,,13.7,,,,7.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,8,,,,,,,,34.2,,,,западный,,,14.1,2,,,,0,,,,,,,10.0,742,,,,12.1,,,,7.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,6,,,,,,,,39.4,,,,западный,,,,4,,,,,,,,,,,10.0,743,,,,10.2,,,,7.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,10,,,,,,,,47.5,,,,северный,,,,6,,,,,,,,,,,10.0,743,,,,8.2,,,,6.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,10,,,,,,,,55.6,,,,северный,,,,4,,,,,,,,,,,10.0,745,,,,4.3,,,,2.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,6,,,,,,,,61.0,,,2.3,северо-западный,,,,2,,,,0,,,0,,,,10.0,746,,,,3.2,,,,0.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,4,,,,,,,,41.4,,,,западный,,,,2,,,,,,,,,,,10.0,747,,,,8.7,,,,0.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,8,,,,,,,,36.3,,,,юго-западный,,,,4,,,,,,,,,,,10.0,746,,,,12.0,,,,0.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,11,,,,,,,,29.7,,,,западный,,,,4,,,,,,,,,,,10.0,745,,,,14.5,,,,0.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,9,,,,,,,,35.5,,,,юго-западный,,,15.1,4,,,,0,,,,,,,10.0,744,,,,13.0,,,,4.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,6,,,,,,,,50.1,,,,южный,,,,4,,,,,,,,,,,10.0,743,,,,8.5,,,,2.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,5,,,,,,,,57.0,,,,юго-западный,,,,4,,,,,,,,,,,10.0,743,,,,6.5,,,,0.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,6,,,,,,,,60.3,,,,южный,,,,5,,,,,,,,,,,10.0,742,,,,5.9,,,,0.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,7,,,,,,,,60.0,,,5.6,южный,,,,4,,,,0,,,0,,,,10.0,741,,,,6.4,,,,6.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,13,,,,,,,,42.8,,,,юго-западный,,,,8,,,,,,,,,,,10.0,740,,,,11.6,,,,7.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,16,,,,,,,,30.3,,,,юго-западный,,,,12,,,,,,,,,,,10.0,739,,,,15.8,,,,6.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,18,,,,True,,,,53.2,,,,западный,,,,7,,,,,,,,,,,10.0,740,,,,11.6,,,,10.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,11,,,,True,,,,77.5,,,,западный,,,16.6,4,,,,менее 0.1,,,,,,,10.0,741,,,,8.5,,,,10.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,8,True,,,,,,,83.4,,,,северо-западный,,,,3,,,,,,,,,,,10.0,742,,,,6.2,,,,10.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,6,,,,,,,,85.1,,,,северо-западный,,,,3,,,,,,,,,,,10.0,742,,,,5.1,,,True,10.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,6,,,,,,,,87.3,,,,северный,,,,5,,,,,,,,,,,10.0,742,,,,3.1,,,True,10.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,7,True,,,,,,,89.0,,,0.8,северный,,,,4,,,,5,,,5,,,,10.0,743,,,,0.8,,,,10.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,7,,,,,,True,,89.1,,,0.6,северный,,,,5,,,,,,,,,,,10.0,743,,,,1.7,,,,10.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,8,True,,,,,,,84.2,,,,северный,,,,5,,,,,,,,,,,10.0,743,,,,2.8,,,,10.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,7,True,,,,,,,83.5,,,,северный,,,,4,,,,,,,,,,,10.0,743,,,,2.1,,,,10.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,8,True,,,,,,,85.9,,,,северный,,,2.9,5,,,,5,,,,,,,10.0,743,,,,1.4,,,,10.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,8,,,,,,,,89.0,,,,северный,,,,5,,,,,,,,,,,4.0,743,,,,0.5,,True,,10.0,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,11,,,,,,,,90.9,,,,северный,,,,5,,True,,,,,,,,,2.0,742,,,,0.0,,,,10.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,11,,,,,,,,92.3,,,,северный,,,,8,,True,,,,,,,,,1.0,741,,,,-0.1,,,,10.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,14,,,,,,,,92.3,,,-0.3,северный,,,,9,,True,,8,5.0,,13,,,,2.0,741,,,,-0.3,,,,10.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,14,,,,,,,,92.3,,,-0.3,северный,,,,10,,True,,,,,,,,,1.0,742,,,,-0.3,,,,10.0,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,15,,,,,,,,92.3,,,,северный,,,,9,,True,,,,,,,,,1.0,742,,,,-0.3,,,,10.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,16,,,,,,,,92.2,,,,северный,,,,9,,True,,,,,,,,,1.0,743,,,,-1.0,,,,10.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,15,,,,,,,,92.2,,,,северный,,,-0.2,8,,True,,5,,,,,,,1.0,744,,,,-1.2,,,,10.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,14,,,,,,,,92.9,,True,,северный,,,,8,,,,,,,,,,,10.0,744,,,,-1.6,,,,7.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,12,,,,,,,,84.2,,,,северный,,,,9,,,,,,,,,,,10.0,743,,,,-2.5,,,True,6.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,12,,,,,True,,,65.8,,,,северный,,,,8,,,,,,,,,,,10.0,743,,,,-2.9,,,,4.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,12,,,,,,,,63.1,,,-3.6,северный,,,,8,,,,менее 0.1,8.0,,5,,,,10.0,743,,,,-3.5,,,,2.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,12,,,,,,,,57.3,,,,северный,,,,8,,,,,,,,,,,10.0,743,,,,-0.6,,,,0.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,11,,,,,,,,42.1,,,,северо-западный,,,,5,,,,,,,,,,,10.0,744,,,,2.8,,,,0.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,9,,,,,,,,30.0,,,,северо-западный,,,,5,,,,,,,,,,,10.0,743,,,,5.4,,,,0.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,7,,,,,,,,29.0,,,,западный,,,6.1,2,,,,0,,,,,,,10.0,743,,,,5.3,,,,0.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,5,,,,,,,,36.6,,,,западный,,,,2,,,,,,,,,,,10.0,744,,,,0.9,,,,0.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,5,,,,,,,,30.8,,,,южный,,,,2,,,,,,,,,,,10.0,744,,,,1.7,,,,0.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,5,,,,,,,,57.2,,,,южный,,,,3,,,,,,,,,,,10.0,743,,,,-2.4,,,,0.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,4,,,,,,,,56.3,,,-2.7,южный,,,,3,,,,0,3.0,,0,,,,10.0,743,,,,-0.8,,,,0.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,6,,,,,,,,46.4,,,,юго-восточный,,,,5,,,,,,,,,,,10.0,743,,,,4.6,,,,7.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,8,,,,,,,,46.8,,,,юго-восточный,,,,6,,,,,,,,,,,10.0,742,,,,8.1,,,,7.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,9,,,,,,,,40.9,,,,юго-восточный,,,,5,,,,,,,,,,,10.0,742,,,,12.2,,,,4.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,8,,,,,,,,50.1,,,,юго-восточный,,,13.2,5,,,,0,,,,,,,10.0,741,,,,11.1,,,,4.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,6,,,,,,,,59.7,,,,юго-восточный,,,,4,,,,,,,,,,,10.0,741,,,,7.0,,,,2.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,7,,,,,,,,61.7,,,,южный,,,,5,,,,,,,,,,,10.0,740,,,,6.3,,,,0.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,8,,,,,,,,62.1,,,,южный,,,,5,,,,,,,,,,,10.0,740,,,,6.0,,,,0.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,7,,,,,,,,62.6,,,5.0,южный,,,,3,,,,0,,,0,,,,10.0,739,,,,6.3,,,,7.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,7,,,,,,,,47.9,,,,южный,,,,5,,,,,,,,,,,10.0,738,,,,11.0,,,,7.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,11,,,,,,,,31.0,,,,юго-восточный,,,,8,,,,,,,,,,,10.0,735,,,,15.2,,,,9.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,18,,,,,,,,33.2,,,,юго-западный,,,,8,,,,,,,,,,,10.0,733,,,,14.4,,,,10.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,19,,,,,,,,70.0,,,,южный,,,16.4,11,,,,менее 0.1,,,,True,,,10.0,731,,,,9.5,,,,10.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,15,,,,,,,,83.0,,,,юго-западный,,,,10,,,,,,,,True,,,10.0,730,,,,3.1,,,,10.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,15,,,,,,,,79.8,,,,западный,,,,8,,,,,,,,,,,10.0,732,,,,1.3,,,True,10.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,13,,,,,,,,80.4,,,,юго-западный,,,,8,,,,,,,,,,,10.0,733,,,,1.0,,,True,10.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,12,,,,,,,,79.7,,,0.7,юго-западный,,,,7,,,,5,,,5,,,,10.0,734,,,,0.8,,,,7.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,13,,,,,,,,71.8,,,,южный,,,,9,,,,,,,,,,,10.0,734,,,,3.3,,,,10.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,15,,,,,,,,63.2,,,,юго-западный,,,,9,,,,,,,,,,,10.0,733,,,,4.8,,,,10.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,16,,,,True,,,,65.2,,,,юго-западный,,,,11,,,,,,,,,,,10.0,733,,,,5.2,,,,10.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,16,,,,,,,,65.1,,,,южный,,,6.0,8,,,,менее 0.1,,,,,,,10.0,732,,,,4.8,,,,7.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,12,,,,,,,,67.4,,,,южный,,,,7,,,,,,,,,,,10.0,731,,,,4.1,,,,10.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,11,,,,,,,,71.3,,,,южный,,,,7,,,,,,,,,,,10.0,730,,,,3.4,,,,10.0,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,10,,,,True,,,,82.3,,,,южный,,,,5,,,,,,,,,,,10.0,728,,,,2.3,,,,10.0,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,8,True,,,,,,,87.2,,,1.9,южный,,,,4,,,,0.4,,,0.4,,,,10.0,727,,,,2.1,,,,10.0,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,6,,,,,,,,83.7,,,,южный,,,,4,True,,,,,,,,,,10.0,727,,,,3.6,,,,10.0,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,6,,,,,,,,81.5,,,,восточный,,,,1,True,,,,,,,,,,10.0,727,,,,4.8,,,,10.0,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,4,,,,True,,,,77.1,,,,северо-западный,,,,3,,,,,,,,,,,10.0,729,,,,5.8,,,,10.0,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,12,,,,,,,,82.0,,,,северо-западный,,,6.1,6,,,,0.3,,,,True,,,10.0,730,,,,4.0,,,,10.0,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,12,,,,,,,,75.6,,,,западный,,,,4,,,,,,,,,,,10.0,732,,,,3.5,,,True,7.0,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,7,,,,,,,,76.4,,,,западный,,,,5,,,,,,,,,,,10.0,733,,,,1.4,,,,2.0,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,9,,,,,,,,80.8,,,,западный,,,,5,,,,,,,,,,,10.0,733,,,,0.0,,,,0.0,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,7,,,True,,,,,85.8,,,-0.1,юго-западный,,,,5,,,,менее 0.1,1.0,,0.3,,,,10.0,734,,,,0.6,,,,7.0,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,9,,,,,,,,80.0,,,,западный,,,,6,,,,,,,,,,,10.0,735,,,,2.6,,,True,7.0,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,12,,,,,,,,51.8,,,,западный,,,,5,,,,,,,,,,,10.0,736,,,,5.3,,,,7.0,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,13,,,,,,,,39.3,,,,западный,,,,7,,,,,,,,,,,10.0,737,,,,7.8,,,True,7.0,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,12,,,,,,,,55.9,,,,западный,,,8.0,3,,,,менее 0.1,,,,,,,10.0,738,,,,5.3,,,True,6.0,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,10,,,,,,,,82.2,,,,южный,,,,4,,,,,,,,,,,10.0,740,,,,1.2,,,True,7.0,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,5,,,,,,,,81.9,,,,юго-западный,,,,4,,,,,,,,,,,10.0,741,,,,-0.5,,,,4.0,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,7,,,,,,,,82.0,,,,западный,,,,4,,,,,,,,,,,10.0,742,,,,-0.1,,,,4.0,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,6,,,,,,,,81.5,,,-1.0,юго-западный,,,,4,,,,0,,,менее 0.1,,,,10.0,743,,,,0.8,,,,7.0,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,7,,,,,,,,66.8,,,,юго-западный,,,,5,,,,,,,,,,,10.0,744,,,,3.8,,,,7.0,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,9,,,,,,,,40.7,,,,юго-западный,,,,4,,,,,,,,,,,10.0,745,,,,7.6,,,,7.0,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,8,,,,,,,,43.4,,,,северный,,,,1,,,,,,,,,,,10.0,746,,,,9.1,,,,7.0,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,11,,,,,,,,64.4,,,,южный,,,9.2,6,,,,0,,,,,,,10.0,746,,,,5.9,,,,7.0,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,8,,,,,,,,70.4,,,,юго-западный,,,,6,,,,,,,,,,,10.0,747,,,,4.3,,,,6.0,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,8,,,,,,,,74.4,,,,южный,,,,3,,,,,,,,,,,10.0,747,,,,3.1,,,,6.0,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,4,,,,,,,,74.4,,,,южный,,,,1,,,,,,,,,,,10.0,747,,,,3.0,,,,6.0,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,2,,,,,,,,79.5,,,2.1,юго-восточный,,,,1,,,,0,,,0,,,,10.0,747,,,,2.9,,,,6.0,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,4,,,,,,,,52.0,,,,юго-западный,,,,1,,,,,,,,,,,10.0,747,,,,7.2,,,,6.0,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,4,,,,,,,,47.9,,,,южный,,,,2,,,,,,,,,,,10.0,747,,,,8.3,,,,9.0,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,6,,,,,,,,48.5,,,,южный,,,,3,,,,,,,,,,,10.0,747,,,,9.1,,,,9.0,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,7,,,,,,,,63.5,,,,юго-восточный,,,10.3,3,,,,0,,,,,,,10.0,747,,,,7.8,,,,7.0,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,5,,,,,,,,70.7,,,,северо-восточный,,,,1,,,,,,,,,,,10.0,747,,,,5.6,,,,7.0,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,4,,,,,,,,70.6,,,,северо-восточный,,,,3,,,,,,,,,,,10.0,746,,,,5.2,,,,7.0,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,5,,,,,,,,72.6,,,,северо-восточный,,,,3,,,,,,,,,,,10.0,745,,,,4.6,,,,7.0,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,10,,,,,,,,64.3,,,4.3,северо-восточный,,,,7,,,,0,,,0,,,,10.0,743,,,,5.5,,,,7.0,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,17,,,,,,,,81.3,,,3.6,северо-восточный,,,,11,,,,,,,,True,,,10.0,742,,,,3.6,,,,10.0,
