timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Морось (незамерзающая). Снежные зерна,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,"Пыльная (песчаная) буря, слабая или умеренная",Пыльная/песчаная буря,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Пыльная (песчаная) буря, слабая или умеренная началась (усилилась)",Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,61.7,,западный,,,5.0,,,,,,,,,,10.0,752,2.6,,,0.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,29.1,,западный,,,5.0,,,,,,,,,,10.0,751,8.6,,,7.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,14.0,,,,,True,,,,,62.5,,юго-западный,,,2.0,,,,,,,,,,10.0,750,5.8,,,9.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,17.0,,,,,,,,,,84.6,,северо-западный,,9.4,6.0,,,0.3,,,,,,,10.0,751,1.2,,True,7.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,17.0,,,,,,,,,,83.0,,северо-западный,,,4.0,,,,,,,,,,10.0,753,-2.0,,True,4.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,76.3,,западный,,,5.0,,,,,,,,,,10.0,753,-2.3,,,0.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,94.9,,северо-западный,,,4.0,,,,,,,,,,10.0,754,-4.3,,,0.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,71.9,-5.0,северо-западный,,,5.0,,,0.2,1.0,0.5,,,,,10.0,755,-4.4,,,1.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,12.0,,,,,,,,,,61.5,,северо-западный,,,9.0,,,,,,,,,,10.0,755,-0.2,,,1.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,17.0,,,,,,,,,,25.9,,северо-западный,,,10.0,,,,,,,,,,10.0,756,3.2,,,6.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,15.0,,,,,,,,,,15.5,,северный,,,10.0,,,,,,,,,,10.0,756,4.8,,,7.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,15.0,,,,,,,,,,19.3,,северный,,5.9,9.0,,,0,,,,,,,10.0,757,4.3,,,9.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,10.0,,,,,,,,,,28.3,,северный,,,3.0,,,,,,,,,,10.0,758,1.5,,,7.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,38.4,,северный,,,3.0,,,,,,,,,,10.0,758,-1.0,,,9.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,46.5,,северо-западный,,,3.0,,,,,,,,,,10.0,759,-2.5,,,4.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,54.1,-4.2,северо-западный,,,2.0,,,0,,0,,,,,10.0,761,-4.2,,,2.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,33.8,,северный,,,4.0,,,,,,,,,,10.0,762,2.2,,,0.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,24.0,,северо-восточный,,,3.0,,,,,,,,,,10.0,761,4.4,,,0.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,17.0,,северный,,,5.0,,,,,,,,,,10.0,760,7.4,,,0.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,10.0,,,,,,,,,,23.3,,северо-западный,,8.6,5.0,,,0,,,,,,,10.0,758,8.6,,,2.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,41.1,,юго-западный,,,3.0,,,,,,,,,,10.0,757,3.6,,,2.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,44.5,,западный,,,3.0,,,,,,,,,,10.0,756,1.8,,,2.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,45.2,,западный,,,6.0,,,,,,,,,,10.0,754,6.4,,,9.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,10.0,,,,,,,,,,52.2,1.2,юго-западный,,,7.0,,,0,,0,,,,,10.0,752,5.1,,,6.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,15.0,,,,,,,,,,39.0,,юго-западный,,,10.0,,,,,,,,,,10.0,749,10.7,,,2.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,15.0,,,,,,,,,,22.2,,юго-западный,,,10.0,,,,,,,,,,10.0,746,16.0,,,7.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,15.0,,,,,True,,,,,50.7,,северо-западный,,,7.0,,,,,,,,,,10.0,746,13.3,,,7.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,10.0,,,,,,,,,,35.3,,северный,,18.2,6.0,,,0.3,,,,,,,10.0,745,14.0,,,7.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,54.9,,северо-западный,,,5.0,,,,,,,,,,10.0,747,9.4,,,5.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,74.4,,северо-западный,,,4.0,,,,,,,,,,10.0,748,5.9,,,2.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,79.8,,северо-западный,,,4.0,,,,,,,,,,10.0,748,5.1,,,7.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,82.4,2.6,западный,,,4.0,,,0,,0.3,,,,,10.0,748,2.9,,,2.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,64.7,,северо-западный,,,3.0,,,,,,,,,,10.0,748,9.1,,,1.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,43.2,,западный,,,4.0,,,,,,,,,,10.0,748,13.7,,,5.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,28.6,,западный,,,5.0,,,,,,,,,,10.0,746,16.6,,,5.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,29.1,,западный,,17.2,5.0,,,0,,,,,,,10.0,745,16.1,,,7.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,47.0,,юго-западный,,,4.0,,,,,,,,,,10.0,744,9.0,,,7.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,58.1,,юго-западный,,,3.0,,,,,,,,,,10.0,743,5.7,,,7.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,61.5,,южный,,,4.0,,,,,,,,,,10.0,742,5.3,,,9.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,63.4,4.7,южный,,,4.0,,,0,,0,,,,,10.0,741,5.6,,,9.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,44.9,,юго-западный,,,5.0,,,,,,,,,,10.0,741,10.8,,,9.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,47.8,,западный,,,3.0,,,,,,,,,,10.0,741,12.8,,,10.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,66.3,,северо-западный,,,7.0,,,,,,,,,,10.0,741,10.3,,,10.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,10.0,,,,,,,,,,96.6,,северный,,12.8,7.0,,,2,,,True,,,,10.0,742,5.3,,,10.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,96.5,,северо-западный,,,2.0,,,,,,,,,,10.0,743,3.9,,True,10.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,73.2,,северный,,,4.0,,,,,,,,,,10.0,743,2.3,,,4.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,76.2,,северный,,,4.0,,,,,,,,,,10.0,743,0.2,,,2.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,78.9,-0.9,северо-западный,,,3.0,,,0.5,,3,,,,,10.0,743,-0.9,,,4.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,65.9,,северный,,,4.0,,,,,,,,,,10.0,743,4.1,,,9.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,10.0,,,,,,,,,,47.8,,северо-западный,,,7.0,,,,,,,,,,10.0,743,8.2,,,9.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,14.0,,,,,,,,,,47.0,,северо-западный,,,10.0,,,,,,,,,,10.0,743,6.6,,True,10.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,16.0,,,,,,,,,,43.7,,северный,,9.1,5.0,,,менее 0.1,,,,,,,10.0,744,5.7,,,9.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,13.0,,,,,,,,,,48.0,,северный,,,5.0,,,,,,,,,,10.0,745,2.4,,,2.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,58.5,,северо-западный,,,5.0,,,,,,,,,,10.0,746,-1.0,,,4.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,12.0,,,,,,,,,,56.6,,северо-западный,,,8.0,,,,,,,,,,10.0,746,0.0,,,7.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,13.0,,,,,,,,,,63.4,-2.3,северный,,,8.0,,,0,,менее 0.1,,,,,10.0,747,-0.5,,,9.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,12.0,,,,,,,,,,47.4,,северный,,,8.0,,,,,,,,,,10.0,748,2.9,,,1.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,13.0,,,,,,,,,,34.7,,северный,,,9.0,,,,,,,,,,10.0,748,5.0,,,9.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,15.0,,,,,,,,,,39.1,,северо-западный,,,7.0,,,,,,,,,,10.0,748,6.1,,,9.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,14.0,,,,,,,,,,26.5,,северо-западный,,8.4,8.0,,,менее 0.1,,,,,,,10.0,747,7.3,,,6.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,12.0,,,,,,,,,,41.0,,северный,,,3.0,,,,,,,,,,10.0,748,2.4,,,2.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,53.8,,западный,,,1.0,,,,,,,,,,10.0,748,-2.2,,,2.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,67.0,,юго-западный,,,1.0,,,,,,,,,,10.0,748,-4.6,,,5.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,61.3,-4.6,южный,,,2.0,,,0,,менее 0.1,,,,,10.0,747,-0.9,,,9.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,42.2,,юго-западный,,,5.0,,,,,,,,,,10.0,747,4.0,,,9.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,13.0,,,,,,,,,,16.6,,западный,,,6.0,,,,,,,,,,10.0,745,12.7,,,4.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,13.0,,,,,,,,,,13.3,,юго-западный,,,8.0,,,,,,,,,,10.0,743,15.2,,,4.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,13.0,,,,,,,,,,12.3,,юго-западный,,15.4,7.0,,,0,,,,,,,10.0,742,14.3,,,7.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,10.0,,,,,,,,,,26.9,,южный,,,4.0,,,,,,,,,,10.0,741,8.6,,,6.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,10.0,,,,,,,,,,42.6,,южный,,,7.0,,,,,,,,,,10.0,740,8.6,,,6.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,10.0,,,,,,,,,,37.6,,южный,,,6.0,,,,,,,,,,10.0,739,8.1,,,7.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,12.0,,,,,,,,,,46.2,7.0,южный,,,7.0,,,0,,0,,,,,10.0,739,7.4,,,10.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,13.0,,,,,,,,,,41.5,,южный,,,9.0,,,,,,,,,,10.0,738,10.3,,,6.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,14.0,,,,,,,,,,32.7,,южный,,,9.0,,,,,,,,,,10.0,738,12.1,,,9.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,14.0,,,,,,,,,,19.7,,юго-западный,,,10.0,,,,,,,,,,10.0,601,17.0,,True,9.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,14.0,,,,,True,,,,,38.6,,юго-западный,,18.0,8.0,,,менее 0.1,,,,,,,10.0,738,14.2,,,10.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,12.0,,,,,True,,,,,73.1,,северный,,,2.0,,,,,,,,,,10.0,739,7.6,,,10.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,87.5,,северный,,,5.0,,,,,,,,,,10.0,738,5.4,,,10.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,95.2,,северный,,,7.0,,,,,,True,,,,10.0,737,3.7,,,10.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,95.7,0.2,северо-западный,,,6.0,,,4,,4,True,,,,10.0,736,0.4,,,10.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,10.0,,,,,,,,,,97.9,0.1,северо-западный,,,6.0,True,,,,,,,,,2.0,736,0.2,,,10.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,True,,,,,,94.4,,западный,,,6.0,,,,,,,,,,10.0,737,1.2,,,10.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,16.0,,,,,,,,,,72.5,,западный,,,11.0,,,,,,,,,,10.0,737,4.3,,True,9.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,16.0,,,,,True,,,,,65.9,,западный,,6.9,6.0,,,2,,,,,,,10.0,737,4.3,,,6.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,72.6,,юго-западный,,,5.0,,,,,,,,,,10.0,738,1.7,,True,5.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,10.0,,,,,,,,,,72.6,,западный,,,7.0,,,,,,,,,,10.0,738,1.9,,,7.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,74.1,,юго-западный,,,6.0,,,,,,,,,,10.0,738,1.5,,,6.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,79.2,0.4,юго-западный,,,6.0,,,0,,2,,,,,10.0,737,1.1,,,7.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,11.0,,,,,,,,,,81.3,,западный,,,8.0,,,,,,,,,,10.0,737,3.8,,,9.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,14.0,,,,,,,,,,64.1,,юго-западный,,,7.0,,,,,,,,,,10.0,735,6.8,,,9.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,17.0,,,,,,,,,,59.4,,юго-западный,,,9.0,,,,,,True,,,,10.0,733,7.4,,,9.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,18.0,,,,,True,,,,,87.6,,юго-западный,,9.4,8.0,,,0.5,,,,,,,10.0,731,5.9,,,9.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,14.0,,,,,,,,,,89.5,,юго-западный,,,7.0,,,,,,True,,,,10.0,730,6.4,,,9.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,14.0,,,,,,,,,,85.6,,западный,,,6.0,,,,,,,,,,10.0,730,4.6,,True,7.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,14.0,,,,,,,,,,83.8,,западный,,,7.0,,,,,,,,,,10.0,730,4.2,,True,7.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,14.0,,,,,,,,,,88.0,2.0,западный,,,9.0,,,2,,3,True,,,,10.0,731,3.4,,,9.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,14.0,,,,,,,,,,72.5,,западный,,,8.0,,,,,,,,,,10.0,734,4.3,,True,7.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,13.0,,,,,,,,,,52.6,,западный,,,7.0,,,,,,,,,,10.0,735,5.2,,,7.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,13.0,,,,,,,,,,48.1,,западный,,,7.0,,,,,,,,,,10.0,736,6.5,,,9.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,12.0,,,,,,,,,,44.1,,западный,,8.5,6.0,,,менее 0.1,,,,,,,10.0,736,7.0,,,7.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,11.0,,,,,,,,,,79.9,,западный,,,4.0,,,,,,,,,,10.0,738,1.8,,True,2.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,88.4,,западный,,,4.0,,,,,,,,,,10.0,738,0.6,,True,2.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,True,,,,,,,95.0,,западный,,,4.0,,,,,,,,,,10.0,738,-0.9,,,2.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,92.9,-1.4,западный,,,5.0,,,менее 0.1,,менее 0.1,,,,,10.0,739,-1.1,,,1.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,76.1,,западный,,,6.0,,,,,,,,,,10.0,739,3.4,,,5.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,56.4,,западный,,,7.0,,,,,,,,,,10.0,740,5.7,,,7.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,11.0,,,,,,,,,,51.7,,западный,,,7.0,,,,,,,,,,10.0,741,6.3,,,7.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,11.0,,,,,,,,,,40.1,,западный,,8.1,8.0,,,0,,,,,,,10.0,742,6.5,,,6.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,10.0,,,,,,,,,,63.7,,западный,,,3.0,,,,,,,,,,10.0,743,0.7,,,2.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,70.0,,западный,,,3.0,,,,,,,,,,10.0,743,-0.3,,,2.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,77.1,,западный,,,4.0,,,,,,,,,,10.0,744,-0.9,,,2.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,80.3,-2.0,юго-западный,,,3.0,,,0,,0,,,,,10.0,744,0.5,,,7.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,60.4,,западный,,,4.0,,,,,,,,,,10.0,744,4.6,,,7.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,60.7,,юго-западный,,,6.0,,,,,,,,,,10.0,744,7.4,,,9.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,10.0,,,,,,,,,,51.5,,западный,,,6.0,,,,,,,,,,10.0,744,8.1,,True,9.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,73.8,,юго-западный,,8.7,2.0,,,0.1,,,,,,,10.0,745,5.3,,True,10.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,89.2,,южный,,,2.0,,,,,,,,,,10.0,745,2.5,,True,9.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,90.4,,южный,,,1.0,,,,,,,,,,10.0,744,1.1,,,7.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,92.4,,южный,,,1.0,,,,,,,,,,10.0,744,1.5,,,9.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,True,,,,,96.5,-0.3,восточный,,,1.0,,,менее 0.1,,0.1,,,,,10.0,744,0.8,,,10.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,94.5,,северо-восточный,,,2.0,,,,,,True,,,,7.0,744,3.2,,,10.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,95.2,,северный,,,3.0,,,,,,True,,,,8.0,744,4.0,,,10.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,88.7,,северный,,,3.0,,,,,,True,,,,8.0,744,4.4,,,10.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,94.5,,восточный,,5.4,2.0,,,4,,,True,,,,8.0,743,3.0,,,10.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,88.0,,северный,,,5.0,,,,,,,,,,10.0,743,4.0,,True,9.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,10.0,,,,,,,,,,87.2,,северный,,,6.0,,,,,,,,,,10.0,743,2.3,,,6.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,10.0,,,,,,,,,,90.4,,северо-западный,,,7.0,,,,,,,,,,10.0,742,1.6,,,4.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,11.0,,,,,,,,,,90.4,0.5,северо-западный,,,8.0,,,менее 0.1,,4,,,,,10.0,742,1.1,,,7.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,15.0,,,,,,,,,,82.0,,северо-западный,,,10.0,,,,,,,,,,10.0,742,4.2,,,10.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,16.0,,,,,,,,,,81.6,,северный,,,10.0,,,,,,True,,,,10.0,742,5.8,,,10.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,17.0,,,,,,,,,,55.9,,северо-западный,,,10.0,,,,,,True,,,,10.0,742,8.5,,,10.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,19.0,,,,,,,,,,40.7,,северный,,9.5,9.0,,,0.3,,,,,,,10.0,742,9.4,,True,10.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,15.0,,,,,,,,,,46.6,,северо-западный,,,7.0,,,,,,,,,,10.0,742,7.6,,True,10.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,12.0,,,,,,,,,,53.7,,северо-западный,,,7.0,,,,,,,,,,10.0,742,5.0,,,9.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,13.0,,,,,,,,,,57.1,,северо-западный,,,7.0,,,,,,,,,,10.0,741,3.7,,,9.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,10.0,,,,,,,,,,62.9,2.0,северо-западный,,,6.0,,,0,,0.3,,,,,10.0,740,3.4,,,9.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,14.0,,,,,,,,,,51.7,,северо-западный,,,10.0,,,,,,,,,,10.0,740,6.1,,,9.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,15.0,,,,,,,,,,47.6,,северо-западный,,,10.0,,,,,,,,,,10.0,739,7.4,,True,7.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,19.0,,,,,True,,,,,48.5,,северо-западный,,,9.0,,,,,,,,,,10.0,741,6.6,,,9.0
