timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Туман ослабел (небо видно),Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Температура воздуха, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1601143200,"Суббота, 26 сентября
18:00 (UTC)",,6.0,,,,,,,,,64.9,,,,северо-восточный,,24.7,3,,,0,,,,,,,,,10,748,,20.2,,,,10.0,
1601154000,"Суббота, 26 сентября
21:00 (UTC)",,7.0,,,,,,,,,69.6,,,,восточный,,,4,,,,,,,,,,,,10,749,,19.3,,,,7.0,
1601164800,"Воскресенье, 27 сентября
00:00 (UTC)",,9.0,,,,,,,,,75.0,,,,северо-восточный,,,4,,,,,,,,,,,,10,750,,17.9,,,,6.0,
1601175600,"Воскресенье, 27 сентября
03:00 (UTC)",,9.0,,,,,,,,,72.3,,,16.5,северо-восточный,,,5,,,0,,,,,менее 0.1,,,,10,750,,16.6,,,,2.0,
1601186400,"Воскресенье, 27 сентября
06:00 (UTC)",,10.0,,,,,,,,,70.9,,,15.7,северо-восточный,,,6,,,0,,,,,,,,,10,750,,16.6,,,,7.0,
1601197200,"Воскресенье, 27 сентября
09:00 (UTC)",,11.0,,,,,,,,,59.4,,,,восточный,,,6,,,,,,,,,,,,10,751,,20.8,,,,2.0,
1601208000,"Воскресенье, 27 сентября
12:00 (UTC)",,13.0,,,,,,,,,54.0,,,,восточный,,,7,,,,,,,,,,,,10,751,,23.0,,,,6.0,
1601218800,"Воскресенье, 27 сентября
15:00 (UTC)",,12.0,,,,,,,,,61.4,,,,восточный,,,4,,,0,,,,,,,,,10,752,,21.0,,,,10.0,
1601229600,"Воскресенье, 27 сентября
18:00 (UTC)",,10.0,True,,,,,,,,77.9,,,,восточный,,24.0,3,,,0.1,,,,,,,,,10,754,,17.6,,,,10.0,
1601240400,"Воскресенье, 27 сентября
21:00 (UTC)",,9.0,,,,,,,,,82.8,,,,юго-восточный,,,5,,,,,,,,,,,,10,755,,15.4,,,,10.0,
1601251200,"Понедельник, 28 сентября
00:00 (UTC)",,9.0,,,,,,,,,85.7,,,,южный,,,3,,,,,,,,,True,,,4,758,,11.3,,,,10.0,
1601262000,"Понедельник, 28 сентября
03:00 (UTC)",,7.0,,,,,,,,,85.7,,,10.9,южный,,,3,,,0,,,,,0.1,True,,,4,758,,10.9,,,,10.0,
1601272800,"Понедельник, 28 сентября
06:00 (UTC)",,6.0,,,,,,,,,89.2,,,8.9,юго-восточный,,,3,,,менее 0.1,,,,,,True,,,4,760,,10.1,,,,2.0,
1601283600,"Понедельник, 28 сентября
09:00 (UTC)",,7.0,,,,,,,,,71.9,,,,южный,,,4,,,,,,,,,,,,10,761,,14.5,,,,4.0,
1601294400,"Понедельник, 28 сентября
12:00 (UTC)",,6.0,,,,,,,,,56.5,,,,юго-восточный,,,3,,,,,,,,,,,,10,761,,16.9,,,,4.0,
1601305200,"Понедельник, 28 сентября
15:00 (UTC)",,6.0,,,,,,,,,59.1,,,,юго-восточный,,,3,,,0,,,,,,,,,10,761,,16.3,,,,2.0,
1601316000,"Понедельник, 28 сентября
18:00 (UTC)",,3.0,,,,,,,,,85.6,,,,восточный,,17.6,2,,,0,,,,,,True,,,4,762,,10.2,,,,2.0,
1601326800,"Понедельник, 28 сентября
21:00 (UTC)",,3.0,,,,,,,,,92.1,,,,северо-восточный,,,2,,,,,,,,,True,,,4,762,,8.0,,,,1.0,
1601337600,"Вторник, 29 сентября
00:00 (UTC)",,2.0,,,,,,,,,95.3,,,,северо-восточный,,,1,,,,,,,,,True,,,4,762,,6.0,,,,1.0,
1601348400,"Вторник, 29 сентября
03:00 (UTC)",,2.0,,,,,,,,,97.3,,,4.9,восточный,,,1,,,0,,,,,0,True,,,4,761,,5.9,,,,0.0,
1601359200,"Вторник, 29 сентября
06:00 (UTC)",,2.0,,,,,,,,,95.3,,,4.4,северный,,,1,,,0,,,,,,True,,,4,761,,7.5,,,,7.0,
1601370000,"Вторник, 29 сентября
09:00 (UTC)",,6.0,,,,,,,,,68.8,,,,восточный,,,3,,,,,,,,,,,,10,761,,15.4,,,,4.0,
1601380800,"Вторник, 29 сентября
12:00 (UTC)",,7.0,,,,,,,,,63.8,,,,восточный,,,4,,,,,,,,,,,,10,761,,19.1,,,,2.0,
1601391600,"Вторник, 29 сентября
15:00 (UTC)",,7.0,,,,,,,,,75.3,,,,северо-восточный,,,2,,,0,,,,,,,,,10,761,,17.3,,,,4.0,
1601402400,"Вторник, 29 сентября
18:00 (UTC)",,3.0,,,,,,,,,82.1,,,,северо-восточный,,19.7,2,,,0,,,,,,,,,10,761,,13.8,,,,2.0,
1601413200,"Вторник, 29 сентября
21:00 (UTC)",,3.0,,,,,,,,,91.1,,,,северо-восточный,,,1,,,,,,,,,True,,,4,761,,10.8,,,,4.0,
1601424000,"Среда, 30 сентября
00:00 (UTC)",,2.0,,,,,,,,,89.9,,,,северный,,,1,,,,,,,,,True,,,4,761,,11.1,,,,7.0,
1601434800,"Среда, 30 сентября
03:00 (UTC)",,2.0,,,,,,,,,95.4,,,8.3,северный,,,1,,,0,,,,,0,True,,,4,761,,8.9,,,,0.0,
1601445600,"Среда, 30 сентября
06:00 (UTC)",,3.0,,,,,,,,,90.4,,,8.2,северный,,,1,,,0,,,,,,True,,,4,761,,10.4,,,,5.0,
1601456400,"Среда, 30 сентября
09:00 (UTC)",,6.0,,,,,,,,,69.8,,,,северо-восточный,,,3,,,,,,,,,,,,10,761,,15.7,,,,7.0,
1601467200,"Среда, 30 сентября
12:00 (UTC)",,7.0,,,,,,,,,69.6,,,,северный,,,4,,,,,,,,,,,,10,759,,17.2,,,,7.0,
1601478000,"Среда, 30 сентября
15:00 (UTC)",,8.0,,,,,,,,,69.5,,,,северный,,,4,,,0,,,,,,,,,10,759,,16.8,,,,7.0,
1601488800,"Среда, 30 сентября
18:00 (UTC)",,7.0,,,,,,,,,78.1,,,,северный,,17.6,3,,,0,,,,,,,,,10,759,,15.4,,,,9.0,
1601499600,"Среда, 30 сентября
21:00 (UTC)",,7.0,,,,,,,,,86.0,,,,северо-восточный,,,2,True,,,,,,,,,,,4,759,,14.0,,,,10.0,
1601510400,"Четверг, 1 октября
00:00 (UTC)",,5.0,,,,,,,,,89.4,,,,северный,,,3,,,,,,,,,True,,,4,758,,12.8,,,,7.0,
1601521200,"Четверг, 1 октября
03:00 (UTC)",,5.0,,,,,,,,,93.6,,,11.0,северо-восточный,,,2,,,0.3,,,,,0.3,True,,,4,757,,11.0,,,,6.0,
1601532000,"Четверг, 1 октября
06:00 (UTC)",,4.0,,,,,,,,,92.9,,,10.5,северо-восточный,,,2,,,0.3,,,,,,True,,,4,757,,11.0,,,,7.0,
1601542800,"Четверг, 1 октября
09:00 (UTC)",,6.0,,,,,,,,,72.1,,,,северо-восточный,,,3,,,,,,,,,,,,10,756,,15.2,,,,7.0,
1601553600,"Четверг, 1 октября
12:00 (UTC)",,8.0,,,,,,,,,62.3,,,,восточный,,,3,,,,,,,,,,,,10,755,,17.6,,,,9.0,
1601564400,"Четверг, 1 октября
15:00 (UTC)",,8.0,,,,,,,,,63.0,,,,восточный,,,4,,,0,,,,,,,,,10,755,,17.3,,,,7.0,
1601575200,"Четверг, 1 октября
18:00 (UTC)",,7.0,,,,,,,,,71.6,,,,восточный,,18.1,3,,,0,,,,,,,,,10,756,,15.6,,,,7.0,
1601586000,"Четверг, 1 октября
21:00 (UTC)",,6.0,,,,,,,,,79.4,,,,восточный,,,3,,,,,,,,,,,,10,756,,13.9,,,,1.0,
1601596800,"Пятница, 2 октября
00:00 (UTC)",,7.0,,,,,,,,,85.8,,,,северо-восточный,,,4,,,,,,,,,True,,,4,756,,12.3,,,,0.0,
1601607600,"Пятница, 2 октября
03:00 (UTC)",,7.0,,,,,,,,,86.4,,,11.5,восточный,,,4,,,0,,,,,0,True,,,4,756,,11.8,,,,0.0,
1601618400,"Пятница, 2 октября
06:00 (UTC)",,7.0,,,,,,,,,85.2,,,11.2,восточный,,,4,,,0,,,,,,True,,,4,756,,12.0,,,,7.0,
1601629200,"Пятница, 2 октября
09:00 (UTC)",,9.0,,,,,,,,,76.4,,,,восточный,,,5,,,,,,,,,,,,10,757,,14.6,,,,7.0,
1601640000,"Пятница, 2 октября
12:00 (UTC)",,10.0,,,,,,,,,69.6,,,,восточный,,,4,,,,,,,,,,,,10,756,,17.3,,,,5.0,
1601650800,"Пятница, 2 октября
15:00 (UTC)",,8.0,,,,,,,,,75.6,,,,восточный,,,3,,,0,,,,,,,,,10,757,,15.8,,,,7.0,
1601661600,"Пятница, 2 октября
18:00 (UTC)",,8.0,,,,,,,,,81.1,,,,восточный,,17.7,4,,,0,,,,,,,,,10,758,,14.5,,,,10.0,
1601672400,"Пятница, 2 октября
21:00 (UTC)",,7.0,,,,,,,,,91.8,,,,восточный,,,4,,,,,,,,,True,,,4,757,,12.9,,,,7.0,
1601683200,"Суббота, 3 октября
00:00 (UTC)",,8.0,,,,,,,,,91.2,,,,восточный,,,4,,,,,,,,,True,,,4,757,,12.9,,,,10.0,
1601694000,"Суббота, 3 октября
03:00 (UTC)",,7.0,,,,,,,,,91.2,,,12.6,восточный,,,4,,,2.0,,,,,2.0,True,,,4,756,,13.6,,,,10.0,
1601704800,"Суббота, 3 октября
06:00 (UTC)",,8.0,,,,,,,,,91.3,,,12.6,восточный,,,4,,,2.0,,,,,,True,,,4,756,,13.7,,,,6.0,
1601715600,"Суббота, 3 октября
09:00 (UTC)",,9.0,,,,True,,,,,90.1,,,,восточный,,,5,,,,,,,,,,,,4,755,,14.5,,,,10.0,
1601726400,"Суббота, 3 октября
12:00 (UTC)",,11.0,,,,,,,,,80.4,,,,восточный,,,6,,,,,,,,,,,,10,753,,17.2,,,,10.0,
1601737200,"Суббота, 3 октября
15:00 (UTC)",,13.0,,,,,,,,,77.9,,,,восточный,,,5,,,0.3,,,,,,,,,10,753,,17.8,,,,7.0,
1601748000,"Суббота, 3 октября
18:00 (UTC)",,9.0,,,,,,,,,80.9,,,,восточный,,18.7,5,,,0.3,,,,,,,,,10,752,,16.6,,,,9.0,
1601758800,"Суббота, 3 октября
21:00 (UTC)",,9.0,,,,,,,,,75.9,,,,восточный,,,5,,,,,,,,,,,,10,751,,17.7,,,,7.0,
1601769600,"Воскресенье, 4 октября
00:00 (UTC)",,9.0,,,,,,,,,77.8,,,,восточный,,,5,,,,,,,,,,,,10,751,,17.0,,,,5.0,
1601780400,"Воскресенье, 4 октября
03:00 (UTC)",,9.0,,,,,,,,,80.4,,,16.2,восточный,,,5,,,0.0,,,,,0.3,,,,10,750,,17.0,,,,10.0,
1601791200,"Воскресенье, 4 октября
06:00 (UTC)",,10.0,,,,,,,,,77.4,,,16.2,восточный,,,6,,,0.0,,,,,,,,,10,749,,17.6,,,,7.0,
1601802000,"Воскресенье, 4 октября
09:00 (UTC)",,11.0,,,,,,,,,70.0,,,,восточный,,,5,,,,,,,,,,,,10,749,,19.4,,,,9.0,
1601812800,"Воскресенье, 4 октября
12:00 (UTC)",,13.0,,,,,,,,,57.3,,,,восточный,,,6,,,,,,,,,,,,10,748,,23.3,,,,2.0,
1601823600,"Воскресенье, 4 октября
15:00 (UTC)",True,13.0,,,,,,,,,71.1,,,,южный,,,8,,,0.0,,,,,,,,,10,749,,20.2,,,,7.0,
1601834400,"Воскресенье, 4 октября
18:00 (UTC)",,10.0,,,,,,,,,90.2,,,,южный,,24.0,7,,,5.0,,,,,,True,,,4,752,,16.1,,,,7.0,
1601845200,"Воскресенье, 4 октября
21:00 (UTC)",,10.0,,,,,,,,,94.8,,,,восточный,,,2,,,,,,,,,True,,,4,756,,11.7,,,,2.0,
1601856000,"Понедельник, 5 октября
00:00 (UTC)",,4.0,,,,,,,,,96.7,,,,восточный,,,2,,,,,,,,,True,,,4,757,,10.6,,,,0.0,
1601866800,"Понедельник, 5 октября
03:00 (UTC)",,4.0,,,,,,,,,98.0,,,10.1,восточный,,,2,,,5.0,,,,,5.0,True,,,4,758,,10.2,,,,0.0,
1601877600,"Понедельник, 5 октября
06:00 (UTC)",,5.0,,,,,,,,,98.0,,,9.8,восточный,,,3,,,0.0,,True,,,,,,,1,758,,10.5,,,,2.0,
1601888400,"Понедельник, 5 октября
09:00 (UTC)",,7.0,,,,,,,,,78.4,,,,восточный,,,4,,,,,,True,,,,,,10,756,,17.3,,,,6.0,
1601899200,"Понедельник, 5 октября
12:00 (UTC)",,8.0,,,,,,,,,64.4,,,,восточный,,,4,,,,,,True,,,,,,10,756,,19.7,,,,7.0,
1601910000,"Понедельник, 5 октября
15:00 (UTC)",,8.0,,,,,,,,,75.5,,,,восточный,,,3,,,0.0,,,,,,,,,10,754,,18.0,,,,9.0,
1601920800,"Понедельник, 5 октября
18:00 (UTC)",True,6.0,,,,,,,,,90.8,,,,восточный,,20.7,3,,,0.3,,,,,,,,,4,753,,16.3,,,,9.0,
1601931600,"Понедельник, 5 октября
21:00 (UTC)",True,11.0,,,,,,,,,93.7,,,,восточный,,,4,,,,,,,,,,,,4,749,,14.0,,,,10.0,
1601942400,"Вторник, 6 октября
00:00 (UTC)",,10.0,,,,,,,,,98.1,,,,южный,,,6,,,,,,,,,,,,4,750,True,13.7,,,,10.0,
1601953200,"Вторник, 6 октября
03:00 (UTC)",,10.0,,,,,,,,,93.1,,,13.3,южный,,,5,,,24.0,,,,,24.0,True,,,4,752,,13.5,,,,10.0,
1601964000,"Вторник, 6 октября
06:00 (UTC)",,9.0,,,,,,,,,89.9,,,11.4,южный,,,5,,,23.0,,,,,,True,,,4,753,,11.4,,,,6.0,
1601974800,"Вторник, 6 октября
09:00 (UTC)",,10.0,,,,,,,,,78.4,,,,южный,,,5,,,,,,,,,,,,10,754,,14.3,,,,4.0,
1601985600,"Вторник, 6 октября
12:00 (UTC)",,11.0,,,,,,,,,59.8,,,,южный,,,6,,,,,,,,,,,,10,754,,17.4,,,,4.0,
1601996400,"Вторник, 6 октября
15:00 (UTC)",,11.0,,,,,,,,,67.9,,,,южный,,,4,,,0.0,,,,,,,,,10,754,,15.3,,,,9.0,
1602007200,"Вторник, 6 октября
18:00 (UTC)",,5.0,,,,,,,,,85.3,,,,восточный,,17.6,2,,,0.0,,,,,,True,,,4,754,,12.1,,,,9.0,
1602018000,"Вторник, 6 октября
21:00 (UTC)",,4.0,,,,,,,,,85.3,,,,юго-восточный,,,3,,,,,,,,,True,,,4,754,,12.8,,,,9.0,
1602028800,"Среда, 7 октября
00:00 (UTC)",,5.0,,,,,,,,,87.0,,,,восточный,,,2,,,,,,,,,True,,,4,754,,12.0,,,,9.0,
1602039600,"Среда, 7 октября
03:00 (UTC)",,4.0,,,,,,,,,91.0,,,10.3,восточный,,,2,,,0.0,,,,,0.0,True,,,4,754,,10.6,,,,10.0,
1602050400,"Среда, 7 октября
06:00 (UTC)",,4.0,,,,,,,,,88.7,,,10.3,юго-восточный,,,3,,,0.0,,,,,,True,,,4,754,,11.6,,,,9.0,
1602061200,"Среда, 7 октября
09:00 (UTC)",,6.0,,,,,,,,,75.0,,,,юго-восточный,,,3,,,,,,,,,,,,10,755,,15.3,,,,6.0,
1602072000,"Среда, 7 октября
12:00 (UTC)",,7.0,,,,,,,,,72.4,,,,юго-восточный,,,3,,,,,,,,,,,,10,755,,17.0,,,,7.0,
1602082800,"Среда, 7 октября
15:00 (UTC)",,5.0,,,,,,,,,78.1,,,,южный,,,2,,,0.0,,,,,,,,,10,756,,15.4,,,,7.0,
1602093600,"Среда, 7 октября
18:00 (UTC)",,4.0,,,,,,,,,89.3,,,,южный,,17.5,2,,,0.0,,,,,,True,,,4,757,,11.8,,,,7.0,
1602104400,"Среда, 7 октября
21:00 (UTC)",,3.0,,,,,,,,,96.7,,,,юго-восточный,,,1,,,,,,,,,True,,,4,758,,9.5,,,,7.0,
1602115200,"Четверг, 8 октября
00:00 (UTC)",,3.0,,,,,,,,,94.7,,,,юго-восточный,,,1,,,,,,,,,True,,,4,759,,8.1,,,,2.0,
1602126000,"Четверг, 8 октября
03:00 (UTC)",,3.0,,,,,,,,,97.3,,,6.7,юго-восточный,,,1,,,0.0,,,,,0.0,,,,4,760,,7.4,,True,,2.0,
1602136800,"Четверг, 8 октября
06:00 (UTC)",,3.0,,,,,,,,,98.6,,,6.7,юго-восточный,,,1,,,0.0,,,,,,True,,,4,761,,7.2,,,,2.0,
1602147600,"Четверг, 8 октября
09:00 (UTC)",,6.0,,,,,,,,,96.1,,,,юго-западный,,,3,,,,,,,,,True,,,4,762,,10.7,,,,10.0,
1602158400,"Четверг, 8 октября
12:00 (UTC)",,7.0,,,,,,,,,83.6,,,,южный,,,2,,,,,,,,,,,,10,762,,12.8,,,,10.0,
1602169200,"Четверг, 8 октября
15:00 (UTC)",,6.0,,,,,,,,,79.3,,,,юго-восточный,,,3,,,0.0,,,,,,,,,10,762,,12.9,,,,9.0,
1602180000,"Четверг, 8 октября
18:00 (UTC)",,4.0,,,,,,,,,94.7,,,,юго-восточный,,13.2,2,,,0.0,,,,,,True,,,4,761,,9.3,,,,9.0,
1602190800,"Четверг, 8 октября
21:00 (UTC)",,6.0,,,,,,,,,91.6,,,,юго-восточный,,,3,,,,,,,,,True,,,4,761,,9.9,,,,10.0,
1602201600,"Пятница, 9 октября
00:00 (UTC)",,6.0,,,,,,,,,88.1,,,,юго-восточный,,,4,,,,,,,,,True,,,4,760,,11.2,,,,9.0,
1602212400,"Пятница, 9 октября
03:00 (UTC)",,7.0,,,,,,,,,85.8,,,9.3,юго-восточный,,,4,,,0.0,,,,,0.3,,,,20,759,,11.5,,,,,
1602223200,"Пятница, 9 октября
06:00 (UTC)",,7.0,True,,,,,,,,91.1,,,9.5,южный,,,4,,,0.0,,,,,,,,,4,758,,11.1,,,,10.0,
1602234000,"Пятница, 9 октября
09:00 (UTC)",,7.0,,,,,,,,,96.2,,,,южный,,,4,True,,,,,,,,,,,4,759,,13.2,,,,10.0,
1602244800,"Пятница, 9 октября
12:00 (UTC)",,9.0,,,,,True,,,,80.1,,,,западный,,,4,,,,,,,,,,,,10,760,,15.0,,,,7.0,
1602255600,"Пятница, 9 октября
15:00 (UTC)",,9.0,,,,,,,,,70.8,,,,западный,,,3,,,2.0,,,,,,,,,10,762,,13.5,,,,4.0,
1602266400,"Пятница, 9 октября
18:00 (UTC)",,4.0,,,,,,,,,93.4,,,,южный,,16.2,2,,,2.0,,,,,,True,,,4,763,,8.5,,,,0.0,
1602277200,"Пятница, 9 октября
21:00 (UTC)",,2.0,,,,,,,,,97.3,,,,юго-восточный,,,1,,,,,,,,,True,,,4,763,,8.5,,,,2.0,
1602288000,"Суббота, 10 октября
00:00 (UTC)",,2.0,,,,,,,,,96.0,,,,восточный,,,1,,,,,,,,,True,,,4,763,,9.6,,,,7.0,
1602298800,"Суббота, 10 октября
03:00 (UTC)",,3.0,,,,,,,,,96.0,,,7.2,восточный,,,2,,,0.0,,,,,2.0,True,,,4,762,,8.8,,,,2.0,
1602309600,"Суббота, 10 октября
06:00 (UTC)",,4.0,,,,,,,,,96.7,,,7.2,восточный,,,3,,,0.0,,,,,,True,,,4,761,,10.0,,,,10.0,
1602320400,"Суббота, 10 октября
09:00 (UTC)",,7.0,,,,,,,,,94.8,,,,юго-восточный,,,3,True,,,,,,,,,,,4,761,,11.5,,,,10.0,
1602331200,"Суббота, 10 октября
12:00 (UTC)",,7.0,,,,,,,,,75.8,,,,южный,,,5,,,,,,,,,,,,10,760,,16.9,True,,,7.0,
1602342000,"Суббота, 10 октября
15:00 (UTC)",,7.0,,,,,,,,,94.9,,,,юго-западный,,,2,,,2.0,,,,,,,,,4,760,True,14.0,,,,10.0,
1602352800,"Суббота, 10 октября
18:00 (UTC)",,3.0,,,,,,True,,,98.1,,,,юго-западный,,17.2,2,,,13.0,,,,,,,,,4,760,,12.7,,,,10.0,
1602363600,"Суббота, 10 октября
21:00 (UTC)",,4.0,True,,,,,,,,98.0,,,,западный,,,2,,,,,,,,,,,,4,761,,11.3,,,,10.0,
1602374400,"Воскресенье, 11 октября
00:00 (UTC)",,4.0,,,,,,,,,96.7,,,,юго-западный,,,2,,,,,,,,,True,,,4,761,,10.1,,,,9.0,
1602385200,"Воскресенье, 11 октября
03:00 (UTC)",,3.0,,,,,,,,,97.3,,,8.0,юго-западный,,,2,,,13.0,,,,,15.0,True,,,4,761,,8.1,,,,6.0,
1602396000,"Воскресенье, 11 октября
06:00 (UTC)",,4.0,,,,,,,,,97.3,,,6.7,юго-западный,,,3,,,3.0,,,,,,True,,,4,762,,7.0,,,,7.0,
1602406800,"Воскресенье, 11 октября
09:00 (UTC)",,4.0,,,,,,,,,91.0,,,,юго-западный,,,2,,,,,,,,,True,,,4,762,,10.3,,,,9.0,
1602417600,"Воскресенье, 11 октября
12:00 (UTC)",,6.0,,,,,,,,,60.4,,,,юго-западный,,,2,,,,,,,,,,,,10,762,,13.1,,,,4.0,
1602428400,"Воскресенье, 11 октября
15:00 (UTC)",,5.0,,,,,,,,,64.7,,,,западный,,,3,,,0.0,,,,,,,,,10,762,,11.1,,,,2.0,
1602439200,"Воскресенье, 11 октября
18:00 (UTC)",,4.0,,,,,,,,,93.3,,,,,,13.5,0,,,0.0,,,,,,True,,,4,763,,5.8,,,,2.0,
1602450000,"Воскресенье, 11 октября
21:00 (UTC)",,2.0,,,,,,,,,100.0,,,,,,,0,,,,,,,,,True,,,2,763,,3.2,,,,0.0,
1602460800,"Понедельник, 12 октября
00:00 (UTC)",,2.0,,,,,,,,,100.0,,,,восточный,,,1,,,,,,,,,True,,,4,762,,1.8,,,,1.0,
1602471600,"Понедельник, 12 октября
03:00 (UTC)",,2.0,,,,,,,,,100.0,,,1.6,юго-восточный,,,1,,,0.0,,,,,0.0,True,,,4,762,,3.2,,,,2.0,
1602482400,"Понедельник, 12 октября
06:00 (UTC)",,2.0,,,,,,,,,99.3,,,1.6,южный,,,1,,,0.0,,,,,,True,,,4,762,,4.4,,,,9.0,
1602493200,"Понедельник, 12 октября
09:00 (UTC)",,3.0,,,,,,,,,94.7,,,,южный,,,1,,,,,,,,,True,,,4,762,,8.3,,,,10.0,
1602504000,"Понедельник, 12 октября
12:00 (UTC)",,4.0,,,,,,,,,79.4,,,,южный,,,2,,,,,,,,,,,,10,761,,9.8,,,,10.0,
1602514800,"Понедельник, 12 октября
15:00 (UTC)",,3.0,,,,,,,,,86.1,,,,южный,,,2,,,0.0,,,,,,True,,,4,761,,8.8,,,,10.0,
1602525600,"Понедельник, 12 октября
18:00 (UTC)",,3.0,,,,,,,,,95.3,,,,юго-восточный,,10.0,2,,,0.0,,,,,,True,,,4,761,,7.4,,,,10.0,
1602536400,"Понедельник, 12 октября
21:00 (UTC)",,3.0,,,,,,,,,97.3,,,,южный,,,1,,,,,,,,,True,,,4,761,,6.7,,,,10.0,
1602547200,"Вторник, 13 октября
00:00 (UTC)",,2.0,,,,,,,,,98.6,,,,юго-восточный,,,1,,,,,,,,,,,,1,760,,4.7,,,True,2.0,
1602558000,"Вторник, 13 октября
03:00 (UTC)",,1.0,,,,,,,,,100.0,,,2.2,юго-восточный,,,1,,,0.0,,True,,,0.0,,,,1,760,,2.8,,,,2.0,
1602568800,"Вторник, 13 октября
06:00 (UTC)",,1.0,,,,,,,,,100.0,,,1.9,,,,0,,,0.0,,,,,,True,,,4,760,,2.3,,,,10.0,
1602579600,"Вторник, 13 октября
09:00 (UTC)",,1.0,,,,,,,,,98.0,,,,,,,0,,,,,,,,,True,,,4,760,,7.3,,,,10.0,
1602590400,"Вторник, 13 октября
12:00 (UTC)",,5.0,,,,,,,,,81.6,,,,северный,,,3,,,,,,,,,,,,10,760,,10.0,,,,10.0,
1602601200,"Вторник, 13 октября
15:00 (UTC)",,6.0,,,,,,,,,88.0,,,,северный,,,3,,,0.0,,,,,,True,,,4,760,,10.1,,,,10.0,
1602612000,"Вторник, 13 октября
18:00 (UTC)",,9.0,,,,,,,,,81.6,,,,северный,,10.3,5,,,0.0,,,,,,,,,10,759,,10.2,,,,10.0,
1602622800,"Вторник, 13 октября
21:00 (UTC)",,11.0,,,,,,,,,82.1,,,,северный,,,6,,,,,,,,,,,,10,758,,9.8,,,,10.0,
