timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Туман ослабел (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,758,,,0.1,,93.0,,0.0,,северо-восточный,1.0,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,758,,,7.0,,73.0,,,,северо-восточный,0.0,,,5
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,758,,,12.2,,52.2,,,,восточный,0.0,,,4
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,757,,,15.1,,44.8,,,,северо-восточный,0.0,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,757,,,14.9,,45.7,,,,северо-восточный,0.0,,15.9,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,758,,,9.5,,62.1,,,,северный,0.0,,,3
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,759,,,6.3,,72.9,,,,северный,5.0,,,2
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,760,,,4.8,,81.5,,,,западный,7.0,,,1
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,762,,,2.0,,92.4,,1.9,,северо-западный,9.0,,,1
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,763,,,10.5,,60.6,,1.1,,западный,0.0,,,2
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,763,,,16.2,,41.8,,,,северный,0.0,,,2
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,762,,,19.0,,35.0,,,,западный,2.0,,,4
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,763,,,15.6,,51.7,,,,юго-западный,6.0,,19.7,6
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,765,,,10.5,,56.0,,,,западный,0.0,,,1
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,765,,,8.0,,61.3,,,,северо-западный,0.0,,,2
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,765,,,7.0,,61.5,,,,западный,0.0,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,765,,,5.3,,87.5,,4.8,,,7.0,,,0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,766,,,9.3,,65.2,,,,северный,10.0,,,1
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,765,,,13.6,,36.0,,,,северный,10.0,,,1
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,764,,,16.4,,31.2,,,,северный,10.0,,,5
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,764,,,15.2,,30.4,,,,северный,10.0,,17.1,4
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,765,,,9.1,,37.1,,,,северный,9.0,,,3
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,766,,,6.7,,36.1,,,,северо-восточный,1.0,,,4
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,767,,,3.2,,48.2,,,,северо-восточный,0.0,,,2
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,768,,,1.6,,54.0,,1.4,,северный,0.0,,,4
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,12.0,,,,,,,,,,,10,770,,,7.2,,35.7,,,,северо-восточный,0.0,,,8
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,10,770,,,11.2,,24.2,,,,северо-восточный,0.0,,,7
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,771,,,12.5,,21.7,,,,северный,0.0,,,5
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,771,,,11.4,,22.8,,,,северный,0.0,,13.0,4
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,772,,,6.9,,28.8,,,,северо-восточный,0.0,,,4
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,771,,,5.1,,29.7,,,,северо-восточный,0.0,,,4
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,770,,,2.4,,50.2,,,,северо-восточный,0.0,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,771,,,1.4,,52.7,,1.1,,северный,0.0,,,4
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,771,,,10.5,,25.0,,,,северо-восточный,0.0,,,5
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,771,,,14.4,,22.6,,,,северо-восточный,0.0,,,6
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,10,770,,,14.0,,23.7,,,,северо-восточный,0.0,,,7
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,12.0,,0,,,,,,,,,10,770,,,11.1,,23.7,,,,северо-восточный,0.0,,15.2,7
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,772,,,6.5,,26.5,,,,северо-восточный,0.0,,,6
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,772,,,4.2,,33.9,,,,восточный,0.0,,,5
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,771,,,3.3,,32.1,,,,северо-восточный,0.0,,,6
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,770,,,1.2,,38.5,,1.0,,северо-восточный,0.0,,,4
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,769,,,7.3,,29.4,,0.5,,северо-восточный,0.0,,,6
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,10,768,,,13.1,,19.5,,,,восточный,0.0,,,8
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,,10,765,,,15.4,,16.1,,,,северо-восточный,0.0,,,6
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,764,,,15.2,,17.3,,,,северный,0.0,,16.4,3
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,764,,,9.1,,28.6,,,,северный,0.0,,,3
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,763,,,5.7,,32.8,,,,северо-восточный,0.0,,,3
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,762,,,0.7,,58.1,,,,,0.0,,,0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,762,,,-0.5,,59.1,,-1.2,,,0.0,,,0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,762,,,10.2,,33.4,,,,северный,0.0,,,2
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,761,,,15.1,,25.7,,,,юго-восточный,2.0,,,2
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,760,,,17.7,,22.8,,,,южный,2.0,,,3
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,759,,,18.1,,21.1,,,,северо-восточный,0.0,,19.2,3
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,759,,,11.8,,35.7,,,,северо-восточный,0.0,,,3
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,759,,,8.0,,45.4,,,,северный,0.0,,,2
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,759,,,4.8,,61.4,,,,северо-западный,0.0,,,1
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,758,,,2.5,,78.8,,0.8,,западный,0.0,,,1
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,758,,,12.3,,49.4,,,,,0.0,,,0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,758,,,17.8,,23.4,,,,юго-восточный,0.0,,,2
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,757,,,19.8,,19.0,,,,западный,0.0,,,2
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,756,,,17.7,,27.3,,,,юго-восточный,0.0,,20.4,2
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,757,,,12.9,,49.9,,,,западный,0.0,,,2
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,757,,,8.0,,71.7,,,,юго-западный,0.0,,,2
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,757,,,7.6,,80.7,,,,южный,0.0,,,4
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,757,,,8.9,,79.2,,5.7,,юго-западный,4.0,,,5
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,758,,,11.3,,68.9,,,,юго-западный,9.0,,,6
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,759,,,13.7,,56.4,,,,западный,9.0,,,7
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,759,,,13.8,,45.4,,,True,западный,10.0,,,6
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,12.0,,0.2,,,,,,,,,10,760,,,13.1,,35.8,,,,северо-западный,7.0,,15.3,6
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,762,,,9.5,,43.2,,,,западный,6.0,,,3
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,763,,,6.9,,54.3,,,,западный,4.0,,,2
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,762,,,6.1,,67.3,,,,западный,5.0,,,3
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,0,,,0.2,,,,,,10,763,,,4.8,,73.1,,4.8,,юго-западный,2.0,,,3
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,765,,,8.8,,52.0,,,,северо-западный,6.0,,,4
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,765,,,12.0,,31.7,,,,северо-западный,6.0,,,5
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,765,,,13.5,,25.7,,,,западный,7.0,,,5
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,765,,,11.8,,31.2,,,,северо-западный,2.0,,13.8,4
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,766,,,6.6,,35.5,,,,северо-западный,2.0,,,2
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,767,,,3.9,,49.2,,,,северо-западный,0.0,,,1
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,767,,,-0.2,,72.7,,,,южный,0.0,,,2
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,767,,,-1.9,,85.5,,-2.7,,,0.0,,,0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,766,,,8.1,,60.8,,,,юго-восточный,0.0,,,3
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,765,,,13.3,,32.8,,,,юго-западный,1.0,,,2
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,763,,,16.9,,25.9,,,,южный,2.0,,,5
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,762,,,15.6,,26.5,,,,юго-западный,0.0,,17.5,5
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,763,,,10.1,,33.4,,,,западный,0.0,,,2
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,762,,,3.3,,76.1,,,,северо-восточный,0.0,,,1
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,761,,,0.9,,73.5,,,,юго-восточный,0.0,,,1
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,760,,,-0.6,,77.2,,-1.7,,восточный,0.0,,,3
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,760,,,9.4,,51.1,,,,юго-восточный,10.0,,,3
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,759,,,14.3,,35.6,,,,юго-восточный,10.0,,,3
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,14.0,,,,,,,,,,,10,757,,,21.5,,15.5,,,,южный,4.0,,,9
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,15.0,,0,,,,,,,,,10,757,,,17.7,,27.1,,,,юго-западный,5.0,,21.9,7
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,757,,,12.3,,45.6,,,,юго-западный,10.0,,,3
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,756,,,10.0,,58.3,,,,юго-восточный,10.0,,,1
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,755,,,13.3,,26.8,,,,южный,7.0,,,5
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,754,,,15.2,,21.5,,9.2,,юго-западный,10.0,,,5
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,754,,,18.6,,20.9,,,,южный,10.0,,,7
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,13.0,,,,,,,,,,,10,754,,,18.4,,33.1,,,,западный,10.0,,,8
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,12.0,,,,,,,,True,,,10,756,,,9.3,,91.0,,,,северо-западный,10.0,,,6
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,0.4,,,,,,True,,,4,759,,,6.1,,91.4,,,,северо-западный,10.0,,19.9,5
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,761,,,6.0,,84.6,,,True,западный,10.0,,,2
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,761,,,5.5,,85.1,,,,западный,10.0,,,1
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,761,,,3.8,,95.2,,,,южный,7.0,,,2
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,0.1,,,0.5,,,,,,10,761,,,1.9,,97.9,,1.6,,южный,6.0,,,2
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,762,,,8.2,,68.7,,,,западный,9.0,,,2
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,762,,,10.3,,53.6,,,,западный,10.0,,,7
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,761,,,12.5,,45.7,,,,западный,9.0,,,7
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,761,,,12.4,,44.3,,,,юго-западный,7.0,,13.9,6
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,761,,,8.1,,62.6,,,,юго-западный,0.0,,,6
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,12.0,,,,,,,,,,,10,761,,,8.3,,60.9,,,,юго-западный,0.0,,,5
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,12.0,,,,,,,,,,,10,760,,,8.4,,65.0,,,,юго-западный,0.0,,,8
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,14.0,,0,,,0,,,,,,10,759,,,8.4,,65.4,,7.9,,юго-западный,2.0,,,9
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,18.0,,,,,,,,,,,10,759,,,12.4,,51.2,,,,юго-западный,9.0,,,13
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,17.0,,,,,,,,,,,10,759,,,15.5,,41.6,,,,юго-западный,7.0,,,10
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,15.0,,,,,,,,,,,10,758,,,16.5,,32.8,,,,юго-западный,7.0,,,10
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,15.0,,0,,,,,,,,,10,758,,,13.9,,44.1,,,,юго-западный,10.0,,17.3,7
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,758,,,10.5,,61.0,,,,юго-западный,10.0,,,4
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,758,,,9.4,,64.3,,,,юго-западный,10.0,,,4
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,758,,,8.7,,66.4,,,,западный,7.0,,,3
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,758,,,3.1,,89.9,,3.0,,северный,6.0,,,1
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,759,,,11.9,,67.1,,,,юго-восточный,4.0,,,2
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,758,,,17.6,,39.6,,,,южный,10.0,,,2
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,757,,,21.5,,28.3,,,,западный,10.0,,,4
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,757,,,19.6,,37.2,,,,северо-западный,10.0,,21.8,3
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,759,,,13.6,,54.9,,,,северный,9.0,,,2
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,759,,,11.3,,66.5,,,,юго-западный,10.0,,,1
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,759,,,10.4,,70.6,,,,северо-западный,10.0,,,1
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,759,,,6.9,,85.9,,6.8,,,9.0,,,0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,760,,,12.4,,70.1,,,,южный,6.0,,,1
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,759,,,18.8,,41.1,,,,западный,0.0,,,2
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,758,,,22.1,,31.2,,,,юго-западный,4.0,,,4
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,758,,,19.3,,38.2,,,,северо-западный,7.0,,22.7,4
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,759,,,12.5,,68.7,,,,северо-западный,4.0,,,1
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,757,,,9.4,,85.0,,,,южный,4.0,,,1
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,756,,,7.9,,73.2,,,,западный,5.0,,,1
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,755,,,9.7,,76.7,,7.0,,северный,7.0,,,2
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,755,,,11.6,,78.5,,,,северо-восточный,10.0,,,1
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,754,,,14.4,,59.4,,,,северо-западный,10.0,,,3
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,True,,,10,755,,,11.7,,78.0,,,,северный,10.0,,,3
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,3,,,,,,True,,,4,757,,,7.6,,95.3,,,,северный,10.0,,14.9,5
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,True,,,,,10,758,,,6.7,,95.3,,,,северо-западный,4.0,,,3
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,760,,,4.7,,97.9,,,,западный,5.0,,,2
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,True,,0,760,,,3.4,,100.0,,,,юго-западный,,,,2
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,0.4,,,3,,True,,,,4,760,,,4.6,,100.0,,1.0,,юго-западный,7.0,,,2
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,True,,,,4,761,,,8.4,,91.5,,,,северо-западный,10.0,,,2
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,760,,,12.8,,32.4,,,,северо-западный,6.0,,,4
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,14.0,,,,,,,,,,,10,760,,,13.1,,40.6,,,,северо-западный,7.0,,,6
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,761,,,11.0,,40.8,,,,северо-западный,9.0,,14.4,3
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,761,,,8.2,,48.9,,,,западный,6.0,,,1
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,761,,,6.3,,60.4,,,,западный,10.0,,,2
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,761,,,4.5,,71.5,,,,западный,10.0,,,1
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,761,,,4.8,,75.3,,2.9,,западный,9.0,,,3
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,761,,,11.2,,52.7,,,,западный,2.0,,,2
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,760,,,14.0,,35.0,,,,северо-западный,7.0,,,3
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,760,,,13.8,,36.0,,,,северо-западный,7.0,,,5
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,760,,,13.1,,33.0,,,,западный,4.0,,14.5,6
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,761,,,7.9,,49.2,,,,западный,2.0,,,2
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,761,,,5.7,,68.2,,,,западный,2.0,,,2
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,760,,,2.0,,78.2,,,,юго-западный,5.0,,,1
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,761,,,0.4,,87.7,,-0.2,,южный,2.0,,,1
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,761,,,12.1,,54.5,,,,западный,4.0,,,2
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,761,,,14.1,,34.8,,,,северо-западный,9.0,,,2
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,760,,,15.2,,32.2,,,,юго-восточный,7.0,,,3
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,760,,,16.1,,28.0,,,,западный,7.0,,16.8,1
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,761,,,10.8,,41.4,,,,северо-западный,2.0,,,1
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,761,,,4.7,,68.0,,,,южный,0.0,,,1
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,761,,,2.2,,82.3,,,,юго-восточный,0.0,,,1
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,761,,,2.8,,79.4,,1.7,,южный,0.0,,,2
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,760,,,13.0,,47.5,,,,южный,0.0,,,4
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,759,,,17.6,,26.0,,,,южный,0.0,,,3
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,758,,,18.0,,25.6,,,,северный,6.0,,,3
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,757,,,18.1,,26.4,,,,северный,6.0,,19.5,2
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,757,,,12.9,,41.1,,,,северо-западный,0.0,,,3
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,757,,,9.2,,62.4,,,,северо-западный,0.0,,,2
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,756,,,3.2,,85.5,,,,восточный,0.0,,,1
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,755,,,2.6,,95.1,,1.6,,,0.0,,,0
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,,,,,,,,,,,,10,755,,,14.0,,45.5,,,,северный,0.0,,,3
1587805200,"Суббота, 25 апреля
09:00 (UTC)",,,,,,,,,,,,,,10,753,,,19.0,,27.4,,,,восточный,1.0,,,4
1587816000,"Суббота, 25 апреля
12:00 (UTC)",,,,,,,,,,,,,,10,752,,,20.3,,20.7,,,,юго-восточный,2.0,,,3
1587826800,"Суббота, 25 апреля
15:00 (UTC)",,,,,0,,,,,,,,,10,751,,,20.3,,21.0,,,,северо-восточный,2.0,,21.5,2
1587837600,"Суббота, 25 апреля
18:00 (UTC)",,,,,,,,,,,,,,10,751,,,12.0,,44.6,,,,северный,0.0,,,2
1587848400,"Суббота, 25 апреля
21:00 (UTC)",,,,,,,,,,,,,,10,751,,,9.8,,66.7,,,,западный,0.0,,,4
1587859200,"Воскресенье, 26 апреля
00:00 (UTC)",,,,,,,,,,,,,,10,752,,,9.0,,69.4,,,,юго-западный,0.0,,,3
1587870000,"Воскресенье, 26 апреля
03:00 (UTC)",,,,,0,,,0,,,,,,10,752,,,9.4,,83.8,,8.0,,юго-западный,0.0,,,4
