timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,0,,,0,,,,10,741,,,0.2,,95.0,-1.0,,юго-восточный,0,,,1
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,20,741,,,8.3,,68.3,,,северо-восточный,0,,,2
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,20,741,,,13.1,,46.8,,,северо-восточный,0,,,4
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,20,740,,,15.7,,39.6,,,северо-восточный,0,,,3
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,0,,,,,,,20,740,,,14.8,,39.6,,,северо-восточный,1,,16.1,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,20,742,,,9.9,,59.6,,,восточный,6,,,2
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,20,742,,,7.3,,75.2,,,южный,9,,,1
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,20,743,,,7.8,,73.2,,,южный,9,,,1
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,0,,,0,,,,20,745,,,7.9,,74.2,5.8,,южный,9,,,1
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,20,746,,,10.8,,61.5,,,юго-западный,10,,,1
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,20,746,,,15.4,,37.8,,,северо-западный,2,,,1
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,20,746,,,17.8,,32.5,,,северный,2,,,3
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,0,,,,,,,20,747,,,15.9,,41.1,,,северо-западный,9,,18.1,2
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,20,748,,,13.6,,53.7,,,западный,10,,,1
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,20,748,,,9.0,,67.0,,,,9,,,0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,20,749,,,6.8,,75.6,,,южный,9,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,0,,,0,,,,20,748,,,6.2,,82.8,6.2,,южный,10,,,1
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,20,749,,,9.1,,68.9,6.2,,северо-западный,10,,,1
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,20,749,,,12.5,,39.2,,,северный,10,,,1
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,20,748,,,14.5,,29.5,,,северный,10,,,4
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,0,,,,,,,20,747,,,13.7,,35.0,,,северный,10,,14.9,3
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,20,748,,,9.3,,52.6,,,северо-восточный,10,,,1
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,20,749,,,9.2,,30.2,,,северо-восточный,10,,,3
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,20,750,,,7.2,,34.6,,,северо-восточный,10,,,2
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,0,,,0,,,,20,751,,,2.5,,55.1,2.1,,северо-восточный,9,,,1
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,20,752,,,8.1,,33.0,1.6,,северо-восточный,0,,,5
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,11.0,,,,,,,,20,753,,,10.1,,28.9,,,северо-восточный,0,,,5
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,11.0,,,,,,,,20,753,,,11.3,,22.6,,,северный,0,,,5
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,0,,,,,,,20,754,,,9.8,,20.7,,,северный,0,,11.9,5
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,20,755,,,5.6,,29.6,,,восточный,0,,,1
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,20,755,,,3.6,,34.8,,,восточный,0,,,3
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,20,754,,,3.3,,32.3,,,восточный,0,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,0,,,0,,,,20,754,,,3.4,,29.9,1.8,,восточный,0,,,2
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,20,754,,,10.3,,17.7,,,восточный,0,,,5
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,10.0,,,,,,,,20,754,,,12.7,,20.0,,,северо-восточный,0,,,6
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,17.0,,,,,,,,20,753,,,13.4,,20.8,,,северо-восточный,0,,,6
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,12.0,0,,,,,,,20,753,,,9.8,,23.1,,,северо-восточный,0,,13.9,7
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,13.0,,,,,,,,20,754,,,4.6,,27.4,,,северо-восточный,0,,,3
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,20,754,,,2.1,,34.9,,,северо-восточный,0,,,4
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,20,753,,,0.5,,37.9,,,восточный,0,,,3
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,0,,,0,,,,20,753,,,-1.3,,45.4,-1.4,,северо-восточный,0,,,2
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,20,752,,,7.1,,30.3,-3.1,,северо-восточный,0,,,3
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,20,750,,,13.6,,20.5,,,северо-восточный,0,,,5
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,11.0,,,,,,,,20,748,,,16.1,,16.3,,,северо-восточный,0,,,5
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,0,,,,,,,20,747,,,14.7,,18.1,,,северо-восточный,0,,16.2,4
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,20,747,,,4.6,,43.3,,,,0,,,0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,20,747,,,1.6,,58.3,,,южный,0,,,1
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,20,746,,,3.9,,51.1,,,южный,0,,,3
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,0,,,0,,,,20,745,,,2.9,,55.6,1.4,,южный,0,,,3
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,20,745,,,9.5,,38.9,,,северо-восточный,0,,,1
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,20,744,,,15.5,,17.9,,,северо-восточный,0,,,3
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,20,743,,,17.5,,17.7,,,северо-восточный,0,,,3
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,0,,,,,,,20,743,,,16.4,,20.2,,,северо-восточный,0,,18.1,3
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,20,743,,,6.5,,44.6,,,восточный,0,,,1
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,20,742,,,3.7,,53.4,,,восточный,0,,,1
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,20,742,,,4.7,,53.3,,,юго-восточный,0,,,2
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,0,,,0,,,,20,742,,,3.1,,61.0,1.9,,южный,0,,,2
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,20,742,,,10.6,,41.0,,,западный,0,,,2
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,20,741,,,16.1,,28.9,,,северо-западный,0,,,2
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,20,740,,,18.8,,19.0,,,северный,0,,,2
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,0,,,,,,,20,740,,,17.1,,21.2,,,северный,0,,19.0,3
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,20,741,,,9.1,,43.7,,,юго-западный,0,,,2
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,20,741,,,9.1,,59.4,,,южный,0,,,1
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,20,741,,,6.5,,67.9,,,южный,0,,,1
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,0,,,0,,,,20,741,,,5.6,,68.2,5.3,,юго-восточный,0,,,2
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,20,741,,,13.3,,47.6,4.5,,юго-западный,6,,,3
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,10.0,,,,,,,,20,742,,,14.0,,48.5,,,западный,10,,,4
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,14.0,,,,,,,,20,742,,,14.5,,38.4,,,западный,10,,,6
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,14.0,0,,,,,,,20,744,,,9.0,,67.9,,,западный,9,,14.9,4
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,14.0,,,,,,,,20,745,,,9.1,,62.0,,True,западный,10,,,3
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,20,746,,,8.0,,61.3,,,юго-западный,10,,,2
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,20,746,,,6.7,,66.5,,,южный,10,,,2
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,менее 0.1,,,менее 0.1,,,,20,746,,,5.8,,64.4,,,южный,9,,,2
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,20,748,,,8.5,,56.7,5.7,,западный,2,,,4
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,10.0,,,,,,,,20,749,,,10.8,,33.6,,,западный,7,,,3
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,12.0,,,,,,,,20,748,,,11.5,,29.5,,,западный,6,,,4
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,10.0,0,,,,,,,20,748,,,10.7,,26.1,,,северо-западный,1,,12.1,3
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,20,749,,,2.8,,54.4,,,,0,,,0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,20,750,,,3.4,,54.5,,,юго-восточный,0,,,3
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,20,750,,,1.2,,64.3,,,юго-восточный,0,,,2
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,0,,,0,,,,20,750,,,0.3,,66.0,0.1,,юго-восточный,0,,,3
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,20,750,,,8.7,,34.2,,,восточный,0,,,1
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,20,749,,,13.3,,23.0,,,северо-западный,0,,,1
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,20,747,,,16.0,,18.6,,,северо-западный,0,,,3
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,0,,,,,,,20,746,,,15.0,,20.8,,,северо-западный,0,,16.6,2
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,20,747,,,6.2,,48.7,,,восточный,0,,,1
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,20,746,,,3.6,,67.3,,,юго-восточный,0,,,1
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,20,745,,,2.9,,63.7,,,юго-восточный,0,,,2
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,0,,,0,,,,20,744,,,1.5,,67.3,0.7,,юго-восточный,2,,,2
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,20,743,,,10.1,,39.4,,,южный,7,,,1
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,20,742,,,17.6,,24.7,,,северный,9,,,2
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,20,741,,,19.5,,19.9,,,северо-западный,7,,,2
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,0,,,,,,,20,741,,,20.0,,20.4,,,северо-западный,6,,21.3,1
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,20,742,,,11.6,,22.9,,,северо-западный,6,,,2
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,20,741,,,11.6,,31.4,,,юго-восточный,10,,,2
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,20,740,,,10.2,,39.4,,,юго-восточный,7,,,2
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,0,,,0,,,,20,739,,,10.4,,42.2,8.6,,юго-восточный,9,,,2
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,20,738,,,14.6,,32.3,,,юго-восточный,10,,,2
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,10.0,,,,,,,,20,738,,,18.2,,22.8,,,северо-западный,10,,,5
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,16.0,,,,,,,,20,739,,,17.8,,28.5,,,южный,10,,,5
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,13.0,0,,,,,,True,10,742,,,7.4,,85.9,,,западный,10,,22.4,4
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,True,10,744,,,4.9,,90.6,,,западный,10,,,3
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,True,10,745,,,3.0,,92.5,,,западный,10,,,1
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,True,10,744,,,2.9,,91.8,,,южный,10,,,1
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,3,,,3,,,True,10,745,,,2.8,,90.5,2.6,,юго-восточный,10,,,2
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,20,746,,,4.6,,80.9,2.0,True,южный,10,,,3
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,20,745,,,11.2,,40.0,,,юго-западный,2,,,3
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,20,745,,,12.5,,40.7,,,западный,9,,,4
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,0.3,,,,,,,20,744,,,11.8,,41.7,,,юго-западный,7,,12.7,4
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,10.0,,,,,,,,20,745,,,7.2,,59.8,,,юго-западный,0,,,3
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,20,744,,,5.2,,68.6,,,юго-западный,0,,,1
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,20,744,,,2.0,,84.7,,,юго-восточный,0,,,1
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,0,,,0.3,,,,20,743,,,1.6,,85.3,1.3,,юго-восточный,2,,,2
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,20,743,,,12.6,,42.2,,,юго-западный,9,,,3
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,11.0,,,,,,,,20,742,,,18.0,,26.7,,,западный,7,,,5
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,11.0,,,,,,,,20,741,,,19.0,,24.6,,,западный,7,,,4
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,11.0,0,,,,,,,20,741,,,15.5,,22.7,,,западный,10,,19.2,2
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,20,742,,,10.7,,35.9,,,южный,10,,,1
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,20,742,,,4.5,,61.8,,,юго-восточный,0,,,1
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,20,742,,,6.4,,58.7,,,юго-восточный,7,,,1
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,0,,,0,,,,20,742,,,5.5,,65.3,4.1,,юго-восточный,7,,,2
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,20,743,,,14.3,,29.4,,,юго-восточный,2,,,1
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,20,742,,,18.7,,23.6,,,западный,2,,,1
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,20,741,,,21.8,,19.9,,,северный,7,,,3
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,0,,,,,,,20,742,,,18.2,,32.1,,,северный,9,,22.1,3
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,20,743,,,11.7,,61.7,,,западный,9,,,1
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,20,743,,,7.5,,79.6,,,южный,9,,,1
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,20,742,,,7.7,,77.4,,,юго-восточный,7,,,2
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,0,,,0,,,,20,743,,,5.1,,89.4,4.0,,южный,4,,,1
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,20,743,,,13.4,,54.4,,,северный,7,,,1
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,20,743,,,18.4,,35.6,,,южный,4,,,1
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,20,742,,,22.1,,21.2,,,западный,4,,,3
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,0,,,,,,,20,742,,,18.8,,31.8,,,северо-западный,7,,22.4,4
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,20,743,,,11.7,,47.8,,,юго-восточный,4,,,1
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,20,742,,,10.6,,58.1,,,южный,0,,,2
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,20,740,,,9.1,,60.2,,,юго-восточный,0,,,3
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,0,,,0,,,,20,740,,,5.3,,75.9,5.2,,южный,9,,,1
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,20,739,,,11.9,,49.6,,,юго-восточный,10,,,1
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,20,738,,,16.5,,36.8,,,северный,10,,,2
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,20,738,,,16.5,,40.4,,,северный,10,,,3
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,0.3,,,,,,True,10,739,,,10.2,,83.3,,,северо-западный,10,,17.8,4
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,True,10,741,,,7.1,,94.7,,,северо-западный,10,,,1
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,10,743,,,6.3,,95.9,,True,западный,10,,,2
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,10,744,,,5.1,,96.6,,True,юго-западный,10,,,1
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,6,,,6,,,,10,744,,,4.7,,95.2,4.6,,,9,,,0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,20,744,,,7.3,,85.9,4.6,,северо-западный,9,,,2
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,20,744,,,10.3,,59.7,,,северо-западный,9,,,2
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,20,743,,,11.9,,42.0,,,северо-западный,7,,,3
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,0,,,,,,,20,744,,,10.3,,45.4,,,северо-западный,6,,12.2,3
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,20,745,,,5.5,,70.2,,,западный,2,,,1
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,20,745,,,4.5,,76.3,,,южный,7,,,1
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,20,744,,,3.9,,76.2,,,южный,7,,,1
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,0,,,0,,,,20,744,,,2.4,,87.3,2.3,,южный,10,,,1
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,20,744,,,8.0,,57.4,,,юго-западный,9,,,1
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,20,744,,,11.9,,34.9,,,северо-западный,7,,,2
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,,20,743,,,13.6,,27.3,,,западный,7,,,3
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,0,,,,,,,20,743,,,11.5,,38.6,,,северо-западный,9,,13.7,3
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,20,744,,,7.5,,52.8,,,западный,9,,,1
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,20,745,,,6.9,,53.9,,,юго-западный,9,,,1
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,20,744,,,3.2,,71.8,,,южный,6,,,1
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,0,,,0,,,,20,745,,,2.6,,75.5,2.5,,юго-восточный,1,,,2
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,20,745,,,10.3,,41.5,,,юго-западный,0,,,1
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,20,745,,,13.7,,29.0,,,северо-западный,6,,,1
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,,,,,,,,20,744,,,13.9,,30.2,,,северо-западный,7,,,3
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,0,,,,,,,20,744,,,13.9,,27.8,,,северо-западный,2,,15.3,2
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,20,745,,,6.5,,51.4,,,юго-восточный,0,,,1
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,20,745,,,5.4,,60.6,,,южный,0,,,1
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,20,745,,,2.7,,72.7,,,южный,0,,,1
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,0,,,0,,,,20,745,,,3.3,,68.2,2.5,,юго-восточный,0,,,4
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,20,744,,,11.9,,36.5,,,юго-восточный,0,,,2
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,20,743,,,16.1,,25.2,,,западный,0,,,2
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,20,742,,,17.5,,20.8,,,западный,2,,,1
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,0,,,,,,,20,741,,,16.4,,21.5,,,северный,1,,17.9,3
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,20,741,,,7.6,,49.5,,,восточный,0,,,1
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,20,741,,,8.1,,55.8,,,юго-восточный,0,,,2
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,,,,,,,,,20,740,,,5.6,,71.7,,,юго-восточный,0,,,3
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,,0,,,0,,,,20,739,,,4.4,,72.0,4.0,,юго-восточный,0,,,2
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,,,,,,,,,20,738,,,11.7,,51.7,,,северный,0,,,1
1587805200,"Суббота, 25 апреля
09:00 (UTC)",,,,,,,,,,,20,737,,,18.6,,22.7,,,северо-восточный,0,,,4
1587816000,"Суббота, 25 апреля
12:00 (UTC)",,,,,,,,,,,20,735,,,20.1,,19.3,,,северо-восточный,0,,,3
1587826800,"Суббота, 25 апреля
15:00 (UTC)",,,,0,,,,,,,20,735,,,18.1,,23.4,,,северный,2,,20.2,2
1587837600,"Суббота, 25 апреля
18:00 (UTC)",,,,,,,,,,,20,735,,,10.5,,45.8,,,,7,,,0
1587848400,"Суббота, 25 апреля
21:00 (UTC)",,,,,,,,,,,20,735,,,7.9,,62.1,,,юго-восточный,0,,,1
1587859200,"Воскресенье, 26 апреля
00:00 (UTC)",,,,,,,,,,,20,736,,,6.2,,73.9,,,юго-восточный,0,,,1
1587870000,"Воскресенье, 26 апреля
03:00 (UTC)",,,,0,,,0,,,,20,736,,,5.5,,75.4,3.8,,юго-восточный,0,,,2
1587880800,"Воскресенье, 26 апреля
06:00 (UTC)",,,,,,,,,,,20,736,,,13.2,,57.1,,,юго-западный,0,,,1
1587891600,"Воскресенье, 26 апреля
09:00 (UTC)",,,,,,,,,,,20,736,,,18.1,,34.5,,,северо-западный,7,,,2
1587902400,"Воскресенье, 26 апреля
12:00 (UTC)",,,,,,,,,,,20,735,,,18.9,,33.3,,,западный,9,,,4
1587913200,"Воскресенье, 26 апреля
15:00 (UTC)",,,,0,,,,,,,20,736,,,16.6,,40.1,,,западный,2,,19.6,3
1587924000,"Воскресенье, 26 апреля
18:00 (UTC)",,,,,,,,,,,20,737,,,13.7,,39.9,,,юго-западный,10,,,1
1587934800,"Воскресенье, 26 апреля
21:00 (UTC)",,,,,,,,,,,20,737,,,9.7,,65.7,,,,7,,,0
1587945600,"Понедельник, 27 апреля
00:00 (UTC)",,,,,,,,,,,20,737,,,7.1,,80.6,,,юго-восточный,10,,,1
1587956400,"Понедельник, 27 апреля
03:00 (UTC)",,,,0,,,0,,,,20,738,,,8.2,,72.7,5.9,,южный,9,,,1
1587967200,"Понедельник, 27 апреля
06:00 (UTC)",,,,,,,,,,,20,738,,,13.4,,43.1,,,западный,9,,,4
1587978000,"Понедельник, 27 апреля
09:00 (UTC)",,,13.0,,,,,,,,20,740,,,12.7,,54.6,,,юго-западный,10,,,5
1587988800,"Понедельник, 27 апреля
12:00 (UTC)",,,11.0,,,,,,,,20,739,,,14.9,,34.3,,,юго-западный,9,,,4
1587999600,"Понедельник, 27 апреля
15:00 (UTC)",,,15.0,0,,,,,,,20,740,,,13.9,,39.6,,,юго-западный,7,,16.8,4
1588010400,"Понедельник, 27 апреля
18:00 (UTC)",,,11.0,,,,,,,,20,741,,,10.9,,54.2,,,северо-западный,10,,,3
1588021200,"Понедельник, 27 апреля
21:00 (UTC)",,,,,,,,,,True,10,742,,,6.5,,82.3,,,северный,10,,,1
1588032000,"Вторник, 28 апреля
00:00 (UTC)",,,,,,,,,,True,10,743,,,6.4,,80.5,,,юго-западный,10,,,3
1588042800,"Вторник, 28 апреля
03:00 (UTC)",,,11.0,2,,,2,True,,,20,743,,,5.7,,82.8,5.4,,южный,1,,,2
