timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Мгла,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C","Пыль, песок или брызги, поднятые ветром",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,20.0,,менее 0.1,,,,,,,,,10,769,,,,,6.5,,23.5,,,True,западный,4.0,,9.2,7
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,17.0,,,,,,,,,,,10,771,,,,,4.4,,25.0,,,True,западный,2.0,,,5
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,12.0,,,,,,,,,,,10,772,,,,,2.2,,42.0,,,,западный,0.0,,,4
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,10.0,,,,,,,,,,,10,773,,,,,-0.2,,47.2,,,,западный,0.0,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,0,,менее 0.1,,,,,,,10,774,,,,,-1.6,,58.4,-1.8,,,западный,0.0,,,3
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,775,,,,,4.0,,36.4,,,,западный,0.0,,,5
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,10,775,,,,,6.2,,21.6,,True,,западный,6.0,,,5
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,10,774,,,,,6.3,,19.1,,True,,западный,9.0,,,5
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,13.0,,0,,,,,,,,,10,775,,,,,5.8,,22.2,,,,северо-западный,4.0,,7.4,3
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,10,776,,,,,2.1,,29.5,,,,западный,0.0,,,2
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,777,,,,,-1.4,,43.2,,,,западный,0.0,,,1
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,777,,,,,-2.7,,46.1,,,,западный,0.0,,,2
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,777,,,,,-2.8,,64.3,-3.2,,,западный,0.0,,,1
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,777,,,,,6.2,,26.4,,,,юго-западный,0.0,,,3
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,776,,,,,9.4,,19.7,,,,юго-западный,0.0,,,4
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,,,,10,774,,,,,11.5,,14.2,,,,юго-западный,2.0,,,4
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,10,772,,,,,10.7,,14.4,,,,южный,2.0,,12.0,2
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,772,,,,,4.8,,46.1,,,,южный,0.0,,,4
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,772,,,,,2.0,,67.9,,,,юго-восточный,0.0,,,2
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,771,,,,,-0.9,,82.5,,,,восточный,0.0,,,2
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,0,,0,True,,,,,,4,770,,,,,0.5,,87.1,-1.2,,,северо-восточный,6.0,,,1
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,771,,,,,9.6,,50.0,,,,юго-восточный,7.0,,,5
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,10,770,,,,,11.7,,37.6,,True,,юго-восточный,9.0,,,5
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,10,770,,,,,10.0,,57.1,,True,,юго-восточный,9.0,,,5
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,12.0,,менее 0.1,,,,,,,,,10,769,,,,,8.9,,60.6,,,True,юго-восточный,6.0,,11.9,4
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,769,,,,,6.3,,73.4,,,True,северо-восточный,7.0,,,1
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,5.3,,79.3,,,,северо-восточный,9.0,,,2
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,5.4,,78.1,,,,северо-восточный,9.0,,,2
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,0,,менее 0.1,True,,,,,,4,767,,,,,4.3,,85.0,4.0,,,северо-восточный,7.0,,,1
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,12.5,,27.6,,,,северо-восточный,0.0,,,2
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,14.7,,18.4,,,,восточный,6.0,,,3
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,10,765,,,,,14.3,,22.4,,,,восточный,7.0,,,3
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,10.0,,0,,,,,,,,,10,765,,,,,11.1,,27.4,,,,восточный,0.0,,15.5,4
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,4.9,,46.5,,,,восточный,0.0,,,1
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,True,4,764,,,,,2.1,,72.6,,,,северо-восточный,0.0,,,1
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,2.6,,72.7,,,,северо-восточный,0.0,,,1
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,763,,,,,1.7,,73.1,0.0,,,,0.0,,,0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,10.4,,51.7,,,,северо-западный,0.0,,,2
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,14.0,,26.4,,,,юго-западный,0.0,,,3
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,,True,10,760,,,,,15.6,,20.1,,,,юго-западный,2.0,,,3
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,0,,,,,,True,,,4,760,,,,,14.2,,23.1,,,,южный,2.0,,16.0,2
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,760,,,,,11.1,,59.9,,,,юго-западный,9.0,,,3
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,13.0,,,,,,,,,,,10,762,,,,,5.2,,77.0,,,True,западный,2.0,,,5
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,,,10,762,,,,,4.2,,81.4,,,True,юго-западный,0.0,,,4
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,,,,,,10,763,,,,,3.9,,76.2,3.4,,,юго-западный,0.0,,,4
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,9.2,,45.7,,,,юго-западный,0.0,,,5
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,10,763,,,,,12.5,,27.2,,,,юго-западный,7.0,,,6
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,17.0,,,True,,,,,,,,10,763,,,,,9.8,,38.4,,,,западный,9.0,,,8
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,16.0,,менее 0.1,,,,,,,,,10,765,,,,,7.8,,40.2,,,,западный,6.0,,12.9,5
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,766,,,,,5.9,,47.2,,,,западный,0.0,,,4
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,4.3,,58.6,,,,юго-западный,2.0,,,5
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,767,,,,,2.9,,59.1,,,,юго-западный,4.0,,,4
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,0,,менее 0.1,,,,,,,10,768,,,,,2.3,,58.9,1.8,,,юго-западный,2.0,,,5
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,768,,,,,7.9,,35.9,,,,западный,7.0,,,4
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,10,768,,,,,11.6,,24.5,,True,,западный,7.0,,,7
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,16.0,,,,,,,,,,,10,767,,,,,13.6,,20.1,,True,,западный,7.0,,,6
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,13.0,,0,,,,,,,,,10,767,,,,,13.6,,19.9,,True,,западный,4.0,,14.4,4
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,,,10,768,,,,,7.7,,32.1,,,,юго-западный,0.0,,,1
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,5.5,,47.4,,,,южный,0.0,,,1
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,6.0,,66.3,,,,южный,0.0,,,3
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,768,,,,,4.5,,75.8,3.9,,,южный,0.0,,,2
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,768,,,,,12.1,,43.9,,,,южный,0.0,,,3
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,10,768,,,,,16.7,,17.5,,,,юго-восточный,0.0,,,4
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,10,767,,,,,15.4,,37.6,,,,юго-восточный,2.0,,,5
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,10,767,,,,,11.1,,65.1,,,,юго-восточный,7.0,,16.9,5
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,10,767,,,,,10.1,,74.1,,,,юго-восточный,10.0,,,5
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,10,766,,,,,9.8,,79.4,,,,юго-восточный,10.0,,,4
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,765,,,,,9.8,,79.9,,,,юго-восточный,10.0,,,4
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,764,,,,,9.5,,83.2,9.4,,,юго-восточный,10.0,,,4
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,10.8,,75.3,,,,юго-восточный,10.0,,,5
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,10,762,,,,,14.6,,59.1,,,,юго-восточный,2.0,,,5
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,760,,,,,14.9,,59.6,,,,восточный,7.0,,,5
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,10,759,,,,,10.8,,76.8,,,,юго-восточный,9.0,,16.3,5
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,11.0,,,,,,,,,,,10,760,,,,,10.7,,81.1,,,,юго-восточный,10.0,,,2
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,True,10,760,,,,,9.8,,83.3,,,,западный,10.0,,,2
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,True,,,,,,4,760,,,,,8.5,,86.0,,,,западный,10.0,,,1
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,менее 0.1,,менее 0.1,,True,,,,,10,762,,,,,7.0,,76.2,7.0,,,северо-западный,10.0,,,3
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,7.2,,64.2,6.1,,True,северо-западный,9.0,,,5
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,11.4,,35.8,,,,западный,9.0,,,3
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,10.8,,34.9,,,,юго-западный,9.0,,,4
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,10.0,,менее 0.1,,,,,,,,,10,763,,,,,11.1,,40.6,,,,юго-западный,9.0,,12.0,5
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,11.0,,,,,,,,,,,10,764,,,,,9.7,,49.0,,,,юго-западный,9.0,,,4
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,8.0,,63.0,,,,южный,9.0,,,2
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,7.4,,62.0,,,,южный,2.0,,,4
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,0,,менее 0.1,,,,,,,10,763,,,,,7.3,,62.4,6.4,,,южный,1.0,,,4
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,10,762,,,,,12.4,,40.6,,True,,юго-западный,2.0,,,6
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,16.0,,,,,,,,,,,10,760,,,,,16.9,,29.3,,True,,юго-западный,6.0,,,6
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,10,759,,,,,20.5,,23.2,,True,,юго-западный,9.0,,,7
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,14.0,,0,,,,,,,,,10,760,,,,,19.6,,27.0,,True,,юго-западный,6.0,,21.0,4
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,,,10,761,,,,,11.7,,57.1,,,,южный,2.0,,,4
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,761,,,,,10.4,,61.8,,,,южный,0.0,,,3
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,9.7,,64.4,,,,южный,0.0,,,2
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,762,,,,,8.1,,71.7,8.0,,,южный,9.0,,,2
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,14.9,,43.5,,,,юго-западный,7.0,,,3
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,18.7,,34.9,,,,юго-западный,9.0,,,4
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,20.5,,26.3,,,,юго-западный,9.0,,,3
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,10,763,,,,,18.2,,23.6,,,,западный,9.0,,20.7,3
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,12.2,,35.0,,,,северо-восточный,0.0,,,1
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,8.7,,72.3,,,,,0.0,,,0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,True,,,,,,4,764,,,,,7.9,,87.8,,,,восточный,9.0,,,2
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,0,,0,True,,,,,,2,764,,,,,8.2,,91.5,7.7,,,восточный,9.0,,,1
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,18.2,,39.2,,,,юго-восточный,7.0,,,3
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,21.9,,27.6,,,,юго-восточный,7.0,,,4
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,22.9,,22.4,,,,юго-восточный,9.0,,,4
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,10,763,,,,,19.9,,26.3,,,,юго-восточный,7.0,,23.2,3
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,13.1,,63.3,,,,северо-восточный,6.0,,,1
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,12.8,,61.5,,,,северо-восточный,6.0,,,1
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,764,,,,,10.0,,73.1,,,,северо-западный,9.0,,,2
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,763,,,,,12.2,,45.9,9.5,,,северо-восточный,9.0,,,3
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,17.9,,36.2,,,,северо-восточный,9.0,,,3
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,10,761,,,,,21.7,,23.9,,,,восточный,7.0,,,4
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,10,759,,,,,22.0,,30.8,,,,восточный,7.0,,,5
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,10,758,,,,,18.6,,47.1,,,,восточный,9.0,,23.2,3
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,758,,,,,14.4,,66.3,,,,восточный,9.0,,,1
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,10,758,,,,,11.8,,72.9,,,,северо-западный,9.0,,,4
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,758,,,,,9.5,,79.9,,,,западный,2.0,,,1
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,760,,,,,8.0,,72.2,7.9,,,западный,9.0,,,4
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,10,762,,,,,11.0,,46.6,,,,западный,9.0,,,5
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,10,761,,,,,13.0,,28.8,,,,западный,9.0,,,5
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,10,761,,,,,15.8,,19.7,,,,юго-западный,4.0,,,5
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,10,762,,,,,14.6,,23.4,,,,западный,2.0,,15.9,5
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,763,,,,,10.7,,35.9,,,,юго-западный,1.0,,,2
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,8.5,,45.2,,,,юго-западный,0.0,,,3
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,6.7,,57.1,,,,юго-западный,0.0,,,3
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,0,,0,,,,,,,10,762,,,,,6.4,,58.3,6.3,,,юго-западный,10.0,,,2
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,9.6,,51.1,,,,юго-западный,10.0,,,4
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,10,762,,,,,13.2,,28.4,,,,юго-западный,9.0,,,6
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,10,761,,,,,14.6,,23.0,,,,юго-западный,7.0,,,5
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,10,761,,,,,13.8,,26.1,,,,юго-западный,9.0,,15.0,4
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,11.4,,32.5,,,,юго-западный,7.0,,,3
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,8.7,,48.0,,,,южный,0.0,,,2
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,,,10,762,,,,,6.4,,60.0,,,,южный,0.0,,,2
