timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый,Туман без изменений (небо видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,14.0,,,,,,,,,,57.3,,,4.3,южный,,,5,,,менее 0.1,,,0.5,,,,,50,737,,,5.9,,,10.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,12.0,,,,,,,,,,58.1,,,5.3,юго-западный,,,4,,,менее 0.1,,,,True,,,,4,737,,,5.8,,,9.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,14.0,,,,,True,,,,,58.6,,,,юго-западный,,,6,,,,,,,,,,,20,737,,,5.9,,,9.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,17.0,,,,True,,,,,,81.4,,,,юго-западный,,,4,,,,,,,,,,,20,740,,,4.6,,,7.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,18.0,,,,,,,,,,43.8,,,,западный,,,7,,,3,,,,,,,,20,743,,,6.0,,,9.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,14.0,,,,,,,,,,62.0,,,,западный,,7.7,5,,,3,,,,,,,,20,746,,,3.5,,True,9.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,11.0,,,,,,,,,,67.8,,,,западный,,,4,,,,,,,,,,,20,748,,,1.6,,,0.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,77.2,,,,юго-западный,,,2,,,,,,,,,,,20,750,,,-0.7,,,0.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,79.4,,,-1.7,юго-западный,,,2,,,0,,,3,,,,,20,752,,,-1.6,,,0.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,68.4,,,-2.2,западный,,,3,,,0,,,,,,,,20,755,,,2.0,,,0.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,29.3,,,,западный,,,5,,,,,,,,,,,20,757,,,6.1,,,6.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,22.7,,,,северо-западный,,,3,,,,,,,,,,,20,758,,,8.4,,,6.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,10.0,,,,,,,,,,22.2,,,,северо-западный,,,3,,,0,,,,,,,,20,759,,,7.9,,,6.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,59.5,,,,западный,,9.3,1,,,0,,,,,,,,20,761,,,2.9,,,2.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,53.0,,,,западный,,,2,,,,,,,,,,,20,762,,,0.8,,,0.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,76.0,,,,западный,,,2,,,,,,,,,,,20,764,,,-0.8,,,0.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,88.1,,,-2.1,западный,,,1,,,0,,,0,,,,,20,765,,,-2.0,,,0.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,71.6,,,-2.3,западный,,,3,,,0,,,,,,,,50,767,,,2.2,,,4.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,34.9,,,,северо-западный,,,3,,,,,,,,,,,20,768,,,6.4,,,7.0,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,10.0,,,,,,,,,,28.4,,,,северный,,,5,,,,,,,,,,,50,768,,,7.1,,,2.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,10.0,,,,,,,,,,28.3,,,,северо-западный,,,3,,,0,,,,,,,,20,768,,,7.4,,,0.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,40.6,,,,западный,,8.4,1,,,0,,,,,,,,20,769,,,1.9,,,0.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,78.6,,,,,,,0,,,,,,,,,,,20,770,,,-2.6,,,0.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,87.9,,,,юго-восточный,,,1,,,,,,,,,,,50,770,,,-4.1,,,2.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,70.4,,,-4.6,южный,,,1,,,0,,,0,,,,,20,770,,,-1.1,,,10.0,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,63.4,,,-4.6,,,,0,,,0,,,,,,,,20,770,,,1.8,,,10.0,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,53.2,,,,южный,,,1,,,,,,,,,,,20,770,,,7.4,,True,10.0,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,51.7,,,,северо-западный,,,2,,,,,,,,,,,20,770,,,11.7,,True,10.0,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,48.5,,,,северо-западный,,,2,,,менее 0.1,,,,,,,,20,770,,,11.8,,,5.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,73.7,,,,южный,,12.6,1,,,менее 0.1,,,,,,,,20,770,,,5.1,,,0.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,91.0,,,,южный,,,1,,,,,,,,,,,20,770,,,1.0,,,0.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,93.7,,,,южный,,,1,,,,,,,,,,,20,770,,,0.1,,,0.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,94.3,,,-0.3,южный,,,2,,,0,,,менее 0.1,,,,,20,769,,,0.0,,,0.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,57.4,,,-0.3,южный,,,2,,,0,,,,,,,,20,768,,,7.8,,,2.0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,19.7,,,,юго-западный,,,4,,,,,,,,,,,20,766,,,16.8,,,0.0,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,11.0,,,,,,,,,,17.7,,,,южный,,,3,,,,,,,,,,,20,763,,,20.3,,,0.0,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,10.0,,,,,,,,,,18.7,,,,юго-западный,,,5,,,0,,,,,,,,20,761,,,20.2,,,0.0,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,11.0,,,,,,,,,,27.5,,,,западный,,20.7,4,,,0,,,,,,,,20,759,,,17.1,,,7.0,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,12.0,,,,,,,,,,67.2,,,,северо-западный,,,4,,,,,,,,,,,20,759,,,9.9,,,10.0,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,11.0,,,,,,,,,,79.6,,,,западный,,,5,,,,,,,True,,,,10,760,,,7.5,,,10.0,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,11.0,,,,,,,,,,82.3,,,5.8,северо-западный,,,4,,,0.3,,,0.3,,,,,20,762,,,6.6,,True,10.0,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,11.0,,,,,True,,,,,73.0,,,5.8,северо-западный,,,3,,,0.3,,,,,,,,20,764,,,6.8,,,2.0,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,11.0,,,,,,,,,,52.8,,,,северо-западный,,,4,,,,,,,,,,,20,766,,,10.3,,,2.0,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,10.0,,,,,,,,,,31.3,,,,северо-западный,,,3,,,,,,,,,,,20,765,,,13.1,,,4.0,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,27.8,,,,северо-западный,,,2,,,0,,,,,,,,20,763,,,14.0,,,4.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,28.5,,,,западный,,14.3,2,,,0,,,,,,,,20,762,,,9.6,,,2.0,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,50.8,,,,юго-западный,,,1,,,,,,,,,,,20,761,,,4.3,,,0.0,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,49.5,,,,южный,,,2,,,,,,,,,,,20,758,,,5.0,,,0.0,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,56.6,,,3.4,юго-западный,,,2,,,0,,,0,,,,,20,756,,,4.8,,,7.0,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,52.5,,,3.4,юго-западный,,,3,,,0,,,,,,,,20,754,,,9.0,,,9.0,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,44.2,,,,юго-западный,,,3,,,,,,,,,,,20,753,,,12.0,,,10.0,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,50.6,,,,западный,,,5,,,,,,,True,,,,10,752,,,11.5,,,10.0,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,True,,,,,,,90.2,,,,северо-западный,,,2,,,4,,,,,,,,20,753,,,6.9,,,7.0,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,True,,,,,51.1,,,,северо-западный,,12.4,2,,,4,,,,,,,,20,754,,,6.8,,,6.0,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,66.8,,,,северо-западный,,,3,,,,,,,,,,,20,755,,,3.8,,,2.0,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,81.1,,,,западный,,,3,,,,,,,,,,,20,756,,,1.8,,,0.0,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,87.0,,,-0.5,западный,,,2,,,0,,,4,,,,,20,757,,,-0.5,,,0.0,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,76.2,,,-0.9,северо-западный,,,2,,,0,,,,,,,,20,759,,,3.7,,,0.0,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,44.0,,,,северо-западный,,,3,,,,,,,,,,,20,759,,,8.0,,,4.0,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,32.8,,,,северо-западный,,,3,,,,,,,,,,,20,759,,,9.9,,,7.0,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,13.0,,,,,,,,,,21.3,,,,северо-западный,,,4,,,менее 0.1,,,,,,,,20,758,,,8.5,,,4.0,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,35.5,,,,северный,,10.6,1,,,менее 0.1,,,,,,,,20,759,,,4.8,,,7.0,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,69.0,,,,западный,,,2,,,,,,,,,,,20,759,,,0.0,,,10.0,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,10.0,,,,,,,,,,80.5,,,,северо-западный,,,4,,,,,,,,,,,10,760,,,1.8,,,10.0,True,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,10.0,,,,,,,,,,89.0,,,-0.6,северный,,,4,,,4,,,4,,,,,20,761,,,0.6,,True,10.0,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,True,,,,,75.4,,,-0.6,северо-западный,,,3,,,4,,,,,,,,20,763,,,2.3,,,4.0,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,46.0,,,,северо-западный,,,3,,,,,,,,,,,20,764,,,5.4,,,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,10.0,,,,,,,,,,33.3,,,,северо-западный,,,4,,,,,,,,,,,20,764,,,7.3,,,6.0,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,37.7,,,,северо-западный,,,2,,,0,,,,,,,,20,763,,,7.4,,,9.0,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,66.1,,,,южный,,8.7,1,,,0,,,,,,,,20,763,,,2.7,,,4.0,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,87.6,,,,,,,0,,,,,,,,,,,20,763,,,-0.9,,,4.0,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,86.2,,,,,,,0,,,,,,,,,,,20,762,,,-1.4,,,0.0,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,88.7,,,-2.9,юго-западный,,,1,,,0,,,0,,,,,50,762,,,-2.7,,,7.0,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,76.0,,,-2.9,южный,,,2,,,0,,,,,,,,20,761,,,2.4,,,10.0,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,45.3,,,,южный,,,3,,,,,,,,,,,20,759,,,7.9,,,10.0,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,10.0,,,,,,,True,,,51.5,,,,юго-западный,,,3,,,,,,,,,,,20,757,,,8.1,,,10.0,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,12.0,,,,,,,,,,58.1,,,,южный,,,3,,,0.8,,,,,,,,20,754,,,7.6,,True,10.0,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,11.0,,,,,,,,,,57.3,,,,южный,,8.8,3,,,1,,,,,,,,20,752,,,7.5,,True,10.0,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,42.9,,,,южный,,,3,,,,,,,,,,,20,749,,,8.6,,,10.0,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,42.6,,,,южный,,,2,,,,,,,,,,,20,746,,,8.5,,,10.0,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,43.8,,,6.6,южный,,,3,,,0,,,1,,,,,20,744,,,9.4,,,10.0,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,46.0,,,7.5,южный,,,3,,,0,,,,,,,,20,742,,,10.1,,,10.0,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,12.0,,,,,,,,,,41.4,,,,юго-западный,,,5,,,,,,,,,,,20,741,,,12.8,,,10.0,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,12.0,,,,,,,,,,79.0,,,,западный,,,3,,,,,,,True,,,,10,742,,,7.6,,,10.0,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,13.0,,,,,,,,,,86.2,,,,западный,,,2,,,1,,,,True,,,,10,743,,,4.0,,,10.0,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,True,,,,,91.8,,,,юго-западный,,13.3,1,,,1,,,,,,,,20,744,,,2.5,,,6.0,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,75.9,,,,западный,,,2,,,,,,,,,,,20,745,,,1.9,,,7.0,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,80.7,,,,западный,,,2,,,,,,,,,,,20,746,,,-0.7,,,0.0,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,88.8,,,-2.1,южный,,,1,,,менее 0.1,,,1,,,,,20,746,,,-2.1,,,4.0,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,75.9,,,-2.1,юго-западный,,,3,,,0,,,,,,,,20,745,,,1.7,,,7.0,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,12.0,,,,,,,,,,87.8,,,,юго-западный,,,4,,,,,,,,,,,4,745,,,1.9,True,,10.0,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,11.0,True,,,,,,,,,89.2,,,,западный,,,4,,,,,,,,,,,4,746,,,2.4,,,10.0,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,11.0,,,,,,,,,,91.7,,,,западный,,,2,,True,2,,,,,,,,4,747,,,0.6,,,10.0,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,True,,,,,,,,93.7,,,,юго-западный,,3.8,2,,,3,,,,,,,,20,747,,,0.5,,,7.0,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,True,,,,,91.6,,,,западный,,,3,,,,,,,,,,,20,748,,,0.3,,,6.0,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,93.7,,,,западный,,,3,,,,,,,,,,,4,748,,,0.4,,,10.0,True,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,89.7,,,-0.1,западный,,,3,,,0.3,,,3,,,,,20,747,,,0.4,,,10.0,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,87.1,,,-0.1,юго-западный,,,2,,,0.3,,,,,,,,20,746,,,1.1,,True,10.0,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,95.1,,,,южный,,,2,,,,,,,,,,,2,745,,,0.7,True,,10.0,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,90.6,,,,западный,,,3,True,,,,,,,,,,20,744,,,4.4,,,10.0,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,True,,,,,,,90.6,,,,западный,,,3,,,6,,,,,,,,20,745,,,4.8,,,9.0,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,True,,,,,91.8,,,,западный,,5.6,2,,,8,,,,,,,,20,746,,,3.5,,,4.0,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,True,,,,,95.1,,,,юго-западный,,,2,,,,,,,,,,,20,746,,,2.1,,,2.0,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,93.0,,,,южный,,,1,,,,,True,,,,,,20,745,,,0.1,,,10.0,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,True,,95.1,,,-0.3,южный,,,2,,,4,,,10,,,,,4,740,,,1.8,,,10.0,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,True,,,,,,,,,95.9,,,-0.3,юго-западный,,,2,,,8,,,,,,,,10,735,,,3.9,,,10.0,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,13.0,,,,,,,,,,77.9,,,,западный,,,6,,,,,,,True,,,,10,735,,,7.1,,,10.0,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,17.0,,True,,,,,,,,85.5,,,,северо-западный,,,4,,,,,,,,,,,20,739,,,3.2,,,10.0,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,12.0,,,True,,,,,,,87.4,,,,северо-западный,,,3,,,7,,,,,,,,20,743,,,3.7,,,10.0,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,11.0,,,,,,,,,,84.8,,,,северо-западный,,8.3,3,,,3,,,,,,,,20,746,,,2.9,,True,10.0,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,10.0,,,,,,,,,,80.0,,,,западный,,,4,,,,,,,,,,,20,747,,,2.7,,,6.0,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,82.3,,,,западный,,,4,,,,,,,,,,,20,747,,,2.0,,,6.0,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,87.1,,,0.7,западный,,,2,,,менее 0.1,,,7,,,,,20,747,,,0.8,,,6.0,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,73.0,,,0.7,западный,,,5,,,0,,,,,,,,20,748,,,3.8,,,7.0,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,10.0,,,,,,,,,,61.4,,,,северо-западный,,,3,,,,,True,,,,,,20,748,,,6.9,,,9.0,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,14.0,,,,,True,,,,,59.7,,,,западный,,,4,,,,,,,,,,,20,748,,,6.8,,,7.0,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,11.0,,,,,,,,,,53.9,,,,северо-западный,,,3,,,0,,,,,,,,20,749,,,5.6,,,7.0,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,11.0,,,,,,,,,,76.5,,,,западный,,8.3,2,,,0.3,,True,,,,,,20,750,,,2.5,,,9.0,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,76.7,,,,северо-западный,,,2,,,,,,,,,,,20,751,,,3.3,,,10.0,True,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,77.7,,,,северо-западный,,,3,,,,,,,,,,,4,751,,,2.9,,,10.0,True,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,71.2,,,1.8,западный,,,3,,,0.8,,,0.8,,,,,20,752,,,2.8,,,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,70.2,,,1.8,западный,,,3,,,0.5,,,,,,,,20,753,,,3.3,,True,10.0,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,10.0,,,,,,,,,,58.6,,,,северо-западный,,,4,,,,,,,,,,,20,754,,,6.0,,,10.0,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,57.8,,,,северо-западный,,,2,,,,,,,,,,,20,754,,,6.4,,,10.0,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,10.0,,,,,,,,,,48.6,,,,северо-западный,,,4,,,0,,,,,,,,20,754,,,7.2,,,10.0,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,10.0,,,,,,,,,,53.6,,,,северо-западный,,7.7,3,,,0,,,,,,,,20,754,,,5.9,,,10.0,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,10.0,,,True,,,,,,,88.5,,,,северный,,,3,,,,,,,,,,,20,754,,,2.4,,,10.0,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,True,,,,,87.3,,,,западный,,,3,,,,,,,,,,,20,755,,,2.5,,,9.0,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,84.7,,,1.9,северо-западный,,,2,,,1,,,1,,,,,20,755,,,2.0,,,10.0,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,81.2,,,1.7,северный,,,2,,,1,,,,,,,,20,757,,,3.0,,,10.0,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,64.6,,,,северный,,,4,,,,,,,,,,,20,758,,,4.7,,,10.0,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,True,,,,,59.9,,,,северо-западный,,,3,,,,,,,,,,,20,760,,,6.0,,,9.0,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,78.4,,,,северо-западный,,,2,,,менее 0.1,,,,,,,True,10,760,,,3.7,,,9.0,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,71.9,,,,северо-западный,,6.5,1,,,менее 0.1,,True,,,,,,20,761,,,3.8,,,10.0,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,80.0,,,,,,,0,,,,,,,,,,,20,762,,,2.8,,,10.0,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,70.7,,,,западный,,,1,,,,,,,,,,,20,762,,,3.0,,,10.0,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,84.1,,,1.3,западный,,,1,,,0,,,0,,,,,20,763,,,1.9,,,10.0,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,78.6,,,1.3,северо-западный,,,2,,,0,,,,,,,,20,763,,,4.6,,,10.0,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,60.1,,,,северо-западный,,,1,,,,,,,,,,,20,764,,,7.0,,,10.0,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,48.5,,,,северо-западный,,,2,,,,,,,,,,,20,764,,,9.2,,,10.0,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,53.7,,,,северо-западный,,,2,,,0,,,,,,,,20,763,,,9.2,,,,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,59.8,,,,северо-восточный,,10.1,1,,,0,,,,,,,,20,765,,,7.4,,,9.0,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,73.6,,,,северный,,,1,,,,,,,,,,,20,766,,,4.4,,,4.0,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,92.3,,,,западный,,,1,,,,,,,,,,,20,766,,,0.6,,,7.0,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,,,86.7,,,0.4,западный,,,1,,,0,,,0,,,,,20,766,,,3.4,,,10.0,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,78.2,,,0.4,северо-западный,,,1,,,0,,,,,,,,20,767,,,5.9,,,10.0,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,68.6,,,,северо-западный,,,2,,,,,,,,,,,20,766,,,9.8,,,7.0,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,67.1,,,,северо-западный,,,2,,,,,,,,,,,20,766,,,9.7,,,9.0,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,,,47.0,,,,северо-западный,,,3,,,0,,,,,,,,20,765,,,11.3,,,9.0,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,50.4,,,,северо-западный,,12.2,2,,,0,,,,,,,,20,765,,,8.4,,,0.0,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,59.0,,,,северо-западный,,,1,,,,,,,,,,,20,765,,,5.9,,,0.0,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,62.8,,,,северо-западный,,,2,,,,,,,,,,,20,765,,,5.1,,,7.0,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,73.2,,,2.2,северо-западный,,,1,,,0,,,0,,,,,20,766,,,2.2,,,0.0,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,48.1,,,2.2,северный,,,3,,,0,,,,,,,,20,767,,,7.8,,,4.0,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,35.9,,,,северо-западный,,,2,,,,,,,,,,,20,766,,,10.8,,,2.0,,
