timestamp,date,Ливневой снег умеренный или сильный,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Туман начался (усилился). Небо видно,Туман ослабел (небо видно),Ливневый дождь,Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",В окрестности станции местами туман,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Направление ветра,Туман без изменений (небо видно),Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой дождь со снегом умеренный или сильный,Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,10,746,,,6.9,,60.1,,,,северо-восточный,,0,,,,1.0,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,9,747,,,4.4,,65.0,,,,северо-восточный,,0,,,8.3,2.0,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,9,746,,,0.4,,89.0,,,,юго-западный,,0,,,,3.0,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,9,745,,,-3.1,,100.0,,,,,,0,,,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,8,745,,,-3.0,,100.0,,,,юго-западный,,0,,,,2.0,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,10,744,,,2.4,,71.1,-4.0,,,северный,,0,,,,1.0,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,10,742,,,8.3,,53.1,,,,северо-восточный,,0,,,,3.0,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,10,740,,,10.5,,46.1,,,,северный,,0,,,,6.0,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,10,739,,,10.6,,38.1,,,,северо-восточный,,0,,,,3.0,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,10,738,,,4.3,,59.0,,,,юго-западный,,0,,,11.7,2.0,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,10,737,,,-0.7,,80.1,,,,западный,,0,,,,1.0,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,10,735,,,-1.5,,88.2,,,,юго-западный,,0,,,,2.0,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,10,735,,,2.6,,64.1,,,,западный,,6,,,,2.0,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,10,736,,,9.7,,44.2,-1.6,,,юго-западный,,6,,,,2.0,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,10,736,,,15.0,,32.1,,,,северо-восточный,,5,,,,4.0,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,10,737,,,13.8,,60.9,,,,северо-западный,,7,,,,4.0,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,10,738,,,13.4,,63.9,,,,,,0,,,,0.0,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,10,739,,,7.0,,81.8,,,,юго-западный,,0,,,16.2,3.0,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,10,739,,,5.7,,92.0,,,,западный,,0,,,,2.0,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,10,739,,,3.5,,100.0,,,,южный,,0,,,,1.0,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,10,739,,,3.2,,100.0,,,,западный,,5,,,,2.0,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,10,739,,,7.4,,85.3,2.5,,,,,0,,,,,,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,10,737,,,13.3,,61.2,,,,северо-восточный,,0,,,,4.0,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,10,735,,,16.9,,45.0,,,,северо-восточный,,4,,,,4.0,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,10,735,,,15.7,,45.0,,,,северо-восточный,,0,,,,2.0,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,10,734,,,6.5,,74.0,,,,юго-западный,,0,,,17.2,3.0,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,10,734,,,4.6,,78.0,,,,западный,,0,,,,2.0,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,10,734,,,3.4,,81.9,,,,,,0,,,,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,16.0,,,,,,,10,735,,,9.4,,64.3,,,,западный,,7,,,,9.0,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,17.0,,,,,,,10,739,,,8.0,,49.2,3.0,,,западный,,9,,,,2.0,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,17.0,,,,,,,10,741,,,7.1,,67.0,,,,западный,,9,,,,4.0,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,True,,10,741,,,5.5,,77.0,,,,северо-западный,,10,,,,4.0,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,10,742,,,3.4,,100.0,,,,северо-восточный,,0,,,,3.0,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,9,742,,,2.5,,100.0,,,,западный,,0,,,9.2,1.0,,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,1,742,,,2.2,,100.0,,,,,,0,,,,0.0,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,1,742,,,0.2,,100.0,,,,восточный,,0,,,,2.0,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",True,,,,,,,,,1,742,,,0.2,,100.0,,,,,,10,,,,0.0,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,10,742,,,0.8,,100.0,0.1,,,северный,,10,,True,,3.0,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,10,743,,,1.6,,100.0,,True,,,,10,,,,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,True,,10,745,,,1.8,,100.0,,,,,,10,,,,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,6,746,,,0.6,,100.0,,,,северо-восточный,,0,,,,2.0,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,1,748,,,0.3,,100.0,,,,,,0,,,2.1,0.0,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,1,750,,,0.1,,100.0,,,,,,0,,,,0.0,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,1,750,,,0.0,,100.0,,,,северо-восточный,,0,,,,3.0,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,3,751,,,-0.4,,100.0,,,,,,10,,True,,0.0,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,9,751,,,1.8,,100.0,-0.5,,,,,10,,True,,0.0,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,10,750,,,2.2,,87.2,,True,,северо-восточный,,6,,,,3.0,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,10,750,,,5.4,,72.2,,,,,,6,,,,,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,10,749,,,6.0,,64.0,,,,северный,,0,,,,2.0,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,10,749,,,1.3,,89.1,,,,южный,,0,,,7.1,2.0,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,10,749,,,-0.8,,100.0,,,,западный,,0,,,,2.0,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,5,748,,,-2.0,,100.0,,,,западный,,0,,,,2.0,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,10,749,,,-1.6,,100.0,,,,западный,,7,,,,2.0,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,10,748,,,3.4,,81.9,-2.4,,,,,0,,,,,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,10,746,,,8.9,,55.2,,,,северный,,0,,,,4.0,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,10,745,,,9.4,,47.1,,,,северный,,0,,,,5.0,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,10,745,,,8.4,,45.1,,,,северный,,0,,,,4.0,,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,10,744,,,2.8,,65.1,,,,юго-западный,,0,,,10.1,3.0,,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,10,743,,,-0.7,,88.9,,,,,,0,,,,,,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,10,743,,,-1.2,,94.3,,,,юго-западный,,0,,,,2.0,,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,10,742,,,-2.2,,97.8,,,,юго-западный,,0,,,,2.0,,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,10,742,,,4.8,,69.0,-2.6,,,,,0,,,,,,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,10,741,,,10.7,,42.0,,,,северо-восточный,,0,,,,3.0,,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,10,740,,,11.3,,39.1,,,,северо-восточный,,0,,,,5.0,,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,10,739,,,10.3,,43.1,,,,северный,,0,,,,4.0,,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,10,739,,,2.6,,72.2,,,,южный,,0,,,11.9,3.0,,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,10,738,,,0.5,,83.3,,,,западный,,0,,,,2.0,,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,10,736,,,-0.8,,90.2,,,,западный,,0,,,,2.0,,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,10,735,,,-1.7,,100.0,,,,западный,,5,,,,1.0,,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,10,735,,,6.2,,68.3,-1.7,,,северо-западный,,9,,,,1.0,,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,10,734,,,13.0,,42.0,,,,,,10,,,,,,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,10,734,,,15.0,,40.0,,,,северо-восточный,,10,,,,2.0,,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,10,734,,,11.9,,56.0,,,,восточный,,0,,,,2.0,,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,10,734,,,9.1,,67.0,,,,юго-западный,,0,,,15.4,2.0,,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,10,735,,,8.0,,76.9,,,,юго-западный,,0,,,,3.0,,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,10,736,,,6.4,,100.0,,,,восточный,,0,,,,1.0,,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,10,737,,,5.2,,100.0,,,,юго-западный,,7,,,,2.0,,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,10,738,,,10.2,,82.2,4.8,,,западный,,7,,,,2.0,,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,10,739,,,12.2,,60.1,,,,западный,,9,,,,3.0,,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,10,739,,,13.6,,52.2,,,,северный,,7,,,,2.0,,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,10,738,,,13.2,,48.9,,,,северо-восточный,,0,,,,3.0,,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,10,739,,,7.5,,70.1,,,,юго-западный,,0,,,14.3,2.0,,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,10,739,,,3.1,,89.9,,,,юго-западный,,0,,,,1.0,,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,10,738,,,1.6,,100.0,,,,западный,,0,,,,1.0,,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,10,739,,,2.0,,100.0,,,,западный,,2,,,,2.0,,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,10,738,,,11.0,,62.0,0.4,,,южный,,7,,,,2.0,,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,10,737,,,18.0,,33.0,,,,,,6,,,,,,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,21.0,,,,,,,10,739,,,10.4,,71.1,,,,западный,,7,,,,13.0,,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,23.0,,,,,True,,8,742,,,5.8,,99.3,,,,западный,,10,,,,4.0,,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,14.0,,,,,,,10,744,,,3.9,,93.8,,,,южный,,0,,,19.4,5.0,,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,14.0,,,,,,,10,745,,,2.9,,100.0,,,,юго-западный,,0,,,,2.0,,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,10,745,,,2.5,,100.0,,,,юго-западный,,0,,,,2.0,,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,10,745,,,3.3,,97.9,,,,юго-западный,,5,,,,3.0,,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,10,746,,,8.4,,70.3,2.2,,,южный,,0,,,,4.0,,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,10,745,,,12.8,,37.1,,,,юго-восточный,,1,,,,3.0,,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,10,744,,,14.7,,27.0,,,,юго-западный,,1,,,,3.0,,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,10,743,,,14.4,,29.0,,,,,,0,,,,,,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,10,743,,,6.3,,60.0,,,,западный,,0,,,15.6,2.0,,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,10,743,,,4.5,,69.0,,,,западный,,0,,,,3.0,,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,10,743,,,2.9,,77.2,,,,западный,,0,,,,2.0,,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,10,743,,,3.1,,73.9,,,,западный,,0,,,,2.0,,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,10,743,,,10.9,,45.2,2.2,,,юго-западный,,0,,,,3.0,,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,10,742,,,15.9,,32.2,,,,,,2,,,,,,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,10,741,,,16.8,,32.2,,,,северо-восточный,,2,,,,4.0,,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,10,741,,,15.5,,31.1,,,,северо-восточный,,0,,,,4.0,,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,10,741,,,8.0,,52.2,,,,,,0,,,17.6,,,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,10,741,,,3.5,,74.0,,,,западный,,0,,,,1.0,,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,10,741,,,0.7,,89.0,,,,западный,,0,,,,2.0,,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,10,742,,,-0.3,,100.0,,,,юго-западный,,0,,,,1.0,,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,10,742,,,9.5,,57.0,-0.6,,,,,0,,,,,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,10,740,,,16.5,,33.0,,,,северный,,0,,,,5.0,,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,10.0,,,,,,,10,740,,,18.3,,29.1,,,,северо-восточный,,0,,,,6.0,,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,10.0,,,,,,,10,740,,,17.0,,27.1,,,,северо-восточный,,0,,,,4.0,,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,10,740,,,8.7,,53.2,,,,юго-западный,,0,,,18.4,2.0,,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,10,740,,,3.7,,75.1,,,,западный,,0,,,,1.0,,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,10,740,,,1.5,,89.1,,,,западный,,0,,,,2.0,,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,10,741,,,1.4,,89.1,,,,юго-западный,,0,,,,2.0,,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,10,741,,,11.3,,50.2,0.3,,,,,0,,,,,,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,10,740,,,18.5,,27.1,,,,северо-восточный,,0,,,,3.0,,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,10,740,,,20.6,,21.1,,,,северо-восточный,,0,,,,5.0,,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,10,740,,,19.2,,23.0,,,,северо-восточный,,0,,,,3.0,,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,10,741,,,11.2,,44.0,,,,юго-западный,,0,,,21.0,3.0,,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,10,742,,,7.2,,60.2,,,,западный,,0,,,,3.0,,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,10,742,,,4.6,,70.0,,,,западный,,0,,,,2.0,,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,10,743,,,3.8,,77.9,,,,западный,,2,,,,2.0,,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,10,744,,,14.2,,41.2,3.2,,,южный,,2,,,,2.0,,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,10,743,,,19.4,,26.0,,,,северо-восточный,,0,,,,4.0,,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,9,743,,,20.9,,20.1,,,,,,0,,,,,,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,10,743,,,19.7,,20.1,,,,северный,,0,,,,3.0,,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,10,743,,,10.8,,42.0,,,,юго-западный,,0,,,21.4,3.0,,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,10,743,,,6.9,,56.3,,,,западный,,0,,,,3.0,,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,10,743,,,3.8,,70.3,,,,западный,,0,,,,3.0,,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,10,744,,,3.1,,72.3,,,,западный,,0,,,,2.0,,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,10,743,,,12.7,,42.2,2.7,,,западный,,0,,,,2.0,,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,9,741,,,20.7,,23.1,,,,северный,,0,,,,3.0,,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,10,740,,,22.7,,17.1,,,,северо-восточный,,0,,,,4.0,,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,10,739,,,21.7,,18.1,,,,северо-восточный,,0,,,,5.0,,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,10,740,,,13.3,,33.1,,,,,,0,,,23.5,0.0,,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,10,739,,,6.5,,62.2,,,,западный,,0,,,,2.0,,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,10,739,,,5.4,,65.2,,,,юго-западный,,0,,,,1.0,,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,10,739,,,4.6,,72.1,,,,,,6,,,,,,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,10,738,,,18.2,,28.0,2.5,,,южный,,2,,,,3.0,,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,10,737,,,27.0,,13.0,,,,,,6,,,,,,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,10,737,,,27.2,,14.0,,,,северо-восточный,,9,,,,4.0,,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,10,736,,,25.4,,16.0,,,,северо-восточный,,0,,,,4.0,,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,10,737,,,15.5,,34.0,,,,юго-западный,,0,,,28.5,2.0,,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,10,737,,,11.1,,46.9,,,,западный,,0,,,,3.0,,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,10,737,,,11.7,,43.2,,,,западный,,0,,,,2.0,,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,10,737,,,12.1,,38.0,,,,,,7,,,,,,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,11.0,,,,,,,10,737,,,24.0,,18.1,9.4,,,южный,,7,,,,7.0,,,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,12.0,,,,,,,10,736,,,28.5,,13.1,,,,юго-западный,,7,,,,5.0,,,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,15.0,,,,,,,10,735,,,29.5,,10.0,,,,западный,,5,,,,8.0,,,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,15.0,,,,,,,10,735,,,27.3,,13.0,,,,юго-западный,,0,,,,4.0,,,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,,,,,,10,736,,,20.6,,20.1,,,,западный,,0,,,30.7,2.0,,,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,10,735,,,20.3,,22.0,,,,юго-западный,,0,,,,2.0,,,
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,10,735,,,20.5,,20.0,,,,,,0,,,,0.0,,,
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,10,736,,,20.2,,20.1,,,,южный,,6,,,,1.0,,,
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,11.0,,,,,,,10,736,,,26.2,,16.0,17.6,,,южный,,7,,,,6.0,,,
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,12.0,,,,,,,10,734,,,30.1,,12.0,,,,южный,,9,,,,6.0,,,
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,10.0,,,,,,,10,733,,,30.7,,10.1,,,,юго-западный,,9,,,,3.0,,,
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,10.0,,,,,,,10,731,,,29.7,,13.0,,,,юго-восточный,,0,,,,3.0,,,
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,,,,,,10,732,,,23.5,,19.1,,,,западный,,0,,,31.8,2.0,,,
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,10,732,,,14.4,,38.1,,,,западный,,0,,,,3.0,,,
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,10,732,,,14.6,,34.2,,,,северо-восточный,,0,,,,3.0,,,
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,14.0,,,,,,,10,732,,,20.7,,15.1,,,,южный,,7,,,,4.0,,,
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,14.0,,,,,,,10,733,,,27.8,,11.0,11.8,,,юго-западный,,9,,,,6.0,,,
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,15.0,,,,,,,10,735,,,22.2,,28.1,,,,западный,,9,,,,7.0,,,
1587805200,"Суббота, 25 апреля
09:00 (UTC)",,,14.0,,,,,,,10,736,,,19.9,,44.9,,,,северо-западный,,9,,,,6.0,,,
