timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Мгла,Дождь (незамерзающий) умеренный с перерывами,"Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Снег слабый непрерывный,Град,"Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,755,,,-2.7,55.4,,,-4.1,,,,1.0,,,0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,756,,,7.4,27.6,,,,,,северо-восточный,7.0,,,3
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,10.0,17.6,,,,,,восточный,9.0,,,3
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,,,20.0,,754,,,9.6,21.8,,,,,,восточный,10.0,,,5
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,11.0,True,0.4,,,,,,,,,10.0,,753,,,4.9,69.0,,,,,,северо-восточный,10.0,,10.7,3
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,True,,,,,,,,,,10.0,,752,,,4.2,78.0,,,,,,северо-восточный,10.0,,,5
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,10.0,True,,,,,,,,,,10.0,,750,,,4.0,83.1,,,,,,северо-восточный,10.0,,,6
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,True,,,,,,,,,,10.0,,748,,,3.4,92.5,,,,,,северный,10.0,,,5
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,11,0.0,,,12,,,,,10.0,,748,,,3.3,90.5,,,3.2,True,,северный,10.0,,,6
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,10.0,,749,,,4.3,93.2,,,,,,северо-восточный,10.0,,,4
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,6.1,87.0,,,,True,,северный,10.0,,,3
1586001600,"Суббота, 4 апреля
12:00 (UTC)",True,,,,,,,,,,,,,,20.0,,750,,,5.8,89.4,,,,,,северный,10.0,,,4
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,20.0,,751,,,6.0,84.6,,,,,,северный,9.0,,6.5,3
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,1.6,93.1,,,,,,западный,0.0,,,3
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,1.1,93.0,,,,,,юго-западный,0.0,,,3
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,0.1,94.3,,,,,,юго-западный,0.0,,,1
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,0,0.0,,,менее 0.1,,,,,20.0,,752,,,0.7,91.7,,,-1.0,,,юго-восточный,0.0,,,1
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,10.0,,752,,,9.4,59.4,,,,,,юго-западный,0.0,,,3
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,751,,,15.0,29.4,,,,,,юго-западный,7.0,,,8
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,749,,,15.0,30.1,,,,,,юго-западный,9.0,,,8
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,14.0,,0,,,,,,,,,20.0,,749,,,9.4,61.2,,,,,,западный,10.0,,16.1,2
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,5.9,75.5,,,,,,западный,7.0,,,3
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,3.3,86.7,,,,,,западный,10.0,,,3
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,2.5,90.5,,,,,,западный,10.0,,,3
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,0,0.0,,,0,,,,,10.0,,749,,,-0.1,94.3,,,-0.8,,,западный,2.0,,,1
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,6.5,52.6,,,,,,северо-западный,7.0,,,3
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,7.5,33.6,,,,,,северный,10.0,,,5
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,747,,,7.2,26.5,,,,,,северный,9.0,,,6
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,12.0,,0,,,,,,,,,20.0,,748,,,4.5,27.9,,,,,,северный,2.0,,8.3,5
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-0.3,57.4,,,,,,северо-западный,0.0,,,3
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-1.9,62.0,,,,,,северо-западный,0.0,,,3
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,-2.3,55.9,,,,,,северо-западный,0.0,,,5
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,10.0,,0,0.0,,,0,,,,,20.0,,749,,,-1.8,57.0,,,-2.4,,,северо-западный,6.0,,,5
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,751,,,4.6,27.4,,,,,,северный,9.0,,,9
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,752,,,5.9,21.8,,,,,,северный,2.0,,,11
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,754,,,6.2,16.2,,,,,,северо-западный,2.0,,,9
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,16.0,,0,,,,,,,,,20.0,,755,,,3.7,19.7,,,,,,северо-западный,2.0,,6.7,6
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,756,,,1.4,32.3,,,,,,северо-западный,1.0,,,6
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,755,,,-2.8,51.9,,,,,,западный,1.0,,,5
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,-4.6,61.4,,,,,,западный,1.0,,,4
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,0,0.0,,,0,,,,,20.0,,755,,,-3.0,59.9,,,-4.7,,,западный,2.0,,,5
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,754,,,3.4,32.6,,,,,,западный,7.0,,,6
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,753,,,5.5,20.2,,,,,,северо-западный,7.0,,,6
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,752,,,6.6,27.2,,,,,,западный,9.0,,,8
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,20.0,,752,,,4.7,41.4,,,,,,западный,9.0,,6.7,2
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,0.7,60.3,,,,,,южный,7.0,,,3
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,3.4,59.2,,,,,,юго-западный,7.0,,,3
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,2.9,65.1,,,,,,южный,7.0,,,4
1586401200,"Четверг, 9 апреля
03:00 (UTC)",True,,,,,менее 0.1,0.0,,,менее 0.1,,,,,20.0,,753,,,4.9,55.8,,,-0.2,,,южный,9.0,,,4
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,754,,,9.7,34.5,,,,True,,юго-западный,9.0,,,7
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,17.0,,,,,,,,,,,10.0,,754,,,15.8,26.3,,,,,,западный,2.0,,,11
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,755,,,16.2,22.2,,,,,,западный,5.0,,,8
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,15.0,,0,,,,,,,,,10.0,,756,,,10.7,35.9,,,,,,юго-западный,2.0,,16.8,3
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,11.0,,,,,,,,,,,10.0,,757,,,6.7,36.3,,,,,,южный,6.0,,,6
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,757,,,4.9,37.5,,,,,,юго-западный,7.0,,,6
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,758,,,2.3,47.6,,,,,,юго-западный,0.0,,,5
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,0,0.0,,,0,,,,,20.0,,758,,,2.2,56.3,,,-0.3,,,южный,0.0,,,4
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,758,,,9.9,33.8,,,,,,юго-западный,0.0,,,6
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,757,,,13.5,20.4,,,,,,юго-западный,6.0,,,5
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,756,,,14.9,16.0,,,,,,юго-западный,7.0,,,6
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,,,20.0,,756,,,11.0,24.6,,,,,,южный,7.0,,14.9,3
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,756,,,4.9,42.8,,,,,,южный,2.0,,,3
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,3.8,48.4,,,,,,южный,2.0,,,3
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,755,,,1.5,61.5,,,,,,восточный,2.0,,,3
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,754,,,3.6,62.0,,,1.0,,,восточный,2.0,,,3
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,754,,,12.1,33.7,,,,,,южный,4.0,,,3
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,752,,,14.1,33.3,,,,,,восточный,9.0,,,6
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,750,,,13.4,38.4,,,,True,,юго-восточный,7.0,,,4
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,12.0,,менее 0.1,,,,,,,,,20.0,,749,,,11.5,43.1,,,,,,юго-восточный,6.0,,14.6,3
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,7.4,61.6,,,,,,восточный,7.0,,,5
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,4.7,71.0,,,,,,восточный,6.0,,,3
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,747,,,3.7,69.8,,,,,,восточный,6.0,,,4
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,0,,,,менее 0.1,,,,,20.0,,746,,,4.4,65.0,,,2.4,,,восточный,6.0,,,3
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,744,,,12.2,32.5,,,,,,юго-восточный,7.0,,,8
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,743,,,13.0,29.5,,,,,,южный,10.0,,,8
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,744,,,7.0,62.8,,,,True,,юго-западный,10.0,,,9
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,13.0,,менее 0.1,,,,,,,,,20.0,,745,,,7.5,41.0,,,,,,юго-западный,4.0,,14.4,3
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,744,,,2.8,55.6,,,,,,юго-восточный,0.0,,,4
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,744,,,1.8,74.8,,,,,,юго-восточный,7.0,,,2
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,743,,,0.4,77.3,,,,,,южный,7.0,,,5
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,0.5,1.0,,,0.5,,,,,10.0,,742,,,0.4,93.0,True,,-0.7,,,юго-восточный,10.0,,,5
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,4.0,,741,,,2.0,88.5,True,,,,,юго-восточный,10.0,,,5
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,742,,,3.2,82.4,,True,,,,северо-западный,9.0,,,2
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,744,,,5.8,56.0,,,,True,,западный,7.0,,,7
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,13.0,,3,,,,,,,,,20.0,,746,,,2.9,81.8,,,,True,,,7.0,,5.8,0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,True,,,,,,20.0,,748,,,2.1,91.8,,,,,,западный,7.0,,,3
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,-0.5,91.6,,,,,,западный,2.0,,,5
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,750,,,0.2,83.3,,,,,,западный,10.0,,,6
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,0.5,,,,3,,,,,10.0,,750,,,0.9,87.1,,,-0.6,,,западный,9.0,,,5
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,751,,,6.4,49.9,,,,,,западный,2.0,,,7
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,751,,,10.1,29.5,,,,,,западный,2.0,,,7
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,751,,,12.7,22.5,,,,,,западный,2.0,,,8
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,14.0,,0,,,,,,,,,20.0,,752,,,10.7,32.1,,,,,,юго-западный,6.0,,13.5,3
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,6.3,57.0,,,,,,южный,0.0,,,4
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,752,,,7.5,50.2,,,,,,южный,0.0,,,6
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,5.4,58.0,,,,,,юго-западный,1.0,,,2
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,753,,,6.2,66.8,,,4.3,,,юго-западный,9.0,,,4
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,754,,,10.6,65.9,,,,,,юго-западный,7.0,,,8
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,16.0,,,,,,,,,,,20.0,,752,,,15.3,33.4,,,,,,юго-западный,7.0,,,7
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,16.0,,,,,,,,,,,20.0,,750,,,16.9,29.7,,,,,,южный,9.0,,,8
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,15.0,,0,,,,,,,,,20.0,,748,,,15.4,31.8,,,,,,южный,10.0,,17.2,6
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,748,,,13.8,31.8,,,,,,южный,10.0,,,7
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,747,,,10.9,32.4,,,,,,южный,10.0,,,6
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,746,,,11.3,28.5,,,,,,южный,10.0,,,8
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,13.0,,0,,,,0,,,,,20.0,,746,,,10.2,33.1,,,10.0,,,южный,10.0,,,6
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,746,,,10.7,34.3,,,,,,южный,10.0,,,6
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,746,,,8.8,72.3,,,,,,западный,10.0,,,7
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,10.0,True,,,,,,,,,,10.0,,746,,,6.0,89.5,,,,,,западный,10.0,,,5
1587049200,"Четверг, 16 апреля
15:00 (UTC)",True,,,,,2,,,,,,,,,20.0,,746,,,2.7,93.1,,,,,,южный,10.0,,13.5,2
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,746,,,3.1,91.8,,,,True,,южный,7.0,,,2
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,746,,,3.7,90.6,,,,,,южный,7.0,,,4
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,746,,,1.8,93.1,,,,,,южный,6.0,,,4
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,0,,,,2,,,,,20.0,,745,,,2.7,91.8,,,1.1,,,южный,9.0,,,6
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,744,,,8.3,62.7,,,,,,южный,7.0,,,8
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,17.0,,,,,True,,,,,,20.0,,741,,,8.5,58.8,,,,,,южный,9.0,,,9
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,,,20.0,,741,,,8.8,77.6,,,,True,,юго-западный,9.0,,,5
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,17.0,,2,,,True,,,,,,20.0,,741,,,7.1,85.9,,,,,,юго-западный,9.0,,10.2,5
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,,,20.0,,743,,,6.1,87.0,,,,True,,юго-западный,0.0,,,5
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,744,,,4.5,84.4,,,,,,юго-западный,6.0,,,4
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,745,,,2.0,86.6,,,,,,юго-западный,7.0,,,5
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,0,,,,2,,,,,20.0,,746,,,2.5,86.6,,,1.4,,,южный,7.0,,,3
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,747,,,6.6,70.4,,,,,,юго-западный,9.0,,,5
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,8.3,62.7,,,,,,западный,10.0,,,5
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,,20.0,,748,,,9.1,56.0,,,,True,,юго-западный,9.0,,,6
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,менее 0.1,,,,,,,,,20.0,,749,,,9.6,50.8,,,,True,,юго-западный,9.0,,10.4,3
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,5.9,77.7,,,,,,южный,2.0,,,5
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,750,,,3.7,87.4,,,,,,южный,0.0,,,4
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,751,,,0.9,93.7,,,,,,юго-западный,0.0,,,1
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,0,,,,менее 0.1,,,,,20.0,,752,,,2.9,81.2,,,-0.2,,,южный,9.0,,,2
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,11.0,49.0,,,,,,южный,6.0,,,3
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,13.9,30.9,,,,,,юго-западный,10.0,,,4
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,15.1,30.1,,,,,,юго-западный,10.0,,,4
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,20.0,,753,,,13.1,35.3,,,,,,южный,10.0,,15.3,2
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,10.4,62.3,,,,,,западный,10.0,,,3
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,753,,,9.7,63.4,,,,True,,восточный,9.0,,,2
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,752,,,8.3,69.7,,,,True,,восточный,9.0,,,1
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,менее 0.1,,,,менее 0.1,,,,,20.0,,752,,,9.5,63.0,,,6.8,,,восточный,10.0,,,1
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,20.0,,751,,,13.3,44.6,,,,,,северо-восточный,10.0,,,2
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,20.0,,750,,,17.6,33.6,,,,,,северо-западный,7.0,,,2
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,,,,20.0,,750,,,18.1,35.0,,,,,,юго-западный,7.0,,,2
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,20.0,,750,,,16.2,42.1,,,,,,южный,9.0,,18.3,1
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,750,,,12.2,56.9,,,,,,юго-восточный,10.0,,,2
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,8.9,84.9,,,,,,восточный,0.0,,,4
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,749,,,8.4,88.4,,,,,,восточный,0.0,,,4
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,748,,,9.7,86.2,,,8.2,,,восточный,10.0,,,7
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,746,,,15.1,59.2,,,,,,восточный,9.0,,,8
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,15.0,,,,,,,,,,,10.0,,743,,,21.0,43.1,,,,,,юго-восточный,9.0,,,7
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,16.0,,,,,,,,,,,10.0,,740,,True,25.6,31.1,,,,,,юго-восточный,9.0,,,7
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,16.0,,0,,,,,,,,,20.0,,743,,,13.9,58.9,,,,True,,западный,7.0,,26.0,5
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,745,,,8.0,74.3,,,,True,,западный,7.0,,,3
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,744,,,6.5,88.3,,,,True,,южный,7.0,,,2
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,743,,,3.1,86.7,,,,True,,юго-западный,2.0,,,4
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,0.6,,,,0.6,,,,,20.0,,742,,,5.7,78.2,,,2.1,,,южный,5.0,,,5
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,740,,,9.4,54.9,,,,,,юго-западный,7.0,,,10
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,20.0,,,,,,,True,,,,10.0,,740,,,8.1,57.0,,,,,,юго-западный,10.0,,,12
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,20.0,,,,,,,,,,,20.0,,740,,,9.7,49.7,,,,True,,юго-западный,9.0,,,11
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,19.0,,менее 0.1,,,,,,,,,20.0,,740,,,9.2,49.9,,,,,,юго-западный,7.0,,13.9,10
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,16.0,,,,,,,,,,,20.0,,741,,,5.0,72.7,,,,,,юго-западный,1.0,,,6
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,12.0,,,,,,,,,,,20.0,,741,,,3.7,76.2,,,,,,юго-западный,1.0,,,7
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,11.0,,,,,,,,,,,20.0,,742,,,2.4,82.3,,,,,,юго-западный,10.0,,,7
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,13.0,,0,,,,менее 0.1,,,,,20.0,,743,,,1.7,85.3,,,0.6,,,юго-западный,10.0,,,8
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,14.0,,,,,,,,,,,20.0,,744,,,5.7,53.9,,,,,,западный,7.0,,,9
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,15.0,,,,,,,,,,,20.0,,744,,,7.2,42.5,,,,,,западный,7.0,,,8
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,20.0,,745,,,6.5,42.0,,,,,,западный,7.0,,,8
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,13.0,,0,,,,,,,,,20.0,,746,,,5.4,41.0,,,,,,западный,4.0,,8.0,5
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,,,20.0,,747,,,0.1,72.8,,,,,,юго-западный,0.0,,,3
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,,,20.0,,747,,,-1.4,73.6,,,,,,юго-западный,2.0,,,4
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,,,,20.0,,747,,,-1.1,70.4,,,,,,юго-западный,0.0,,,4
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,,0,,,,0,,,,,20.0,,747,,,1.4,61.9,,,-1.9,,,юго-западный,1.0,,,6
