timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Снег,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,6.0,,,,,,,,,,93.7,,,-0.2,южный,,,,,2,,,,менее 0.1,,,True,менее 0.1,,,10,746,,,,1.1,,,,,9,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,8.0,,,,,,,,,,66.7,,,,южный,,,,,4,,,,,,,,,,,20,747,,,,5.5,,,True,,7,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,12.0,,,,,,,,,,45.1,,,,юго-западный,,,,,5,,,,,,,,,,,50,747,,,,8.4,,,,,9,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,12.0,,,,,,,,,,39.4,,,,юго-западный,,,,,4,,,,,,,,,,,50,748,,,,9.2,,,,,9,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,8.0,,,,,,,,,,43.5,,,,южный,,,,9.7,3,,,,0,,,,,,,20,747,,,,8.5,,,,,9,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,7.0,,,,,,,,,,45.8,,,,южный,,,,,3,,,,,,,,,,,10,748,,,,7.3,,,,,9,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,6.0,,,,,,,,,,46.4,,,,южный,,,,,3,,,,,,,,,,,10,747,,,,6.7,,,,,9,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,7.0,,,,,,,,,,49.8,,,,южный,,,,,3,,,,,,,,,,,10,747,,,,4.9,,,,,9,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,6.0,,,,,,,,,,58.1,,,2.3,южный,,,,,3,,,,0,,,,0,,,20,746,,,,2.5,,,,,2,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,7.0,,,,,,,,,,38.7,,,,южный,,,,,3,,,,,,,,,,,20,746,,,,8.8,,,,,7,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,8.0,,,,,,,,,,33.1,,,,юго-западный,,,,,4,,,,,,,,,,,20,746,,,,11.7,,,,,6,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,10.0,,,,,,,,,,34.7,,,,западный,,,,,5,,,,,,,,,,,20,747,,,,12.1,,,,,5,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,10.0,,,,,,,,,,40.7,,,,западный,,,,12.7,2,,,,0,,,,,,,10,748,,,,9.6,,,,,9,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,5.0,,,,,,,,,,50.0,,,,западный,,,,,2,,,,,,,,,,,10,749,,,,6.9,,,,,7,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,7.0,,,,,,,,,,58.1,,,,северо-западный,,,,,4,,,,,,,,,,,10,749,,,,4.0,,,,,4,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,7.0,,,,,,,,,,64.8,,,,северо-западный,,,,,3,,,,,,,,,,,10,751,,,,1.5,,,,,7,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,6.0,,,,,,,,,,73.2,,,-0.7,северо-западный,,,,,2,,,,0,,,,0,,,20,752,,,,-0.5,,,,,4,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,8.0,,,,,,,,,,44.3,,,,северо-западный,,,,,5,,,,,,,,,,,50,752,,,,3.3,,,,,0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,10.0,,,,,,,,,,36.9,,,,северо-западный,,,,,4,,,,,,,,,,,50,752,,,,4.8,,,,,7,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,9.0,,,,,,,,,,31.5,,,,северо-западный,,,,,5,,,,,,,,,,,50,751,,,,5.6,,,,,7,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,8.0,,,,,,,,,,33.5,,,,,,,,7.2,0,,,,0,,,,,,,50,751,,,,4.6,,,,,1,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,4.0,,,,,,,,,,40.5,,,,юго-западный,,,,,1,,,,,,,,,,,10,751,,,,1.8,,,,,5,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,6.0,,,,,,,,,,63.0,,,,северо-западный,,,,,3,,,,,,,,,,,10,751,,,,0.0,,,,,4,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,5.0,,,,,,,,,,83.8,,,,западный,,,,,2,,,,,,,,,,,10,750,,,,-0.9,,,,,7,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,8.0,,,True,,,,,,,86.9,,,-1.2,северо-западный,,,,,4,,,,0.2,,1.0,,0.2,,,50,751,,,,-1.0,,,,,10,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,9.0,,,True,,,,,,,77.8,,,-1.3,северо-западный,,,,,5,,,,,,,,,,,50,752,,,,-0.2,,,,,9,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,11.0,,,True,,,,,,,63.8,,,,северо-западный,,,,,7,,,,,,,,,,,50,753,,,,1.2,,,,,10,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,15.0,,,,,,,,,,79.4,,,,северный,,,,,7,,,,,,,,,,,10,754,,,,-1.1,,,,,10,,True
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,14.0,,,,,,,,,,50.5,,,,северный,,,,1.3,7,,,,менее 0.1,,,,,,,50,755,,,,0.7,,,True,,9,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,14.0,,,,,,,,,,50.7,,,,северный,,,,,7,,,,,,,,,,,10,756,,,,0.0,,,True,,10,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,15.0,,,,,,,,,,58.6,,,,северный,,,,,6,,,,,,,,,,,10,757,,,,-0.7,,,True,,10,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,12.0,,,,,True,,,,,53.4,,,,северный,,,,,4,,,,,,,,,,,10,759,,,,-2.2,,,,,5,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,7.0,,,,,,,,,,59.9,,,-3.4,северо-западный,,,,,4,,,,менее 0.1,,,,менее 0.1,,,50,761,,,,-2.8,,,,,2,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,8.0,,,,,,,,,,42.5,,,,северо-западный,,,,,5,,,,,,,,,,,50,761,,,,1.8,,,,,0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,13.0,,,,,,,,,,32.2,,,,северо-западный,,,,,6,,,,,,,,,,,50,760,,,,3.8,,,,,6,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,14.0,,,,,,,,,,28.5,,,,северо-западный,,,,,6,,,,,,,,,,,50,758,,,,4.3,,,,,2,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,12.0,,,,,,,,,,29.3,,,,северо-западный,,,,4.5,6,,,,0,,,,,,,20,757,,,,2.5,,,,,1,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,10.0,,,,,,,,,,33.4,,,,западный,,,,,2,,,,,,,,,,,10,757,,,,0.0,,,,,9,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,5.0,,,,,,,,,,35.7,,,,западный,,,,,2,,,,,,,,,,,10,755,,,,-0.1,,,,,10,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,6.0,,,,,,,,,,56.2,,,,северо-западный,,,,,1,,,,,,,,,,,10,753,,,,0.1,,,,,10,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,3.0,,,,,,,,,,54.6,,,-1.0,южный,,,,,1,,,,0,,,,0,,,20,752,,,,-0.9,,,,,9,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,6.0,,,,,,,,,,46.6,,,,южный,,,,,3,,,,,,,,,,,20,750,,,,2.8,,,,,9,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,8.0,,,,,,,,,,33.0,,,,южный,,,,,3,,,,,,,,,,,50,748,,,,8.0,,,,,2,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,8.0,,,,,,,,,,35.2,,,,южный,,,,,4,,,,,,,,,,,50,746,,,,12.0,,,,,2,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,7.0,,,,,,,,,,38.1,,,,юго-западный,,,,12.9,1,,,,0,,,,,,,10,746,,,,11.6,,,,,7,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,3.0,,,,,,,,,,43.0,,,,юго-западный,,,,,2,,,,,,,,,,,10,746,,,,10.1,,,,,10,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,8.0,,,,,,,,,,59.9,,,,северо-западный,,,,,4,,,,,,,,,,,10,747,,,,6.0,,,,,0,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,6.0,,,,,,,,,,66.6,,,,северо-западный,,,,,3,,,,,,,,,,,10,749,,,,2.7,,,,,0,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,4.0,,,,,,,,,,70.0,,,1.3,западный,,,,,2,,,,0,,,,0,,,10,750,,,,2.0,,,,,0,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,3.0,,,,,,,,,,50.3,,,,северный,,,,,1,,,,,,,,,,,50,751,,,,8.0,,,,,0,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,6.0,,,,,,,,,,40.9,,,,южный,,,,,2,,,,,,,,,,,50,750,,,,12.2,,,,,2,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,7.0,,,,,,,,,,34.0,,,,западный,,,,,4,,,,,,,,,,,50,749,,,,13.8,,,,,2,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,8.0,,,,,,,,,,39.4,,,,южный,,,,14.6,2,,,,0,,,,,,,50,747,,,,13.0,,,,,7,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,4.0,,,,,,,,,,52.4,,,,южный,,,,,2,,,,,,,,,,,10,747,,,,8.8,,,,,7,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,4.0,,,,,,,,,,52.5,,,,южный,,,,,2,,,,,,,,,,,10,746,,,,9.0,,,,,7,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,5.0,,,,,,,,,,56.5,,,,южный,,,,,2,,,,,,,,,,,10,745,,,,7.7,,,,,7,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,7.0,,,,,,,,,,57.4,,,6.6,южный,,,,,3,,,,0,,,,0,,,10,744,,,,8.1,,,,,9,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,10.0,,,,,,,,,,48.4,,,,южный,,,,,5,,,,,,,,,,,20,743,,,,11.5,,,,,10,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,14.0,,,,,,,,,,37.0,,,,юго-западный,,,,,8,,,,,,,,,,,20,742,,,,15.4,,,,,7,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,16.0,,,,,,,,,,61.7,,,,западный,,,,,5,,,,,,,,,True,,10,743,,,,11.5,,,,,10,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,12.0,,,,,,,,,,92.8,,,,западный,,,,16.2,1,,,,1,,,,,True,,10,744,,,,8.0,,,,,10,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,6.0,True,,,,,,,,,94.6,,,,северо-западный,,,,,2,,,,,,,,,,,4,745,,,,5.8,,,,,10,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,5.0,,,,,,,,,,95.2,,,,северо-западный,,,,,3,,,,,,,,,,,10,746,,,,4.4,,,True,,10,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,5.0,True,,,,,,,,,95.8,,,,северный,,,,,2,,,,,,,,,,,10,746,,,,3.1,,,,,10,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,6.0,True,,,,,,,,,97.2,,,2.0,северный,,,,,2,,,,5,,,,6,,,10,747,,,,2.0,,,,,10,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,5.0,True,,,,,,,,,94.4,,,1.5,северный,,,,,3,,,,,,,,,,,10,747,,,,2.4,,,,,10,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,6.0,True,,,,,,,,,92.4,,,,северный,,,,,4,,,,,,,,,,,10,747,,,,2.5,,,,,10,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,5.0,True,,,,,,,,,89.9,,,,северный,,,,,2,,,,,,,,,,,4,747,,,,3.1,,,,,10,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,5.0,True,,,,,,,,,95.8,,,,северо-восточный,,,,3.4,3,,,,3,,,,,,,4,747,,,,1.7,,,,,10,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,5.0,True,,,,,,,,,98.6,,,,северный,,,,,2,,,,,,,,,,,4,747,,,,1.3,,,,,10,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,6.0,,,,,,,,,,99.3,,,,северный,,,,,3,,,,,,,,,,,4,747,,,,0.2,,True,,,10,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,7.0,,,,,,,,,,100.0,,,,северный,,,,,4,,,,,,,,,,,2,746,,,True,0.0,,,,,10,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,9.0,,,,,,,,,,99.3,,,-0.1,северный,,,,,4,,,,9,,5.0,,11,,,2,746,,,True,-0.1,,,,,10,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,9.0,,,,,,,,,,99.3,,,-0.2,северный,,,,,5,,,,,,,,,,,2,746,,,True,-0.2,,,,,10,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,12.0,,,,,,,,,,95.7,,,,северный,,,True,,6,,,,,,,,,,,4,747,,,,-0.6,,,,,10,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,13.0,,,,,,,,,,92.2,,,,северный,,,,,6,,,,,,,,,,,2,748,,,,-0.7,,,,,10,True,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,13.0,,,,,,,,,,87.6,,,,северный,,,,-0.1,5,,,,2,,,,,,,10,748,,,,-0.2,,,True,,10,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,11.0,,,,,,,,,,85.1,,,,северный,,,True,,5,,,,,,,,,,,10,748,,,,-0.5,,,,,10,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,9.0,,,,,,,,,,87.5,,,,северный,,,,,3,,,,,,,,,,,10,747,,,,-2.1,,,True,,9,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,6.0,,,,,,,,,,72.1,,,,северо-западный,,,,,4,,,,,,,,,,,10,747,,,,-3.2,,,True,,7,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,8.0,,,,,,,,,,70.5,,,-3.5,северный,,,,,4,,,,менее 0.1,,8.0,,2,,,20,747,,,,-3.0,,,,,7,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,8.0,,,,,,,,,,62.5,,,,северо-западный,,,,,5,,,,,,,,,,,50,747,,,,0.0,,,,,0,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,9.0,,,,,,,,,,48.3,,,,северный,,,,,5,,,,,,,,,,,50,747,,,,3.6,,,,,2,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,9.0,,,,,,,,,,38.3,,,,северо-западный,,,,,4,,,,,,,,,,,50,747,,,,6.4,,,,,2,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,8.0,,,,,,,,,,35.8,,,,северо-западный,,,,7.2,2,,,,0,,,,,,,50,747,,,,6.7,,,,,1,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,4.0,,,,,,,,,,40.7,,,,западный,,,,,1,,,,,,,,,,,10,747,,,,2.5,,,,,2,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,3.0,,,,,,,,,,75.7,,,,южный,,,,,1,,,,,,,,,,,10,748,,,,-2.5,,,,,4,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,3.0,,,,,,,,,,76.8,,,,южный,,,,,1,,,,,,,,,,,10,747,,,,-2.9,,,,,4,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,3.0,,,,,,,,,,70.2,,,-3.9,южный,,,,,2,,,,0,,,,0,,,10,747,,,,-2.0,,,,,1,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,6.0,,,,,,,,,,36.5,,,,юго-восточный,,,,,4,,,,,,,,,,,20,747,,,,7.2,,,,,2,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,8.0,,,,,,,,,,31.1,,,,южный,,,,,4,,,,,,,,,,,50,746,,,,11.6,,,,,7,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,8.0,,,,,,,,,,32.2,,,,южный,,,,,3,,,,,,,,,,,50,746,,,,13.5,,,,,9,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,9.0,,,,,,,,,,36.7,,,,южный,,,,14.2,3,,,,0,,,,,,,20,745,,,,12.6,,,,,6,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,8.0,,,,,,,,,,47.8,,,,юго-восточный,,,,,3,,,,,,,,,,,10,745,,,,8.1,,,,,6,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,5.0,,,,,,,,,,57.5,,,,южный,,,,,3,,,,,,,,,,,10,744,,,,6.7,,,,,7,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,6.0,,,,,,,,,,66.2,,,,южный,,,,,4,,,,,,,,,,,10,743,,,,5.3,,,,,7,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,6.0,,,,,,,,,,70.6,,,4.3,южный,,,,,4,,,,0,,,,0,,,10,743,,,,5.1,,,,,9,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,7.0,,,,,,,,,,53.0,,,,южный,,,,,4,,,,,,,,,,,10,742,,,,10.8,,,,,10,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,12.0,,,,,,,,,,30.4,,,,южный,,,,,6,,,,,,,,,,,20,740,,,,15.2,,,,,10,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,14.0,,,,,,,,,,28.5,,,,южный,,,,,8,,,,,,,,,,,20,737,,,,16.3,,,,,10,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,17.0,,,,,,,,,,63.8,,,,южный,,,,17.5,8,,,,менее 0.1,,,,,True,,10,735,,,,11.3,,,,,10,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,17.0,True,,,,,,,,,93.4,,,,юго-западный,,,,,5,,,,,,,,,,,4,733,,,,7.1,,,,,10,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,12.0,,,,,,,,,,90.4,,,,западный,,,True,,5,,,,,,,,,,,4,735,,,,1.5,,,,,10,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,12.0,,,,,,,,,,83.5,,,,юго-западный,,,,,5,,,,,,,,,,,10,736,,,,1.9,,,True,,10,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,10.0,,,,,,,,,,82.8,,,1.1,юго-западный,,,,,4,,,,4,,,,4,,,20,737,,,,1.4,,,,,9,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,11.0,,True,,,,,,,,76.1,,,,южный,,,,,6,,,,,,,,,,,10,737,,,,3.2,,,,,10,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,13.0,,,,,,,,,,70.6,,,,южный,,,,,6,,,,,,,,,,,20,736,,,,5.1,,,True,,9,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,13.0,,,,True,,,,,,83.8,,,,южный,,,,,5,,,,,,,,,,,10,736,,,,4.1,,,,,10,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,11.0,,,,,,,,,,71.1,,,,южный,,,,5.8,4,,,,1,,,,,True,,10,735,,,,4.9,,,,,10,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,10.0,True,,,,,,,,,96.5,,,,южный,,,,,2,,,,,,,,,,,4,735,,,,2.7,,,,,10,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,8.0,,,,,,,True,,,84.3,,,,южный,,,,,3,,,,,,,,,,,4,734,,,,3.4,,,,,10,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,8.0,True,,,,,,,,,89.8,,,,южный,,,,,4,,,,,,,,,,,4,732,,,,2.4,,,,,10,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,7.0,True,,,,,,,,,97.2,,,2.1,юго-восточный,,,,,3,,,,3,,,,4,,,4,731,,,,2.2,,,,,10,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,7.0,,,,,,,,,,96.5,,,,юго-восточный,,,,,3,True,,,,,,,,,,10,731,,,,2.8,,,,,10,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,6.0,True,,,,,,,,,91.2,,,,южный,,,,,3,,,,,,,,,,,10,731,,,,4.3,,,,,10,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,4.0,,,,,,,,,,85.7,,,,западный,,,,,1,,,,,,,,,,,50,732,,,,5.4,,,True,,10,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,4.0,,,,True,,,,,,89.4,,,,западный,,,,6.2,1,,,,0.7,,,,,,,50,734,,,,5.1,,,,,9,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,8.0,,,,,,,,,,95.8,,,,западный,,,,,3,,,,,,,,,True,,10,735,,,,3.1,,,,,9,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,8.0,,,,,True,,,,,91.8,,,,западный,,,,,3,,,,,,,,,,,10,736,,,,2.4,,,,,7,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,6.0,,,,,True,,,,,95.7,,,,западный,,,,,2,,,,,,,,,,,10,737,,,,0.2,,,,,4,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,7.0,,,,,,,,,,93.0,,,0.2,юго-западный,,,,,2,,,,0.5,,,,1,,,10,737,,,,0.7,,,,,7,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,7.0,,,,,,,,,,73.0,,,,западный,,,,,3,,,,,,,,,,,50,738,,,,4.3,,,,,9,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,10.0,,,,True,,,,,,56.7,,,,западный,,,,,4,,,,,,,,,,,50,739,,,,6.8,,,,,7,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",True,10.0,,,,,,,,,,81.5,,,,западный,,,,,2,,,,,,,,,,,10,741,,,,4.8,,,,,9,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,10.0,,,,True,,,,,,66.1,,,,западный,,,,7.9,2,,,,0.4,,,,,,,50,742,,,,5.1,,,,,7,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,9.0,,,,,,,,,,93.0,,,,юго-западный,,,,,3,,,,,,,,,,,10,743,,,,1.3,,,True,,6,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,5.0,,,,,,,,,,95.7,,,,южный,,,,,2,,,,,,,,,,,10,744,,,,0.3,,,,,5,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,4.0,,,,,,,,,,95.7,,,,юго-западный,,,,,2,,,,,,,,,,,10,745,,,,-0.1,,,,,4,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,4.0,,,,,,,,,,93.7,,,-0.3,юго-западный,,,,,2,,,,менее 0.1,,,,0.4,,,10,746,,,,0.7,,,,,7,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,6.0,,,,,,,,,,79.6,,,,юго-западный,,,,,2,,,,,,,,,,,20,748,,,,3.9,,,,,7,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,7.0,,,,,,,,,,52.8,,,,южный,,,,,2,,,,,,,,,,,20,749,,,,7.4,,,,,7,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,6.0,,,,True,,,,,,45.3,,,,западный,,,,,2,,,,,,,,,,,50,749,,,,8.9,,,,,9,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,9.0,,,,,,,,,,46.8,,,,юго-западный,,,,9.4,2,,,,менее 0.1,,,,,,,20,750,,,,8.1,,,,,9,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,6.0,,,,,,,,,,75.3,,,,,,,,,0,,,,,,,,,,,10,751,,,,5.1,,,,,9,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,3.0,,,,,,,,,,79.6,,,,юго-восточный,,,,,1,,,,,,,,,,,10,751,,,,3.7,,,,,9,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,2.0,,,,,,,,,,86.0,,,,,,,,,0,,,,,,,,,,,10,751,,,,2.3,,,,,7,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,3.0,,,,,,,,,,86.1,,,1.7,восточный,,,,,1,,,,0,,,,менее 0.1,,,10,751,,,,3.2,,,,,10,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,4.0,,,,,True,,,,,70.1,,,,восточный,,,,,2,,,,,,,,,,,20,751,,,,7.4,,,,,6,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,6.0,,,,True,,,,,,61.6,,,,северо-западный,,,,,1,,,,,,,,,,,20,751,,,,7.5,,,,,7,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,5.0,,,,,,,,,,50.4,,,,северо-западный,,,,,1,,,,,,,,,,,50,751,,,,9.6,,,True,,9,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,8.0,,,,True,,,,,,72.5,,,,,,,,10.4,0,,,,1,,,,,,,10,751,,,,7.0,,,,,9,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,3.0,,,,,,,,,,98.6,,,,северный,,,,,1,,,,,,,,,,,10,752,,,,3.3,,,True,,9,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,4.0,,,,,,,,,,93.2,,,,северный,,,,,2,,,,,,,,,,,10,751,,,,3.3,,,,,7,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,3.0,,,,,,,,,,91.2,,,,северо-восточный,,,,,2,,,,,,,,,,,10,750,,,,3.2,,,,,7,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,6.0,,,,,,,,,,86.1,,,2.9,северо-восточный,,,,,4,,,,0,,,,1,,,10,749,,,,3.7,,,,,9,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,13.0,,,,,,,True,,,74.4,,,,восточный,,,,,8,,,,,,,,,,,10,747,,,,5.8,,,,,10,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,16.0,True,,,,,,,,,91.2,,,,северо-восточный,,,,,8,,,,,,,,,,,4,747,,,,3.9,,,,,10,,
