timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Ливневый дождь со снегом,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман без изменений (небо не видно)
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,747,,,13.4,,39.8,,,,северный,7.0,,,3,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,748,,,8.4,,56.7,,,,северо-западный,7.0,,15.7,1,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,748,,,4.3,,76.9,,,,северо-западный,0.0,,,1,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,748,,,1.6,,91.1,,,,северо-западный,0.0,,,1,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,748,,,-0.1,,96.4,,-0.2,,западный,0.0,,,1,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,748,,,7.4,,72.1,,-0.2,,западный,5.0,,,1,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,747,,,13.2,,43.0,,,,западный,6.0,,,3,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,15.6,,30.7,,,,западный,9.0,,,3,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,743,,,15.5,,30.2,,,,юго-западный,9.0,,,3,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,742,,,12.3,,39.4,,,,южный,7.0,,16.3,2,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,741,,,9.6,,45.8,,,,южный,9.0,,,3,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,739,,,9.3,,46.1,,,,юго-западный,10.0,,,2,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,0.3,,,,0.3,,,True,,10.0,739,,,8.7,,66.9,,8.1,,западный,10.0,,,1,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,1,,,True,,,,,,10.0,739,,,8.4,,87.2,,7.1,,северный,7.0,,,2,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,740,,,10.4,,52.9,,,,северо-западный,9.0,,,2,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,10.0,,,,,,,,,,10.0,741,,,12.5,,31.2,,,,северный,7.0,,,2,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,1,,,,,,,,,10.0,742,,,9.2,,33.1,,,,северо-западный,7.0,,,2,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,743,,,2.8,,54.4,,,,северо-западный,2.0,,13.0,1,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,743,,,2.9,,58.2,,,,,9.0,,,0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,743,,,-0.4,,65.4,,,,,9.0,,,0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,0,,,,1,,,,,10.0,744,,,-1.4,,72.5,,-1.7,,,9.0,,,0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,744,,,5.5,,53.1,,-1.7,,северо-западный,4.0,,,1,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,744,,,6.3,,50.2,,,,западный,9.0,,,2,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,True,,,,,,10.0,743,,,9.0,,30.1,,,,западный,9.0,,,3,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,745,,,5.8,,48.2,,,,северо-западный,10.0,,,2,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,746,,,2.4,,38.2,,,,северный,2.0,,9.0,1,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,748,,,0.1,,59.7,,,,северный,0.0,,,2,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,749,,,-2.5,,76.8,,,,северо-западный,0.0,,,1,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,0,,,,менее 0.1,,,,,10.0,749,,,-4.2,,86.6,,-4.6,,северо-западный,0.0,,,1,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,750,,,5.1,,47.7,,-4.6,,северо-западный,0.0,,,2,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,749,,,9.0,,25.8,,,,северо-западный,7.0,,,3,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,11.0,,,,,,,,,,10.0,748,,,10.5,,23.7,,,,северо-западный,7.0,,,3,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,10.0,0,,,,,,,,,10.0,747,,,10.3,,23.4,,,,северо-западный,6.0,,,4,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,747,,,3.8,,40.5,,,,западный,2.0,,11.6,1,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,746,,,3.6,,39.5,,,,западный,2.0,,,2,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,746,,,3.1,,48.9,,,,южный,10.0,,,1,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,745,,,4.5,,38.6,,2.9,,южный,9.0,,,2,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,744,,,8.5,,26.0,,2.9,,юго-западный,7.0,,,3,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,11.0,,,,,,,,,,10.0,742,,,12.6,,19.2,,,,юго-западный,9.0,,,5,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,11.0,,,,,,,,,,10.0,739,,,16.7,,19.8,,,,юго-западный,7.0,,,4,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,12.0,0,,,,,,,,True,4.0,737,,,16.9,,20.2,,,,юго-западный,2.0,,,5,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,10.0,0,,,,,,,,,10.0,737,,,14.0,,26.8,,,,южный,7.0,,17.5,4,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,735,,,11.5,,35.3,,,,южный,7.0,,,4,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,10.0,,,,,,,,,,10.0,734,,,11.4,,38.6,,,,южный,10.0,,,3,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,734,,,9.0,,40.5,,9.0,,южный,10.0,,,2,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,менее 0.1,,,True,,,,,,10.0,735,,,9.8,,49.0,,8.8,,юго-западный,10.0,,,3,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,True,,,,,,10.0,736,,,7.6,,79.0,,,,северо-западный,10.0,,,2,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,True,,10.0,737,,,2.9,,93.8,,,,северо-западный,10.0,,,1,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,2,,,,,,,True,,10.0,738,,,3.2,,86.7,,,,северо-западный,10.0,,,1,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,4,,,,,,,True,,10.0,738,,,1.5,,95.1,,,,,10.0,,10.3,0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,738,,,1.3,,96.5,,,True,,10.0,,,0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,True,,,,10.0,737,,,0.8,,95.1,,,,западный,10.0,,,1,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,2,,,,4,,,,,10.0,737,,,-0.3,,93.0,,-0.3,,западный,10.0,,,1,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,0.4,,,,,,,,,10.0,736,,,3.9,,65.4,,-0.4,,западный,2.0,,,3,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,10.0,,,,,,,,,,10.0,736,,,5.6,,56.4,,,,западный,7.0,,,4,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,12.0,,,,,,,,,,10.0,736,,,4.8,,52.5,,,True,западный,7.0,,,4,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,11.0,менее 0.1,,,,,,,,,10.0,736,,,5.3,,51.8,,,True,западный,7.0,,,4,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,11.0,менее 0.1,,,,,True,,,,10.0,737,,,3.4,,54.1,,,,западный,9.0,,6.7,3,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,736,,,3.3,,71.8,,,,западный,10.0,,,3,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,True,,10.0,736,,,1.9,,91.1,,,,западный,10.0,,,2,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,0.3,,,,0.3,,,,,10.0,735,,,2.9,,87.3,,1.8,True,западный,10.0,,,3,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,0.3,,,,,,,,,10.0,735,,,5.0,,72.1,,1.8,True,западный,10.0,,,4,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,13.0,,,,True,,,,,,10.0,732,,,7.4,,61.1,,,,юго-западный,10.0,,,4,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,14.0,,,,,,,,True,,10.0,730,,,6.1,,76.6,,,,юго-западный,10.0,,,4,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,11.0,2,,,True,,,,,,10.0,729,,,8.1,,70.7,,,,западный,9.0,,,4,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,11.0,2,,,,,True,,,,10.0,729,,,6.3,,70.8,,,,западный,4.0,,8.5,3,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,12.0,,,,,,,,,,10.0,730,,,4.0,,75.7,,,,западный,2.0,,,3,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,10.0,,,,,,,,,,10.0,731,,,4.2,,71.5,,,,северо-западный,7.0,,,3,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,менее 0.1,,,True,2,,,,,10.0,733,,,2.3,,82.9,,2.3,,северо-западный,9.0,,,2,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,10.0,0,,,,,True,,,,10.0,735,,,4.2,,69.9,,1.9,,северо-западный,9.0,,,4,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,10.0,,,,,,,,,,10.0,735,,,6.4,,47.3,,,,западный,7.0,,,3,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,12.0,,,,,,,,,,10.0,736,,,3.1,,73.9,True,,,западный,10.0,,,3,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,11.0,0.7,,,,,True,,,,10.0,735,,,6.5,,55.4,,,,западный,4.0,,,3,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,0.7,,,,,,,,,10.0,737,,,1.4,,82.2,,,,западный,2.0,,8.5,1,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,737,,,0.5,,80.9,,,,западный,0.0,,,2,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,738,,,-0.8,,86.9,,,,западный,0.0,,,2,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,0,,,,0.7,,,,,10.0,738,,,-2.0,,92.2,,-2.0,,западный,1.0,,,1,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,739,,,1.6,,79.3,,-2.0,,западный,7.0,,,3,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,740,,,5.9,,52.8,,,,северо-западный,7.0,,,3,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,10.0,,,,,,,,,,10.0,741,,,7.2,,40.3,,,,северо-западный,7.0,,,3,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,11.0,0,,,,,,,,,10.0,741,,,5.4,,50.3,,,,западный,7.0,,,4,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,742,,,3.3,,61.5,,,,западный,7.0,,7.8,2,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,742,,,2.7,,65.1,,,,западный,9.0,,,2,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,742,,,2.2,,68.5,,,,западный,9.0,,,2,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,742,,,1.6,,71.5,,1.2,,юго-западный,9.0,,,1,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,742,,,4.9,,62.3,,1.2,,юго-западный,10.0,,,2,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,741,,,9.4,,35.5,,,,западный,9.0,,,3,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,10.0,,,,,,,,True,,10.0,742,,,4.5,,80.3,,,,западный,10.0,,,1,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,0.5,,,True,,,,,,10.0,742,,,4.4,,73.6,,,,северо-западный,9.0,,,2,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,0.5,,,,,,,,,10.0,742,,,2.4,,85.4,,,True,южный,9.0,,9.4,2,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,743,,,0.3,,93.7,,,,,7.0,,,0,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,True,,,4.0,743,,,-0.9,,96.4,,,,,7.0,,,0,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,менее 0.1,,,,0.5,,True,,,4.0,743,,,-1.4,,97.8,,-1.5,,западный,9.0,,,1,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,743,,,3.0,,89.2,,-1.5,,северный,10.0,,,2,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,743,,,6.0,,71.3,,,True,северный,7.0,,,2,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,10.0,,,,True,,,,,,10.0,744,,,7.2,,65.6,,,,северный,9.0,,,3,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,11.0,0.3,,,,,,,,,10.0,744,,,6.3,,59.5,,,True,северный,7.0,,,3,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,0.3,,,,,,,,,10.0,745,,,2.1,,81.7,,,True,северо-западный,5.0,,8.3,1,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,1.3,,81.6,,,,северный,2.0,,,2,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,745,,,-0.5,,90.9,,,,северный,0.0,,,1,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,0,,,,0.3,,,,,10.0,746,,,-0.8,,90.9,,-1.4,,северный,0.0,,,1,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,746,,,4.6,,65.5,,-1.4,,северный,7.0,,,2,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,745,,,8.9,,39.6,,,,северный,9.0,,,3,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,745,,,11.7,,31.4,,,,северный,7.0,,,3,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,745,,,10.6,,29.7,,,,северный,7.0,,,3,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,745,,,5.8,,47.9,,,,северо-западный,6.0,,12.1,2,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,744,,,5.5,,50.4,,,,северо-западный,7.0,,,1,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,743,,,5.4,,49.6,,,,северо-западный,7.0,,,2,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,742,,,4.7,,60.4,,4.7,,северо-западный,7.0,,,2,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,742,,,7.5,,54.4,,4.1,,северный,7.0,,,3,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,10.0,,,,,,,,,,10.0,742,,,11.2,,33.7,,,,северо-западный,7.0,,,3,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,14.0,,,,,,,,,,10.0,742,,,13.4,,20.7,,,,северный,7.0,,,4,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,12.0,0,,,,,,,,,10.0,742,,,10.9,,15.4,,,,северный,0.0,,,3,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,11.0,0,,,,,,,,,10.0,744,,,5.8,,23.5,,,,северный,2.0,,13.9,2,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,745,,,1.1,,34.1,,,,,0.0,,,0,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,745,,,-2.0,,50.5,,,,западный,0.0,,,1,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,745,,,-2.7,,54.5,,-3.3,,северо-западный,0.0,,,1,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,744,,,7.0,,28.4,,-3.3,,западный,9.0,,,2,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,11.0,,,,,,,,,,10.0,743,,,11.4,,17.6,,,,северо-западный,5.0,,,4,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,12.0,,,,,,,,,,10.0,740,,,15.0,,14.7,,,,западный,5.0,,,4,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,13.0,0,,,,,,,,,10.0,739,,,13.7,,22.2,,,,западный,7.0,,,5,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,11.0,0,,,,,,,,,10.0,739,,,9.3,,36.6,,,,западный,7.0,,15.4,1,
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,738,,,8.8,,43.6,,,,юго-западный,9.0,,,1,
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,738,,,5.2,,58.4,,,,,9.0,,,0,
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,737,,,5.9,,60.3,,4.9,,юго-восточный,10.0,,,1,
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,737,,,10.1,,48.4,,4.9,,юго-западный,9.0,,,1,
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,735,,,15.9,,32.4,,,,западный,9.0,,,2,
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,734,,,15.8,,26.3,,,,западный,9.0,,,4,
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,732,,,16.0,,26.8,,,,юго-западный,9.0,,,1,
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,10.0,0,,,,,,,,,10.0,732,,,12.1,,29.4,,,,западный,9.0,,17.2,2,
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,732,,,7.3,,53.6,,,,западный,9.0,,,1,
