timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Дождь (незамерзающий)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,49.2,-1.7,южный,,,1,,0,,,,,,,10,743,,,,0.1,,,,7.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,37.1,,южный,,,2,,,,,,,,,10,744,,,,5.6,,,,7.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,25.5,,юго-западный,,,3,,,,,,,,,20,744,,,,9.5,,,,6.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,27.1,,северо-западный,,,2,,,,,,,,,10,745,,,,8.6,,,,7.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,53.2,,юго-восточный,,9.9,1,,0,,,,,,,20,745,,,,3.0,,,,2.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,66.3,,восточный,,,1,,,,,,,,,10,746,,,,-0.8,,,,2.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,78.3,,юго-западный,,,1,,,,,,,,,4,747,,,,-0.7,,,,10.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,65.8,,южный,,,1,,,,,,,,,4,746,,,,1.7,,,,9.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,54.4,-1.1,юго-восточный,,,2,,0,,,,0,,,10,745,,,,2.8,,,,9.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,47.5,,восточный,,,2,,,,,,,,,10,744,,,,4.7,,,,10.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,43.1,,восточный,,,3,,,,,,,,,10,741,,,,8.1,,,,10.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,48.9,,южный,,,1,,,,,,,,,10,740,,,,9.4,,True,,10.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,85.2,,юго-восточный,,9.7,2,,0.6,,,,,,,20,739,,,,6.4,,True,,10.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,90.7,,северо-западный,,,1,,,,,,,,,4,738,,,,6.2,,True,,10.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,90.7,,северо-западный,,,1,,,,,,,,,4,737,,,,5.2,,,,10.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,86.8,,северо-западный,,,3,,,,,,,,True,4,737,,,,4.3,,,,10.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,88.0,3.3,северный,,,3,,3,,,,4,,,10,737,,,,3.5,,True,,9.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,72.9,,северо-западный,,,4,,,,,,,,,10,737,,,,6.1,,True,,9.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,29.9,,северный,,,3,,,,,,,,,10,737,,,,12.2,,,,6.0,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,24.1,,западный,,,2,,,,,,,,,10,736,,,,13.3,,,,2.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,40.5,,,,13.6,0,,0,,,,,,,20,736,,,,7.8,,,,4.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,35.3,,северный,,,1,,,,,,,,,4,736,,,,8.6,,,,10.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,60.2,,,,,0,,,,,,,,,10,735,,,,3.7,,,,4.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,69.4,,северо-западный,,,1,,,,,,,,,4,735,,,,4.3,,,,4.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,84.2,1.2,северный,,,3,,0,,,,0,,,10,734,,,,2.5,,,,10.0,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,74.7,,восточный,,,2,,,,,,,,,10,733,,,,4.6,,,,10.0,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,74.9,,северо-восточный,,,2,,,,,,,,,10,733,,,,5.9,,,,10.0,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,94.4,,северный,,,4,True,,,,,,,,1,733,,,,0.5,,,,10.0,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,94.4,,северный,,6.3,3,True,7,,,,,,,1,733,,,,0.2,,,,10.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,13.0,,,,,,,,95.0,,северный,,,6,True,,,,,,,,1,734,,,,-0.8,,,,10.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,13.0,,,,,,,,90.9,,северный,,,4,,,,,,,,,4,734,,,,-1.3,,,,1.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,12.0,,,,,,,,86.1,,северный,,,3,,,,,,,,,4,734,,,,-2.6,,True,,10.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,11.0,,,,,,,,67.4,-3.1,северный,,,6,,3,,8.0,,,,,10,733,,,,-2.8,,,,10.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,14.0,,,,,,,,64.4,,северный,,,6,,,,,,,,,10,733,,,,-2.2,,,,10.0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,16.0,,,,,,,,44.6,,северный,,,6,,,,,,,,,10,731,,,,-0.2,,,,10.0,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,15.0,,,,,,,,33.4,,северо-западный,,,6,,,,,,,,,10,732,,,,0.8,,,,7.0,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,15.0,,,,,,,,38.1,,северо-западный,,1.1,4,,0,,,,,,,20,733,,,,-1.1,,,,5.0,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,14.0,,,,,,,,,,северо-западный,,,5,,,,,,,,,10,734,,,,-3.3,,,,0.0,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,10.0,,,,,,,,,,западный,,,5,,,,,,,,,10,734,,,,-4.6,,,,0.0,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,11.0,,,,,,,,52.3,,западный,,,4,,,,,,,,,10,735,,,,-5.9,,,,2.0,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,10.0,,,,,,,,52.4,-6.4,западный,,,4,,0,,5.0,,,,,10,735,,,,-5.5,,,,0.0,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,14.0,,,,,,,,42.4,,западный,,,5,,,,,,,,,10,736,,,,-3.0,,,,7.0,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,10.0,,,,,,,,37.4,,западный,,,3,,,,,,,,,10,736,,,,-0.3,,,,10.0,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,11.0,,,,,,,,30.2,,западный,,,4,,,,,,,,,10,736,,,,0.6,,,,4.0,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,10.0,,,,,,,,36.9,,западный,,0.7,1,,0,,,,,,,20,737,,,,-1.8,,,,2.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,38.5,,западный,,,1,,,,,,,,,10,739,,,,-3.8,,,,0.0,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,49.8,,юго-западный,,,2,,,,,,,,,10,739,,,,-5.9,,,,0.0,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,63.7,,южный,,,1,,,,,,,,,10,740,,,,-7.2,,,,0.0,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,59.2,-7.6,юго-восточный,,,1,,0,,2.0,,,,,10,741,,,,-3.7,,,,9.0,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,66.2,,юго-западный,,,2,,,,,,,,,4,742,,,,0.9,,,,10.0,True,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,78.8,,южный,,,2,,,,,,,,,10,743,,,,2.5,,True,,10.0,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,63.1,,южный,,,2,,,,,,,,,10,743,,,,4.5,,True,,10.0,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,69.1,,,,4.9,0,,менее 0.1,,,,,,,20,743,,,,3.0,,,,10.0,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,55.4,,южный,,,1,,,,,,,,,10,743,,,,5.1,,,,7.0,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,74.2,,южный,,,1,,,,,,,,,10,742,,,,1.8,,,,5.0,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,85.7,,южный,,,1,,,,,,,,,10,742,,,,-0.5,,,,4.0,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,78.1,-1.1,южный,,,1,,0,,,,менее 0.1,,,10,743,,,,1.7,,,,2.0,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,47.3,,юго-западный,,,3,,,,,,,,,10,743,,,,9.9,,,,6.0,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,26.1,,западный,,,3,,,,,,,,,10,743,,,,15.6,,,,6.0,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,10.0,,,,,,,,19.8,,западный,,,3,,,,,,,,,10,743,,,,15.5,,,,4.0,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,26.3,,юго-западный,,16.0,2,,0,,,,,,,20,743,,,,11.6,,,,7.0,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,30.5,,юго-западный,,,1,,,,,,,,,4,744,,,,7.2,,,,0.0,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,71.7,,юго-восточный,,,1,,,,,,,,,10,744,,,,0.2,,,,0.0,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,66.4,,юго-восточный,,,1,,,,,,,,,10,745,,,,-0.3,,,,0.0,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,54.0,-0.6,юго-восточный,,,1,,0,,,,,,,10,745,,,,3.0,,,,0.0,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,23.1,,юго-западный,,,3,,,,,,,,,10,745,,,,12.5,,,,0.0,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,11.0,,,,,,,,24.6,,юго-западный,,,5,,,,,,,,,10,744,,,,13.3,,,,5.0,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,11.0,,,,,,,,29.3,,южный,,,3,,,,,,,,,10,743,,,,12.5,,,,5.0,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,41.7,,южный,,14.0,2,,0,,,,,,,20,743,,,,7.6,,,,4.0,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,60.1,,,,,0,,,,,,,,,4,743,,,,3.2,,,,0.0,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,65.0,,,,,0,,,,,,,,,4,742,,,,2.1,,,,0.0,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,50.9,,,,,0,,,,,,,,,10,741,,,,4.7,,,,7.0,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,59.6,1.7,юго-восточный,,,1,,менее 0.1,,,,менее 0.1,,True,10,740,,,,4.7,,,,10.0,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,35.3,,северо-восточный,,,2,,,,,,,,,10,738,,,,11.4,,True,,9.0,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,10.0,,,,,,,,29.3,,юго-восточный,,,3,,,,,,,,,10,736,,,,13.1,,,,9.0,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,28.6,,,,,0,,,,,,,,,10,735,,,,12.2,,,,10.0,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,39.1,,восточный,,13.9,1,,менее 0.1,,,,,,,20,734,,,,10.2,,,,7.0,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,57.1,,,,,0,,,,,,,,,4,734,,,,6.7,,,,2.0,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,83.6,,,,,0,,,,,,,,,4,733,,,,2.5,,,,0.0,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,92.9,,,,,0,,,,,,,,,4,733,,,,-0.7,,,,6.0,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,73.1,-1.0,,,,0,,0,,,,менее 0.1,,,10,732,,,,4.7,,,,9.0,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,47.9,,южный,,,3,,,,,,,,,10,732,,,,8.3,,,,7.0,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,11.0,,,,,,,,30.1,,юго-западный,,,3,,,,,,,,,10,733,,,,10.6,,,,6.0,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,38.6,,южный,,,1,,,,,,,,,10,734,,,,8.5,,,,9.0,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,52.8,,южный,,11.8,1,,0,,,,,,,20,735,,,,3.2,,,,7.0,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,55.6,,,,,0,,,,,,,,,4,735,,,,2.8,,,,6.0,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,86.5,,южный,,,1,,,,,,,,,4,735,,,,1.0,,,,7.0,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,88.3,,южный,,,1,,,,,,,,,4,735,,,,0.3,,,,10.0,True,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,87.7,-0.4,южный,,,1,,менее 0.1,,,,,,,10,735,,,,0.4,,True,,10.0,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,86.5,,южный,,,2,,,,,,,,,10,735,,,,1.6,,True,,10.0,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,75.1,,северный,,,2,,,,,,,,,10,735,,,,3.8,,True,,7.0,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,58.5,,северо-восточный,,,1,,,,,,,,,10,736,,,,5.7,,True,,6.0,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,59.1,,северо-западный,,6.3,2,,0.8,,,,,,,20,737,,,,4.6,,,,4.0,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,75.7,,западный,,,2,,,,,,,,,4,738,,,,1.0,,,,0.0,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,76.2,,западный,,,2,,,,,,,,,4,739,,,,0.6,,,,0.0,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,90.3,,,,,0,,,,,,,,,4,740,,,,-0.4,,,,10.0,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,73.3,-1.6,юго-западный,,,2,,0,,,,0.8,,,10,740,,,,3.0,,,,2.0,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,53.7,,юго-восточный,,,2,,,,,,,,,10,740,,,,6.4,,,,7.0,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,39.4,,юго-западный,,,3,,,,,,,,,10,740,,,,10.3,,,,7.0,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,49.9,,юго-восточный,,,1,,,,,,,,,10,740,,,,9.0,,True,,6.0,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,53.3,,юго-восточный,,10.7,1,,менее 0.1,,,,,,,20,739,,,,7.6,,,,4.0,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,41.3,,юго-западный,,,2,,,,,,,,,4,739,,,,8.4,,,,0.0,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,74.9,,,,,0,,,,,,,,,4,738,,,,2.6,,,,4.0,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,58.1,,южный,,,3,,,,,,,,,4,738,,,,5.9,,,,7.0,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,58.8,2.4,южный,,,1,,0,,,,менее 0.1,,,10,738,,,,5.2,,,,10.0,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,30.8,,южный,,,4,,,,,,,,,10,737,,,,12.2,,,,10.0,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,15.0,,,,,,,,15.3,,южный,,,6,,,,,,,,,10,736,,,,17.3,,,,9.0,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,15.0,,,,,,,,19.0,,южный,,,4,,,,,,,,,10,735,,,,15.9,,,,10.0,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,14.0,,,,,,,,22.2,,южный,,17.8,4,,0,,,,,,,10,734,,,,13.7,,,,10.0,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,12.0,,,,,,,,25.1,,южный,,,5,,,,,,,,,4,734,,,,11.6,,,,10.0,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,10.0,,,,,,,,37.2,,южный,,,2,,,,,,,,,4,732,,,,8.7,,,,10.0,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,10.0,,,,,,,,35.4,,южный,,,3,,,,,,,,,4,731,,,,10.0,,,,10.0,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,90.6,3.9,западный,,,2,,1,,,,,,True,10,732,,,,3.9,,,,10.0,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,74.5,3.1,южный,,,2,,,,,,,,,10,734,,,,6.3,,True,,9.0,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,44.5,,южный,,,3,,,,,,,,,10,733,,,,8.3,,,,9.0,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,34.5,,южный,,,4,,,,,,,,,10,733,,,,8.8,,,,7.0,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,48.1,,южный,,9.4,2,,0.7,,,,,,,10,733,,,,6.5,,,,10.0,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,60.4,,южный,,,2,,,,,,,,,4,732,,,,4.6,,,,10.0,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,70.6,,южный,,,2,,,,,,,,,4,731,,,,5.2,,,,10.0,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,12.0,,,,,,,,69.7,,южный,,,3,,,,,,,,,4,731,,,,5.6,,,,10.0,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,10.0,,,,,,,,64.2,3.6,юго-западный,,,5,,0,,,,,,,4,732,,,,7.0,,,,2.0,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,11.0,,,,,,,,44.1,,юго-западный,,,5,,,,,,,,,10,733,,,,9.3,,,,7.0,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,14.0,,,,,,,,26.2,,юго-западный,,,6,,,,,,,,,10,734,,,,11.9,,,,6.0,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,15.0,,,,,,,,25.0,,юго-западный,,,6,,,,,,,,,10,735,,,,11.3,,,,6.0,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,13.0,,,,,,,,41.8,,южный,,11.9,4,,0,,,,,,,10,735,,,,8.2,,,,6.0,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,63.9,,юго-западный,,,1,,,,,,,,,4,737,,,,3.9,,,,0.0,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,87.1,,,,,0,,,,,,,,,4,738,,,,0.5,,,,0.0,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,82.7,,юго-восточный,,,1,,,,,,,,,4,739,,,,0.6,,,,0.0,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,64.1,-0.2,юго-западный,,,1,,0,,,,0,,,10,741,,,,4.6,,,,0.0,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,31.9,,западный,,,2,,,,,,,,,20,742,,,,10.3,,,,4.0,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,24.6,,южный,,,2,,,,,,,,,10,742,,,,11.8,,,,7.0,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,11.0,,,,,,,,19.5,,юго-западный,,,2,,,,,,,,,10,743,,,,12.2,,,,6.0,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,26.6,,южный,,13.6,1,,0,,,,,,,10,743,,,,9.7,,,,7.0,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,51.5,,,,,0,,,,,,,,,4,744,,,,4.2,,,,6.0,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,59.9,,,,,0,,,,,,,,,4,745,,,,2.4,,,,4.0,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,89.6,,,,,0,,,,,,,,,20,745,,,,-0.6,,,,2.0,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,62.3,-1.3,,,,0,,0,,,,,,,10,745,,,,4.8,,,,7.0,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,42.5,,юго-восточный,,,2,,,,,,,,,10,745,,,,9.3,,,,10.0,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,10.0,,,,,,,,46.6,,южный,,,3,,,,,,,,,10,744,,,,10.0,,,,10.0,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,True,,,,,,88.9,,юго-восточный,,,1,,,,,,,,,10,743,,,,6.9,,,,10.0,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,90.2,,,,11.9,0,,1,,,,,,,10,742,,,,7.3,,True,,10.0,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,93.3,,,,,0,,,,,,,,,4,743,,,,6.6,,True,,10.0,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,87.7,,,,,0,,,,,,,,,4,743,,,,6.5,,,,10.0,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,95.3,,,,,0,,,,,,,True,,4,743,,,,5.6,,,,10.0,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,94.7,3.7,,,,0,,0,,,,1,,,4,743,,,,8.0,,True,,5.0,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,70.2,,южный,,,1,,,,,,,,,10,743,,,,10.8,,True,,7.0,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,46.9,,южный,,,2,,,,,,,,,20,742,,,,14.6,,,,6.0,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,46.2,,юго-восточный,,,3,,,,,,,,,20,741,,,,14.2,,,,4.0,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,62.2,,,,15.7,0,,0,,,,,,,10,739,,,,11.7,,,,10.0,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,69.0,,южный,,,2,,,,,,,,,4,737,,,,11.7,,,,10.0,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,11.0,,,,,,,,66.3,,восточный,,,3,,,,,,,,,4,733,,,,12.5,,True,,10.0,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,11.0,,,,,,,,71.2,,юго-восточный,,,2,,,,,,,,,4,730,,,,10.5,,,,10.0,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,63.6,8.9,юго-восточный,,,2,,менее 0.1,,,,,,,10,728,,,,12.1,,,,10.0,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,11.0,,,,,,,,67.9,,южный,,,3,,,,,,,,,10,726,,,,13.1,,,,10.0,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,12.0,,,,,,,,83.9,,юго-западный,,,3,,,,,,,,True,10,726,,,,10.5,,,,10.0,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,12.0,,,,,,,,31.9,,юго-западный,,,6,,,,,,,,,10,726,,,,12.7,,True,,7.0,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,13.0,,,,,,,,31.7,,южный,,15.5,5,,3,,,,,,,10,726,,,,10.4,,,,4.0,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,12.0,,,,,,,,57.2,,южный,,,3,,,,,,,,,4,726,,,,5.8,,,,0.0,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,60.1,,южный,,,4,,,,,,,,,4,725,,,,5.2,,,,0.0,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,10.0,,,,,,,,69.2,,южный,,,4,,,,,,,,,20,725,,,,3.5,,,,0.0,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,13.0,,,,,,,,56.8,3.3,юго-западный,,,6,,0,,,,,,,10,725,,,,5.7,,,,0.0,,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,12.0,,,,,,,,36.3,,юго-западный,,,5,,,,,,,,,10,726,,,,8.5,,,,7.0,,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,12.0,,,,,,,,36.2,,юго-западный,,,5,,,,,,,,,10,727,,,,8.0,,,,10.0,,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,14.0,,,,,,,,32.5,,юго-западный,,,4,,,,,,,,,10,728,,,,8.2,,,,7.0,,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,12.0,,,True,,,,,77.1,,западный,,8.6,3,,менее 0.1,,,,,,,10,731,,,,2.6,,,,7.0,,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,10.0,,,,,,,,60.9,,западный,,,1,,,,,,,,,4,732,,,,1.0,,True,,0.0,,
