timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь очень сильный,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Дождь (незамерзающий) слабый с перерывами,"Дождь замерзающий, образующий гололёд, слабый","Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,4.2,,83.8,,,северный,10.0,,,2.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,4.0,,709.0,,,2.0,,85.3,2.0,,южный,10.0,,,2.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,10.0,,62.2,,,западный,10.0,,,2.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,12.3,,51.9,,,западный,10.0,,,2.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,707.0,,,14.4,,45.6,,,северо-восточный,6.0,,,2.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,707.0,,,13.6,,54.1,,,восточный,7.0,,14.4,2.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,9.1,,72.9,,,южный,10.0,,,2.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,5.0,,78.1,,,южный,0.0,,,2.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,3.4,,77.8,,,южный,0.0,,,2.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,0.1,,,0,,,,,,True,4.0,,709.0,,,3.0,,80.1,3.0,,северный,10.0,,,2.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,True,,4.0,,712.0,,,1.2,,91.7,,,юго-восточный,10.0,,,2.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,712.0,,,3.4,,66.2,,True,юго-западный,10.0,,,2.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,712.0,,,7.3,,43.2,,,западный,6.0,,,2.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,2,,,,,,,,,,20.0,,712.0,,,7.3,,45.8,,,северо-восточный,7.0,,7.3,2.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,715.0,,,5.0,,70.1,,,восточный,10.0,,,2.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,715.0,,,3.0,,74.4,,,восточный,10.0,,,2.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,715.0,,,2.5,,75.4,,,восточный,10.0,,,2.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,714.0,,,2.0,,73.2,2.0,,южный,10.0,,,2.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,714.0,,,5.0,,49.1,,,западный,2.0,,,2.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,713.0,,,6.9,,30.4,,,западный,0.0,,,1.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,712.0,,,7.8,,25.6,,,северный,7.0,,,2.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,713.0,,,4.6,,36.3,,,восточный,7.0,,10.5,3.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,715.0,,,2.0,,43.6,,,восточный,10.0,,,2.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,715.0,,,-0.8,,71.0,,,восточный,2.0,,,1.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,715.0,,,-1.5,,71.9,,,,0.0,,,0.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,715.0,,,-0.6,,63.3,-3.5,,южный,0.0,,,1.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,714.0,,,5.1,,51.0,,,южный,0.0,,,2.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50.0,,712.0,,,8.2,,31.8,,,восточный,0.0,,,3.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,50.0,,710.0,,,10.0,,35.2,,,восточный,0.0,,,3.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,50.0,,709.0,,,8.1,,33.8,,,южный,0.0,,11.0,3.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,3.1,,59.1,,,,0.0,,,0.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,2.0,,69.4,,,,0.0,,,0.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,706.0,,,0.0,,70.1,,,,0.0,,,0.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,50.0,,705.0,,,1.2,,59.1,-1.5,,южный,0.0,,,1.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50.0,,705.0,,,7.6,,43.9,,,северный,0.0,,,1.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,13.2,,34.3,,,юго-западный,0.0,,,2.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,13.5,,35.2,,,северо-восточный,0.0,,,2.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,704.0,,,10.3,,49.5,,,северо-восточный,0.0,,13.5,2.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,5.0,,68.6,,,восточный,0.0,,,2.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,0.5,,74.5,,,восточный,0.0,,,2.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,0.2,,74.5,,,южный,0.0,,,2.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,703.0,,,1.1,,71.9,0.2,,южный,0.0,,,2.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,8.1,,47.5,,,северо-восточный,0.0,,,2.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,12.0,,45.2,,,восточный,0.0,,,2.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,16.1,,39.4,,,восточный,0.0,,,2.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,701.0,,,10.0,,42.1,,,южный,0.0,,16.1,3.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,6.5,,49.5,,,восточный,0.0,,,2.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,3.1,,65.7,,,южный,0.0,,,2.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,701.0,,,0.5,,70.7,,,юго-западный,0.0,,,2.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,702.0,,,0.0,,68.5,0.0,,южный,0.0,,,2.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,5.0,,53.7,,,западный,0.0,,,2.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,13.3,,39.5,,,западный,0.0,,,2.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,15.0,,31.0,,,северный,6.0,,,2.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,702.0,,,12.2,,43.3,,,северо-восточный,10.0,,15.0,2.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,True,,,,,,,,,,,10.0,,704.0,,,7.4,,85.3,,,восточный,10.0,,,2.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,True,,,,,,,,,,,10.0,,706.0,,,4.0,,86.8,,,южный,10.0,,,2.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,True,,10.0,,706.0,,,2.1,,87.2,,,южный,10.0,,,2.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,11,,,11,,,,,True,,10.0,,706.0,,,1.8,,85.3,1.8,,южный,10.0,,,2.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,True,,,,707.0,,,3.3,,89.9,,,юго-западный,10.0,,,2.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,4.0,,86.8,,True,западный,10.0,,,1.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10.0,,708.0,,,5.0,,59.6,,True,юго-западный,10.0,,,2.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,2,,,,,,,,True,,10.0,,709.0,,,4.2,,65.9,,,северный,10.0,,5.5,2.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,True,,,,,,10.0,,709.0,,,3.6,,68.3,,,,7.0,,,0.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,3.1,,70.7,,,северный,7.0,,,1.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,2.2,,74.8,,,северный,7.0,,,1.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,менее 0.1,,,2,,,,,,,50.0,,710.0,,,1.4,,70.4,-1.5,,южный,0.0,,,1.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50.0,,710.0,,,5.9,,42.8,,,,0.0,,,0.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,709.0,,,9.1,,34.1,,,северо-восточный,0.0,,,2.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,11.8,,30.0,,,северо-восточный,0.0,,,2.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,708.0,,,9.8,,30.6,,,восточный,0.0,,12.5,2.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,708.0,,,4.6,,61.8,,,восточный,0.0,,,2.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,4.1,,65.9,,,,0.0,,,0.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,707.0,,,3.3,,72.9,,,,0.0,,,0.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,50.0,,706.0,,,4.2,,51.9,-0.2,,западный,0.0,,,1.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50.0,,705.0,,,12.4,,30.4,,,восточный,0.0,,,1.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,15.3,,28.2,,,восточный,0.0,,,1.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,17.3,,25.2,,,восточный,2.0,,,2.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,703.0,,,14.4,,34.1,,,северо-восточный,10.0,,17.3,2.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,10.0,,49.1,,,юго-восточный,10.0,,,2.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,6.7,,52.6,,,восточный,10.0,,,2.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,4.0,,54.7,,,восточный,6.0,,,2.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,703.0,,,3.0,,52.4,3.0,,восточный,10.0,,,2.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,11.0,,47.6,,,юго-восточный,0.0,,,2.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,700.0,,,22.2,,19.9,,,северо-восточный,0.0,,,2.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,20.3,,24.4,,,северо-восточный,7.0,,,2.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,698.0,,,18.4,,27.7,,,восточный,7.0,,22.2,2.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,11.4,,47.0,,,южный,10.0,,,5.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,5.6,,59.3,,,южный,10.0,,,4.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,4.0,,60.7,,,южный,10.0,,,3.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,True,менее 0.1,,,менее 0.1,,,,,,,10.0,,704.0,,,2.5,,65.0,2.5,,северный,10.0,,,3.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,6.6,,86.4,,True,юго-восточный,10.0,,,2.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,705.0,,,3.0,,87.9,,,южный,10.0,,,2.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,705.0,,,4.3,,83.8,,,западный,10.0,,,2.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,2,,,,,,,,,,20.0,,705.0,,,5.3,,79.8,,,северо-восточный,6.0,,11.4,2.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,706.0,,,3.3,,84.9,,,восточный,10.0,,,2.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,706.0,,,3.0,,82.4,,,южный,10.0,,,2.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,705.0,,,2.1,,86.6,,,южный,10.0,,,1.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,705.0,,,1.0,,86.5,1.0,,восточный,10.0,,,2.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,10.0,,65.8,,,западный,6.0,,,2.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,15.4,,31.8,,,северный,6.0,,,1.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,16.6,,25.2,,,восточный,7.0,,,2.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,15.4,,34.4,,,восточный,2.0,,18.0,2.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,9.5,,51.5,,,восточный,0.0,,,1.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,8.1,,57.8,,,северный,0.0,,,1.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,20.0,,702.0,,,5.4,,70.7,,,,0.0,,,0.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,703.0,,,8.8,,55.2,4.5,,юго-западный,9.0,,,1.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,11.6,,45.4,,,северный,9.0,,,1.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,13.1,,46.2,,,северо-восточный,9.0,,,1.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,14.6,,42.2,,,восточный,9.0,,,1.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,703.0,,,14.6,,42.2,,,восточный,9.0,,16.0,2.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,10.3,,56.8,,,восточный,4.0,,,1.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,8.2,,60.9,,,,0.0,,,0.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,6.1,,71.3,,,,0.0,,,0.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,20.0,,703.0,,,8.2,,61.8,6.0,,южный,7.0,,,1.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,704.0,,,12.7,,51.6,,,северо-западный,4.0,,,1.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,,,,,,южный,0.0,,,2.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,703.0,,,20.3,,28.8,,,северо-восточный,0.0,,,2.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,20.0,,703.0,,,17.0,,44.7,,,северо-восточный,2.0,,20.3,2.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,11.4,,55.1,,,восточный,2.0,,,2.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,10.0,,59.6,,,восточный,2.0,,,2.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,703.0,,,6.0,,62.6,,,восточный,2.0,,,2.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,702.0,,,3.2,,66.2,3.2,,южный,4.0,,,2.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20.0,,701.0,,,14.2,,55.0,,,западный,4.0,,,1.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20.0,,699.0,,,19.0,,39.7,,,восточный,10.0,,,2.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20.0,,697.0,,,25.3,,34.4,,,северо-восточный,7.0,,,2.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,0,,,,,,,,,,10.0,,697.0,,,18.1,,43.8,,,западный,7.0,,20.5,2.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,698.0,,,12.0,,49.3,,,южный,10.0,,,2.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,8.2,,73.8,,,северо-западный,10.0,,,4.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,702.0,,,6.5,,75.0,,,северо-западный,10.0,,,3.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,0,,,0,,,,,,,10.0,,703.0,,,4.1,,72.0,0.6,,восточный,10.0,,,2.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,,1.0,,704.0,,,4.0,,88.0,,,северо-западный,10.0,,,2.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,3.4,,84.9,,True,юго-западный,10.0,,,2.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,4.3,,86.8,,,северо-западный,10.0,,,2.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,2,,,,,,,,,,10.0,,705.0,,,4.0,,,,,западный,10.0,,12.0,2.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10.0,,705.0,,,5.2,,82.7,,,южный,10.0,,,2.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,4.0,,83.1,,,южный,10.0,,,2.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,3.6,,84.9,,,южный,10.0,,,2.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,1,,,1,,,,,,,10.0,,704.0,,,3.0,,82.4,3.0,,южный,10.0,,,2.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,4.5,,77.4,,,южный,10.0,,,2.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10.0,,704.0,,,3.2,,93.1,,,восточный,10.0,,,2.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,True,,,,,,,,,,,10.0,,704.0,,,4.0,,89.9,,,восточный,10.0,,,2.0
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,3,,,,,,,,,,10.0,,704.0,,,5.0,,79.2,,True,западный,10.0,,6.0,1.0
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,True,,,,,,,,,,,10.0,,705.0,,,4.6,,83.8,,,западный,10.0,,,1.0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,True,,,,,,,,,,,4.0,,704.0,,,4.1,,89.9,,,,10.0,,,0.0
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,True,,,,,,,,,,,10.0,,704.0,,,3.8,,91.9,,,,10.0,,,0.0
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,True,5,,,8,,,,,,,1.0,,705.0,,,1.6,,96.5,1.3,,юго-западный,10.0,,,1.0
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,,1.0,,706.0,,,2.6,,93.1,,,западный,10.0,,,1.0
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,,,True,,10.0,,705.0,,,5.0,,80.9,,,,10.0,,,0.0
