timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Дождь со снегом слабый,В окрестности станции местами туман,"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,13.0,,,,,,,,,66.1,,,,юго-западный,,,5,,,,,,,,,,,50.0,741.0,5.2,,,,,10.0,,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,13.0,,,,,,,,,85.5,,,,южный,,,4,,,,,,,,,,,,741.0,3.1,,,,,,,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,13.0,,,,,,,,,89.1,,,,южный,,,4,,,,,,,,,,,,741.0,2.0,,,,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,12.0,,,,,,,,,87.9,,,,южный,,,4,,,,,,,,,,,50.0,741.0,2.1,,,,,10.0,,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,13.0,,,,,,,,,87.8,,,,южный,,,4,,,,,,,,,,,,741.0,1.7,,,,,,,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,13.0,,,,,,,,,90.3,,,,южный,,,4,,,,,,,,,,,,742.0,0.7,,,,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,88.4,,0.7,,юго-западный,,,3,,,0.1,,,,0.1,,,,30.0,742.0,0.9,,,True,,2.0,,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,,83.5,,,,юго-западный,,,4,,,,,,,,,,,,743.0,2.0,,,,,,,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,,74.0,,,,юго-западный,,,4,,,,,,,,,,,,743.0,3.5,,,,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,62.7,,,,западный,,,4,,,,,,,,,,,30.0,744.0,4.7,,,True,,2.0,,
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,,54.7,,,,западный,,,4,,,,,,,,,,,,744.0,5.6,,,,,,,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,12.0,,,,,,,,,45.1,,,,юго-западный,,,6,,,,,,,,,,,,745.0,7.1,,,,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,12.0,,,,,,,,,44.3,,,,западный,,,4,,,,,,,,,,,30.0,745.0,6.5,,,,,6.0,,
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,12.0,,,,,,,,,38.4,,,,западный,,,4,,,,,,,,,,,,746.0,6.9,,,,,,,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,12.0,,,,,,,,,31.4,,,,западный,,,5,,,,,,,,,,,,746.0,6.9,,,,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,12.0,,,,,,,,,34.8,,,,западный,,,6,,,,,,,,,,,30.0,747.0,7.1,,,,,7.0,,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,13.0,,,,,,,,,52.4,,,,северо-западный,,,4,,,,,,,,,,,,748.0,5.9,,,,,,,
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,,42.4,,,,западный,,,4,,,,,,,,,,,,748.0,5.7,,,,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,14.0,,,,,,,,,65.2,,,,северо-западный,,8.7,1,,,менее 0.1,,,,,,,,30.0,749.0,3.0,,,True,,7.0,,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,,,,,,,,,,59.4,,,,западный,,,2,,,,,,,,,,,,749.0,2.3,,,,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,51.3,,,,западный,,,3,,,,,,,,,,,50.0,751.0,2.0,,,True,,0.0,,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,14.0,,,,,,,,,51.6,,,,западный,,,2,,,,,,,,,,,,751.0,1.6,,,,,,,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,14.0,,,,,,,,,53.5,,,,западный,,,3,,,,,,,,,,,,751.0,1.2,,,,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,55.9,,,,западный,,,3,,,,,,,,,,,50.0,752.0,0.8,,,,,0.0,,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,,61.0,,,,юго-западный,,,2,,,,,,,,,,,,752.0,-0.3,,,,,,,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,,60.2,,,,западный,,,3,,,,,,,,,,,,752.0,0.1,,,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,66.2,,,,юго-западный,,,3,,,,,,,,,,,50.0,752.0,-1.1,,,,,0.0,,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,,74.5,,,,юго-западный,,,3,,,,,,,,,,,,752.0,-2.7,,,,,,,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,,76.2,,,,юго-западный,,,3,,,,,,,,,,,,752.0,-3.0,,,,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,78.0,,-3.4,,юго-западный,,,4,,,менее 0.1,,,,менее 0.1,,,,30.0,752.0,-2.8,,,,,2.0,,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,,72.6,,,,юго-западный,,,3,,,,,,,,,,,,752.0,-1.0,,,,,,,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,,61.9,,,,юго-западный,,,3,,,,,,,,,,,,752.0,1.4,,,,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,54.4,,,,юго-западный,,,3,,,,,,,,,,,30.0,752.0,2.9,,,,,7.0,,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,,45.3,,,,западный,,,3,,,,,,,,,,,,752.0,4.2,,,,,,,
1586073600,"Воскресенье, 5 апреля
08:00 (UTC)",,,,,,,,,,,46.4,,,,западный,,,4,,,,,,,,,,,,752.0,4.6,,,,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,10.0,,,,,,,,,57.7,,,,западный,,,5,,,,,,,,,,,30.0,752.0,2.7,,,,,10.0,,
1586080800,"Воскресенье, 5 апреля
10:00 (UTC)",,,,,,,,,,,76.3,,,,северо-западный,,,3,,,,,,,,,,,,752.0,1.0,,,,,,,
1586084400,"Воскресенье, 5 апреля
11:00 (UTC)",,13.0,,,,,,,,,67.3,,,,западный,,,4,,,,,,,,,,,,752.0,1.4,,,,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,13.0,,,,,,,,,43.3,,,,северо-западный,,,3,,,,,,,,,,,30.0,752.0,3.4,,,True,,7.0,,
1586091600,"Воскресенье, 5 апреля
13:00 (UTC)",,,,,,,,,,,39.3,,,,северо-западный,,,2,,,,,,,,,,,,752.0,3.9,,,,,,,
1586095200,"Воскресенье, 5 апреля
14:00 (UTC)",,,,,,,,,,,58.1,,,,северо-западный,,,5,,,,,,,,,,,,753.0,2.4,,,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,11.0,,,,,,,,,71.3,,,,северный,,4.9,6,,,менее 0.1,,,,,,,,30.0,753.0,0.9,,True,,,9.0,,
1586102400,"Воскресенье, 5 апреля
16:00 (UTC)",,13.0,,,,,,,,,82.5,,,,западный,,,2,,,,,,,,,,,,754.0,-1.1,,,,,,,
1586106000,"Воскресенье, 5 апреля
17:00 (UTC)",,,,,,,,,,,74.8,,,,западный,,,2,,,,,,,,,,,,754.0,-1.1,,,,,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,11.0,,,,,,,,,75.4,,,,западный,,,3,,,,,,,,,,,50.0,754.0,-1.0,,,True,,2.0,,
1586113200,"Воскресенье, 5 апреля
19:00 (UTC)",,,,,,,,,,,78.1,,,,северо-западный,,,3,,,,,,,,,,,,755.0,-1.9,,,,,,,
1586116800,"Воскресенье, 5 апреля
20:00 (UTC)",,,,,,,,,,,77.5,,,,северо-западный,,,2,,,,,,,,,,,,755.0,-2.1,,,,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,76.9,,,,северо-западный,,,2,,,,,,,,,,,50.0,755.0,-2.3,,,,,4.0,,
1586124000,"Воскресенье, 5 апреля
22:00 (UTC)",,,,,,,,,,,81.0,,,,северо-западный,,,2,,,,,,,,,,,,755.0,-3.0,,,,,,,
1586127600,"Воскресенье, 5 апреля
23:00 (UTC)",,,,,,,,,,,83.4,,,,северо-западный,,,2,,,,,,,,,,,,756.0,-3.4,,,,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,84.1,,,,северо-западный,,,2,,,,,,,,,,,,756.0,-3.4,,,,,,,
1586134800,"Понедельник, 6 апреля
01:00 (UTC)",,,,,,,,,,,86.6,,,,северо-западный,,,2,,,,,,,,,,,,756.0,-4.0,,,,,,,
1586138400,"Понедельник, 6 апреля
02:00 (UTC)",,,,,,,,,,,85.3,,,,северо-западный,,,2,,,,,,,,,,,,757.0,-3.8,,,,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,87.9,,-4.2,,северо-западный,,,2,,,менее 0.1,,,,менее 0.1,,,,30.0,757.0,-4.2,,,,,9.0,,
1586145600,"Понедельник, 6 апреля
04:00 (UTC)",,,,,,,,,,,84.1,,,,северо-западный,,,3,,,,,,,,,,,,758.0,-3.1,,,,,,,
1586149200,"Понедельник, 6 апреля
05:00 (UTC)",,,,,,,,,,,72.5,,,,северо-западный,,,3,,,,,,,,,,,,758.0,-1.2,,,,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,57.2,,-4.2,,северо-западный,,,3,,,,,,,,,,,30.0,759.0,0.8,,,,,0.0,,
1586156400,"Понедельник, 6 апреля
07:00 (UTC)",,,,,,,,,,,43.9,,,,северный,,,5,,,,,,,,,,,,759.0,2.1,,,,,,,
1586160000,"Понедельник, 6 апреля
08:00 (UTC)",,,,,,,,,,,34.0,,,,северный,,,5,,,,,,,,,,,,759.0,1.7,,,,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,11.0,,,,,,,,,25.1,,,,северный,,,6,,,,,,,,,,,30.0,759.0,3.9,,,,,2.0,,
1586167200,"Понедельник, 6 апреля
10:00 (UTC)",,,,,,,,,,,26.0,,,,северный,,,5,,,,,,,,,,,,759.0,3.5,,,,,,,
1586170800,"Понедельник, 6 апреля
11:00 (UTC)",,,,,,,,,,,31.5,,,,северный,,,3,,,,,,,,,,,,759.0,1.6,,,,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,11.0,,,,,,,,,39.9,,,,северо-западный,,,5,,,,,,,,,,,30.0,760.0,2.8,,,,,4.0,,
1586178000,"Понедельник, 6 апреля
13:00 (UTC)",,,,,,,,,,,43.5,,,,северо-западный,,,2,,,,,,,,,,,,760.0,1.9,,,,,,,
1586181600,"Понедельник, 6 апреля
14:00 (UTC)",,13.0,,,,,,,,,44.1,,,,северо-западный,,,3,,,,,,,,,,,,760.0,2.5,,,,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,13.0,,,,,,,,,55.4,,,,северо-западный,,4.5,1,,,менее 0.1,,,,,,,,30.0,761.0,0.4,,,True,,1.0,,
1586188800,"Понедельник, 6 апреля
16:00 (UTC)",,13.0,,,,,,,,,68.7,,,,северо-западный,,,2,,,,,,,,,,,,761.0,-1.3,,,,,,,
1586192400,"Понедельник, 6 апреля
17:00 (UTC)",,13.0,,,,,,,,,70.2,,,,западный,,,3,,,,,,,,,,,,761.0,-1.8,,,,,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,68.1,,,,западный,,,3,,,,,,,,,,,50.0,762.0,-1.8,,,True,,1.0,,
1586199600,"Понедельник, 6 апреля
19:00 (UTC)",,13.0,,,,,,,,,62.5,,,,западный,,,3,,,,,,,,,,,,762.0,-2.0,,,,,,,
1586203200,"Понедельник, 6 апреля
20:00 (UTC)",,,,,,,,,,,62.9,,,,западный,,,2,,,,,,,,,,,,762.0,-2.4,,,,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,60.4,,,,западный,,,2,,,,,,,,,,,50.0,763.0,-2.6,,,,,0.0,,
1586210400,"Понедельник, 6 апреля
22:00 (UTC)",,,,,,,,,,,60.9,,,,западный,,,3,,,,,,,,,,,,763.0,-2.7,,,,,,,
1586214000,"Понедельник, 6 апреля
23:00 (UTC)",,,,,,,,,,,59.4,,,,западный,,,2,,,,,,,,,,,,764.0,-3.0,,,,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,62.9,,,,западный,,,2,,,,,,,,,,,50.0,764.0,-4.2,,,,,0.0,,
1586221200,"Вторник, 7 апреля
01:00 (UTC)",,,,,,,,,,,57.4,,,,западный,,,2,,,,,,,,,,,,764.0,-3.5,,,,,,,
1586224800,"Вторник, 7 апреля
02:00 (UTC)",,,,,,,,,,,58.7,,,,западный,,,2,,,,,,,,,,,,764.0,-3.8,,,,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,56.8,,-6.6,,западный,,,2,,,0,,,,менее 0.1,,,,30.0,764.0,-4.0,,,,,1.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,38.6,,,,западный,,,2,,,,,,,,,,,30.0,764.0,0.6,,,,,7.0,,
1586242800,"Вторник, 7 апреля
07:00 (UTC)",,,,,,,,,,,27.8,,,,западный,,,4,,,,,,,,,,,,764.0,2.1,,,,,,,
1586246400,"Вторник, 7 апреля
08:00 (UTC)",,,,,,,,,,,26.7,,,,западный,,,4,,,,,,,,,,,,763.0,3.5,,,,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,25.2,,,,западный,,,4,,,,,,,,,,,30.0,763.0,4.2,,,,,10.0,,
1586253600,"Вторник, 7 апреля
10:00 (UTC)",,,,,,,,,,,23.9,,,,юго-западный,,,4,,,,,,,,,,,,762.0,4.6,,,,,,,
1586257200,"Вторник, 7 апреля
11:00 (UTC)",,,,,,,,,,,24.2,,,,западный,,,4,,,,,,,,,,,,761.0,4.8,,,,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,10.0,,,,,,,,,26.7,,,,западный,,,3,,,,,,,,,,,30.0,761.0,4.2,,,,,10.0,,
1586264400,"Вторник, 7 апреля
13:00 (UTC)",,,,,,,,,,,28.0,,,,юго-западный,,,4,,,,,,,,,,,,760.0,4.3,,,,,,,
1586268000,"Вторник, 7 апреля
14:00 (UTC)",,,,,,,,,,,25.5,,,,юго-западный,,,4,,,,,,,,,,,,759.0,4.6,,,,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,29.2,,,,юго-западный,,5.2,4,,,0,,,,,,,,30.0,758.0,4.3,,,,,10.0,,
1586278800,"Вторник, 7 апреля
17:00 (UTC)",,,,,,,,,,,42.7,,,,южный,,,3,,,,,,,,,,,,756.0,1.3,,,,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,45.3,,,,южный,,,3,,,,,,,,,,,50.0,756.0,0.9,,,,,10.0,,
1586286000,"Вторник, 7 апреля
19:00 (UTC)",,,,,,,,,,,51.2,,,,южный,,,5,,,,,,,,,,,,755.0,1.8,,,,,,,
1586289600,"Вторник, 7 апреля
20:00 (UTC)",,,,,,,,,,,55.1,,,,южный,,,4,,,,,,,,,,,,754.0,2.4,,,,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,58.4,,,,южный,,,5,,,,,,,,,,,50.0,753.0,1.9,,,,,2.0,,
1586296800,"Вторник, 7 апреля
22:00 (UTC)",,,,,,,,,,,62.4,,,,южный,,,4,,,,,,,,,,,,752.0,1.5,,,,,,,
1586300400,"Вторник, 7 апреля
23:00 (UTC)",,,,,,,,,,,65.3,,,,южный,,,4,,,,,,,,,,,,750.0,1.6,,,,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,65.9,,,,южный,,,4,,,,,,,,,,,50.0,750.0,2.0,,,,,6.0,,
1586307600,"Среда, 8 апреля
01:00 (UTC)",,,,,,,,,,,60.7,,,,юго-западный,,,5,,,,,,,,,,,,749.0,3.9,,,,,,,
1586311200,"Среда, 8 апреля
02:00 (UTC)",,,,,,,,,,,63.8,,,,юго-западный,,,4,,,,,,,,,,,,748.0,3.2,,,,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,65.6,,0.5,,юго-западный,,,3,,,0,,,,0,,,,30.0,747.0,2.7,,,,,4.0,,
1586318400,"Среда, 8 апреля
04:00 (UTC)",,,,,,,,,,,61.6,,,,юго-западный,,,4,,,,,,,,,,,,747.0,3.9,,,,,,,
1586322000,"Среда, 8 апреля
05:00 (UTC)",,,,,,,,,,,50.0,,,,западный,,,3,,,,,,,,,,,,746.0,6.7,,,,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,44.8,,,,западный,,,3,,,,,,,,,,,30.0,746.0,8.3,,,,,10.0,,
1586329200,"Среда, 8 апреля
07:00 (UTC)",,,,,,,,,,,46.1,,,,западный,,,3,,,,,,,,,,,,746.0,8.3,,,,,,,
1586332800,"Среда, 8 апреля
08:00 (UTC)",,,,,,,,,,,39.3,,,,северо-западный,,,3,,,,,,,,,,,,746.0,11.0,,,,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,39.9,,,,западный,,,4,,,,,,,,,,,30.0,746.0,11.7,,,,,10.0,,
1586340000,"Среда, 8 апреля
10:00 (UTC)",,,,,,,,,,,41.2,,,,западный,,,4,,,,,,,,,,,,747.0,12.2,,,,,,,
1586343600,"Среда, 8 апреля
11:00 (UTC)",,,,,,,,,,,34.9,,,,северо-западный,,,4,,,,,,,,,,,,747.0,14.4,,,,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,33.9,,,,северо-западный,,,3,,,,,,,,,,,30.0,747.0,14.4,,,,,10.0,,
1586350800,"Среда, 8 апреля
13:00 (UTC)",,,,,,,,,,,34.9,,,,северо-западный,,,4,,,,,,,,,,,,747.0,15.1,,,,,,,
1586354400,"Среда, 8 апреля
14:00 (UTC)",,,,,,,,,,,48.8,,,,западный,,,5,,,,,,,,,,,,748.0,11.7,,,,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,10.0,,,,,,,,,51.4,,,,северо-западный,,15.3,2,,,0,,,,,,,,30.0,748.0,10.7,,,,,9.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,65.0,,,,северо-западный,,,2,,,,,,,,,,,50.0,750.0,6.6,,,,,0.0,,
1586372400,"Среда, 8 апреля
19:00 (UTC)",,,,,,,,,,,62.2,,,,северо-западный,,,2,,,,,,,,,,,,750.0,6.3,,,,,,,
1586376000,"Среда, 8 апреля
20:00 (UTC)",,,,,,,,,,,63.8,,,,северо-западный,,,1,,,,,,,,,,,,750.0,5.4,,,,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,64.7,,,,западный,,,3,,,,,,,,,,,50.0,751.0,5.3,,,,,0.0,,
1586383200,"Среда, 8 апреля
22:00 (UTC)",,,,,,,,,,,66.6,,,,западный,,,3,,,,,,,,,,,,751.0,4.9,,,,,,,
1586386800,"Среда, 8 апреля
23:00 (UTC)",,,,,,,,,,,84.6,,,,юго-западный,,,2,,,,,,,,,,,,751.0,0.9,,,,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,69.8,,,,западный,,,3,,,,,,,,,,,50.0,751.0,3.9,,,,,0.0,,
1586394000,"Четверг, 9 апреля
01:00 (UTC)",,,,,,,,,,,89.5,,,,южный,,,3,,,,,,,,,,,,750.0,-1.1,,,,,,,
1586397600,"Четверг, 9 апреля
02:00 (UTC)",,,,,,,,,,,84.4,,,,юго-западный,,,3,,,,,,,,,,,,750.0,-0.4,,,,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,88.3,,-1.7,,южный,,,4,,,0,,,,0,,,,30.0,750.0,-0.6,,,,,1.0,,
1586404800,"Четверг, 9 апреля
04:00 (UTC)",,,,,,,,,,,74.2,,,,южный,,,3,,,,,,,,,,,,750.0,2.0,,,,,,,
1586408400,"Четверг, 9 апреля
05:00 (UTC)",,,,,,,,,,,55.7,,,,южный,,,4,,,,,,,,,,,,749.0,6.3,,,,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,39.5,,,,юго-западный,,,5,,,,,,,,,,,30.0,749.0,9.5,,,,,1.0,,
1586415600,"Четверг, 9 апреля
07:00 (UTC)",,,,,,,,,,,38.9,,,,юго-западный,,,4,,,,,,,,,,,,749.0,10.4,,,,,,,
1586419200,"Четверг, 9 апреля
08:00 (UTC)",,,,,,,,,,,32.8,,,,юго-западный,,,5,,,,,,,,,,,,748.0,12.4,,,,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,12.0,,,,,,,,,30.9,,,,юго-западный,,,7,,,,,,,,,,,30.0,748.0,12.4,,,,,6.0,,
1586426400,"Четверг, 9 апреля
10:00 (UTC)",,,,,,,,,,,30.2,,,,юго-западный,,,6,,,,,,,,,,,,747.0,13.3,,,,,,,
1586430000,"Четверг, 9 апреля
11:00 (UTC)",,,,,,,,,,,27.4,,,,юго-западный,,,7,,,,,,,,,,,,746.0,14.0,,,,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,12.0,,,,,,,,,26.9,,,,юго-западный,,,6,,,,,,,,,,,30.0,745.0,14.2,,,,,7.0,,
1586437200,"Четверг, 9 апреля
13:00 (UTC)",,,,,,,,,,,26.8,,,,юго-западный,,,6,,,,,,,,,,,,745.0,14.1,,,,,,,
1586440800,"Четверг, 9 апреля
14:00 (UTC)",,,,,,,,,,,25.5,,,,юго-западный,,,6,,,,,,,,,,,,744.0,14.3,,,,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,12.0,,,,,,,,,27.5,,,,юго-западный,,14.5,5,,,0,,,,,,,,30.0,743.0,13.4,,,,,9.0,,
1586448000,"Четверг, 9 апреля
16:00 (UTC)",,12.0,,,,,,,,,30.1,,,,юго-западный,,,4,,,,,,,,,,,,743.0,12.7,,,,,,,
1586451600,"Четверг, 9 апреля
17:00 (UTC)",,12.0,,,,,,,,,31.9,,,,юго-западный,,,3,,,,,,,,,,,,743.0,11.9,,,,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,35.7,,,,южный,,,2,,,,,,,,,,,50.0,743.0,10.8,,,,,10.0,,
