timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь очень сильный,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),Дождь (незамерзающий) умеренный с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Снег сильный непрерывный,Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,10.0,,,,,,,,,,,,,10,756.0,,-1.2,,70.4,,,,,западный,2.0,,,3.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,757.0,,-1.5,,61.7,,,,,западный,0.0,,,4.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,менее 0.1,,,,менее 0.1,,,,,,,10,758.0,,-2.2,,56.0,,,-2.4,,западный,0.0,,,4.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,10.0,,,,,,,,,,,,,10,759.0,,1.8,,44.5,,,,,северо-западный,0.0,,,6.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,15.0,,,,,,,,,,,,,10,759.0,,5.2,,22.5,,,,,западный,4.0,,,9.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,14.0,,,,,,,,,,,,,10,759.0,,6.8,,17.4,,,,,северо-западный,6.0,,,5.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,14.0,,0,,,,,,,,,,,10,759.0,,6.8,,14.8,,,,,северо-западный,7.0,,7.1,6.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,,,,10,760.0,,4.4,,19.7,,,,,северный,9.0,,,2.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,761.0,,2.8,,24.6,,,,,северный,9.0,,,2.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,762.0,,1.0,,28.2,,,,,северо-западный,9.0,,,2.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,763.0,,-0.4,,34.4,,,-0.8,,северо-западный,9.0,,,2.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,764.0,,3.0,,30.0,,,,,северо-восточный,0.0,,,2.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,10,764.0,,6.3,,27.5,,,,,северный,0.0,,,4.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10,762.0,,8.4,,16.8,,,,,северо-западный,0.0,,,3.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,0,,,,,,,,,,,10,761.0,,9.1,,15.6,,,,,северо-западный,0.0,,9.9,4.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,760.0,,4.7,,32.2,,,,,,0.0,,,0.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,759.0,,5.0,,31.8,,,,,юго-западный,0.0,,,1.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,758.0,,5.1,,32.1,,,,,юго-западный,4.0,,,3.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,11.0,,0,,,,0,,,,,,,10,756.0,,6.1,,36.2,,,3.5,,юго-западный,4.0,,,4.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,11.0,,,,,,,,,,,,,10,754.0,,10.2,,32.4,,,,,юго-западный,0.0,,,4.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,13.0,,,,,,,,,,,,,10,751.0,,16.4,,17.4,,,,,юго-западный,2.0,,,5.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,17.0,,,,,,,,,,,,,10,748.0,,17.1,,19.3,,,,,западный,10.0,,,6.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,16.0,,менее 0.1,,,,,True,,,,,,10,748.0,,14.6,,28.2,,,,,северо-западный,7.0,,19.0,6.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,10.0,,,,,,,,,,,,,10,749.0,,11.6,,39.0,,,,True,северо-западный,7.0,,,4.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,750.0,,9.2,,53.7,,,,,северо-западный,0.0,,,4.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,750.0,,6.4,,67.4,,,,,северо-западный,0.0,,,4.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,0,,,,менее 0.1,,,,,,,10,751.0,,4.7,,73.1,,,4.7,,северо-западный,2.0,,,2.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,751.0,,10.0,,58.3,,,,,северный,0.0,,,2.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,751.0,,15.0,,41.1,,,,,северо-западный,7.0,,,2.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10,749.0,,16.3,,30.4,,,,,юго-западный,4.0,,,3.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,0,,,,,,,,,,,10,748.0,,16.6,,27.8,,,,,западный,4.0,,17.8,3.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,748.0,,12.5,,35.6,,,,,юго-западный,0.0,,,1.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,11.0,,43.0,,,,,юго-западный,0.0,,,2.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,8.6,,52.4,,,,,юго-западный,0.0,,,2.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,745.0,,7.2,,57.6,,,6.6,,юго-западный,4.0,,,1.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,744.0,,12.4,,36.7,,,,,юго-западный,10.0,,,2.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,743.0,,18.0,,23.1,,,,,южный,7.0,,,5.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,10,743.0,,16.2,,27.6,,,,,северо-западный,10.0,,,5.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,12.0,,менее 0.1,,,True,,,,,,,,10,743.0,,10.4,,66.3,,,,,северо-западный,10.0,,18.5,8.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,11.0,,,,,,,True,,,,,,10,745.0,,6.4,,85.2,,,,,северный,7.0,,,3.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,5.6,,79.9,,,,,северо-западный,6.0,,,3.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,4.4,,75.8,,,,,северо-западный,9.0,,,3.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,2,,,,2,,,,,,,10,745.0,,1.8,,67.4,,,1.8,,северо-западный,4.0,,,3.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,5.1,,59.7,,,,,северо-западный,7.0,,,5.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,,,,10,746.0,,8.8,,34.5,,,,,северо-западный,7.0,,,7.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,14.0,,,,,,,,,,,,,10,746.0,,8.6,,26.9,,,,,северо-западный,7.0,,,8.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,14.0,,0,,,,,,,,,,,10,747.0,,6.8,,51.5,,,,,западный,7.0,,10.0,4.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,748.0,,3.5,,52.1,,,,,западный,2.0,,,3.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,749.0,,1.5,,47.3,,,,,северо-западный,0.0,,,3.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,10.0,,,,,,,,,,,,,10,749.0,,0.3,,44.1,,,,,северо-западный,0.0,,,6.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,13.0,,0,,,,0,,,,,,,10,750.0,,-0.9,,63.3,,,-0.9,,северо-западный,0.0,,,7.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,13.0,,,,,,,,,,,,,10,751.0,,2.6,,58.6,,,-1.2,,северо-западный,4.0,,,7.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,14.0,,,,,,,,,,,,,10,751.0,,7.5,,25.9,,,,,северо-западный,7.0,,,8.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,16.0,,,,True,,,,,,,,,10,751.0,,8.5,,28.8,,,,,западный,7.0,,,7.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,14.0,,менее 0.1,,,,,,,,,,,10,751.0,,8.0,,25.1,,,,,северо-западный,7.0,,8.5,5.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,751.0,,3.2,,49.7,,,,,северо-западный,6.0,,,2.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,751.0,,0.6,,55.9,,,,,северо-восточный,0.0,,,1.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,751.0,,-1.3,,66.2,,,,,,0.0,,,0.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,0,,,,менее 0.1,,,,,,,10,750.0,,1.7,,51.2,,,-1.7,,юго-западный,10.0,,,1.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,750.0,,7.2,,28.9,,,,,западный,9.0,,,4.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,10,749.0,,13.6,,,,,,,южный,2.0,,,3.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,,,10,747.0,,15.0,,12.7,,,,,юго-западный,6.0,,,5.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,0,,,,,,,,,,,10,745.0,,15.2,,12.8,,,,,южный,1.0,,15.8,2.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,745.0,,12.6,,15.5,,,,,южный,0.0,,,3.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,744.0,,11.0,,26.8,,,,,южный,1.0,,,2.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,743.0,,9.8,,33.5,,,,,юго-восточный,0.0,,,4.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,0,,,,0,,,,,,,10,742.0,,7.6,,42.6,,,7.6,,южный,7.0,,,3.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,True,,,,,,,,10,742.0,,8.6,,42.6,,,,,южный,10.0,,,2.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,10,742.0,,16.5,,20.1,,,,,южный,7.0,,,6.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,,,,10,742.0,,17.8,,17.9,,,,,южный,9.0,,,3.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,11.0,,менее 0.1,,,,,,,,,,,10,741.0,,17.2,,21.0,,,,,юго-восточный,9.0,,17.8,3.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,11.0,,,,,,,,,True,,,,10,741.0,,14.8,,28.7,,,,,южный,7.0,,,3.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,True,,,,,,10,740.0,,12.8,,27.5,,,,,юго-восточный,6.0,,,5.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,True,,,,10,739.0,,7.6,,65.3,,,,,западный,7.0,,,6.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,11.0,,1,,,True,1,,,,,,,10,739.0,,1.8,,91.1,,,1.8,,северо-западный,10.0,,,5.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,13.0,,,,,,,,,,,,,1,740.0,,0.2,,95.7,True,,0.2,,северо-западный,10.0,,,6.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,741.0,,1.7,,96.5,,True,,,западный,10.0,,,4.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,11.0,,,,,,,True,,,,,,10,740.0,,6.3,,51.7,,,,,западный,7.0,,,4.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,14.0,,5,,,,,,,,,,,10,741.0,,4.0,,71.9,,,,,западный,6.0,,7.5,6.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,13.0,,,,True,,,,,,,,,10,742.0,,3.5,,66.7,,,,,юго-западный,7.0,,,3.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,742.0,,2.7,,72.2,,,,,юго-западный,7.0,,,2.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,742.0,,2.8,,65.6,,,,,юго-западный,7.0,,,3.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,менее 0.1,,,,5,,,,,,,10,741.0,,2.1,,67.9,,,2.1,,юго-западный,7.0,,,3.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,True,,,,,,,,,10,741.0,,3.5,,72.9,,,,,юго-западный,10.0,,,3.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,10,740.0,,7.7,,53.3,,,,,юго-западный,10.0,,,5.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,,,,10,737.0,,8.3,,59.6,,,,True,юго-западный,10.0,,,5.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,13.0,,менее 0.1,,,True,,,,,,,,10,735.0,,8.1,,60.4,,,,,юго-западный,10.0,,9.1,3.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,15.0,,,,,True,,,,,,,,10,734.0,,6.9,,82.3,,,,,юго-западный,9.0,,,5.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,10.0,,,,,,,,,,,,,10,734.0,,6.6,,73.5,,,,,юго-западный,0.0,,,4.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,11.0,,,,,,,,,,,,,10,734.0,,5.5,,70.7,,,,,западный,0.0,,,5.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,11.0,,2,,,,2,,,,,,,10,736.0,,4.3,,69.4,,,4.3,,западный,7.0,,,6.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,14.0,,,,,,,,,,,,,10,738.0,,5.8,,59.0,,,,,западный,7.0,,,7.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,14.0,,,,True,,,,,,,,,10,739.0,,6.2,,50.2,,,,,западный,10.0,,,8.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,14.0,,,,,,,True,,,,,,10,740.0,,8.0,,43.7,,,,,западный,7.0,,,6.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,14.0,,менее 0.1,,,,,,,,,,,10,740.0,,8.7,,31.9,,,,,западный,4.0,,9.2,6.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,741.0,,6.0,,49.8,,,,,западный,7.0,,,4.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,742.0,,3.2,,67.7,,,,,западный,0.0,,,5.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,742.0,,2.1,,69.5,,,,,западный,0.0,,,4.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,0,,,,менее 0.1,,,,,,,10,742.0,,1.2,,73.5,,,1.2,,западный,0.0,,,4.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,743.0,,3.6,,66.8,,,,,юго-западный,7.0,,,6.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,,,10,744.0,,7.0,,47.9,,,,,юго-западный,7.0,,,6.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,13.0,,,,True,,,,,,,,,10,744.0,,8.8,,33.2,,,,,западный,9.0,,,7.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,12.0,,менее 0.1,,,,,,,,,,,10,745.0,,8.2,,32.8,,,,,западный,7.0,,9.4,7.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,5.4,,42.9,,,,,западный,2.0,,,3.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,4.2,,50.0,,,,,западный,7.0,,,2.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,2.4,,59.9,,,,,западный,7.0,,,3.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,0,,,,менее 0.1,,,,,,,10,747.0,,0.4,,69.1,,,0.0,,юго-западный,4.0,,,1.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,748.0,,5.8,,52.4,,,,,юго-западный,10.0,,,1.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,7.7,,41.7,,,,,юго-западный,7.0,,,4.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,8.2,,50.4,,,,,северо-западный,10.0,,,2.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,менее 0.1,,,,,True,,,,,,10,747.0,,8.1,,46.4,,,,,восточный,7.0,,9.9,1.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,4.5,,68.0,,,,True,,7.0,,,0.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,747.0,,3.1,,74.4,,,,,,7.0,,,0.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,746.0,,1.9,,85.3,,,,,,7.0,,,0.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,0.3,,True,,0.3,,,,,,,10,746.0,,3.5,,79.6,,,1.2,,северный,10.0,,,1.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,True,,,,,,,,,10,747.0,,5.3,,76.5,,,,,северный,10.0,,,2.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,True,,,,10,746.0,,1.9,,92.4,,,,,северо-западный,10.0,,,3.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,True,,,,,,,,,10,745.0,,5.5,,77.0,,,,,северо-западный,10.0,,,4.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,2,,,,,,,,,,True,10,745.0,,4.0,,93.2,,,,,северо-западный,10.0,,6.2,4.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,True,,,,,,,,,,,,4,745.0,,3.3,,94.5,,,,,северо-западный,10.0,,,3.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,10.0,True,,,,,,,,,,,,10,745.0,,3.8,,89.9,,,,,северо-западный,10.0,,,6.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,12.0,,,,,,,True,,,,,,10,745.0,,2.6,,82.4,,,,,северо-западный,2.0,,,7.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,12.0,,4,,,,6,,,,,,,10,745.0,,1.5,,83.4,,,0.8,,западный,6.0,,,7.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,13.0,,,,,,,,,,,,,10,745.0,,4.4,,80.3,,,,,северо-западный,9.0,,,7.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,16.0,,,,,True,,,,,,,,10,745.0,,6.0,,72.8,,,,,северо-западный,10.0,,,7.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,14.0,,,,,,,,,True,,,,10,745.0,,8.3,,62.2,,,,,северо-западный,10.0,,,6.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,15.0,,0.6,,,,,,,,,,,10,745.0,,8.6,,56.3,,,,True,западный,10.0,,9.1,7.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,11.0,,,,,,,True,,,,,,10,746.0,,7.6,,53.3,,,,,западный,9.0,,,5.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,10.0,,,,,,,,,,,,,10,745.0,,5.9,,49.7,,,,,западный,7.0,,,5.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,10.0,,,,,,,,,,,,,10,745.0,,3.6,,57.1,,,,,западный,4.0,,,4.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,0,,,,0.6,,,,,,,10,744.0,,3.5,,60.1,,,3.0,,западный,10.0,,,3.0
