timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег умеренный или сильный,Морось (незамерзающая) умеренная непрерывная,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый,Дождь (незамерзающий)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,73.7,,-1.4,южный,,2,,,,0,,,,,,,20.0,737,,,-0.8,,,4.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,44.9,,,юго-западный,,3,,,,,,,,,,,20.0,738,,,4.2,,,9.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,31.6,,,юго-западный,,5,,,,,,,,,,,50.0,739,,,6.0,,,9.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,33.1,,,западный,,4,,,,,,,,,,,50.0,739,,,7.4,,,9.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,42.3,,,южный,8.2,2,,,,0,,,,,,,10.0,740,,,5.6,,,9.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,51.2,,,юго-восточный,,2,,,,,,,,,,,10.0,741,,,2.9,,,10.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,55.6,,,юго-восточный,,1,,,,,,,,,,,10.0,741,,,1.1,,,10.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,61.9,,,восточный,,2,,,,,,,,,,,10.0,741,,,-0.4,,,10.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,58.5,,-0.9,юго-восточный,,2,,,,0,,0,,,,,20.0,741,,,0.6,,,9.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,59.7,,,южный,,2,,,,,,,,,,,20.0,740,,,3.5,,,10.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,52.2,,,восточный,,3,,,,,,,,,,True,20.0,738,,,3.9,,,10.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,49.6,,,юго-восточный,,3,,,,,,,True,,,,20.0,736,,,5.6,,,10.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,66.3,,,,7.3,0,,,,0.8,,,,,,,10.0,735,,,3.9,,True,10.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,77.9,,,,,0,,,,,,,,,,,10.0,734,,,3.7,,True,10.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,88.5,,,северо-западный,,2,,,,,,,True,,,,4.0,734,,,1.9,,,10.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,89.1,,,северо-западный,,2,,,,,,,True,,,,4.0,733,,,1.3,,,10.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,89.7,,1.3,западный,,2,,,,0.6,,1,,True,,,4.0,733,,,1.4,,,9.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,69.6,,,западный,,2,,,,,,,,,,,10.0,733,,,5.3,,True,7.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,40.1,,,западный,,2,,,,,,,,,,,10.0,732,,,11.7,,,0.0,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,29.0,,,западный,,4,,,,,,,,,,,10.0,731,,,12.9,,,7.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,51.0,,,западный,13.5,4,,,,0,,,,,,,10.0,731,,,7.8,,,10.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,67.4,,,северо-западный,,4,,,,,,,,,,,10.0,732,,,4.3,,,7.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,73.8,,,северо-западный,,3,,,,,,,,,,,10.0,731,,,2.4,,True,9.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,74.7,,,северо-западный,,3,,,,,,,,,,,10.0,731,,,1.6,,True,9.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,75.7,,0.7,северо-западный,,2,,,,менее 0.1,,менее 0.1,,,,,20.0,731,,,0.9,,,7.0,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,61.4,,,западный,,1,,,,,,,,,,,20.0,730,,,3.2,,,9.0,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,64.2,,,восточный,,1,,,,,,,,,,,10.0,731,,,2.8,,,10.0,True,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,True,,,,,70.6,,,восточный,,2,,,,,,,,,,,20.0,731,,,2.4,,,10.0,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,True,,,,,57.5,,,юго-восточный,4.0,1,,,,0.4,,,,,,,10.0,732,,,1.8,,,10.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,43.9,,,северный,,2,,,,,,,,,,,10.0,732,,,0.7,,True,10.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,34.4,,,северный,,2,,,,,,,,,,,10.0,733,,,-0.6,,,10.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,40.0,,,северный,,3,,,,,,,,,,,10.0,733,,,-2.0,,,10.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,11.0,,,,,,,,49.8,,-3.1,северный,,3,,,,менее 0.1,,,,,,,10.0,733,,,-3.0,,,10.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,13.0,,,,,,,,31.8,,,северный,,6,,,,,,,,,,,20.0,732,,,-0.8,,,4.0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,18.0,,,,,,,,26.4,,,северный,,7,,,,,,,,,,,20.0,730,,,0.4,,,9.0,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,18.0,,,True,,,,,30.0,,,северо-западный,,6,,,,,,,,,,,10.0,729,,,1.4,,,6.0,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,17.0,,,,,,,,47.8,,,северо-западный,1.9,6,,,,менее 0.1,,,,,,,10.0,729,,,-2.0,,,2.0,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,14.0,,,,,,,,49.3,,,северо-западный,,6,,,,,,,,,,,10.0,729,,,-3.5,,True,2.0,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,14.0,,,,,,,,51.2,,,северо-западный,,5,,,,,,,,,,,10.0,729,,,-5.4,,,0.0,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,13.0,,,,,,,,55.6,,,западный,,5,,,,,,,,,,,10.0,729,,,-6.7,,,0.0,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,13.0,,,,,,,,62.7,,-7.4,западный,,7,,,,менее 0.1,,,,,,,50.0,729,,,-7.1,,,2.0,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,13.0,,,,,,,,39.9,,,западный,,6,,,,,,,,,,,50.0,729,,,-2.4,,,10.0,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,15.0,,,,,,,,27.0,,,западный,,7,,,,,,,,,,,50.0,729,,,1.0,,,4.0,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,16.0,,,,,,,,22.9,,,западный,,7,,,,,,,,,,,50.0,729,,,1.9,,,10.0,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,17.0,,,,,,,,26.2,,,западный,2.2,5,,,,0,,,,,,,50.0,730,,,-0.3,,,7.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,11.0,,,,,,,,32.6,,,западный,,3,,,,,,,,,,,10.0,732,,,-1.9,,,0.0,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,36.7,,,западный,,4,,,,,,,,,,,10.0,732,,,-3.3,,,0.0,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,42.2,,,юго-западный,,2,,,,,,,,,,,10.0,733,,,-3.5,,,7.0,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,46.1,,-4.2,западный,,2,,,,0,,,,,,,50.0,734,,,-2.5,,,9.0,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,77.7,,,юго-западный,,1,,,,,,,,,,,2.0,736,,True,-1.0,,,10.0,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,True,,,,,63.3,,,юго-западный,,2,,,,,,,,,,,10.0,736,,,3.2,,,10.0,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,63.6,,,юго-западный,,3,,,,,,,,,,,20.0,737,,,4.3,,True,9.0,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,69.1,,,юго-западный,5.9,2,,,,0.3,,,,,,,10.0,737,,,3.0,,,6.0,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,78.6,,,южный,,1,,,,,,,,,,,10.0,737,,,1.3,,,0.0,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,88.2,,,юго-восточный,,1,,,,,,,,,,,10.0,736,,,-0.9,,,0.0,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,84.4,,,юго-восточный,,2,,,,,,,,,,,10.0,736,,,-1.0,,,0.0,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,74.1,,-1.2,юго-восточный,,1,,,,0,,0.3,,,,,10.0,736,,,1.2,,,0.0,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,41.5,,,юго-западный,,3,,,,,,,,,,,20.0,736,,,11.1,,,2.0,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,10.0,,,,,,,,31.5,,,юго-западный,,3,,,,,,,,,,,20.0,736,,,14.4,,,7.0,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,11.0,,,,,,,,28.9,,,западный,,6,,,,,,,,,,,20.0,737,,,13.3,,,10.0,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,11.0,,,,,,,,32.4,,,юго-западный,15.2,4,,,,0,,,,,,,10.0,737,,,10.9,,,7.0,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,39.2,,,юго-западный,,2,,,,,,,,,,,10.0,738,,,7.5,,,0.0,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,34.9,,,юго-западный,,3,,,,,,,,,,,10.0,738,,,6.6,,,0.0,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,39.1,,,южный,,3,,,,,,,,,,,10.0,738,,,5.2,,,0.0,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,34.6,,4.4,юго-западный,,3,,,,0,,,,,,,50.0,739,,,5.6,,,0.0,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,11.0,,,,,,,,22.2,,,юго-западный,,5,,,,,,,,,,,50.0,739,,,11.1,,,0.0,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,15.0,,,,,,,,18.5,,,юго-западный,,5,,,,,,,,,,,50.0,738,,,13.8,,,4.0,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,13.0,,,,,,,,21.3,,,юго-западный,,5,,,,,,,,,,,50.0,738,,,12.0,,,7.0,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,11.0,,,,,,,,24.5,,,юго-западный,14.0,2,,,,0,,,,,,,20.0,737,,,10.7,,,7.0,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,35.3,,,юго-восточный,,2,,,,,,,,,,,10.0,737,,,7.9,,,6.0,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,45.6,,,восточный,,2,,,,,,,,,,,10.0,737,,,6.6,,,7.0,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,55.8,,,юго-восточный,,1,,,,,,,,,,,10.0,736,,,4.9,,,9.0,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,56.7,,4.4,юго-восточный,,2,,,,0,,0,,,,,20.0,736,,,5.2,,,7.0,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,40.2,,,южный,,2,,,,,,,,,,,20.0,735,,,10.0,,,9.0,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,32.7,,,юго-восточный,,4,,,,,,,,,,,20.0,733,,,12.1,,,9.0,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,12.0,,,,,,,,46.1,,,восточный,,3,,,,,,,,,,,20.0,732,,,10.4,,,10.0,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,50.6,,,северо-восточный,12.4,2,,,,0,,,,,,,20.0,731,,,8.8,,,9.0,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,61.4,,,восточный,,2,,,,,,,,,,,10.0,731,,,6.9,,,7.0,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,81.4,,,юго-восточный,,1,,,,,,,,,,,10.0,730,,,4.3,,,7.0,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,85.5,,,,,0,,,,,,,,True,,,4.0,729,,,3.7,,,10.0,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,87.4,,3.5,восточный,,1,,,,0,,0,,True,,,4.0,729,,,4.0,,,10.0,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,77.1,,,восточный,,1,,,,,,,,True,,,4.0,729,,,6.1,,,10.0,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",True,,,,,,,,,50.6,,,восточный,,2,,,,,,,,,,,20.0,727,,,10.2,,,10.0,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,14.0,,,,,,,,64.8,,,юго-западный,,4,,,,,,,,,,,50.0,729,,,5.4,,True,9.0,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,59.4,,,южный,10.3,2,,,,5,,,,,,,20.0,730,,,4.1,,True,2.0,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,65.2,,,восточный,,1,,,,,,,,,,,10.0,731,,,3.2,,True,7.0,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,68.9,,,,,0,,,,,,,,,,,10.0,731,,,2.0,,,2.0,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,76.3,,,восточный,,1,,,,,,,,,,,10.0,731,,,0.8,,,6.0,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,84.5,,0.2,восточный,,1,True,,,менее 0.1,,,,,,,1.0,731,,,0.5,,,10.0,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,70.4,,,южный,,2,,,,,,,,,,,20.0,731,,,4.0,,True,9.0,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,78.8,,,восточный,,3,,,,,,,,,,True,4.0,732,,,2.2,,,10.0,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,62.4,,,западный,,1,,,,,,,,,,,20.0,732,,,5.1,,True,7.0,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,90.3,,,северо-восточный,6.3,1,True,,,5,,,,,,,2.0,733,,,0.4,,,10.0,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,90.4,,,северо-западный,,2,,,,,,,,,,,4.0,733,,,1.0,,,10.0,True,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,91.7,,,северо-западный,,2,,,,,,,,,,,4.0,734,,,0.6,,,10.0,True,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,86.5,,,западный,,2,,,,,,,,,,,10.0,734,,,0.9,,True,7.0,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,82.3,,0.3,юго-западный,,2,,,,6,1.0,10,,,,,10.0,734,,,2.0,,,6.0,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,60.9,,,западный,,3,,,,,,,,,,,10.0,734,,,6.6,,,6.0,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,39.7,,,юго-западный,,2,,,,,,,,,,,20.0,734,,,9.3,,,7.0,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,34.3,,,южный,,3,,,,,,,,,,,20.0,733,,,10.5,,,6.0,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,50.2,,,южный,12.1,1,,,,0,,,,,,,20.0,733,,,8.9,,,10.0,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,56.1,,,юго-восточный,,3,,,,,,,,,,,10.0,733,,,7.8,,,7.0,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,62.1,,,юго-восточный,,2,,,,,,,,,,,10.0,732,,,5.8,,,0.0,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,64.6,,,юго-восточный,,3,,,,,,,,,,,10.0,731,,,4.9,,,9.0,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,58.7,,4.5,юго-восточный,,3,,,,менее 0.1,,менее 0.1,,,,,10.0,731,,,6.4,,True,10.0,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,11.0,,,,,,,,30.2,,,южный,,5,,,,,,,,,,,20.0,730,,,13.3,,True,10.0,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,19.0,,,,,,,,36.6,,,южный,,5,,,,,,,,,,,20.0,730,,,12.3,,True,10.0,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,14.0,,,,,,,,37.9,,,южный,,3,,,,,,,,,,,20.0,730,,,12.0,,,10.0,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,12.0,,,,,,,,60.6,,,юго-западный,13.5,2,,,,менее 0.1,,,,,,,20.0,729,,,8.8,,True,10.0,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,64.8,,,юго-западный,,2,,,,,,,,,,,10.0,729,,,7.7,,True,10.0,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,73.4,,,юго-западный,,3,,,,,,,,,,,10.0,728,,,6.1,,,7.0,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,86.1,,,южный,,1,,,,,,,True,,,,10.0,727,,,3.0,,,10.0,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,89.1,,2.1,юго-западный,,2,,,,4,,,,,,,10.0,727,True,,2.1,,,10.0,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,True,,,,84.9,,1.8,юго-западный,,2,,,,,,,,,,,10.0,727,,,3.9,,,9.0,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,10.0,,,,,,,,48.5,,,юго-западный,,3,,,,,,,,,,,50.0,728,,,6.8,,True,9.0,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,10.0,,,,,,,,44.6,,,южный,,2,,,,,,,,,,,50.0,728,,,7.8,,True,9.0,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,10.0,,,,True,,,,61.5,,,юго-восточный,8.3,2,,,,0.9,,,,,,,10.0,727,,,5.4,,,9.0,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,10.0,,,,,,,,54.7,,,южный,,3,,,,,,,,,,,10.0,727,,,5.4,,True,10.0,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,65.0,,,южный,,3,,,,,,,,,,,10.0,725,,,4.6,,,10.0,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,73.5,,,юго-восточный,,2,,,,,,,True,,,,10.0,725,,,4.0,,,9.0,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,72.7,,3.7,южный,,2,,,,менее 0.1,,,,,,,20.0,725,,,5.2,,True,7.0,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,11.0,,,,,,,,57.7,,,юго-западный,,6,,,,,,,,,,,20.0,726,,,7.4,,True,9.0,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,14.0,,,,,,,,57.4,,,юго-западный,,4,,,,,,,True,,,,10.0,727,,,8.0,,,9.0,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,16.0,,,,,,,,44.8,,,юго-западный,,7,,,,,,,,,,,20.0,728,,,8.4,,True,7.0,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,14.0,,,,,,,,55.0,,,юго-западный,9.2,5,,,,0.4,,,,,,,20.0,730,,,5.2,,,6.0,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,15.0,,,,,,,,77.6,,,юго-западный,,3,,,,,,,,,,,10.0,731,,,2.3,,True,0.0,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,80.4,,,южный,,2,,,,,,,,,,,10.0,732,,,1.3,,,0.0,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,85.2,,,южный,,2,,,,,,,,,,,10.0,734,,,0.7,,,7.0,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,80.5,,0.4,юго-западный,,2,,,,менее 0.1,,0.4,,,,,20.0,735,,,2.3,,,9.0,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,58.9,,,западный,,4,,,,,,,,,,,20.0,736,,,5.4,,,9.0,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,11.0,,,,,,,,39.3,,,западный,,4,,,,,,,,,,,50.0,737,,,8.8,,True,6.0,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,10.0,,,,,,,,34.2,,,юго-западный,,4,,,,,,,,,,,50.0,738,,,9.6,,True,4.0,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,34.4,,,юго-западный,11.4,3,,,,менее 0.1,,,,,,,20.0,739,,,8.5,,,4.0,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,43.9,,,западный,,1,,,,,,,,,,,10.0,740,,,6.5,,,4.0,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,58.5,,,южный,,1,,,,,,,,,,,10.0,740,,,4.0,,,6.0,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,67.5,,,,,0,,,,,,,,,,,10.0,741,,,2.6,,,6.0,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,66.6,,1.8,юго-восточный,,1,,,,0,,,,,,,10.0,741,,,3.0,,,10.0,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,43.9,,,южный,,1,,,,,,,,,,,10.0,741,,,8.8,,,10.0,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,11.0,,,,,,,,33.8,,,юго-восточный,,4,,,,,,,,,,,10.0,739,,,10.7,,True,10.0,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,12.0,,,,,,,,70.6,,,юго-восточный,,3,,,,,,,True,,,,10.0,739,,,7.5,,,10.0,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,72.5,,,юго-восточный,11.1,3,,,,0.3,,,,,,,10.0,739,,,7.0,,True,10.0,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,78.9,,,юго-восточный,,2,,,,,,,,,,,10.0,738,,,6.5,,True,10.0,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,86.8,,,,,0,,,,,,,,,,,10.0,738,,,4.4,,,10.0,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,89.9,,,западный,,1,,,,,,,,,,,10.0,739,,,3.6,,,10.0,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,91.8,,2.5,,,0,,,,0,,0.3,,,True,,0.0,739,,,3.1,,,,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,84.5,,,восточный,,1,,,,,,,,True,,,2.0,739,,,5.4,,,10.0,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,72.9,,,юго-восточный,,3,,,,,,,,True,,,4.0,738,,,8.9,,,9.0,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,59.3,,,юго-восточный,,3,,,,,,,,,,,20.0,737,,,12.4,,,9.0,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,57.8,,,восточный,13.6,2,,,,0,,,,,,,10.0,735,,,12.6,,,9.0,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,59.4,,,юго-восточный,,3,,,,,,,,,,,10.0,733,,,10.9,,,9.0,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,65.1,,,юго-восточный,,4,,,,,,,True,,,,10.0,730,,,10.8,,,9.0,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,73.1,,,юго-восточный,,3,,,,,,,,,,,10.0,727,,,10.0,,True,10.0,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,78.2,,9.1,юго-восточный,,3,,,,0.6,,,,,,,20.0,724,,,9.6,,True,9.0,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,67.2,,,юго-восточный,,3,,,,,,,,,,,10.0,721,,,12.2,,True,10.0,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,12.0,,,,,,,,86.6,,,западный,,3,,,,,,,True,,,,10.0,720,,,7.8,,,10.0,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,10.0,,,,,,,,68.9,,,западный,,3,,,,,,,,,,,10.0,720,,,8.9,,True,9.0,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,11.0,,,,,,,,47.1,,,юго-западный,13.6,2,,,,4,,,,,,,10.0,720,,,8.0,,,2.0,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,16.0,,,,,,,,80.1,,,южный,,4,,,,,,,,,,,10.0,719,,,3.5,,True,4.0,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,10.0,,,,,,,,71.3,,,южный,,4,,,,,,,,,,,10.0,718,,,3.2,,,4.0,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,10.0,,,,,,,,80.0,,,южный,,3,,,,,,,,,,,10.0,718,,,2.7,,,7.0,,
