timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Морось (незамерзающая). Снежные зерна,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Ухудшение видимости из-за дыма или вулканического пепла,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Град,Ливневой снег слабый,Снег слабый непрерывный,Ливневый дождь со снегом,Снег слабый с перерывами,Снег умеренный непрерывный,Снег сильный непрерывный
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,43.2,,,северо-восточный,,,2.0,,,,,,,,,,,20,753.0,,,2.9,,,,0.0,,,,,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,52.4,,,,,,0.0,,,,,,,,,,,20,751.0,,,0.1,,,,0.0,,,,,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,53.4,,-0.8,северо-восточный,,,2.0,,0,,45.0,,,0,,,,20,749.0,,,-0.6,,,,10.0,,,,,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,33.9,,,восточный,,,1.0,,,,,,,,,,,20,748.0,,,5.8,,,,4.0,,,,,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,24.3,,,южный,,,1.0,,,,,,,,,,,20,747.0,,,12.0,,,,2.0,,,,,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,25.4,,,,,,0.0,,,,,,,,,,,20,747.0,,,13.3,,,,6.0,,,,,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,33.9,,,южный,,13.6,1.0,,0,,,,,,,,,20,748.0,,,9.4,,,,6.0,,,,,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,61.0,,,,,,0.0,,,,,,,,,,,20,749.0,,,3.1,,,,0.0,,,,,,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,82.8,,,,,,0.0,,,,,,,,,,,20,750.0,,,1.6,,,,0.0,,,,,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,90.5,,,,,,0.0,,,,,,,,,,,20,750.0,,,2.3,,,,0.0,,,,,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,91.7,,0.9,,,,0.0,,0,,41.0,,,0,,,,20,751.0,,,1.9,,,,10.0,,,,,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,78.6,,,,,,0.0,,,,,,,,,,,20,751.0,,,4.6,,,,10.0,,,,,,,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,51.7,,,южный,,,1.0,,,,,,,,,,,20,751.0,,,8.8,,,,10.0,,,,,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,41.6,,,юго-восточный,,,1.0,,,,,,,,,,,20,750.0,,,11.4,,,,0.0,,,,,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,48.1,,,юго-восточный,,11.7,1.0,,0,,,,,,,,,20,749.0,,,9.2,,,,0.0,,,,,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,64.8,,,восточный,,,1.0,,,,,,,,,,,20,748.0,,,5.4,,,,7.0,,,,,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,68.0,,,восточный,,,2.0,,,,,,,,,,,20,745.0,,,4.8,,,,6.0,,,,,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,66.2,,,восточный,,,1.0,,,,,,,,,,,20,743.0,,,5.5,,,,10.0,,,,,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,57.0,,4.4,южный,,,1.0,,0,,36.0,,,0,,,,20,743.0,,,6.4,,,,10.0,,,,,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,48.6,,,южный,,,2.0,,,,,,,,,,,20,746.0,,,7.0,,,,10.0,,,,,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,37.3,,,южный,,,2.0,,,,,,,,,,,20,748.0,,,7.1,,,,10.0,,,,,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,37.3,,,южный,,,1.0,,,,,,,,,,,20,750.0,,,7.0,,,,10.0,,,,,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,45.1,,,южный,,7.9,1.0,,0,,,,,,,,,20,751.0,,,3.5,,,,7.0,,,,,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,64.9,,,,,,0.0,,,,,,,,,,,20,753.0,,,-0.3,,,,10.0,,,,,,,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,64.8,,,,,,0.0,,,,,,,,,,,20,753.0,,,-0.5,,,,10.0,,,,,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,69.2,,,южный,,,1.0,,,,,,,,,,,20,753.0,,,-1.7,,,,10.0,,,,,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,65.6,,-1.8,южный,,,1.0,,0,,33.0,,,0,,,,20,754.0,,,-1.5,,,,10.0,,,,,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,47.5,,,южный,,,2.0,,,,,,,,,,,20,754.0,,,3.3,,,,10.0,,,,,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,35.0,,,южный,,,2.0,,,,,,,,,,,20,755.0,,,5.2,,,,10.0,,,,,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,29.3,,,юго-западный,,,2.0,,,,,,,,,,,20,755.0,,,6.1,,,,10.0,,,,,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,36.4,,,южный,,6.5,2.0,,0,,,,,,,,,20,756.0,,,4.2,,,,10.0,,,,,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,64.9,,,юго-западный,,,1.0,,,,,,,,,,,20,759.0,,,-0.2,,,,10.0,,,,,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,69.8,,,,,,0.0,,,,,,,,,,,20,760.0,,,-1.5,,,,10.0,,,,,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,70.3,,,,,,0.0,,,,,,,,,,,20,761.0,,,-1.3,,,,10.0,,,,,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,62.9,,-1.9,,,,0.0,,0,,29.0,,,0,,,,20,761.0,,,-0.4,,,,10.0,,,,,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,48.3,,,южный,,,1.0,,,,,,,,,,,20,762.0,,,3.7,,,,4.0,,,,,,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,38.0,,,южный,,,1.0,,,,,,,,,,,20,761.0,,,8.3,,,,7.0,,,,,,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,53.4,,,западный,,,2.0,,,,,,,,,,,20,760.0,,,5.2,,,,7.0,,,,,,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,72.9,,,,,8.6,0.0,,менее 0.1,,,,,,,,,20,761.0,,,3.4,,True,,10.0,,,,,,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,True,,,,,,,94.4,,,южный,,,1.0,,,,,,,,,,,20,761.0,,,0.8,,,,10.0,,,,,,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,95.0,,,,,,0.0,,,,,,,,,,,20,761.0,,,-0.3,,True,,0.0,,,,,,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,96.4,,,,,,0.0,,,,,,,,,,,20,761.0,,,-1.6,,,,0.0,,,,,,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,95.7,,-1.7,юго-восточный,,,1.0,,0.3,,26.0,,,0.3,,,,20,762.0,,,-0.5,,,,7.0,,,,,,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,73.5,,,южный,,,1.0,,,,,,,,,,,20,762.0,,,3.8,,,,7.0,,,,,,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,36.0,,,южный,,,1.0,,,,,,,,,,,20,762.0,,,9.1,,,,0.0,,,,,,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,29.6,,,южный,,,1.0,,,,,,,,,,,20,761.0,,,10.4,,,,2.0,,,,,,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,33.4,,,южный,,10.7,1.0,,0,,,,,,,,,20,760.0,,,8.6,,,,0.0,,,,,,,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,60.4,,,,,,0.0,,,,,,,,,,,20,760.0,,,2.6,,,,0.0,,,,,,,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,68.9,,,северо-восточный,,,1.0,,,,,,,,,,,20,760.0,,,-0.6,,,,0.0,,,,,,,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,71.9,,,северо-восточный,,,1.0,,,,,,,,,,,20,760.0,,,-1.6,,,,0.0,,,,,,,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,66.2,,-1.7,северо-восточный,,,1.0,,0,,23.0,,,0,,,,20,759.0,,,-1.3,,,,0.0,,,,,,,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,36.1,,,северо-восточный,,,1.0,,,,,,,,,,,20,759.0,,,7.0,,,,0.0,,,,,,,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,28.9,,,северо-восточный,,,1.0,,,,,,,,,,,20,757.0,,,10.4,,,,0.0,,,,,,,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,25.0,,,северо-восточный,,,1.0,,,,,,,,,,,20,756.0,,,12.4,,,,0.0,,,,,,,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,23.3,,,восточный,,13.0,1.0,,0,,,,,,,,,20,755.0,,,11.2,,,,0.0,,,,,,,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,41.5,,,северо-восточный,,,1.0,,,,,,,,,,,20,754.0,,,4.9,,,,0.0,,,,,,,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,37.3,,,северо-восточный,,,1.0,,,,,,,,,,,20,754.0,,,4.1,,,,0.0,,,,,,,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,41.7,,,северо-восточный,,,2.0,,,,,,,,,,,20,753.0,,,2.3,,,,0.0,,,,,,,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,48.3,,0.9,северо-восточный,,,2.0,,0,,10.0,,,0,,,,20,752.0,,,1.1,,,,0.0,,,,,,,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,34.5,,,северо-восточный,,,1.0,,,,,,,,,,,20,751.0,,,7.0,,,,0.0,,,,,,,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,24.0,,,восточный,,,1.0,,,,,,,,,,,20,750.0,,,12.3,,,,1.0,,,,,,,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,21.9,,,северо-восточный,,,1.0,,,,,,,,,,,20,749.0,,,14.3,,,,10.0,,,,,,,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,25.3,,,северо-восточный,,14.8,1.0,,0,,,,,,,,,20,749.0,,,12.3,,,,10.0,,,,,,,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,34.3,,,северо-восточный,,,1.0,,,,,,,,,,,20,749.0,,,8.2,,,,10.0,,,,,,,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,55.0,,,северо-восточный,,,1.0,,,,,,,,,,,20,748.0,,,3.6,,,,10.0,,,,,,,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,57.5,,,,,,0.0,,,,,,,,,,,20,748.0,,,2.0,,,,0.0,,,,,,,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,64.7,,0.4,северный,,,1.0,,0,,7.0,,,0,,,,20,749.0,,,1.0,,,,10.0,,,,,,,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,42.5,,,южный,,,1.0,,,,,,,,,,,20,750.0,,,7.1,,,,0.0,,,,,,,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,22.8,,,северо-западный,,,2.0,,,,,,,,,,,20,750.0,,,14.4,,,,0.0,,,,,,,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,16.5,,,западный,,,2.0,,,,,,,,,,,20,750.0,,,17.3,,,,0.0,,,,,,,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,19.2,,,западный,,17.7,1.0,,0,,,,,,,,,20,751.0,,,16.6,,,,0.0,,,,,,,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,31.6,,,западный,,,1.0,,,,,,,,,,,20,751.0,,,10.1,,,,0.0,,,,,,,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,51.9,,,,,,0.0,,,,,,,,,,,20,751.0,,,4.2,,,,0.0,,,,,,,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,62.5,,,,,,0.0,,,,,,,,,,,20,751.0,,,1.7,,,,0.0,,,,,,,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,77.7,,-0.9,,,,0.0,,0,,4.0,,,0,,,,20,751.0,,,-0.7,,,,0.0,,,,,,,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,42.9,,,южный,,,1.0,,,,,,,,,,,20,751.0,,,8.4,,,,2.0,,,,,,,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,23.8,,,южный,,,1.0,,,,,,,,,,,20,749.0,,,16.9,,,,10.0,,,,,,,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,23.2,,,южный,,,1.0,,,,,,,,,,,20,749.0,,,17.9,,,,10.0,,,,,,,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,35.9,,,,,18.3,0.0,,0,,,,,,,,,20,748.0,,,12.5,,,,10.0,,,,,,,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,92.6,,,юго-западный,,,2.0,,,,,,,,True,,,10,751.0,,,4.7,,,,10.0,,,,,,,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,95.1,,,,,,0.0,,,,,,,,,,,20,752.0,,,0.9,,True,,0.0,,,,,,,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,97.2,,,,,,0.0,,,,,,,,,,,20,753.0,,,1.1,,,,10.0,,,,,,,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,95.7,,-0.1,,,,0.0,,0.8,,3.0,,,0.8,,,,20,753.0,,,0.5,,,,0.0,,,,,,,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,80.2,,,южный,,,1.0,True,,,,,,,,,,20,753.0,,,4.1,,,,10.0,,,,,,,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,77.1,,,южный,,,2.0,,,,,,,,,,,20,753.0,,,5.8,,True,,10.0,,,,,,,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,42.5,,,юго-западный,,,2.0,,,,,,,,,,,20,753.0,,,9.2,,,,9.0,,,,,,,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,49.4,,,юго-западный,,10.1,1.0,,0.4,,,,,,,,,20,753.0,,,7.4,,,,9.0,,,,,,,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,True,,,,79.0,,,,,,0.0,,,,,,,,,,,20,753.0,,,3.7,,,,10.0,,,,,,,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,91.1,,,западный,,,1.0,,,,,,,,True,,,20,753.0,,,2.6,,,,10.0,,,,,,,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,95.8,,,юго-западный,,,1.0,,,,,,,,,,,20,754.0,,,1.2,,True,,7.0,,,,,,,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,96.5,,0.4,,,,0.0,,2,,0.0,,,2,,,,20,754.0,,,0.7,,True,,7.0,,,,,,,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,82.6,,,южный,,,1.0,,,,,,,,,,,20,755.0,,,4.8,,,,1.0,,,,,,,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,55.2,,,,,,0.0,,,,,,,,,,,20,756.0,,,8.8,,,,9.0,,,,,,,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,47.3,,,северный,,,1.0,,,,,,,,,,,20,756.0,,,11.1,,,,6.0,,,,,,,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,45.3,,,северо-восточный,,11.7,1.0,,0,,,,,,,,,20,756.0,,,10.2,,,,0.0,,,,,,,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,60.6,,,северо-восточный,,,1.0,,,,,,,,,,,20,757.0,,,5.4,,,,2.0,,,,,,,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,70.2,,,северо-восточный,,,1.0,,,,,,,,,,,20,758.0,,,2.9,,,,0.0,,,,,,,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,76.4,,,северо-восточный,,,2.0,,,,,,,,,,,20,758.0,,,1.4,,,,0.0,,,,,,,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,78.6,,0.6,северо-восточный,,,1.0,,0,,0.0,,,0,,,,20,759.0,,,1.1,,,,0.0,,,,,,,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,48.9,,,восточный,,,1.0,,,,,,,,,,,20,760.0,,,8.2,,,,0.0,,,,,,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,26.1,,,восточный,,,1.0,,,,,,,,,,,20,759.0,,,13.0,,,,0.0,,,,,,,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,18.4,,,восточный,,,2.0,,,,,,,,,,,20,758.0,,,15.9,,,,0.0,,,,,,,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,21.5,,,восточный,,16.2,1.0,,0,,,,,,,,,20,758.0,,,14.9,,,,0.0,,,,,,,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,31.3,,,северо-восточный,,,1.0,,,,,,,,,,,20,758.0,,,9.8,,,,0.0,,,,,,,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,39.2,,,северо-восточный,,,2.0,,,,,,,,,,,20,758.0,,,7.7,,,,0.0,,,,,,,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,48.0,,,северо-восточный,,,2.0,,,,,,,,,,,20,757.0,,,5.1,,,,0.0,,,,,,,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,55.4,,3.3,северо-восточный,,,2.0,,0,,0.0,,,0,,,,20,757.0,,,3.5,,,,4.0,,,,,,,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,38.4,,,северо-восточный,,,1.0,,,,,,,,,,,20,757.0,,,9.6,,,,7.0,,,,,,,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,24.5,,,восточный,,,1.0,,,,,,,,,,,20,756.0,,,15.5,,,,10.0,,,,,,,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,18.5,,,восточный,,,1.0,,,,,,,,,,,20,756.0,,,18.4,,,,10.0,,,,,,,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,19.5,,,восточный,,18.8,1.0,,0,,,,,,,,,20,755.0,,,17.2,,,,10.0,,,,,,,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,28.1,,,северо-восточный,,,1.0,,,,,,,,,,,20,756.0,,,11.4,,,,4.0,,,,,,,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,33.9,,,северо-восточный,,,2.0,,,,,,,,,,,20,756.0,,,8.4,,,,0.0,,,,,,,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,40.5,,,северо-восточный,,,1.0,,,,,,,,,,,20,756.0,,,5.8,,,,0.0,,,,,,,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,46.3,,4.0,северо-восточный,,,1.0,,0,,0.0,,,0,,,,20,757.0,,,4.0,,,,10.0,,,,,,,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,31.1,,,,,,0.0,,,,,,,,,,,20,757.0,,,10.7,,,,4.0,,,,,,,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,20.2,,,юго-западный,,,1.0,,,,,,,,,,,20,757.0,,,17.2,,,,0.0,,,,,,,,
