timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,0,,,,,,,,50.0,723.0,,,,7.8,,25.2,,,северный,1.0,,10.1,4.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,725.0,,,,1.6,,40.2,,,западный,0.0,,,2.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,724.0,,,,-0.6,,52.2,,,,0.0,,,0.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,723.0,,,,-1.3,,56.2,,,южный,0.0,,,1.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,723.0,,,,-2.0,,55.1,-2.7,,южный,0.0,,,1.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,724.0,,,,7.4,,20.7,,,юго-восточный,0.0,,,2.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,50.0,722.0,,,,9.6,,20.4,,,северный,0.0,,,3.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,50.0,722.0,,,,10.8,,21.3,,,северо-восточный,2.0,,,3.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,0,,,,,,,,50.0,723.0,,,,7.6,,23.8,,,северо-восточный,0.0,,11.2,4.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,724.0,,,,3.2,,32.8,,,восточный,0.0,,,3.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,724.0,,,,0.6,,32.8,,,восточный,0.0,,,3.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,724.0,,,,-0.6,,34.6,,,юго-восточный,0.0,,,4.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,723.0,,,,-2.2,,46.2,-2.5,,юго-восточный,0.0,,,2.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,722.0,,,,4.4,,33.5,-2.8,,юго-восточный,0.0,,,3.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,12.0,,,,,,,,,,50.0,720.0,,,,10.3,,24.0,,,восточный,0.0,,,5.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,11.0,,,,,,,,,,50.0,718.0,,,,13.0,,19.1,,,восточный,0.0,,,5.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,11.0,,0,,,,,,,,50.0,716.0,,,,11.4,,24.5,,,восточный,0.0,,13.2,4.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,716.0,,,,6.1,,34.2,,,юго-восточный,0.0,,,2.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,716.0,,,,-0.2,,62.5,,,,0.0,,,0.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,-1.6,,71.4,,,,0.0,,,0.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,714.0,,,,-1.8,,68.6,-3.1,,южный,0.0,,,1.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,715.0,,,,9.1,,35.4,,,северный,0.0,,,2.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,714.0,,,,13.6,,16.3,,,северный,0.0,,,3.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,713.0,,,,16.0,,18.7,,,северо-восточный,0.0,,,2.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,713.0,,,,13.4,,21.8,,,восточный,0.0,,16.3,3.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,8.6,,32.4,,,юго-восточный,0.0,,,2.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,3.5,,52.9,,,южный,0.0,,,1.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,1.5,,64.8,,,южный,0.0,,,1.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,712.0,,,,-3.0,,77.4,-3.1,,,0.0,,,0.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,712.0,,,,9.4,,37.4,,,восточный,0.0,,,1.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,711.0,,,,14.9,,26.1,,,северо-восточный,0.0,,,3.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,710.0,,,,15.4,,22.0,,,восточный,0.0,,,3.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,710.0,,,,13.4,,27.9,,,восточный,0.0,,16.1,3.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,711.0,,,,8.7,,46.6,,,юго-восточный,0.0,,,1.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,711.0,,,,3.5,,69.8,,,южный,0.0,,,1.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,711.0,,,,7.2,,49.0,,,юго-западный,0.0,,,2.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,711.0,,,,4.1,,65.9,1.5,,южный,0.0,,,1.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,711.0,,,,12.1,,41.8,,,юго-западный,0.0,,,3.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,711.0,,,,15.7,,30.3,,,северо-западный,7.0,,,3.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,13.0,,,,,,,,,,20.0,711.0,,,,13.2,,43.3,,,северо-западный,10.0,,,7.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,12.0,,0,,,,,,,,10.0,712.0,,,,10.1,,54.7,,,северо-западный,10.0,,15.8,6.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,13.0,,,,,,,,,,4.0,714.0,,,,7.4,,62.5,,,западный,10.0,,,4.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,True,,,4.0,715.0,,,,6.5,,61.3,,,западный,10.0,,,4.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,5.6,,55.9,,True,северо-западный,10.0,,,5.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,менее 0.1,,,менее 0.1,,,,,10.0,716.0,,,,3.3,,75.6,2.7,True,западный,10.0,,,5.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,10.0,,,,,,,,,,20.0,716.0,,,,5.9,,52.4,,True,юго-западный,10.0,,,5.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,14.0,,,,,,,,,,20.0,716.0,,,,8.0,,33.8,,,северо-западный,9.0,,,8.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,17.0,,,,,,,,,,20.0,717.0,,,,9.0,,30.8,,,северо-западный,2.0,,,9.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,16.0,,0,,,,,,,,20.0,717.0,,,,7.7,,30.2,,,северо-западный,2.0,,9.6,6.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,719.0,,,,2.4,,46.1,,,юго-западный,1.0,,,2.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,719.0,,,,2.5,,48.4,,,юго-западный,5.0,,,2.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,719.0,,,,-1.2,,58.5,,,юго-западный,0.0,,,1.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,719.0,,,,-2.1,,61.0,-3.4,,южный,0.0,,,1.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,719.0,,,,6.9,,31.2,,,юго-восточный,0.0,,,1.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,718.0,,,,10.4,,29.8,,,северный,0.0,,,3.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,717.0,,,,12.6,,21.4,,,северный,2.0,,,3.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,716.0,,,,12.4,,20.2,,,северный,2.0,,13.6,1.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,716.0,,,,4.8,,41.1,,,юго-западный,0.0,,,1.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,716.0,,,,1.5,,55.7,,,южный,0.0,,,1.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,3.2,,53.2,,,южный,0.0,,,2.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,714.0,,,,1.0,,58.2,-0.2,,южный,0.0,,,1.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,714.0,,,,11.7,,27.4,,,юго-восточный,0.0,,,2.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,50.0,713.0,,,,19.2,,14.6,,,восточный,10.0,,,4.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,50.0,711.0,,,,20.2,,13.4,,,северо-восточный,10.0,,,4.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,0,,,,,,,,50.0,712.0,,,,18.3,,15.5,,,восточный,6.0,,20.5,2.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,11.4,,34.0,,,южный,0.0,,,2.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,7.5,,35.5,,,,0.0,,,0.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,711.0,,,,11.2,,20.4,,,южный,10.0,,,4.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,711.0,,,,10.6,,24.8,6.8,,южный,10.0,,,2.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,710.0,,,,18.9,,15.4,,,южный,10.0,,,3.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,708.0,,,,21.5,,15.1,,,юго-западный,10.0,,,3.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,708.0,,,,20.7,,18.6,,,западный,10.0,,,5.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,15.0,,0,,,,,,,,10.0,710.0,,,,13.9,,34.8,,,северо-западный,10.0,,22.6,3.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,True,,,,,,4.0,712.0,,,,8.5,,92.8,,,северо-западный,10.0,,,5.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,5.2,,90.7,,,северо-западный,10.0,,,6.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,3.3,,89.9,,,северо-западный,10.0,,,2.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,менее 0.1,,,менее 0.1,,,,,10.0,713.0,,,,2.8,,89.2,2.8,,,10.0,,,0.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,715.0,,,,2.9,,82.4,,,северо-западный,10.0,,,2.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,True,,,10.0,715.0,,,,3.8,,89.3,,,юго-западный,10.0,,,3.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,714.0,,,,9.5,,45.1,,True,северо-западный,7.0,,,5.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,1,,,,,,,,20.0,714.0,,,,9.5,,47.2,,,северо-западный,9.0,,10.8,4.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,4.1,,68.4,,,юго-западный,0.0,,,2.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,3.1,,72.3,,,южный,0.0,,,2.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,-0.2,,90.3,,,северо-западный,0.0,,,1.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,0,,,1,,,,,50.0,713.0,,,,-0.2,,93.6,-1.5,,южный,7.0,,,1.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,713.0,,,,12.7,,37.3,,,юго-восточный,10.0,,,2.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,50.0,712.0,,,,17.7,,21.0,,,западный,7.0,,,5.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,10.0,,,,,,,,,,50.0,711.0,,,,19.6,,22.1,,,северо-западный,10.0,,,4.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,0,,,,,,,,50.0,711.0,,,,15.9,,27.3,,,северо-западный,7.0,,19.7,4.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,10.5,,39.2,,,западный,10.0,,,1.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,4.0,,64.4,,,западный,0.0,,,1.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,4.3,,65.0,,,южный,7.0,,,1.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,713.0,,,,2.3,,72.7,2.3,,,10.0,,,0.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,713.0,,,,12.9,,36.8,,,,7.0,,,0.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,50.0,712.0,,,,17.5,,21.4,,,северо-восточный,2.0,,,2.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,50.0,711.0,,,,19.9,,15.6,,,северный,10.0,,,3.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,712.0,,,,18.3,,21.2,,,северный,10.0,,20.2,4.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,12.6,,38.7,,,северо-западный,6.0,,,1.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,7.5,,58.5,,,южный,10.0,,,1.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,712.0,,,,4.9,,70.0,,,южный,0.0,,,1.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,0,,,0,,,,,50.0,713.0,,,,5.1,,66.6,3.1,,южный,0.0,,,2.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,50.0,713.0,,,,14.6,,36.8,,,северный,0.0,,,1.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,712.0,,,,19.2,,27.9,,,северный,10.0,,,3.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,712.0,,,,20.0,,26.0,,,северо-восточный,7.0,,,2.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,менее 0.1,,,,,True,,,20.0,712.0,,,,16.9,,32.5,,,северо-западный,10.0,,21.1,5.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,True,,,,4.0,713.0,,,,12.1,,58.0,,,северный,2.0,,,2.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,10.9,,56.9,,,южный,0.0,,,2.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,711.0,,,,8.6,,61.8,,,южный,0.0,,,3.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,менее 0.1,,,менее 0.1,,,,,10.0,710.0,,,,8.2,,60.0,8.0,,южный,10.0,,,4.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,709.0,,,,15.3,,33.7,,,юго-восточный,10.0,,,2.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,707.0,,,,23.0,,15.8,,,северо-западный,10.0,,,1.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,707.0,,,,20.3,,30.1,,,северный,9.0,,,5.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,14.0,,0,,,,,,,,10.0,709.0,,,,13.2,,38.3,,,северо-западный,10.0,,24.4,6.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,710.0,,,,9.8,,64.8,,,северный,10.0,,,4.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,True,,,4.0,711.0,,,,7.0,,97.3,,,северный,10.0,,,3.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,True,,,4.0,713.0,,,,4.2,,88.1,,,северо-западный,10.0,,,3.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,9,,,9,,,,,10.0,713.0,,,,4.5,,88.1,4.1,True,юго-восточный,10.0,,,1.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,713.0,,,,7.2,,68.0,,True,юго-западный,9.0,,,2.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,713.0,,,,9.3,,46.4,,,северо-западный,10.0,,,3.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,713.0,,,,8.7,,42.9,,,северо-западный,10.0,,,4.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,0,,,,,,,,10.0,713.0,,,,7.6,,63.0,,,северный,10.0,,9.5,3.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,6.5,,66.4,,,западный,10.0,,,2.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,5.5,,62.5,,,северный,10.0,,,1.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,5.0,,64.7,,,,10.0,,,0.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,713.0,,,,4.5,,65.0,4.5,,северо-западный,10.0,,,1.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,714.0,,,,5.1,,63.3,4.4,,северный,10.0,,,1.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,713.0,,,,7.1,,47.9,,,западный,10.0,,,2.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,713.0,,,,8.3,,43.8,,,западный,10.0,,,2.0
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,713.0,,,,7.9,,51.8,,,южный,10.0,,8.6,2.0
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,6.7,,54.6,,,юго-западный,10.0,,,3.0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,713.0,,,,6.2,,58.2,,,западный,10.0,,,2.0
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,714.0,,,,5.1,,56.2,,,западный,10.0,,,1.0
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,714.0,,,,3.6,,65.8,3.4,,южный,7.0,,,2.0
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,715.0,,,,7.5,,35.5,3.2,,западный,5.0,,,2.0
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,714.0,,,,10.0,,32.6,,,западный,7.0,,,2.0
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,11.0,,,,,,,,,,20.0,714.0,,,,11.6,,28.6,,,северный,7.0,,,3.0
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,0,,,,,,,,20.0,714.0,,,,10.2,,33.9,,,северный,10.0,,12.4,2.0
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,6.4,,54.5,,,юго-западный,6.0,,,1.0
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,2.6,,65.6,,,,0.0,,,0.0
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,4.0,715.0,,,,2.7,,64.6,,,,0.0,,,0.0
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,0,,,0,,,,,20.0,714.0,,,,3.1,,63.3,0.3,,южный,0.0,,,2.0
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,714.0,,,,11.0,,33.4,,,восточный,1.0,,,1.0
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,713.0,,,,13.6,,25.3,,,юго-восточный,2.0,,,2.0
