timestamp,date,Ливневой снег умеренный или сильный,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь со снегом слабый,"Высота снежного покрова, см",Количество облаков увеличилось,Ливневый дождь со снегом,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман без изменений (небо не видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,736,,,,2.4,40.7,,1.9,,южный,10.0,,,1,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,736,,,,6.8,29.9,,1.9,,южный,0.0,,,3,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,736,,,,11.9,20.1,,,,юго-западный,0.0,,,5,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,,,,,10.0,735,,,,13.5,15.4,,,,юго-западный,0.0,,,6,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,14.0,,,0,,,,,,,,,,10.0,735,,,,13.4,14.1,,,,юго-западный,0.0,,,4,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,736,,,,9.9,18.5,,,,юго-западный,0.0,,14.1,4,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,736,,,,8.0,22.1,,,,юго-западный,0.0,,,4,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,737,,,,4.9,28.9,,,,юго-западный,0.0,,,3,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,738,,,,2.9,37.5,,2.8,,западный,10.0,,,1,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,740,,,,5.9,39.9,,2.8,,западный,9.0,,,2,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,741,,,,10.4,23.5,,,,западный,7.0,,,5,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,741,,,,10.9,19.5,,,,западный,7.0,,,5,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10.0,743,,,,9.0,18.4,,,,западный,6.0,,,5,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,10.0,,,0,,,,,,,,,,10.0,744,,,,4.5,34.8,,,,северо-западный,0.0,,11.7,1,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,746,,,,2.0,45.7,,,,северо-западный,0.0,,,1,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,746,,,,0.9,54.7,,,,северо-западный,0.0,,,1,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,747,,,,-1.1,64.2,,-1.7,,северо-западный,0.0,,,1,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,748,,,,4.5,49.0,,-1.7,,западный,2.0,,,2,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,748,,,,6.8,32.1,,,,северо-западный,6.0,,,5,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,747,,,,8.0,23.5,,,,западный,7.0,,,5,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,747,,,,7.0,20.9,,,,северо-западный,7.0,,,4,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,14.0,,,0,,,,,,,,,,10.0,749,,,,2.5,49.9,,,,северо-западный,7.0,,8.8,4,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750,,,,-0.7,65.8,,,,северо-западный,0.0,,,1,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,751,,,,-1.4,57.5,,,,северо-западный,0.0,,,2,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,751,,,,-2.7,59.5,,-2.7,,северо-западный,0.0,,,1,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,3.2,35.8,,-2.7,,северо-западный,0.0,,,3,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,752,,,,7.0,21.6,,,,северо-западный,6.0,,,4,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,752,,,,9.6,14.0,,,,северо-западный,6.0,,,4,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10.0,751,,,,9.3,18.2,,,,северо-западный,7.0,,,3,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,7.0,24.0,,,,северный,10.0,,9.7,1,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,752,,,,5.7,28.7,,,,северо-западный,10.0,,,1,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,753,,,,4.4,42.6,,,,северный,7.0,,,2,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,754,,,,1.5,51.2,,1.5,,северный,0.0,,,2,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,755,,,,5.6,36.6,,1.4,,северо-восточный,1.0,,,1,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,755,,,,8.8,27.2,,,,северный,0.0,,,1,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,753,,,,11.6,25.9,,,,западный,7.0,,,2,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,12.0,30.5,,,,северо-западный,6.0,,,2,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,752,,,,8.2,41.8,,,,южный,0.0,,12.6,1,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,750,,,,7.5,43.6,,,,юго-западный,0.0,,,2,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,749,,,,5.7,49.7,,,,юго-западный,0.0,,,3,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,747,,,,5.1,51.4,,5.1,,юго-западный,0.0,,,3,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10.0,744,,,,9.8,34.0,,5.1,,юго-западный,0.0,,,4,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,742,,,,16.2,21.2,,,,западный,7.0,,,6,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,,,10.0,742,,,,14.9,27.9,,,,северо-западный,7.0,,,5,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,742,,,,13.3,30.5,,,,северо-западный,6.0,,,4,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,743,,,,9.9,46.9,,,,северо-западный,2.0,,16.5,3,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,6.8,60.1,,,,северо-западный,0.0,,,2,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,4.6,70.5,,,,северо-западный,2.0,,,2,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,743,,,,2.7,83.0,,2.6,,северо-западный,2.0,,,1,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,743,,,,8.4,63.6,,2.6,,,2.0,,,0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,742,,,,13.7,37.6,,,,западный,4.0,,,3,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,,10.0,741,,,,15.4,29.5,,,,юго-западный,5.0,,,3,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,739,,,,15.3,29.3,,,,юго-западный,9.0,,,3,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,739,,,,12.0,34.7,,,,юго-западный,0.0,,15.8,2,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,9.2,41.8,,,,юго-западный,0.0,,,1,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,736,,,,8.7,42.0,,,,юго-западный,2.0,,,1,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,735,,,,8.3,42.2,,7.9,,юго-западный,10.0,,,2,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,735,,,,9.0,44.3,,7.9,,юго-западный,10.0,,,1,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,True,10.0,736,,,,7.5,83.0,,,,северный,10.0,,,3,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,True,,,10.0,736,,,,10.2,68.7,,,,северо-западный,9.0,,,2,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,3,,,,,,,,,,10.0,737,,,,9.2,44.4,,,True,северный,9.0,,,3,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,3,,,,,,,,,,10.0,738,,,,6.7,42.3,,,True,северо-западный,7.0,,12.2,3,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,739,,,,3.9,50.3,,,,северо-западный,7.0,,,2,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,3.7,45.1,,,,северный,9.0,,,2,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,0,,,,,3,,,,,10.0,739,,,,1.5,59.6,,1.5,,северо-западный,9.0,,,1,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,739,,,,5.3,47.4,,1.3,,северо-западный,2.0,,,2,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,739,,,,8.1,31.8,,,,северо-западный,7.0,,,3,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,739,,,,8.4,33.9,,,True,северо-западный,9.0,,,3,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,13.0,,,2,,,,True,,,,,,10.0,740,,,,2.7,86.0,,,,северо-западный,9.0,,,1,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,3,,,,,,,,,,10.0,742,,,,2.2,78.2,,,True,северо-западный,9.0,,8.9,3,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,0.5,76.2,,,,северо-западный,0.0,,,2,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,744,,,,-0.6,68.9,,,,северо-западный,0.0,,,3,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,0.4,,,,,3,,,,,10.0,745,,,,-1.9,74.1,,-1.9,,северо-западный,0.0,,,2,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,746,,,,2.8,57.3,,-2.1,,северо-западный,0.0,,,2,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,745,,,,7.0,28.6,,,,северо-западный,7.0,,,4,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,,,,10.0,744,,,,8.9,24.0,,,,северо-западный,7.0,,,4,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,10.0,,,0,,,,,,,,,,10.0,743,,,,9.5,21.6,,,,западный,2.0,,,4,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,743,,,,5.5,30.0,,,,западный,1.0,,10.0,1,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,743,,,,4.2,33.1,,,,западный,0.0,,,1,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,742,,,,3.3,37.6,,,,юго-западный,10.0,,,1,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,741,,,,3.0,33.6,,2.6,,юго-западный,9.0,,,2,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,741,,,,8.0,23.9,,2.6,,юго-западный,7.0,,,3,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,739,,,,13.2,20.0,,,,юго-западный,7.0,,,4,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,737,,,,16.0,17.6,,,,юго-западный,2.0,,,6,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,735,,,,16.2,19.1,,,,юго-западный,2.0,,,5,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,11.0,,,0,,,,,,,,,,10.0,734,,,,13.2,26.4,,,,южный,2.0,,16.9,4,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,733,,,,11.7,32.4,,,,южный,7.0,,,5,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,732,,,,9.4,32.9,,,,южный,7.0,,,4,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,11.0,,,0,,,,,0,,,,,10.0,732,,,,7.3,35.4,,7.3,,южный,9.0,,,4,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,10.0,732,,,,9.3,34.9,,7.1,True,южный,9.0,,,4,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,True,,,10.0,732,,,,11.5,33.3,,,,юго-западный,10.0,,,4,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,,True,,,10.0,732,,,,11.7,44.8,,,,западный,10.0,,,4,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,10.0,,,менее 0.1,,,,,,,,,True,10.0,733,,,,4.2,84.4,,,,северо-западный,10.0,,,3,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,2,True,,,,,,,,,4.0,733,,,,0.7,91.7,,,,северо-западный,10.0,,13.0,2,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",True,,,,,,,,,,,,,,,,1.0,734,,,,-0.1,95.0,,,,северо-западный,10.0,,,4,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,True,,,,,,4.0,733,,,,-0.2,95.7,,,,,10.0,,,0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,11,,,,,11,,,True,,19.0,733,,,,-0.3,96.4,,-0.3,,,10.0,,,0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,10,,6.0,,,,,,,,10.0,733,,,,2.5,76.5,,-0.4,,западный,1.0,,,2,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,4.0,733,,,,3.0,73.3,,,,западный,7.0,True,,4,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,13.0,,,,,,,True,,,,,,10.0,733,,,,2.7,69.1,,,,западный,7.0,,,5,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,11.0,,,менее 0.1,,,,,,,,,,10.0,734,,,,3.0,70.2,,,,западный,9.0,True,,4,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,10.0,734,,,,3.6,58.0,,,True,западный,10.0,,5.2,3,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,734,,,,2.8,60.0,,,,западный,7.0,,,3,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,733,,,,1.3,80.4,,,True,юго-западный,7.0,,,3,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,0.1,,,,,0.1,,,,,10.0,733,,,,2.5,86.6,,1.2,True,западный,10.0,,,4,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,0.1,,,,,,,,,,10.0,732,,,,4.7,78.0,,1.2,True,западный,10.0,,,5,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,15.0,,,,,,,,,,,,,10.0,730,,,,6.8,65.5,,,,юго-западный,9.0,,,5,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,,,,,10.0,728,,,,7.6,63.0,,,,юго-западный,10.0,,,6,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,14.0,,,0.4,,,,,,,,,True,10.0,725,,,,8.1,78.0,,,,западный,10.0,,,4,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,12.0,,,2,,,,,,True,,,,10.0,727,,,,7.2,60.6,,,,западный,2.0,,10.1,4,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,16.0,,,,,,,,,,,,,10.0,727,,,,5.9,65.8,,,,западный,7.0,,,5,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,728,,,,4.5,69.0,,,,западный,0.0,,,5,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,11.0,,,2,,,,,2,,,,,10.0,730,,,,3.4,71.3,,3.4,,западный,7.0,,,4,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,12.0,,,0,,,,,,,,,,10.0,731,,,,4.7,60.0,,3.3,,западный,7.0,,,5,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,,732,,,,5.9,53.6,,,,западный,,,,4,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,732,,,,7.2,46.5,True,,,западный,7.0,,,4,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,13.0,,,менее 0.1,,,,,,,,,,10.0,733,,,,6.4,51.0,,,True,северо-западный,7.0,,,5,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,12.0,,,0.1,,,,,,True,,,,10.0,734,,,,2.5,75.4,,,,западный,2.0,,8.8,1,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,734,,,,1.6,71.5,,,,западный,2.0,,,2,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,734,,,,0.7,76.2,,,,западный,0.0,,,2,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,0.1,,,,,0.1,,,,,10.0,734,,,,-0.1,83.2,,-0.1,,западный,2.0,,,3,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,736,,,,2.9,71.2,,-0.1,,западный,7.0,,,3,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,737,,,,5.4,46.0,,,,западный,7.0,,,4,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,737,,,,8.9,30.3,,,True,западный,7.0,,,4,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,12.0,,,менее 0.1,,,,,,,,,,10.0,737,,,,7.1,35.1,,,,северо-западный,7.0,,,4,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,10.0,739,,,,4.7,50.1,,,,западный,10.0,,9.3,2,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,3.7,57.1,,,,западный,10.0,,,1,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,3.4,58.3,,,,юго-западный,10.0,,,1,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,0,,,,,менее 0.1,,,,,10.0,738,,,,3.0,61.8,,3.0,,юго-западный,10.0,,,1,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,менее 0.1,,,,,,,True,,,10.0,739,,,,5.1,53.8,,3.0,,западный,9.0,,,2,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,7.6,41.3,,,,юго-западный,7.0,,,3,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,738,,,,7.8,43.6,,,,западный,9.0,,,2,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,10.0,,,0.1,,,,,,,,,,10.0,738,,,,7.0,50.8,,,True,юго-западный,10.0,,,1,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,0.1,,,,,,,,,,10.0,738,,,,5.9,49.4,,,True,северо-западный,10.0,,8.9,1,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,3.3,75.6,,,,северо-западный,10.0,,,1,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,3.2,76.7,,,,западный,10.0,,,1,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,менее 0.1,,,,,0.1,,True,,,10.0,738,,,,2.6,73.8,,2.6,,северо-западный,10.0,,,2,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,менее 0.1,,,,,,,,,,10.0,738,,,,4.5,69.5,,2.5,True,северо-западный,7.0,,,2,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,,10.0,738,,,,5.6,58.0,True,,,северный,9.0,,,4,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,739,,,,5.3,61.5,,,True,северный,9.0,,,3,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,13.0,,,1,,,,,,,True,,,10.0,739,,,,4.9,72.1,,,,северный,6.0,,,4,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,10.0,,,1,,,,,,,,,,10.0,740,,,,3.2,76.1,,,True,северо-западный,7.0,,7.6,2,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,740,,,,2.6,77.1,,,,северо-западный,9.0,,,2,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,740,,,,1.4,79.8,,,,северный,2.0,,,3,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,0,,,,,1,,,,,10.0,740,,,,-0.1,85.7,,-0.2,,северо-западный,0.0,,,2,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,740,,,,4.9,64.2,,-0.2,,северо-западный,0.0,,,3,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,740,,,,7.0,44.4,,,,северный,10.0,,,4,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,740,,,,8.8,34.8,,,,северо-западный,9.0,,,4,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,10.0,,,менее 0.1,,,,,,,,,,10.0,740,,,,9.1,34.4,,,True,северный,7.0,,,4,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,12.0,,,менее 0.1,,,,,,True,,,,10.0,740,,,,6.1,41.2,,,,северо-западный,2.0,,10.0,2,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,740,,,,3.0,55.2,,,,северо-западный,0.0,,,2,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,739,,,,2.0,60.7,,,,западный,7.0,,,2,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,0,,,,,менее 0.1,,,,,10.0,738,,,,3.3,56.2,,1.7,,западный,10.0,,,2,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,738,,,,6.4,52.1,,1.7,,северо-западный,7.0,,,3,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,738,,,,8.6,39.5,,,,северо-западный,9.0,,,5,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,,,,,10.0,737,,,,11.4,26.3,,,,северо-западный,9.0,,,4,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,737,,,,12.0,16.6,,,,северный,6.0,,,5,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,739,,,,6.9,22.1,,,,северный,1.0,,12.3,1,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,,10.0,740,,,,4.8,24.3,,,,северный,0.0,,,2,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,,10.0,740,,,,0.3,34.4,,,,северо-западный,0.0,,,1,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,0,,,,,0,,,,,10.0,741,,,,0.4,34.4,,-0.3,,северо-западный,0.0,,,1,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,0,,,,,,,,,,10.0,741,,,,7.3,21.9,,-0.3,,западный,0.0,,,4,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,,,,,10.0,739,,,,10.9,14.8,,,,западный,4.0,,,4,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,,,,,10.0,738,,,,13.1,13.8,,,,западный,4.0,,,5,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,13.0,,,0,,,,,,,,,,10.0,736,,,,13.3,14.2,,,,западный,6.0,,,5,
