timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,38.0,,3.5,юго-восточный,,,3.0,,,0,,,0,,,,10,744,,,5.5,,,10.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,33.9,,3.5,юго-западный,,,6.0,,,0,,,,,,,10,743,,,13.6,,,2.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,12.0,,,,,,,,32.0,,,юго-западный,,,8.0,,,,,,,,,,10,742,,,19.4,,,0.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,14.0,,,,,,,,29.1,,,юго-западный,,,10.0,,,,,,,,,,10,741,,,20.5,,,10.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,13.0,,,,,,,,33.9,,,юго-западный,,,7.0,,,0,,,,,,,10,741,,,17.8,,,10.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,12.0,,,,,,,,43.0,,,юго-западный,,21.6,4.0,,,0,,,,,,,10,741,,,14.4,,,10.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,46.9,,,юго-западный,,,5.0,,,,,,,,,,10,740,,,14.3,,,10.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,72.8,,,западный,,,6.0,,,,,,,,,,10,741,,,11.2,,,10.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,11.0,,,,,,,,95.3,,6.0,северо-восточный,,,7.0,,,0,,,0,,,,10,742,,,6.1,,,10.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,True,,,,,,99.3,,3.2,северный,,,6.0,,,3,,,,,,,10,745,,,3.3,,,10.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,82.1,,,северный,,,7.0,,,,,,,,,,10,747,,,5.4,,True,10.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,10.0,,,,True,,,,45.1,,,северный,,,5.0,,,,,,,,,,10,747,,,9.3,,,6.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,40.9,,,северо-западный,,,3.0,,,3,,,,,,,10,747,,,9.3,,,4.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,74.0,,,западный,,10.9,3.0,,,0.8,,,,,,,10,748,,,3.9,,,2.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,75.0,,,юго-западный,,,3.0,,,,,,,,,,10,749,,,3.0,,,10.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,80.1,,,южный,,,4.0,,,,,,,,,,10,749,,,3.0,,,5.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,89.1,,1.2,южный,,,4.0,,,0,,,3,,,,10,749,,,1.5,,,4.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,65.2,,1.2,западный,,,5.0,,,0,,,,,,,10,750,,,9.3,,,0.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,11.0,,,,,,,,45.9,,,западный,,,6.0,,,,,,,,,,10,749,,,12.1,,,5.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,14.0,,,,,,,,36.9,,,западный,,,9.0,,,,,,,,,,10,749,,,13.2,,,0.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,14.0,,,,,,,,38.1,,,юго-западный,,,10.0,,,0,,,,,,,10,748,,,11.6,,,2.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,13.0,,,,,,,,55.2,,,южный,,13.8,6.0,,,0,,,,,,,10,747,,,7.4,,,2.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,10.0,,,,,,,,56.9,,,южный,,,7.0,,,,,,,,,,10,747,,,7.5,,,2.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,10.0,,,,,,,,60.1,,,южный,,,5.0,,,,,,,,,,10,747,,,6.9,,,0.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,58.1,,6.7,южный,,,5.0,,,0,,,0,,,,10,746,,,7.3,,,2.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,13.0,,,,,,,,46.2,,6.7,юго-западный,,,9.0,,,0,,,,,,,10,746,,,11.9,,,10.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,14.0,,,,,,,,39.0,,,юго-западный,,,10.0,,,,,,,,,,10,745,,,14.8,,,10.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,14.0,,,,,,,,38.1,,,юго-западный,,,9.0,,,,,,,,,,10,745,,,16.2,,,10.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,12.0,,,,,,,,41.1,,,юго-западный,,,8.0,,,0,,,,,,,10,744,,,13.8,,,10.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,10.0,,,,,,,,46.9,,,юго-западный,,16.8,5.0,,,0,,,,,,,10,745,,,9.7,,,10.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,58.1,,,южный,,,5.0,,,,,,,,,,10,744,,,7.4,,,7.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,59.9,,,юго-западный,,,4.0,,,,,,,,,,10,745,,,7.6,,,0.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,66.8,,3.8,южный,,,5.0,,,0,,,0,,,,10,744,,,6.2,,,1.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,43.0,,3.8,юго-западный,,,5.0,,,0,,,,,,,10,745,,,15.3,,,4.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,38.1,,,западный,,,5.0,,,,,,,,,,10,745,,,17.1,,,7.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,11.0,,,,,,,,35.9,,,западный,,,6.0,,,,,,,,,,10,746,,,16.2,,,7.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,36.9,,,юго-западный,,,2.0,,,0,,,,,,,10,745,,,16.0,,,4.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,48.0,,,западный,,18.4,2.0,,,0,,,,,,,10,746,,,11.3,,,4.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,57.2,,,южный,,,3.0,,,,,,,,,,10,746,,,7.1,,,2.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,59.2,,,юго-восточный,,,4.0,,,,,,,,,,10,745,,,8.4,,,7.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,58.9,,6.5,восточный,,,3.0,,,0,,,0,,,,10,745,,,8.9,,,10.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,41.1,,6.5,юго-западный,,,1.0,,,0,,,,,,,10,746,,,13.8,,,9.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,34.1,,,западный,,,6.0,,,,,,,,,,10,746,,,17.5,,,9.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,31.1,,,западный,,,5.0,,,,,,,,,,10,745,,,18.6,,,4.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,42.2,,,западный,,,5.0,,,0,,,,,,,10,744,,,15.5,,,7.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,59.1,,,западный,,19.2,2.0,,,0.1,,,,True,,,10,744,,,11.6,,,10.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,True,,,,,79.9,,,северо-восточный,,,2.0,,,,,,,,,,10,743,,,9.9,,,10.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,82.2,,,,,,0.0,,,,,,,True,,,10,742,,,10.5,,,10.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,97.3,,9.2,северный,,,4.0,,,4,,,4,,,,2,742,,True,9.2,,,10.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,98.7,,9.2,северный,,,4.0,,,12,,,,True,,,4,742,,,9.3,,,10.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,11.0,,,True,,,,,81.1,,,северо-восточный,,,6.0,,,,,,,,,,10,743,,,10.7,,,9.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,10.0,,,,True,,,,57.0,,,северный,,,6.0,,,,,,,,,,10,745,,,12.7,,,4.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,41.9,,,северо-западный,,,4.0,,,10,,,,,,,10,745,,,13.6,,,5.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,64.9,,,северо-западный,,14.3,3.0,,,1,,,,,,,10,747,,,8.2,,,1.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,68.8,,,северо-восточный,,,3.0,,,,,,,,,,10,748,,,6.2,,,4.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,68.1,,,восточный,,,3.0,,,,,,,,,,10,748,,,5.0,,,6.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,68.8,,2.9,восточный,,,3.0,,,0,,,10,,,,10,748,,,3.8,,,0.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,49.1,,2.9,северо-восточный,,,3.0,,,0,,,,,,,10,749,,,8.8,,,0.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,38.0,,,северный,,,4.0,,,,,,,,,,10,749,,,10.2,,,10.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,31.9,,,северо-западный,,,5.0,,,,,,,,,,10,749,,,11.1,,,10.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,35.1,,,северный,,,4.0,,,0,,,,,,,10,749,,,10.8,,,4.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,57.1,,,северный,,11.7,2.0,,,0,,,,,,,10,749,,,6.7,,,6.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,72.9,,,северо-западный,,,1.0,,,,,,,,,,10,749,,,3.7,,,0.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,71.8,,,восточный,,,2.0,,,,,,,,,,10,749,,,3.5,,,7.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,73.2,,1.9,юго-восточный,,,3.0,,,0,,,0,,,,10,749,,,2.5,,,4.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,48.9,,1.9,северо-западный,,,2.0,,,0,,,,,,,10,749,,,9.3,,,1.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,39.1,,,северный,,,4.0,,,,,,,,,,10,749,,,11.0,,,7.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,32.1,,,западный,,,3.0,,,,,,,,,,10,748,,,11.7,,,7.0
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,31.0,,,северо-западный,,,5.0,,,0,,,,,,,10,748,,,12.1,,,7.0
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,53.1,,,северо-западный,,12.8,4.0,,,0,,,,,,,10,749,,,7.0,,,4.0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,76.2,,,юго-западный,,,2.0,,,,,,,,,,10,749,,,3.6,,,0.0
