timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,"Осадки за 12 часов, мм","Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C",Морось (незамерзающая) сильная непрерывная,Снег слабый непрерывный,Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,14.0,,,,,,,,,,64.9,,,южный,,8.9,6.0,,,0,,,,,,,,50,740,,,,4.1,,,,,10.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,14.0,,,,,,,,,,47.0,,,юго-восточный,,,9.0,,,,,,,,,,,50,738,,,,4.1,,,,,1.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,True,,,,,,,,,89.2,,,северный,,,8.0,,,,,,,,,,,10,739,,,,2.7,,,,,10.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,24.0,,,,,,,,,,95.7,,,северный,,,11.0,,,,,,,,,,,4,739,,,,-0.6,,True,,,10.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,21.0,,,,,,,,,,66.8,,-0.9,северный,,,11.0,,,0.6,1.0,,,0.6,,,,50,740,,,,-0.8,,,True,,10.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,22.0,,,,,,,,,,55.7,,,северный,,,14.0,,,,,,,,,,,50,740,,,,0.0,,,True,,7.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,24.0,,,,,,,,,,53.7,,,северный,,,16.0,,,,,,,,,,,50,739,,,,0.3,,,,,9.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,24.0,,,,,,,,,,65.0,,,северный,,,15.0,,,,,,,,,,,50,740,,,,0.0,,,,,10.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,24.0,,,,,,,,,,99.3,,,северо-западный,,0.6,11.0,,,0.5,,,,,,,,1,740,,,True,-2.0,,,,,10.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,32.0,,,,,,,,,,74.0,,,северный,,,20.0,,,,,,,,,,,4,739,,,,0.8,,True,,,10.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,32.0,,,,,,,,,,94.3,,,северный,,,17.0,,,,,,,,,,,4,740,,,True,-0.3,,,,,10.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,28.0,,,,,,,,,,80.9,,,северный,,,17.0,,,,,,,,,,,4,740,,,,0.5,,True,,,10.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,26.0,,,,,,,,,,70.3,,-2.0,северный,,,14.0,,,0.3,3.0,,,0.8,,,,50,742,,,,1.2,,,True,,9.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,24.0,,,,,,,,,,52.2,,,северный,,,13.0,,,,,,,,,,,50,744,,,,2.2,,,True,,7.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,23.0,,,,,,,,,,51.7,,,северный,,,11.0,,,,,,,,,,,50,744,,,,3.3,,,,,7.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,22.0,,,,,,,,,,43.3,,,северный,,,11.0,,,,,,,,,,,50,744,,,,5.6,,,,,7.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,17.0,,,,,,,,,,75.8,,,северный,,5.6,8.0,,,менее 0.1,,,,,,,,50,745,,,,1.5,,,,,7.0,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,12.0,,,,,,,,,,84.5,,,северный,,,6.0,,,,,,,,,,,50,747,,,,0.0,,,,,2.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,11.0,,,,,,,,,,81.4,,,северный,,,4.0,,,,,,,,,,,50,747,,,,0.0,,,,,0.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,62.8,,,западный,,,3.0,,,,,,,,,,,50,745,,,,1.0,,,,,0.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,51.2,,-0.3,северо-западный,,,4.0,,,0,,,,менее 0.1,,,,50,745,,,,1.5,,,,,0.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,29.7,,,северный,,,5.0,,,,,,,,,,,50,745,,,,5.3,,,,,0.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,14.0,,,,,,,,,,17.6,,,северный,,,8.0,,,,,,,,,,,50,744,,,,9.9,,,,,0.0,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,13.0,,,,,,,,,,22.0,,,южный,,,8.0,,,,,,,,,,,50,742,,,,9.8,,,,,2.0,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,12.0,,,,,,,,,,27.2,,,южный,,12.4,4.0,,,0,,,,,,,,50,742,,,,8.3,,,,,6.0,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,21.8,,,южный,,,2.0,,,,,,,,,,,50,743,,,,8.4,,,,,0.0,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,33.4,,,,,,0.0,,,,,,,,,,,50,742,,,,6.1,,,,,0.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,39.4,,,западный,,,2.0,,,,,,,,,,,50,741,,,,5.1,,,,,0.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,53.5,,2.7,северо-западный,,,3.0,,,0,,,,0,,,,20,741,,,,2.7,,,,,6.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,13.0,,,,,,,,,,56.8,,1.4,северный,,,9.0,,,,,,,,,,,50,742,,,,2.6,,,,,6.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,14.0,,,,,,,,,,31.6,,,северный,,,6.0,,,,,,,,,,,50,741,,,,5.9,,,,,7.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,12.0,,,,,,,,,,27.3,,,северный,,,7.0,,,,,,,,,,,50,740,,,,6.5,,,,,9.0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,16.0,,,,,,,,,,33.6,,,северо-западный,,7.2,9.0,,,0,,,,,,,,50,741,,,,4.8,,,,,9.0,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,16.0,,,,,,,,,,71.5,,,северный,,,6.0,,,,,,,,,,,50,742,,,,1.9,,,,,9.0,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,11.0,,,,,,,,,,75.2,,,северный,,,6.0,,,,,,,,,,,50,741,,,,1.3,,,,,10.0,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,10.0,,,,,,,,,,99.3,,,северный,,,7.0,,,,,,,,,,,4,741,,,,-0.6,,,,,10.0,,True
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,15.0,,,,,,,,,,100.0,,-0.8,северный,,,9.0,,,3,10.0,,,3,,,,10,741,,,,-0.8,,,,,10.0,,True
1586304000,"Среда, 8 апреля
00:00 (UTC)",,15.0,,,,,,,,,,97.8,,-1.0,северный,,,6.0,,,,,,,,,,,50,742,,,,-0.4,,,True,,10.0,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,14.0,,,,,,,,,,94.4,,,северный,,,8.0,,,,,,,,,,,50,743,,,,1.3,,,,,9.0,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,14.0,,,,,,,,,,68.9,,,северный,,,8.0,,,,,,,,,,,50,743,,,,4.1,,,,,7.0,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,14.0,,,,,True,,,,,89.1,,,северный,,4.3,9.0,,,менее 0.1,,,,,,,,50,744,,,,1.6,,,,,10.0,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,13.0,,,,,,,,,,94.4,,,северный,True,,7.0,,,,,,,,,,,10,745,,,,1.3,,,,,7.0,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,12.0,,,,,,,,,,93.1,,,северный,,,7.0,,,,,,,,,,,10,746,,,,1.5,,,True,,9.0,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,12.0,,,,,,,,,,97.9,,,северный,True,,7.0,,,,,,,,,,,4,746,,,,0.4,,,,,10.0,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,11.0,,,,,,,,,,97.8,,-0.4,северный,,,6.0,,,0.7,1.0,,,0.7,,,,4,747,,,,-0.3,,True,,,10.0,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,13.0,,,,,,,,,,97.9,,,северный,,,8.0,,,,,,,,,,,50,748,,,,0.9,,,True,,9.0,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,16.0,,,,,,,,,,66.9,,,северный,,,10.0,,,,,,,,,,,50,748,,,,4.0,,,,,4.0,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,15.0,,,,,,,,,,49.5,,,северный,,,9.0,,,,,,,,,,,50,748,,,,6.4,,,,,7.0,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,14.0,,,,,,,,,,61.5,,,северный,,7.1,7.0,,,менее 0.1,,,,,,,,50,749,,,,5.2,,,,,9.0,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,12.0,,,,,,,,,,74.6,,,северный,,,5.0,,,,,,,,,,,50,750,,,,4.0,,,,,6.0,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,73.4,,,северо-западный,,,2.0,,,,,,,,,,,50,750,,,,3.4,,,True,,6.0,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,66.2,,,северо-западный,,,2.0,,,,,,,,,,,50,750,,,,3.3,,,True,,2.0,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,65.6,,2.1,северный,,,3.0,,,менее 0.1,,,,менее 0.1,,,,50,750,,,,2.8,,,,,0.0,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,55.6,,,северный,,,3.0,,,,,,,,,,,50,750,,,,5.7,,,,,0.0,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,34.1,,,северный,,,4.0,,,,,,,,,,,50,749,,,,11.0,,,,,2.0,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,29.5,,,юго-западный,,,4.0,,,,,,,,,,,50,748,,,,12.2,,,,,4.0,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,35.3,,,юго-западный,,13.1,5.0,,,0,,,,,,,,50,747,,,,9.5,,,,,2.0,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,31.2,,,юго-западный,,,3.0,,,,,,,,,,,50,748,,,,9.3,,,,,0.0,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,37.3,,,южный,,,1.0,,,,,,,,,,,50,747,,,,7.9,,,,,0.0,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,43.1,,,северо-западный,,,3.0,,,,,,,,,,,50,746,,,,6.9,,,,,0.0,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,46.7,,5.1,западный,,,1.0,,,0,,,,0,,,,50,745,,,,5.4,,,,,4.0,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,73.5,,2.9,юго-восточный,,,6.0,,,,,,,,,,,50,745,,,,3.8,,,,,6.0,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,57.9,,,северо-восточный,,,1.0,,,,,,,,,,,50,746,,,,6.6,,,,,9.0,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,59.7,,,западный,,,2.0,,,,,,,,,,,50,746,,,,7.0,,,,,10.0,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,11.0,,,,,,,,,,90.4,,,южный,,8.7,8.0,,,0,,,,,,,,20,747,,,,0.9,,,,,7.0,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,11.0,,,,,,,,,,93.7,,,юго-западный,,,5.0,,,,,,,,,,,20,749,,,,0.5,,,,,10.0,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,90.9,,,южный,,,4.0,,,,,,,,,,,20,749,,,,-0.2,,,,,10.0,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,90.2,,,юго-западный,,,3.0,,,,,,,,,,,20,749,,,,-0.7,,,,,10.0,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,89.6,,-0.9,юго-западный,,,2.0,,,0,,,,0,,,,50,749,,,,-0.2,,,,,10.0,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,72.8,,,южный,,,2.0,,,,,,,,,,,50,749,,,,3.1,,,,,0.0,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,51.8,,,западный,,,1.0,,,,,,,,,,,50,748,,,,7.8,,,,,0.0,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,40.0,,,западный,,,2.0,,,,,,,,,,,50,746,,,,9.1,,,,,2.0,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,27.5,,,юго-западный,,10.3,2.0,,,0,,,,,,,,50,745,,,,7.8,,,,,0.0,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,36.2,,,северо-западный,,,3.0,,,,,,,,,,,50,746,,,,7.1,,,,,0.0,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,49.5,,,северный,,,5.0,,,,,,,,,,,50,745,,,,5.1,,,,,0.0,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,49.6,,,северный,,,4.0,,,,,,,,,,,50,745,,,,4.0,,,,,0.0,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,54.0,,2.3,северный,,,6.0,,,0,,,,0,,,,50,744,,,,3.0,,,,,0.0,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,35.7,,,северный,,,3.0,,,,,,,,,,,50,743,,,,9.2,,,,,0.0,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,12.0,,,,,,,,,,41.4,,,южный,,,9.0,,,,,,,,,,,50,743,,,,8.7,,,,,0.0,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,14.0,,,,,,,,,,57.9,,,южный,,,10.0,,,,,,,,,,,50,742,,,,5.0,,,,,0.0,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,13.0,,,,,,,,,,67.7,,,южный,,15.0,7.0,,,0,,,,,,,,50,742,,,,3.2,,,,,2.0,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,74.2,,,южный,,,5.0,,,,,,,,,,,50,742,,,,1.9,,,,,0.0,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,76.9,,,южный,,,5.0,,,,,,,,,,,50,742,,,,1.5,,,,,0.0,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,83.4,,,южный,,,6.0,,,,,,,,,,,50,741,,,,1.0,,,,,0.0,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,82.8,,0.6,юго-восточный,,,4.0,,,0,,,,0,,,,50,741,,,,1.2,,,,,0.0,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,56.2,,,южный,,,3.0,,,,,,,,,,,50,741,,,,6.4,,,,,0.0,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,49.9,,,юго-восточный,,,4.0,,,,,,,,,,,50,740,,,,9.2,,,,,0.0,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,49.4,,,юго-восточный,,,5.0,,,,,,,,,,,50,739,,,,11.3,,,,,0.0,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,53.7,,,северный,,11.7,3.0,,,0,,,,,,,,50,739,,,,9.4,,,,,6.0,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,14.0,,,,,,,,,,65.6,,,северный,,,9.0,,,,,,,,,,,50,741,,,,9.1,,,,,6.0,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,18.0,,,,,,,,,,65.5,,,северный,,,11.0,,,,,,,,,,,50,742,,,,6.4,,,,,4.0,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,17.0,,,,,,,,,,69.9,,,северный,,,11.0,,,,,,,,,,,50,742,,,,4.3,,,,,4.0,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,17.0,,,,,,,,,,74.8,,2.3,северный,,,8.0,,,0,,,,0,,,,50,744,,,,2.3,,,,,6.0,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,12.0,,,,,,,,,,57.1,,,северный,,,7.0,,,,,,,,,,,50,745,,,,5.2,,,,,0.0,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,14.0,,,,,,,,,,30.8,,,северный,,,9.0,,,,,,,,,,,50,745,,,,9.6,,,,,0.0,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,17.0,,,,,,,,,,26.1,,,,,,,,,,,,,,,,,50,745,,,,11.0,,,,,0.0,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,13.0,,,,,,,,,,71.8,,,юго-восточный,,11.5,7.0,,,0,,,,,,,,50,746,,,,3.5,,,,,0.0,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,11.0,,,,,,,,,,87.8,,,южный,,,5.0,,,,,,,,,,,50,748,,,,1.5,,,,,0.0,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,91.0,,,юго-восточный,,,5.0,,,,,,,,,,,50,749,,,,1.0,,,,,0.0,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,90.3,,,юго-восточный,,,4.0,,,,,,,,,,,50,749,,,,0.8,,,,,0.0,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,94.4,,0.1,южный,,,2.0,,,0,,,,0,,,,50,749,,,,0.2,,,,,2.0,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,74.5,,,южный,,,6.0,,,,,,,,,,,50,750,,,,3.2,,,,,0.0,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,10.0,,,,,,,,,,62.5,,,южный,,,7.0,,,,,,,,,,,50,750,,,,5.9,,,,,1.0,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,12.0,,,,,,,,,,62.5,,,южный,,,9.0,,,,,,,,,,,50,749,,,,5.9,,,,,7.0,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,12.0,,,,,,,,,,88.0,,,южный,,6.4,5.0,,,0,,,,,,,,50,749,,,,3.5,,,,,9.0,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,11.0,,,,,,,,,,94.5,,,южный,,,5.0,,,,,,,,,,,50,750,,,,2.9,,,,,9.0,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,11.0,,,,,,,,,,94.5,,,юго-восточный,,,9.0,,,,,,,,,,,50,749,,,,3.2,,,,,7.0,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,13.0,,,,,,,,,,95.9,,,южный,,,9.0,,,,,,,,,,,50,748,,,,3.6,,,,,10.0,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,13.0,,,,,,,,,,96.5,,2.4,южный,,,9.0,,,0,,,,0,,,,20,748,,,,3.6,,,,,10.0,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,14.0,,,,,,,,,,96.6,,,южный,,,9.0,,,,,,,,,True,,1,748,,,,4.5,,,,,10.0,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,14.0,,,,,,,,,,81.2,,,южный,,,10.0,,,,,,,,,,,50,748,,,,7.2,,,,,7.0,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,16.0,,,,,,,,,,79.5,,,южный,,,11.0,,,,,,,,,,,50,747,,,,6.8,,,,,9.0,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,16.0,,,,,,,,,,85.6,,,южный,,8.1,8.0,,,0,,,,,,,,50,747,,,,4.7,,,,,10.0,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,13.0,,,,,,,,,,95.2,,,юго-восточный,,,7.0,,,,,,,,,,,50,747,,,,3.5,,,,,10.0,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,88.0,,,южный,,,5.0,,,,,,,,,,,50,746,,,,3.5,,,,,10.0,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,83.1,,,южный,,,2.0,,,,,,,,,,,50,746,,,,3.9,,,,,10.0,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,88.0,,3.4,северный,,,2.0,,,0,,,,0,,,,50,746,,,,3.6,,,,,10.0,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,True,,,,80.4,,,северный,,,2.0,,,,,,,,,,,50,746,,,,5.5,,,,,10.0,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,53.3,,,северо-западный,,,4.0,,,,,,,,,,,50,746,,,,7.6,,,True,,10.0,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,27.8,,,северный,,,2.0,,,,,,,,,,,50,745,,,,12.5,,,True,,7.0,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,43.3,,,южный,,13.1,2.0,,,менее 0.1,,,,,,,,50,746,,,,10.0,,,,,9.0,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,43.8,,,южный,,,4.0,,,,,,,,,,,50,747,,,,6.0,,,,,7.0,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,29.0,,,южный,,,3.0,,,,,,,,,,,50,748,,,,7.6,,,,,7.0,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,47.7,,,юго-восточный,,,4.0,,,,,,,,,,,50,748,,,,6.3,,,,,4.0,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,59.6,,4.9,юго-восточный,,,5.0,,,0,,,,менее 0.1,,,,50,748,,,,4.9,,,,,0.0,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,12.0,,,,,,,,,,61.3,,4.2,южный,,,9.0,,,,,,,,,,,50,749,,,,6.4,,,,,0.0,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,13.0,,,,,,,,,,63.7,,,южный,,,7.0,,,,,,,,,,,50,749,,,,8.7,,,,,9.0,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,16.0,,,,,,,,,,88.8,,,южный,,,6.0,,,,,,,,,,,50,748,,,,5.4,,,,,9.0,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,13.0,,,,,,,,,,87.5,,,юго-восточный,,8.8,8.0,,,0,,,,,,,,50,747,,,,5.3,,,,,10.0,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,16.0,,,,,,,,,,93.2,,,южный,,,5.0,,,,,,,,,,,50,747,,,,3.4,,,,,10.0,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,14.0,,,,,,,,,,86.9,,,южный,,,10.0,,,,,,,,,,,50,745,,,,4.8,,,,,10.0,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,13.0,,,,,,,,,,78.1,,,южный,,,8.0,,,,,,,,,,,50,743,,,,5.4,,,,,10.0,,
