timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман ослабел (небо не видно),Туман без изменений (небо не видно),Морось (незамерзающая) слабая непрерывная
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,10,745,,,,6.3,50.6,,,,северо-западный,0.0,,,,5.0,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,10,745,,,,5.0,62.8,,,,северный,0.0,,,,3.0,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,0,,,0,,,,10,745,,,,4.3,67.9,,3.8,,северный,6.0,,,,3.0,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,0,,,,,,,10,746,,,,8.6,62.7,,3.8,,северный,7.0,,,,2.0,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,10,745,,,,13.9,43.5,,,,северный,2.0,,,,2.0,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,10,743,,,,16.5,33.3,,,,юго-западный,2.0,,,,2.0,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,0,,,,,,,10,742,,,,16.0,31.5,,,,западный,6.0,,,,3.0,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,0,,,,,,,10,742,,,,13.2,37.2,,,,юго-западный,0.0,,,16.5,1.0,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,10,741,,,,11.0,43.0,,,,юго-западный,0.0,,,,2.0,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,10,740,,,,8.4,50.8,,,,юго-западный,0.0,,,,3.0,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,0,,,0,,,,10,739,,,,6.9,57.1,,6.8,,юго-западный,6.0,,,,4.0,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,0,,,,,,,10,738,,,,10.6,44.5,,6.7,,южный,9.0,,,,4.0,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,10.0,,,,,,,,10,737,,,,15.9,32.2,,,,юго-западный,9.0,,,,6.0,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,11.0,,,,,,,,10,737,,,,13.6,43.1,,,,северный,9.0,,,,6.0,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,12.0,менее 0.1,,,,,,True,10,738,,,,10.7,66.4,,,,северный,10.0,,,,5.0,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,11.0,2,,,,,,True,10,739,,,,6.4,79.4,,,,северный,9.0,,,16.1,4.0,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,True,,,10,740,,,,5.8,62.5,,,,северный,9.0,,,,6.0,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,True,,,10,740,,,,3.5,61.5,,,,северо-западный,7.0,,,,5.0,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,2,,,2,,,,10,741,,,,1.9,63.9,,1.7,,северо-западный,9.0,,,,5.0,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,0.3,,,,,,,10,741,,,,6.0,49.8,,1.5,,северный,4.0,,,,5.0,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,13.0,,,,,,,,10,741,,,,9.5,29.4,,,,северо-западный,6.0,,,,9.0,,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,13.0,,,,,,,,10,741,,,,9.2,27.3,,,,северо-западный,7.0,,,,3.0,,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,18.0,0,,,,,,,10,742,,,,5.9,55.2,,,,северо-западный,7.0,,,,7.0,,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,14.0,0.3,,,,,,True,10,743,,,,1.8,85.3,,,,северный,9.0,,,10.3,5.0,,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,True,,,10,745,,,,1.0,86.5,,,,северо-западный,7.0,,,,5.0,,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,10.0,,,,,True,,,10,745,,,,-0.4,81.4,,,,северо-западный,0.0,,,,6.0,,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,0.8,,,0.8,,,,10,747,,,,-1.8,73.0,,-1.8,,северо-западный,0.0,,,,6.0,,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,11.0,0.5,,,,,,,10,747,,,,2.7,55.2,,-1.8,,северный,0.0,,,,7.0,,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,13.0,,,,,,,,10,748,,,,7.1,32.5,,,,северо-западный,7.0,,,,6.0,,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,14.0,,,,,,,,10,747,,,,9.4,26.7,,,,северо-западный,7.0,,,,7.0,,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,14.0,0,,,,,,,10,746,,,,9.4,24.5,,,,северо-западный,2.0,,,,7.0,,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,11.0,0,,,,,,,10,746,,,,5.8,25.9,,,,западный,0.0,,,10.0,3.0,,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,10,746,,,,3.8,29.5,,,,западный,0.0,,,,3.0,,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,10,745,,,,2.3,32.5,,,,юго-западный,0.0,,,,4.0,,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,0,,,0,,,,10,745,,,,1.1,37.5,,1.1,,юго-западный,0.0,,,,3.0,,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,0,,,,,,,10,744,,,,6.6,31.1,,1.1,,юго-западный,9.0,,,,4.0,,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,11.0,,,,,,,,10,743,,,,12.9,17.2,,,,юго-западный,2.0,,,,6.0,,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,14.0,,,,,,,,10,741,,,,15.8,20.8,,,,юго-западный,1.0,,,,8.0,,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,14.0,0,,,,,,,10,739,,,,15.6,23.6,,,,юго-западный,1.0,,,,8.0,,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,13.0,0,,,,,,,10,738,,,,12.7,29.2,,,,южный,0.0,,,16.3,6.0,,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,11.0,,,,,,,,10,737,,,,10.7,38.1,,,,юго-западный,0.0,,,,6.0,,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,11.0,,,,,,,,10,737,,,,8.6,40.1,,,,юго-западный,0.0,,,,6.0,,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,11.0,0,,,0,,,,10,736,,,,7.4,39.8,,7.2,,юго-западный,5.0,,,,6.0,,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,12.0,0,,,,,,,10,736,,,,9.6,32.0,,7.0,,юго-западный,7.0,,,,6.0,,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,14.0,,,,,,,,10,736,,,,13.3,28.7,,,,юго-западный,9.0,,,,8.0,,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,13.0,,,,,,,,10,735,,,,15.8,22.5,,,,юго-западный,9.0,,,,7.0,,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,14.0,0,,,,,,,10,734,,,,15.4,25.8,,,,юго-западный,9.0,,,,6.0,,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,10.0,0,,,,,,,10,734,,,,6.4,71.9,,,,северный,9.0,,,16.2,6.0,,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,11.0,,,,,,,True,4,734,,,,2.8,89.2,,,,северный,9.0,,,,6.0,,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,11.0,,,,,,,,4,735,,,,0.3,92.3,,,,северный,9.0,,True,,8.0,,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,11.0,4,,,4,,,,2,736,,,,-0.1,95.7,True,-0.1,,северо-западный,10.0,,,,6.0,,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,5,,,,True,,,10,736,,,,0.7,92.3,,-0.1,,западный,9.0,,,,5.0,,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,12.0,,,,,,,,10,736,,,,6.4,49.5,,,,западный,6.0,,,,8.0,,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,17.0,,,,,,,,10,737,,,,6.4,46.6,,,True,западный,6.0,,,,10.0,,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,14.0,0.7,,,,,,,10,737,,,,5.3,41.3,,,,западный,7.0,,,,7.0,,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,11.0,менее 0.1,,,,,,,10,738,,,,3.8,60.7,,,,юго-западный,5.0,,,7.2,4.0,,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,10,738,,,,3.3,59.6,,,,западный,4.0,,,,5.0,,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,10,737,,,,2.8,63.7,,,,юго-западный,4.0,,,,5.0,,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,10.0,0,,,0.7,,,,10,737,,,,2.5,73.8,,2.3,,западный,7.0,,,,5.0,,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,10.0,0.3,,,,,True,,4,737,,,,3.9,83.1,,2.3,,западный,9.0,,,,7.0,,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,13.0,,,,,,,,10,735,,,,7.1,57.6,,,,западный,9.0,,,,8.0,,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,20.0,,,,,,,,10,733,,,,9.2,48.5,,,,юго-западный,9.0,,,,10.0,,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,19.0,0.3,,,,,,,10,730,,,,11.8,43.5,,,,юго-западный,4.0,,,,11.0,,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,18.0,менее 0.1,,,,,,,10,730,,,,12.5,39.8,,,True,северо-западный,7.0,,,13.4,10.0,,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,15.0,,,,,,,,10,731,,,,8.6,48.7,,,,западный,4.0,,,,7.0,,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,12.0,,,,,,,,10,732,,,,6.7,52.6,,,,западный,4.0,,,,6.0,,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,менее 0.1,,,0.3,,,,10,733,,,,4.8,60.9,,4.7,,западный,0.0,,,,4.0,,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,13.0,0,,,,,,,10,734,,,,7.7,44.3,,4.7,,западный,7.0,,,,8.0,,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,13.0,,,,,,,,10,735,,,,8.5,42.2,,,,северо-западный,9.0,,,,8.0,,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,13.0,,,,,,,,10,735,,,,10.2,29.1,,,,западный,9.0,,,,9.0,,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,15.0,0,,,,,,,10,735,,,,8.3,40.6,,,,северо-западный,7.0,,,,9.0,,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,13.0,менее 0.1,,,,True,,,10,737,,,,5.3,51.5,,,,западный,4.0,,,11.1,2.0,,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,10,737,,,,4.1,48.8,,,,западный,4.0,,,,2.0,,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,10,737,,,,3.2,51.2,,,,западный,6.0,,,,2.0,,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,менее 0.1,,,менее 0.1,,,,10,737,,,,1.2,64.7,,1.1,,западный,2.0,,,,3.0,,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,0,,,,,,,10,739,,,,4.6,63.6,,1.1,,западный,0.0,,,,7.0,,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,13.0,,,,,,,,10,739,,,,8.3,38.0,,,,западный,6.0,,,,7.0,,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,13.0,,,,,,,,10,740,,,,10.0,24.1,,,,западный,6.0,,,,7.0,,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,11.0,0,,,,,,,10,742,,,,9.3,26.5,,,,западный,4.0,,,,5.0,,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,11.0,0,,,,,,,10,741,,,,5.7,32.3,,,,западный,2.0,,,10.7,3.0,,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,10,741,,,,2.6,48.4,,,,северный,0.0,,,,2.0,,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,10,741,,,,2.3,52.6,,,,юго-западный,6.0,,,,1.0,,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,0,,,0,,,,10,741,,,,2.8,51.9,,2.0,,юго-западный,9.0,,,,2.0,,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,0,,,,,,,10,742,,,,3.8,49.5,,2.0,,западный,9.0,,,,3.0,,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,10,741,,,,8.9,30.1,,,,западный,7.0,,,,2.0,,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,10,740,,,,10.3,24.9,,,,юго-западный,7.0,,,,5.0,,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,0,,,,,,,10,740,,,,9.4,26.7,,,,западный,6.0,,,,4.0,,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,0,,,,,,,10,740,,,,6.5,42.6,,,,северо-западный,5.0,,,10.8,2.0,,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,10,740,,,,4.8,50.2,,,,восточный,4.0,,,,1.0,,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,10,740,,,,1.7,65.3,,,,северный,2.0,,,,3.0,,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,0,,,0,,,,10,739,,,,1.2,75.8,,1.2,,северный,0.0,,,,3.0,,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,0,,,,,,,10,740,,,,5.5,60.6,,1.2,,северо-восточный,7.0,,,,5.0,,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,12.0,,,True,,,,,10,739,,,,5.8,46.8,,,,северо-западный,7.0,,,,3.0,,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,14.0,,,,,,,True,10,740,,,,14.0,35.3,,,,северный,7.0,,,,8.0,,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,13.0,0.3,,,,,,,10,740,,,,6.1,55.7,,,True,северо-западный,7.0,,,,8.0,,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,14.0,0.3,,,,True,,,10,741,,,,2.3,74.8,,,,северо-западный,2.0,,,8.4,6.0,,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,10,741,,,,1.5,79.8,,,,северо-западный,2.0,,,,5.0,,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,10,742,,,,1.0,77.4,,,,северо-западный,6.0,,,,6.0,,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,0,,,0.3,,,,10,742,,,,0.4,80.3,,0.4,,юго-западный,2.0,,,,5.0,,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,10.0,0,,,,,,,10,742,,,,5.1,67.1,,0.4,,северо-западный,2.0,,,,7.0,,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,13.0,,,,,,,,10,742,,,,7.3,47.2,,,,северный,9.0,,,,7.0,,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,13.0,,,,,,,,10,742,,,,9.7,37.8,,,,северный,9.0,,,,8.0,,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,13.0,0,,,,,,,10,742,,,,9.4,37.2,,,,северный,5.0,,,,8.0,,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,12.0,0,,,,,,,10,742,,,,5.3,43.9,,,,северо-западный,5.0,,,10.4,4.0,,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,10,742,,,,3.0,50.8,,,,западный,5.0,,,,5.0,,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,10,742,,,,1.1,62.8,,,,северо-западный,5.0,,,,5.0,,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,0,,,0,,,,10,741,,,,0.0,66.5,,-0.1,,западный,2.0,,,,5.0,,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,11.0,менее 0.1,,,,,,True,10,741,,,,3.0,65.6,,-0.1,,северо-западный,10.0,,,,6.0,,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,12.0,,,,,,,,10,740,,,,9.3,44.1,,,True,северо-западный,9.0,,,,7.0,,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,14.0,,,,,True,,,10,739,,,,11.2,35.8,,,,северо-западный,7.0,,,,7.0,,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,14.0,менее 0.1,,,,,,,10,739,,,,11.6,30.4,,,,северо-западный,6.0,,,,8.0,,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,13.0,менее 0.1,,,,,,,10,740,,,,8.8,23.9,,,,северный,0.0,,,12.5,5.0,,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,10,742,,,,3.7,44.4,,,,северо-восточный,0.0,,,,1.0,,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,10,742,,,,0.9,54.7,,,,северо-западный,0.0,,,,4.0,,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,0,,,менее 0.1,,,,10,743,,,,-0.4,51.8,,-0.4,,западный,0.0,,,,2.0,,,
