timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Ливневой снег слабый
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,,69.2,,,,,южный,,,2,,,,,,,,,,,,,,732,,,3.4,,,,,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,,69.6,,,,,южный,,,2,,,,,,,,,,,,,,731,,,2.7,,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,70.5,,,1.9,,южный,,,3,,,,0,,,,2,,,,,10.0,731,,,1.9,,,,0.0,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,,70.9,,,,,южный,,,3,,,,,,,,,,,,,,731,,,1.4,,,,,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,,66.0,,,,,юго-западный,,,3,,,,,,,,,,,,,,731,,,2.2,,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,63.2,,,1.4,,южный,,,3,,,,0,,,,,,,,,10.0,731,,,2.7,,,,10.0,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,,,,,,,,,,57.6,,,,,южный,,,4,,,,,,,,,,,,,,730,,,3.8,,,,,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,,,,,,,,,,50.1,,,,,южный,,,4,,,,,,,,,,,,,,730,,,5.9,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,43.3,,,,,юго-западный,,,3,,,,,,,,,,,,,10.0,730,,,7.8,,,,10.0,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,,,,,,,,,,36.6,,,,,юго-западный,,,4,,,,,,,,,,,,,,730,,,8.6,,,,,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,17.0,,,,,,,,,36.5,,,,,юго-западный,,,5,,,,,,,,,,,,,,730,,,9.1,,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,17.0,,,,,,,,,33.7,,,,,юго-западный,,,6,,,,,,,,,,,,,10.0,730,,,10.3,,,,10.0,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,,35.2,,,,,юго-западный,,,5,,,,,,,,,,,,,,730,,,10.0,,,,,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,,44.5,,,,,западный,,,4,,,,,,,,,,,,,,731,,,8.6,,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,,,,,,,,,52.5,,,,,юго-западный,,,4,,,,0,,,,,,,,,10.0,731,,,7.5,,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,11.0,,,,,,,,,61.5,,,,,западный,,10.3,3,,,,0,,,,,,,,,10.0,733,,,5.2,,,,7.0,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,12.0,,,,,,,,,66.8,,,,,западный,,,1,,,,,,,,,,,,,,733,,,3.7,,,,,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,,,,,,,,,70.7,,,,,юго-западный,,,2,,,,,,,,,,,,,,734,,,2.8,,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,73.7,,,,,западный,,,2,,,,,,,,,,,,,10.0,734,,,2.2,,,,0.0,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,,,,,,,,,,76.9,,,,,западный,,,1,,,,,,,,,,,,,,735,,,1.2,,,,,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,,,,,,,,,,82.0,,,,,западный,,,1,,,,,,,,,,,,,,735,,,0.1,,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,78.5,,,,,западный,,,2,,,,,,,,,,,,,10.0,736,,,0.3,,,,0.0,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,,,,,,,,,,83.8,,,,,западный,,,1,,,,,,,,,,,,,,736,,,-0.8,,,,,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,,,,,,,,,,81.4,,,,,западный,,,1,,,,,,,,,,,,,,736,,,-0.2,,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,82.0,,,-0.9,,западный,,,1,,,,0,,,,0,,,,,10.0,737,,,-0.2,,,,5.0,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,,84.5,,,,,западный,,,2,,,,,,,,,,,,,,738,,,-0.3,,,,,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,,80.3,,,,,западный,,,2,,,,,,,,,,,,,,738,,,0.9,,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,80.4,,,-0.9,,западный,,,2,,,,0,,,,,,,,,10.0,739,,,1.1,,,,10.0,
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,,72.3,,,,,западный,,,2,,,,,,,,,,,,,,740,,,3.1,,,,,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,,,,,,,,,,70.8,,,,,западный,,,2,,,,,,,,,,,,,,740,,,3.5,,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,86.5,,,,,северо-западный,,,3,,,,,,,,,,,,,4.0,741,,,1.4,,,,10.0,True
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,,,,,,,,,,72.5,,,,,северо-западный,,,2,,,,,,,,,,,,,,742,,,4.4,,,,,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,,,,,,,,,,58.0,,,,,западный,,,3,,,,,,,,,,,,,,742,,,5.5,,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,50.2,,,,,западный,,,3,,,,,,,,,,,,,10.0,743,,,6.3,,True,,7.0,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,,,,,,,,,,45.3,,,,,западный,,,2,,,,,,,,,,,,,,743,,,6.5,,,,,
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,,33.9,,,,,западный,,,3,,,,,,,,,,,,,,743,,,6.7,,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,38.1,,,,,северо-западный,,,2,,,,0.3,,,,,,,,,10.0,744,,,5.9,,,,2.0,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,,,,,,,,,,45.4,,,,,западный,,,2,,,,,,,,,,,,,,744,,,4.7,,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,64.6,,,,,юго-западный,,7.4,1,,,,0.3,,,,,,,,,10.0,745,,,0.6,,,,0.0,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,,,,,,,,,,71.8,,,,,западный,,,1,,,,,,,,,,,,,,745,,,0.4,,,,,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,,,,,,,,,,77.8,,,,,западный,,,1,,,,,,,,,,,,,,745,,,-0.4,,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,80.7,,,,,западный,,,1,,,,,,,,,,,,,10.0,746,,,-0.8,,,,7.0,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,,80.6,,,,,западный,,,1,,,,,,,,,,,,,,746,,,-1.1,,,,,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,,85.6,,,,,западный,,,1,,,,,,,,,,,,,,746,,,-1.6,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,87.6,,,,,западный,,,1,,,,,,,,,,,,,10.0,747,,,-1.0,,,,7.0,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,,88.9,,,,,северо-западный,,,2,,,,,,,,,,,,,,747,,,-0.7,,,,,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,,90.9,,,,,западный,,,2,,,,,,,,,,,,,,747,,,-1.1,,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,90.2,,,-1.7,,западный,,,3,,,,0,,,,0.3,,,,,10.0,747,,,-1.0,,,,4.0,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,,88.9,,,,,западный,,,2,,,,,,,,,,,,,,748,,,-0.7,,,,,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,,84.5,,,,,западный,,,2,,,,,,,,,,,,,,749,,,-0.1,,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,73.1,,,-1.7,,северо-западный,,,3,,,,менее 0.1,,,,,,,,,10.0,749,,,1.6,,True,,0.0,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,,57.9,,,,,северо-западный,,,3,,,,,,,,,,,,,,749,,,3.4,,,,,
1586073600,"Воскресенье, 5 апреля
08:00 (UTC)",,,,,,,,,,,34.2,,,,,северо-западный,,,3,,,,,,,,,,,,,,750,,,5.1,,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,30.3,,,,,северо-западный,,,2,,,,,,,,,,,,,20.0,750,,,5.6,,,,2.0,
1586080800,"Воскресенье, 5 апреля
10:00 (UTC)",,,,,,,,,,,32.7,,,,,северо-западный,,,4,,,,,,,,,,,,,,750,,,5.5,,,,,
1586084400,"Воскресенье, 5 апреля
11:00 (UTC)",,13.0,,,,,,,,,34.4,,,,,северо-западный,,,3,,,,,,,,,,,,,,750,,,5.6,,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,13.0,,,,,,,,,31.1,,,,,северо-западный,,,3,,,,,,,,,,,,,10.0,750,,,6.0,,True,,9.0,
1586091600,"Воскресенье, 5 апреля
13:00 (UTC)",,13.0,,,,,,,,,27.0,,,,,северо-западный,,,3,,,,,,,,,,,,,,750,,,6.1,,,,,
1586095200,"Воскресенье, 5 апреля
14:00 (UTC)",,13.0,,,,,,,,,24.8,,,,,северо-западный,,,3,,,,,,,,,,,,,,750,,,6.4,,,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,13.0,,,,,,,,,25.8,,,,,северо-западный,,,5,,,,0.3,,,,,,,,,10.0,750,,,6.2,,True,,7.0,
1586102400,"Воскресенье, 5 апреля
16:00 (UTC)",,13.0,,,,,,,,,29.9,,,,,северо-западный,,,2,,,,,,,,,,,,,,750,,,5.8,,,,,
1586106000,"Воскресенье, 5 апреля
17:00 (UTC)",,13.0,,,,,,,,,34.0,,,,,северо-западный,,,1,,,,,,,,,,,,,,751,,,4.3,,,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,12.0,,,,,,True,,,41.3,,,,,,,7.3,0,,,,0.3,,,,,,,,,10.0,751,,,2.1,,,,2.0,
1586113200,"Воскресенье, 5 апреля
19:00 (UTC)",,,,,,,,,,,48.6,,,,,,,,0,,,,,,,,,,,,,,751,,,0.7,,,,,
1586116800,"Воскресенье, 5 апреля
20:00 (UTC)",,,,,,,,,,,56.4,,,,,,,,0,,,,,,,,,,,,,,751,,,-0.5,,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,60.3,,,,,,,,0,,,,,,,,,,,,,10.0,752,,,-1.3,,,,0.0,
1586124000,"Воскресенье, 5 апреля
22:00 (UTC)",,,,,,,,,,,64.6,,,,,,,,0,,,,,,,,,,,,,,752,,,-1.7,,,,,
1586127600,"Воскресенье, 5 апреля
23:00 (UTC)",,,,,,,,,,,65.0,,,,,северо-западный,,,1,,,,,,,,,,,,,,752,,,-2.0,,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,68.5,,,,,,,,0,,,,,,,,,,,,,10.0,753,,,-2.5,,,,0.0,
1586134800,"Понедельник, 6 апреля
01:00 (UTC)",,,,,,,,,,,70.0,,,,,,,,0,,,,,,,,,,,,,,753,,,-2.8,,,,,
1586138400,"Понедельник, 6 апреля
02:00 (UTC)",,,,,,,,,,,69.4,,,,,северо-западный,,,1,,,,,,,,,,,,,,753,,,-3.0,,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,65.3,,,-3.7,,,,,0,,,,0,,,,0.3,,,,,10.0,753,,,-3.0,,,,0.0,
1586145600,"Понедельник, 6 апреля
04:00 (UTC)",,,,,,,,,,,71.1,,,,,,,,0,,,,,,,,,,,,,,754,,,-3.1,,,,,
1586149200,"Понедельник, 6 апреля
05:00 (UTC)",,,,,,,,,,,57.2,,,,,,,,0,,,,,,,,,,,,,,754,,,0.9,,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,40.7,,,-4.2,,южный,,,1,,,,0,,,,,,,,,10.0,754,,,3.5,,,,2.0,
1586156400,"Понедельник, 6 апреля
07:00 (UTC)",,,,,,,,,,,31.9,,,,,юго-западный,,,1,,,,,,,,,,,,,,754,,,4.3,,,,,
1586160000,"Понедельник, 6 апреля
08:00 (UTC)",,,,,,,,,,,31.2,,,,,юго-западный,,,2,,,,,,,,,,,,,,754,,,5.3,,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,34.6,,,,,западный,,,1,,,,,,,,,,,,,10.0,754,,,4.6,,,,10.0,
1586167200,"Понедельник, 6 апреля
10:00 (UTC)",,,,,,,,,,,37.2,,,,,западный,,,1,,,,,,,,,,,,,,754,,,5.7,,,,,
1586170800,"Понедельник, 6 апреля
11:00 (UTC)",,,,,,,,,,,40.5,,,,,западный,,,2,,,,,,,,,,,,,,754,,,5.9,,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,50.8,,,,,северо-западный,,,1,True,,,,,,,,,,,,10.0,754,,,5.6,,,,10.0,
1586178000,"Понедельник, 6 апреля
13:00 (UTC)",,,,,,,,,,,50.7,,,,,западный,,,2,,,,,,,,,,,,,,753,,,6.7,,,,,
1586181600,"Понедельник, 6 апреля
14:00 (UTC)",,,,,,,,,,,59.0,,,,,северо-западный,,,3,,,,,,,,,,,,,,753,,,7.6,,,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,58.8,,,,,северо-западный,,,3,,,,менее 0.1,,,,,,,,,10.0,753,,,8.4,,,,10.0,
1586188800,"Понедельник, 6 апреля
16:00 (UTC)",,,,,,,,,,,61.2,,,,,северо-западный,,,1,,,,,,,,,,,,,,753,,,7.8,,,,,
1586192400,"Понедельник, 6 апреля
17:00 (UTC)",,,,,,,,,,,66.9,,,,,северо-западный,,,1,,,,,,,,,,,,,,753,,,6.4,,,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,76.9,,,,,,,8.5,0,,,,менее 0.1,,,,,,,,,10.0,753,,,4.3,,,,4.0,
1586199600,"Понедельник, 6 апреля
19:00 (UTC)",,,,,,,,,,,82.4,,,,,,,,0,,,,,,,,,,,,,,754,,,3.2,,,,,
1586203200,"Понедельник, 6 апреля
20:00 (UTC)",,,,,,,,,,,85.4,,,,,западный,,,1,,,,,,,,,,,,,,754,,,2.6,,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,87.9,,,,,,,,0,,,,,,,,,,,,,10.0,754,,,2.1,,,,0.0,
1586210400,"Понедельник, 6 апреля
22:00 (UTC)",,,,,,,,,,,92.4,,,,,,,,0,,,,,,,,,,,,,,754,,,1.0,,,,,
1586214000,"Понедельник, 6 апреля
23:00 (UTC)",,,,,,,,,,,94.4,,,,,,,,0,,,,,,,,,,,,,,754,,,0.8,,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,95.0,,,,,восточный,,,1,,,,,,,,,True,,,,4.0,754,,,0.3,,,,4.0,
1586221200,"Вторник, 7 апреля
01:00 (UTC)",,,,,,,,,,,95.7,,,,,,,,0,,,,,,,,,,,,,,755,,,0.0,,,,,
1586224800,"Вторник, 7 апреля
02:00 (UTC)",,,,,,,,,,,96.4,,,,,,,,0,,,,,,,,,,,,,,755,,,-0.7,,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,97.1,,,-1.7,,юго-западный,,,1,,,,0,,,,менее 0.1,True,,,,4.0,755,,,-1.7,,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,67.9,,,-2.0,,южный,,,1,,,,0,,,,,,,,,10.0,754,,,6.5,,,,0.0,
1586242800,"Вторник, 7 апреля
07:00 (UTC)",,,,,,,,,,,49.1,,,,,юго-западный,,,2,,,,,,,,,,,,,,754,,,10.1,,,,,
1586246400,"Вторник, 7 апреля
08:00 (UTC)",,,,,,,,,,,34.4,,,,,юго-западный,,,2,,,,,,,,,,,,,,754,,,12.7,,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,29.4,,,,,западный,,,2,,,,,,,,,,,,,10.0,753,,,14.3,,,,4.0,
1586253600,"Вторник, 7 апреля
10:00 (UTC)",,,,,,,,,,,26.1,,,,,западный,,,3,,,,,,,,,,,,,,753,,,14.9,,,,,
1586257200,"Вторник, 7 апреля
11:00 (UTC)",,,,,,,,,,,23.9,,,,,западный,,,3,,,,,,,,,,,,,,752,,,16.0,,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,24.2,,,,,юго-западный,,,3,,,,,,,,,,,,,10.0,752,,,15.8,,,,2.0,
1586264400,"Вторник, 7 апреля
13:00 (UTC)",,,,,,,,,,,23.6,,,,,западный,,,3,,,,,,,,,,,,,,751,,,16.1,,,,,
1586268000,"Вторник, 7 апреля
14:00 (UTC)",,,,,,,,,,,22.7,,,,,западный,,,3,,,,,,,,,,,,,,750,,,15.9,,,,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,22.8,,,,,юго-западный,,,3,,,,0,,,,,,,,,10.0,750,,,15.6,,,,0.0,
1586278800,"Вторник, 7 апреля
17:00 (UTC)",,,,,,,,,,,29.7,,,,,юго-западный,,,1,,,,,,,,,,,,,,749,,,11.3,,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,32.5,,,,,юго-западный,,16.3,1,,,,0,,,,,,,,,10.0,748,,,9.8,,,,0.0,
1586286000,"Вторник, 7 апреля
19:00 (UTC)",,,,,,,,,,,34.6,,,,,юго-западный,,,2,,,,,,,,,,,,,,748,,,9.1,,,,,
1586289600,"Вторник, 7 апреля
20:00 (UTC)",,,,,,,,,,,35.7,,,,,юго-западный,,,2,,,,,,,,,,,,,,747,,,9.0,,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,39.0,,,,,юго-западный,,,2,,,,,,,,,,,,,10.0,746,,,7.8,,,,0.0,
1586296800,"Вторник, 7 апреля
22:00 (UTC)",,,,,,,,,,,37.1,,,,,юго-западный,,,2,,,,,,,,,,,,,,745,,,7.5,,,,,
1586300400,"Вторник, 7 апреля
23:00 (UTC)",,,,,,,,,,,37.3,,,,,юго-западный,,,2,,,,,,,,,,,,,,744,,,7.1,,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,37.7,,,,,западный,,,1,,,,,,,,,,,,,10.0,744,,,6.6,,,,0.0,
1586307600,"Среда, 8 апреля
01:00 (UTC)",,,,,,,,,,,36.3,,,,,западный,,,2,,,,,,,,,,,,,,743,,,8.5,,,,,
1586311200,"Среда, 8 апреля
02:00 (UTC)",,,,,,,,,,,43.0,,,,,западный,,,2,,,,,,,,,,,,,,743,,,7.8,,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,51.8,,,6.3,,западный,,,2,,,,0,,,,0,,,,,10.0,743,,,6.5,,,,0.0,
1586318400,"Среда, 8 апреля
04:00 (UTC)",,,,,,,,,,,60.0,,,,,северо-западный,,,3,,,,,,,,,,,,,,743,,,8.0,,,,,
1586322000,"Среда, 8 апреля
05:00 (UTC)",,,,,,,,,,,60.9,,,,,северо-западный,,,3,,,,,,,,,,,,,,743,,,8.2,,,,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,11.0,,,,,,,,,59.3,,,6.3,,северо-западный,,,5,,,,0,,,,,,,,,10.0,744,,,9.0,,,,7.0,
1586329200,"Среда, 8 апреля
07:00 (UTC)",,,,,,,,,,,61.1,,,,,северо-западный,,,4,,,,,,,,,,,,,,744,,,9.2,,,,,
1586332800,"Среда, 8 апреля
08:00 (UTC)",,,,,,,,,,,75.7,,,,,северо-западный,,,3,,,,,,,,,,,,,,745,,,7.4,,,,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,12.0,,,,,,,,,74.7,,,,,северо-западный,,,4,,,,,,,,,,,,,10.0,745,,,7.5,,True,,10.0,
1586340000,"Среда, 8 апреля
10:00 (UTC)",,12.0,,,,,,,,,73.2,,,,,северо-западный,,,3,,,,,,,,,,,,,,746,,,7.8,,,,,
1586343600,"Среда, 8 апреля
11:00 (UTC)",,12.0,,,,,,,,,73.2,,,,,северо-западный,,,3,,,,,,,,,,,,,,746,,,7.8,,,,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,71.2,,,,,северо-западный,,,3,,,,,,,,,,,,,10.0,746,,,8.3,,True,,10.0,
1586350800,"Среда, 8 апреля
13:00 (UTC)",,12.0,,,,,,,,,63.4,,,,,северо-западный,,,3,,,,,,,,,,,,,,746,,,9.7,,,,,
1586354400,"Среда, 8 апреля
14:00 (UTC)",,,,,,,,,,,59.7,,,,,северо-западный,,,3,,,,,,,,,,,,,,746,,,10.5,,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,55.0,,,,,северо-западный,,,2,,,,менее 0.1,,,,,,,,,10.0,746,,,11.3,,,,2.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,76.9,,,,,юго-западный,,11.3,1,,,,менее 0.1,,,,,,,,,10.0,746,,,4.9,,,,0.0,
1586372400,"Среда, 8 апреля
19:00 (UTC)",,,,,,,,,,,84.3,,,,,,,,0,,,,,,,,,,,,,,746,,,3.9,,,,,
1586376000,"Среда, 8 апреля
20:00 (UTC)",,,,,,,,,,,90.5,,,,,юго-западный,,,1,,,,,,,,,,,,,,746,,,2.6,,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,93.1,,,,,юго-западный,,,1,,,,,,,,,,,,,10.0,745,,,2.2,,,,0.0,
1586383200,"Среда, 8 апреля
22:00 (UTC)",,,,,,,,,,,92.4,,,,,западный,,,1,,,,,,,,,,,,,,745,,,2.2,,,,,
1586386800,"Среда, 8 апреля
23:00 (UTC)",,,,,,,,,,,91.1,,,,,юго-западный,,,1,,,,,,,,,,,,,,745,,,2.5,,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,94.4,,,,,,,,0,,,,,,,,,,,,,10.0,745,,,0.9,,,,0.0,
1586394000,"Четверг, 9 апреля
01:00 (UTC)",,,,,,,,,,,95.7,,,,,,,,0,,,,,,,,,,,,,,744,,,-0.5,,,,,
1586397600,"Четверг, 9 апреля
02:00 (UTC)",,,,,,,,,,,97.1,,,,,юго-западный,,,1,,,,,,,,,,,,,,744,,,-0.9,,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,96.4,,,-1.3,,юго-западный,,,1,,,,0,,,,менее 0.1,True,,,,10.0,743,,,-1.3,,,,7.0,
1586404800,"Четверг, 9 апреля
04:00 (UTC)",,,,,,,,,,,97.8,,,,,,,,0,,,,,,,,,,,,,,743,,,-0.2,,,,,
1586408400,"Четверг, 9 апреля
05:00 (UTC)",,,,,,,,,,,70.9,,,,,юго-западный,,,1,,,,,,,,,,,,,,743,,,3.9,,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,52.0,,,-1.9,,юго-западный,,,2,,,,0,,,,,,,,,10.0,742,,,8.5,,,,9.0,
1586415600,"Четверг, 9 апреля
07:00 (UTC)",,,,,,,,,,,36.7,,,,,юго-западный,,,4,,,,,,,,,,,,,,742,,,11.4,,,,,
1586419200,"Четверг, 9 апреля
08:00 (UTC)",,,,,,,,,,,30.3,,,,,юго-западный,,,4,,,,,,,,,,,,,,741,,,12.8,,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,30.1,,,,,западный,,,4,,,,,,,,,,,,,10.0,741,,,13.6,,,,9.0,
1586426400,"Четверг, 9 апреля
10:00 (UTC)",,,,,,,,,,,29.1,,,,,западный,,,3,,,,,,,,,,,,,,740,,,14.6,,,,,
1586430000,"Четверг, 9 апреля
11:00 (UTC)",,,,,,,,,,,27.3,,,,,юго-западный,,,3,,,,,,,,,,,,,,739,,,15.8,,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,26.7,,,,,юго-западный,,,4,,,,,,,,,,,,,10.0,738,,,15.8,,,,9.0,
1586437200,"Четверг, 9 апреля
13:00 (UTC)",,,,,,,,,,,25.2,,,,,западный,,,4,,,,,,,,,,,,,,738,,,16.6,,,,,
1586440800,"Четверг, 9 апреля
14:00 (UTC)",,,,,,,,,,,27.3,,,,,юго-западный,,,3,,,,,,,,,,,,,,737,,,15.7,,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,11.0,,,,,,,,,30.4,,,,,западный,,,3,,,,0,,,,,,,,,10.0,737,,,15.3,,,,10.0,
1586448000,"Четверг, 9 апреля
16:00 (UTC)",,,,,,,,,,,49.9,,,,,юго-западный,,,2,,,,,,,,,,,,,,736,,,12.8,,,,,
1586451600,"Четверг, 9 апреля
17:00 (UTC)",,,,,,,,,,,50.8,,,,,юго-западный,,,1,,,,,,,,,,,,,,736,,,12.3,,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,11.0,,,,,,,,,49.5,,,,,юго-западный,,16.7,2,,,,менее 0.1,,,,,,,,,10.0,735,,,12.7,,True,,10.0,
1586458800,"Четверг, 9 апреля
19:00 (UTC)",,12.0,,,,,,,,,56.8,,,,,западный,,,4,,,,,,,,,,,,,,735,,,12.1,,,,,
1586462400,"Четверг, 9 апреля
20:00 (UTC)",,12.0,,,,,,,,,83.6,,,,,западный,,,2,,,,,,,,,,,,,,736,,,8.1,,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,85.3,,,,,западный,,,2,,,,,,,,,,,,,10.0,736,,,7.3,,True,,9.0,
1586469600,"Четверг, 9 апреля
22:00 (UTC)",,12.0,,,,,,,,,81.7,,,,,северо-западный,,,3,,,,,,,,,,,,,,736,,,6.8,,,,,
