timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый,Туман (с отложением изморози). Небо не видно
1589835600,"Понедельник, 18 мая
21:00 (UTC)",,9.0,True,,,,,,,90.3,,,юго-западный,,,4.0,,,,,,,,4,736,,,8.9,,,,,10.0,,,
1589846400,"Вторник, 19 мая
00:00 (UTC)",,8.0,True,,,,,,,92.7,,,западный,,,3.0,,,,,,,,4,735,,,7.6,,,,,10.0,,,
1589857200,"Вторник, 19 мая
03:00 (UTC)",,10.0,True,,,,,,,92.0,5.1,,северо-западный,,,6.0,,2,,2,,,,4,736,,,5.2,,,,,10.0,,,
1589868000,"Вторник, 19 мая
06:00 (UTC)",,11.0,,,,,,,,77.7,,,северо-западный,,,8.0,,,,,,,,10,736,,,6.2,,,,True,10.0,,,
1589878800,"Вторник, 19 мая
09:00 (UTC)",,11.0,,,,,,,,61.8,,,северо-западный,,,8.0,,,,,,,,10,737,,,8.2,,,,,10.0,,,
1589889600,"Вторник, 19 мая
12:00 (UTC)",,14.0,,,,,,,,57.9,,,западный,,,10.0,,,,,,,,10,737,,,9.8,,,,,9.0,,,
1589900400,"Вторник, 19 мая
15:00 (UTC)",,17.0,,,True,,,,,75.3,,,западный,,11.3,4.0,,0.4,,,,,,10,738,,,7.9,,,,,7.0,,,
1589911200,"Вторник, 19 мая
18:00 (UTC)",,14.0,,,,,,,,84.5,,,западный,,,4.0,,,,,,,,10,738,,,5.3,,,,True,4.0,,,
1589922000,"Вторник, 19 мая
21:00 (UTC)",,7.0,,,,,,,,89.9,,,западный,,,3.0,,,,,,True,,4,738,,,3.2,,,,,4.0,,,
1589932800,"Среда, 20 мая
00:00 (UTC)",,6.0,,,,,,,,86.1,,,западный,,,5.0,,,,,,True,,4,737,,,2.9,,,,,0.0,,,
1589943600,"Среда, 20 мая
03:00 (UTC)",,6.0,,,,,,,,77.5,1.7,,западный,,,5.0,,0.9,,1,,,,10,737,,,4.9,,,,,0.0,,,
1589954400,"Среда, 20 мая
06:00 (UTC)",,9.0,,,,,,,,54.4,,,северо-западный,,,6.0,,,,,,,,10,737,,,10.3,,,,,2.0,,,
1589965200,"Среда, 20 мая
09:00 (UTC)",,11.0,,,,,,,,38.3,,,западный,,,6.0,,,,,,,,10,737,,,13.2,,,,,7.0,,,
1589976000,"Среда, 20 мая
12:00 (UTC)",,10.0,,,,,,,,35.1,,,северный,,,4.0,,,,,,,,10,736,,,14.3,,,,,7.0,,,
1589986800,"Среда, 20 мая
15:00 (UTC)",,9.0,,,,,,,,37.0,,,северо-западный,,15.0,2.0,,0,,,,,,10,737,,,13.5,,,,,6.0,,,
1589997600,"Среда, 20 мая
18:00 (UTC)",,5.0,,,,,,,,53.3,,,западный,,,2.0,,,,,,,,10,737,,,9.2,,,,,2.0,,,
1590008400,"Среда, 20 мая
21:00 (UTC)",,3.0,,,,,,,,70.1,,,,,,0.0,,,,,,,,10,737,,,5.1,,,,,0.0,,,
1590019200,"Четверг, 21 мая
00:00 (UTC)",,5.0,,,,,,,,85.3,,,юго-восточный,,,1.0,,,,,,True,,4,737,,,2.1,,,,,2.0,,,
1590030000,"Четверг, 21 мая
03:00 (UTC)",,3.0,,,,,,,,81.6,1.2,,юго-восточный,,,2.0,,0,,0,,,,10,737,,,5.5,,,,,4.0,,,
1590040800,"Четверг, 21 мая
06:00 (UTC)",,6.0,,,,,,,,51.6,,,южный,,,3.0,,,,,,,,10,737,,,13.8,,,,,2.0,,,
1590051600,"Четверг, 21 мая
09:00 (UTC)",,11.0,,,,,,,,49.4,,,южный,,,8.0,,,,,,,,10,737,,,13.8,,,,,10.0,,,
1590062400,"Четверг, 21 мая
12:00 (UTC)",,11.0,,,,,,,,83.3,,,юго-западный,,,2.0,,,,,,,,10,737,,,10.0,,,,True,10.0,,,
1590073200,"Четверг, 21 мая
15:00 (UTC)",,11.0,,,,,,,,74.1,,,северо-западный,,15.6,6.0,,2,,,,,,10,738,,,10.0,,,,True,10.0,,,
1590084000,"Четверг, 21 мая
18:00 (UTC)",,8.0,,,,,,,,84.5,,,западный,,,3.0,,,,,,,,10,739,,,5.7,,,,True,2.0,,,
1590094800,"Четверг, 21 мая
21:00 (UTC)",,5.0,,,,,,,,89.9,,,западный,,,4.0,,,,,,True,,4,739,,,3.6,,,,,2.0,,,
1590105600,"Пятница, 22 мая
00:00 (UTC)",,5.0,,,,,,,,91.1,,,юго-западный,,,3.0,,,,,,True,,4,739,,,2.5,,,,,0.0,,,
1590116400,"Пятница, 22 мая
03:00 (UTC)",,7.0,,,,,,,,82.8,1.5,,юго-западный,,,5.0,,0,,2,,,,10,739,,,5.7,,,,,0.0,,,
1590127200,"Пятница, 22 мая
06:00 (UTC)",,11.0,,,,,,,,55.2,,,юго-западный,,,8.0,,,,,,,,10,739,,,11.9,,,,,5.0,,,
1590138000,"Пятница, 22 мая
09:00 (UTC)",,14.0,,,,,,,,44.5,,,западный,,,10.0,,,,,,,,10,739,,,12.9,,,,,7.0,,,
1590148800,"Пятница, 22 мая
12:00 (UTC)",,14.0,,,,,,,,52.9,,,северо-западный,,,9.0,,,,,,,,10,741,,,13.2,,,,,6.0,,,
1590159600,"Пятница, 22 мая
15:00 (UTC)",,11.0,,,,,,,,55.2,,,северо-западный,,14.0,6.0,,0,,,,,,10,742,,,11.9,,,,,7.0,,,
1590170400,"Пятница, 22 мая
18:00 (UTC)",,8.0,,,,,,,,66.7,,,северный,,,2.0,,,,,,,,10,742,,,7.9,,,,,2.0,,,
1590181200,"Пятница, 22 мая
21:00 (UTC)",,3.0,,,,,,,,86.9,,,,,,0.0,,,,,,True,,10,743,,,4.8,,,,,4.0,,,
1590192000,"Суббота, 23 мая
00:00 (UTC)",,4.0,,,,,,,,93.1,,,северо-западный,,,2.0,,,,,,True,,4,743,,,2.7,,,,,2.0,,,
1590202800,"Суббота, 23 мая
03:00 (UTC)",,2.0,,,,,,,,87.6,1.9,,северный,,,1.0,,0,,0,,True,,4,744,,,5.6,,,,,6.0,,,
1590213600,"Суббота, 23 мая
06:00 (UTC)",,6.0,,,,,,,,61.3,,,восточный,,,4.0,,,,,,,,10,745,,,11.7,,,,,7.0,,,
1590224400,"Суббота, 23 мая
09:00 (UTC)",,7.0,,,,,,,,52.5,,,северо-восточный,,,4.0,,,,,,,,20,745,,,13.3,,,,,10.0,,,
1590235200,"Суббота, 23 мая
12:00 (UTC)",,7.0,True,,,,,,,64.3,,,восточный,,,3.0,,,,,,,,4,745,,,11.6,,,,,10.0,,,
1590246000,"Суббота, 23 мая
15:00 (UTC)",,8.0,True,,,,,,,83.2,,,северный,,13.4,3.0,,0.4,,,,,,4,745,,,8.9,,,,,10.0,,,
1590256800,"Суббота, 23 мая
18:00 (UTC)",,8.0,True,,,,,,,95.3,,,северный,,,6.0,,,,,,,,4,744,,,7.5,,,,,10.0,,,
1590267600,"Суббота, 23 мая
21:00 (UTC)",,10.0,,,,,True,,,96.6,,,северный,,,6.0,,,,,,,,2,743,,,7.0,,,,,10.0,,,
1590278400,"Воскресенье, 24 мая
00:00 (UTC)",,10.0,True,,,,,,,97.3,,,северный,,,6.0,,,,,,,,4,741,,,7.1,,,,,10.0,,,
1590289200,"Воскресенье, 24 мая
03:00 (UTC)",,10.0,,,,,True,,,98.6,6.8,,северо-западный,,,6.0,,23,,24,,,,2,742,,,6.8,,,,,10.0,,,
1590300000,"Воскресенье, 24 мая
06:00 (UTC)",,10.0,,,,,,,,86.0,,,западный,,,6.0,,,,,,True,,4,744,,,8.1,,,,,10.0,,,
1590310800,"Воскресенье, 24 мая
09:00 (UTC)",,10.0,,,,,,,,75.6,,,западный,,,5.0,,,,,,,,10,746,,,9.9,,,,,10.0,,,
1590321600,"Воскресенье, 24 мая
12:00 (UTC)",,10.0,,,,,,,,53.8,,,западный,,,7.0,,,,,,,,10,746,,,14.0,,,,,7.0,,,
1590332400,"Воскресенье, 24 мая
15:00 (UTC)",,9.0,,,,,,,,61.5,,,юго-западный,,14.7,4.0,,1,,,,,,10,747,,,12.7,,,,,10.0,,,
1590343200,"Воскресенье, 24 мая
18:00 (UTC)",,11.0,,,,,,,,87.8,,,южный,,,3.0,,,,,,True,,4,748,,,8.3,,,,,10.0,,,
1590354000,"Воскресенье, 24 мая
21:00 (UTC)",,11.0,,,,,,,,87.6,,,южный,,,1.0,,,,,,True,,4,748,,,5.9,,,,,7.0,,,
1590364800,"Понедельник, 25 мая
00:00 (UTC)",,6.0,,,,,,,,96.6,,,южный,,,4.0,,,,,,True,,4,749,,,4.5,,,,,4.0,,,
1590375600,"Понедельник, 25 мая
03:00 (UTC)",,6.0,,,,,,,,78.7,3.8,,западный,,,5.0,,0,,1,,,,10,750,,,8.8,,,,,2.0,,,
1590386400,"Понедельник, 25 мая
06:00 (UTC)",,7.0,,,,,,,,61.6,,,западный,,,5.0,,,,,,,,10,751,,,13.1,,,,,1.0,,,
1590397200,"Понедельник, 25 мая
09:00 (UTC)",,10.0,,,,,,,,46.7,,,западный,,,6.0,,,,,,,,20,751,,,16.2,,,,,5.0,,,
1590408000,"Понедельник, 25 мая
12:00 (UTC)",,9.0,,,,,,,,38.7,,,западный,,,5.0,,,,,,,,20,752,,,18.4,,,,,6.0,,,
