timestamp,date,Морось (незамерзающая) умеренная непрерывная,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Туман ослабел (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,10.7,,24.9,,,,юго-восточный,2.0,,,,3.0
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,16.2,,15.9,,,,юго-восточный,2.0,,,,2.0
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,725.0,,,,15.1,,19.4,,,,южный,2.0,,,,2.0
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,726.0,,,,8.1,,31.8,,,,южный,2.0,,,17.6,3.0
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,2.4,,56.8,,,,юго-восточный,0.0,,,,3.0
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,0.1,,69.0,,,,юго-восточный,0.0,,,,3.0
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,-0.8,,71.5,,,,юго-восточный,0.0,,,,3.0
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,0,,0.0,,0,,,,,50.0,727.0,,,,0.3,,64.5,-1.0,,,юго-восточный,7.0,,,,2.0
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,8.8,,37.3,,,,,10.0,,,,0.0
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,14.4,,22.3,,,,северный,7.0,,,,2.0
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,16.8,,22.2,,,,северный,6.0,,,,2.0
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,12.0,,0,,,,,,,,,50.0,728.0,,,,9.6,,49.3,,,,северо-западный,6.0,,,17.2,3.0
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,11.0,,,,,,,,,,,,731.0,,,,6.8,,51.1,,,,северо-западный,10.0,,,,3.0
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,10.0,,,,,,,,True,,,,732.0,,,,2.3,,84.8,,,,западный,10.0,,,,2.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,True,,,,,,,732.0,,,,2.3,,84.8,,,,западный,10.0,,,,2.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,1,,0.0,,1,,,,,50.0,733.0,,,,2.3,,73.2,1.7,True,,северный,10.0,,,,1.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,734.0,,,,4.4,,58.6,,,,юго-западный,10.0,,,,1.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,733.0,,,,6.9,,31.7,,,,северо-западный,10.0,,,,3.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,733.0,,,,6.1,,56.1,,,,юго-восточный,6.0,,,,3.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,10.0,,0,,,,,,,,,50.0,734.0,,,,2.6,,59.0,,,,южный,4.0,,,8.8,3.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,,,735.0,,,,0.1,,47.7,,,,юго-восточный,2.0,,,,1.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,734.0,,,,-1.9,,63.5,,,,юго-восточный,0.0,,,,1.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,733.0,,,,-4.2,,78.4,,,,восточный,0.0,,,,1.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,732.0,,,,-3.0,,59.9,-5.3,,,,0.0,,,,0.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,731.0,,,,3.1,,32.5,,,,юго-восточный,0.0,,,,1.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,729.0,,,,8.7,,18.6,,,,южный,0.0,,,,2.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,9.6,,16.8,,,,юго-восточный,7.0,,,,2.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,727.0,,,,4.8,,36.3,,,,юго-западный,9.0,,,10.3,1.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,,,728.0,,,,0.8,,45.7,,,,южный,4.0,,,,1.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,0.4,,52.4,,,,юго-восточный,10.0,,,,1.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,0.0,,65.9,,,,юго-восточный,10.0,,True,,1.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,1,,1.0,,1,,,,,50.0,727.0,,,,0.1,,71.7,-1.1,True,,,10.0,,,,0.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,,20.0,727.0,,,,0.8,,76.3,,,,,10.0,,True,,0.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,4.8,,56.1,,True,,юго-восточный,10.0,,,,1.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,725.0,,,,9.8,,30.6,,,,западный,10.0,,,,1.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,20.0,726.0,,,,6.0,,41.8,,,,южный,10.0,,,9.9,1.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,,,,726.0,,,,2.4,,57.2,,,,юго-восточный,6.0,,,,2.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,0.5,,65.6,,,,юго-восточный,10.0,,,,1.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,-0.8,,72.6,,,,юго-восточный,6.0,,,,2.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,50.0,728.0,,,,-0.3,,69.5,-1.3,,,юго-восточный,9.0,,,,2.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,728.0,,,,7.6,,33.4,,,,юго-восточный,10.0,,,,1.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,12.0,,23.7,,,,южный,6.0,,,,2.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,14.7,,20.5,,,,южный,0.0,,,,1.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,728.0,,,,7.5,,34.9,,,,юго-восточный,0.0,,,14.7,3.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,3.2,,47.1,,,,юго-восточный,0.0,,,,3.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,0.9,,56.8,,,,юго-восточный,0.0,,,,2.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,-0.6,,64.8,,,,юго-восточный,0.0,,,,2.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,729.0,,,,0.3,,61.6,-1.6,,,юго-восточный,0.0,,,,5.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,729.0,,,,9.7,,32.2,,,,юго-восточный,0.0,,,,4.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,10.0,,,,,,,,,,,50.0,727.0,,,,15.4,,22.4,,,,юго-восточный,0.0,,,,5.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,50.0,725.0,,,,16.4,,17.6,,,,юго-восточный,0.0,,,,5.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,726.0,,,,11.3,,24.8,,,,юго-восточный,0.0,,,16.5,3.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,5.8,,45.4,,,,юго-восточный,0.0,,,,2.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,3.2,,54.5,,,,южный,0.0,,,,3.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,2.6,,55.1,,,,юго-восточный,0.0,,,,4.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,729.0,,,,3.7,,51.0,2.5,,,юго-восточный,0.0,,,,3.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,730.0,,,,13.2,,26.6,,,,западный,0.0,,,,1.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,729.0,,,,15.7,,22.4,,,,северный,0.0,,,,2.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,728.0,,,,18.5,,16.4,,,,юго-восточный,0.0,,,,1.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,728.0,,,,12.2,,25.9,,,,юго-западный,7.0,,,18.8,1.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,6.0,,43.1,,,,юго-восточный,0.0,,,,2.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,2.1,,61.2,,,,юго-восточный,0.0,,,,1.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,0.1,,71.2,,,,восточный,0.0,,,,1.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,731.0,,,,1.6,,65.8,-1.3,,,,0.0,,,,0.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,732.0,,,,8.6,,46.6,,,,северо-западный,7.0,,,,3.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,730.0,,,,10.5,,40.4,,,,северо-западный,10.0,,,,3.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,728.0,,,,12.0,,38.5,,,,северо-западный,10.0,,,,3.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,729.0,,,,9.2,,45.4,,,,северо-западный,10.0,,,12.2,3.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,,,,730.0,,,,5.3,,53.8,,,,западный,10.0,,,,3.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,730.0,,,,3.5,,61.5,,,,западный,10.0,,,,3.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,730.0,,,,2.6,,67.5,,,,западный,10.0,,,,2.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,731.0,,,,2.1,,75.4,2.0,,,северо-западный,10.0,,,,3.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,True,,,50.0,731.0,,,,2.4,,76.0,1.9,,,западный,10.0,,,,3.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,True,,,50.0,731.0,,,,3.2,,71.3,,,,северо-западный,10.0,,,,3.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,730.0,,,,4.1,,63.5,,True,,северо-западный,10.0,,,,3.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,менее 0.1,,,,,,,,,50.0,730.0,,,,3.9,,59.8,,True,,западный,10.0,,,4.4,1.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,2.2,,70.5,,,,западный,7.0,,,,1.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,729.0,,,,2.1,,70.0,,,,,10.0,,,,0.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,728.0,,,,-1.4,,86.2,,,,северо-западный,2.0,,,,1.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,0,,,,менее 0.1,,,,,10.0,728.0,,,,0.3,,77.3,-2.1,,,северный,0.0,,,,1.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,727.0,,,,5.7,,49.7,,,,северо-западный,0.0,,,,2.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,725.0,,,,7.8,,30.9,,,,северный,10.0,,,,2.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,8.5,,26.9,,,,северо-восточный,10.0,,,,2.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,725.0,,,,7.0,,29.5,,,,северо-восточный,7.0,,,10.3,3.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,,,,725.0,,,,4.3,,44.3,,,,юго-восточный,10.0,,,,1.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,0.6,,59.9,,,,,6.0,,,,0.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,-0.7,,68.3,,,,восточный,10.0,,,,1.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,724.0,,,,1.2,,62.8,-1.4,,,юго-западный,10.0,,,,1.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,7.6,,43.3,,,,северный,9.0,,,,2.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,723.0,,,,8.7,,32.2,,,,северо-восточный,9.0,,,,2.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,9.9,,35.7,,True,,северный,7.0,,,,2.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,2,,,,,,,,,50.0,725.0,,,,5.4,,60.2,,True,,южный,6.0,,,10.2,1.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,,,,725.0,,,,2.0,,67.9,,,,юго-восточный,4.0,,,,2.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,726.0,,,,0.9,,71.3,,,,юго-восточный,10.0,,,,2.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,726.0,,,,-0.1,,76.7,,,,юго-восточный,9.0,,,,1.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,0,,,,2,,,,,50.0,726.0,,,,1.4,,71.4,-1.8,,,,0.0,,,,0.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,726.0,,,,8.4,,44.5,,,,западный,2.0,,,,1.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,725.0,,,,13.8,,22.4,,,,северо-западный,7.0,,,,2.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,14.6,,19.7,,,,западный,4.0,,,,2.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,724.0,,,,9.5,,32.9,,,,юго-восточный,0.0,,,15.4,3.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,5.8,,40.8,,,,юго-восточный,0.0,,,,2.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,3.0,,51.2,,,,юго-восточный,0.0,,,,2.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,1.0,,56.8,,,,юго-восточный,0.0,,,,2.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,724.0,,,,2.2,,54.2,0.4,,,юго-восточный,2.0,,,,4.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,11.4,,26.5,,,,юго-восточный,0.0,,,,4.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,723.0,,,,16.2,,15.8,,,,юго-восточный,0.0,,,,3.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,722.0,,,,17.6,,14.8,,,,юго-восточный,0.0,,,,2.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,723.0,,,,11.6,,26.1,,,,юго-восточный,2.0,,,17.7,3.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,7.3,,32.5,,,,юго-восточный,2.0,,,,3.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,3.7,,45.8,,,,юго-восточный,0.0,,,,1.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,724.0,,,,0.8,,60.4,,,,северо-восточный,0.0,,,,2.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,725.0,,,,3.6,,58.8,0.6,,,,10.0,,,,0.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,8.3,,53.1,,,,северо-западный,10.0,,,,1.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,722.0,,,,11.4,,46.7,,,,северный,10.0,,,,3.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,720.0,,,,12.2,,42.4,,,,северо-западный,10.0,,,,3.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,0.4,,,,,,True,,,20.0,721.0,,,,7.9,,72.7,,,,северо-западный,10.0,,,12.6,1.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,,,722.0,,,,4.5,,83.2,,True,,северо-западный,6.0,,,,1.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,722.0,,,,3.2,,87.3,,True,,,9.0,,,,0.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,722.0,,,,3.0,,78.3,,,,северо-западный,10.0,,,,3.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,менее 0.1,,,,0.4,,,,,50.0,724.0,,,,2.1,,82.3,1.9,True,,северо-западный,10.0,,,,3.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,True,,,50.0,724.0,,,,2.7,,83.6,,,,северо-западный,10.0,,,,3.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,5.1,,76.4,,,,западный,10.0,,,,3.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,15.0,,,,,,,,,,,50.0,725.0,,,,5.4,,69.6,,,,северо-западный,10.0,,,,5.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,13.0,,2,,,,,,,,,50.0,726.0,,,,5.7,,57.2,,True,,северо-западный,10.0,,,6.6,4.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,12.0,,,,,,,,,,,,728.0,,,,4.1,,62.1,,,,северо-западный,10.0,,,,4.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,,,728.0,,,,2.3,,78.8,,,,северо-западный,10.0,,,,3.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,10.0,,,,,,,,,,,,728.0,,,,-0.1,,83.8,,True,,северо-западный,10.0,,,,4.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,12.0,,0.3,,1.0,,2,,,,,50.0,731.0,,,,-0.2,,63.9,-0.9,True,,северо-западный,0.0,,,,4.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,14.0,,,,,,,,,,,50.0,732.0,,,,1.8,,23.9,,,,северо-западный,2.0,,,,6.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,15.0,,,,,,,,,,,50.0,732.0,,,,3.9,,19.1,,,,северо-западный,2.0,,,,4.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,15.0,,,,,,,,,,,50.0,731.0,,,,5.2,,16.5,,,,северо-западный,4.0,,,,5.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,12.0,,0,,,,,,,,,50.0,731.0,,,,3.9,,17.8,,,,северный,10.0,,,5.2,3.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,,,,732.0,,,,2.3,,21.9,,,,северо-западный,10.0,,,,2.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,733.0,,,,-0.5,,26.1,,,,северо-восточный,10.0,,,,1.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,734.0,,,,-3.5,,34.3,,,,северо-восточный,0.0,,,,2.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,736.0,,,,-2.1,,28.2,-4.4,,,северо-восточный,2.0,,,,1.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,736.0,,,,1.8,,22.3,,,,западный,0.0,,,,3.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,734.0,,,,3.9,,17.5,,,,северо-западный,0.0,,,,4.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,50.0,733.0,,,,5.1,,13.8,,,,северо-западный,0.0,,,,4.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,11.0,,0,,,,,,,,,50.0,733.0,,,,3.3,,16.1,,,,северо-западный,0.0,,,5.6,3.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,,,,734.0,,,,-0.8,,25.8,,,,,0.0,,,,0.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,734.0,,,,-3.0,,35.0,,,,северо-западный,0.0,,,,1.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,,734.0,,,,-5.9,,55.8,,,,северо-восточный,0.0,,,,2.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,735.0,,,,-3.1,,42.0,-6.8,,,,0.0,,,,0.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,734.0,,,,4.3,,18.1,,,,западный,0.0,,,,1.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,733.0,,,,6.8,,14.1,,,,северо-западный,0.0,,,,2.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,732.0,,,,8.6,,13.0,,,,северо-западный,0.0,,,,3.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,732.0,,,,6.5,,15.3,,,,западный,0.0,,,9.0,1.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,,,,,,733.0,,,,1.1,,38.4,,,,юго-восточный,0.0,,,,4.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,,733.0,,,,-0.9,,52.1,,,,юго-восточный,0.0,,,,3.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,733.0,,,,-2.7,,63.3,,,,юго-восточный,0.0,,,,3.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,733.0,,,,-0.9,,44.4,-3.0,,,юго-восточный,0.0,,,,3.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,732.0,,,,6.0,,24.5,,,,юго-восточный,0.0,,,,4.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,730.0,,,,12.1,,13.4,,,,юго-восточный,0.0,,,,3.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,,,50.0,729.0,,,,11.7,,14.0,,,,юго-восточный,7.0,,,,3.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,0,,,,,,,,,50.0,728.0,,,,7.8,,19.0,,,,юго-восточный,10.0,,,12.5,2.0
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,,,,,,727.0,,,,2.6,,42.7,,,,юго-восточный,0.0,,,,2.0
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,,726.0,,,,0.8,,46.4,,,,юго-восточный,0.0,,,,4.0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,,726.0,,,,0.5,,44.2,,,,юго-восточный,0.0,,,,3.0
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,0,,,,0,,,,,50.0,726.0,,,,2.3,,43.0,-0.2,,,юго-восточный,2.0,,,,1.0
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,,,,,,,,50.0,724.0,,,,12.0,,21.6,,,,южный,7.0,,,,1.0
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,,,50.0,722.0,,,,22.5,,10.3,,,,северо-западный,10.0,,,,3.0
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,,50.0,720.0,,,,23.9,,9.6,,,,северо-западный,10.0,,,,4.0
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,11.0,,0,,,,,,,,,50.0,719.0,,,,20.8,,11.6,,,,северо-западный,6.0,,,24.1,2.0
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,,,,,,,,,,,720.0,,,,14.4,,21.2,,,,северо-западный,0.0,,,,1.0
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,,,720.0,,,,8.9,,34.0,,,,северо-западный,0.0,,,,1.0
