timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневый дождь,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Туман без изменений (небо видно),Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Ливневой снег слабый,Ливневый дождь со снегом
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,756,,,5.6,39.8,,,,западный,10,,,3,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,10,757,,,4.6,41.4,,,,юго-западный,10,,6.3,1,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,759,,,2.9,40.6,,,,западный,10,,,1,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,761,,,0.6,58.1,,,,южный,10,,,1,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,-1.8,71.9,,,,,10,,,0,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,0,,5.0,,,0,,,,,,,10,762,,,-0.4,85.1,-1.8,,,южный,10,,,2,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,763,,,2.6,78.8,,,,южный,10,,,2,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,763,,,6.1,54.8,,,,южный,7,,,3,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,6.8,48.5,,,,юго-восточный,7,,,3,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,762,,,6.3,43.2,,,,южный,5,,7.0,3,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,1.6,65.8,,,,юго-восточный,2,,,1,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,-1.8,81.2,,,,юго-западный,5,,,1,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,-1.0,77.1,,,,южный,2,,,2,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,0,,4.0,,,0,,,,,,,20,762,,,-3.0,90.7,-4.2,,,южный,0,,,1,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,3.0,68.1,,,,юго-восточный,0,,,1,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,762,,,7.1,51.2,,,,южный,1,,,2,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,760,,,8.5,33.1,,,,западный,0,,,1,,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,760,,,8.8,31.5,,,,северо-западный,0,,9.4,1,,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,759,,,0.0,70.1,,,,северо-западный,0,,,1,,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,758,,,1.2,56.0,,,,северо-западный,0,,,1,,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,0.2,60.2,,,,северо-западный,0,,,2,,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,0,,2.0,,,0,,,,,,,20,757,,,-0.2,65.4,-0.8,,,северо-западный,0,,,1,,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,6.2,45.5,,,,северо-восточный,0,,,1,,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,11.5,23.6,,,,южный,0,,,1,,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,13.2,18.6,,,,юго-западный,0,,,1,,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,753,,,12.6,23.0,,,,северо-западный,0,,14.3,2,,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,4.2,45.3,,,,северо-западный,0,,,1,,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,2.2,52.6,,,,северо-западный,0,,,1,,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,-1.6,74.1,,,,,0,,,0,,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,0,,0.0,,,0,,,,,,,20,751,,,-1.9,81.1,-3.0,,,,0,,,0,,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,7.7,38.7,,,,юго-восточный,2,,,1,,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,748,,,13.8,20.6,,,,восточный,7,,,1,,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,748,,,15.4,16.1,,,,юго-восточный,10,,,1,,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,747,,,13.9,23.5,,,,западный,10,,16.0,1,,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,9.1,36.2,,,,северо-западный,10,,,1,,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,4.0,63.0,,,,,10,,,0,,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,3.0,68.6,,,,южный,9,,,1,,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,0,,0.0,,,0,,,,,,,20,748,,,2.4,77.1,1.8,,,юго-западный,10,,,1,,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,7.3,56.0,,,,восточный,10,,,1,,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,11.4,40.6,,,,южный,10,,,1,,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,14.4,32.0,,,,юго-восточный,6,,,1,,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,751,,,13.1,44.9,,,,юго-восточный,7,,15.1,2,,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,5.2,83.3,,,,западный,6,,,1,,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,2.6,95.1,,,,западный,7,,,1,,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,751,,,0.4,97.9,,,,,6,,,0,,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,0,,,,,0,,,True,,,,1,751,,,-0.9,100.0,-1.3,,,,6,,,0,,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,10,751,,,7.4,80.7,,,,юго-восточный,4,,,2,,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,750,,,14.3,47.9,,,,юго-восточный,10,,,2,,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,10,749,,,16.8,33.1,,,,южный,10,,,2,,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,10,749,,,15.6,29.8,,,,юго-западный,10,,17.1,4,,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,14.0,,,,,,,,,,,True,,,10,752,,,5.6,88.2,,,,западный,10,,,4,,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,3.7,91.2,,True,,юго-западный,7,,,3,,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,3.0,91.8,,,,южный,2,,,3,,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,0.7,,,,,0.7,,,,,,,20,755,,,3.1,83.0,2.9,,,южный,1,,,3,,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,6.5,72.4,,,,южный,9,,,4,,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,10.0,,,,,,,,,,,True,,,10,754,,,5.7,80.4,,,,юго-западный,10,,,4,,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,10.5,54.0,,True,,юго-западный,7,,,4,,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,17.0,,0.8,,,,,,,True,,,,,20,753,,,8.5,56.7,,,,юго-западный,7,,11.1,2,,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,6.1,60.8,,,,юго-западный,5,,,2,,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,5.1,66.1,,,,северо-восточный,6,,,1,,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,1.8,85.3,,,,,6,,,0,,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,0,,,,,0.8,,,,,,,10,754,,,0.2,93.0,-0.5,,,,7,,,0,,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,50,755,,,7.3,66.1,,,,южный,7,,,1,,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,755,,,10.9,40.5,,,,южный,9,,,2,,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,12.0,34.2,,,,,10,,,0,,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,50,755,,,12.4,32.3,,,,северо-восточный,6,,13.7,1,,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,4.3,62.2,,,,западный,2,,,1,,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,3.3,69.2,,,,северный,0,,,1,,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,-1.2,90.2,,,,западный,0,,,1,,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,758,,,-0.9,94.3,-2.0,,,северо-западный,4,,,1,,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,758,,,8.9,46.3,,,,восточный,2,,,2,,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,758,,,13.2,23.3,,,,восточный,1,,,4,,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,15.5,16.8,,,,юго-восточный,0,,,4,,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,756,,,15.0,16.7,,,,восточный,0,,15.9,3,,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,5.2,41.6,,,,,0,,,0,,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,3.6,48.3,,,,,0,,,0,,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,0.5,66.1,,,,северо-западный,0,,,1,,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,756,,,0.7,69.2,-1.6,,,северо-западный,0,,,1,,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,50,756,,,11.7,33.8,,,,северо-восточный,1,,,1,,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,755,,,17.6,14.2,,,,юго-восточный,2,,,3,,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,754,,,19.6,12.5,,,,юго-восточный,0,,,2,,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,50,754,,,18.9,12.5,,,,восточный,2,,19.7,1,,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,7.8,37.0,,,,западный,1,,,1,,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,754,,,3.7,51.8,,,,западный,0,,,1,,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,755,,,1.5,60.1,,,,,0,,,0,,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,756,,,-0.1,68.5,-1.3,,,,2,,,0,,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,11.7,33.3,,,,,2,,,0,,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,18.7,16.7,,,,восточный,1,,,1,,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,756,,,20.5,13.0,,,,северный,0,,,2,,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,756,,,20.4,13.1,,,,северо-восточный,0,,21.3,2,,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,9.8,35.1,,,,западный,0,,,1,,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,5.3,49.2,,,,,0,,,0,,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,1.5,67.3,,,,,0,,,0,,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,True,4,757,,,0.9,74.6,-0.3,,,,1,,,0,,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,757,,,13.2,30.4,,,,,4,,,0,,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,50,756,,,21.2,13.1,,,,северный,10,,,1,,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,754,,,22.7,10.8,,,,южный,10,,,2,,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,754,,,21.4,12.1,,,,южный,10,,23.8,1,,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,15.7,21.6,,,,южный,10,,,1,,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,753,,,8.1,42.1,,,,,0,,,0,,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,3.4,64.8,,,,,2,,,0,,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,753,,,4.0,62.1,1.2,,,южный,10,,,1,,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,752,,,14.0,35.0,,,,юго-восточный,2,,,1,,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,23.1,12.8,,,,юго-восточный,7,,,3,,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,50,750,,,25.1,10.4,,,,юго-восточный,6,,,2,,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,0,,,,,,,,,,,,20,749,,,24.8,10.5,,,,восточный,7,,25.5,2,,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,12.6,30.3,,,,,5,,,0,,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,8.2,43.4,,,,,2,,,0,,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,748,,,6.1,54.4,,,,юго-восточный,1,,,1,,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,748,,,5.5,61.5,3.5,,,юго-западный,5,,,1,,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,18.0,25.0,,,,юго-восточный,6,,,4,,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,12.0,,,,,,,,,,,,,,20,745,,,28.5,10.8,,,,южный,7,,,5,,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,14.0,,,,,,,,,,,,,,20,743,,,29.6,10.0,,,,южный,2,,,7,,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,13.0,,0,,,,,,,,,,,,20,743,,,28.0,11.5,,,,юго-западный,9,,30.2,5,,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,12.0,,,,,,,,,,,,,,20,744,,,22.2,21.4,,,,южный,7,,,2,,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,22.0,23.5,,,,юго-западный,5,,,3,,
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,19.0,33.1,,,,западный,10,,,3,,
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,20,747,,,14.4,58.6,14.4,,,западный,10,,,2,,
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,,,,,,,,,,True,,4,747,,,16.4,47.8,14.4,,,северный,9,,,2,,
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,,,True,,2,746,,,20.7,42.5,,,,южный,7,,,2,,
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,,,True,,2,744,,,24.1,31.8,,,,юго-восточный,7,,,1,,
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,0,,,,,,,,,,True,,2,743,,,25.2,28.2,,,,,7,,25.4,0,,
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,,,,,,,,,,True,,4,742,,,20.5,29.5,,,,южный,7,,,2,,
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,19.7,26.3,,,,южный,9,,,3,,
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,16.0,33.4,,,,южный,6,,,2,,
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,,0,,,,,0,,,,,,,10,741,,,14.4,37.0,14.1,,,южный,7,,,2,,
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,10.0,,,,,,,,,,,,True,,4,744,,,14.8,43.2,,,,северо-западный,10,,,6,,
