timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C",Снег умеренный непрерывный,"Гроза, дождь слабый","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,752,,,,6.1,,,48.7,,6.1,,северо-западный,9,,,3
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,10,753,,,,8.6,,,42.6,,5.3,,северо-западный,2,,,5
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,10,752,,,,10.5,,,29.0,,,,северо-западный,7,,,5
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,10,752,,,,11.1,,,21.7,,,,северо-западный,7,,,5
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,10,752,,,,9.0,,,19.6,,,,северо-западный,6,,11.9,4
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,10,752,,,,5.6,,,31.8,,,,западный,0,,,2
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,10,751,,,,3.1,,,38.7,,,,северо-западный,0,,,4
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,10,751,,,,1.6,,,68.3,,,,западный,6,,,5
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,11.0,,0.4,,,0.4,,,,1,751,,,,0.3,True,,94.4,,0.3,,северо-западный,10,,,7
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,15.0,,,,,,,,,10,752,,,,1.0,,,74.1,,0.2,True,северо-западный,9,,,9
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,16.0,,,,,,,,,10,753,,,,2.9,,,54.8,,,,северный,10,,,8
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,18.0,,,,,,,,,10,753,,,,4.2,,,34.7,,,True,северо-западный,9,,,8
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,17.0,,0.2,,,,,,,10,755,,,,3.0,,,36.9,,,,северо-западный,7,,5.1,8
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,15.0,,,,,,,,,10,757,,,,-0.5,,,56.4,,,,северо-западный,0,,,6
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,10,757,,,,-1.5,,,56.2,,,,северо-западный,0,,,5
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,10.0,,,,,,,,,10,758,,,,-2.7,,,61.4,,,,северо-западный,0,,,5
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,0,,,0.2,,,,10,759,,,,-3.4,,,58.3,,-3.6,,северо-западный,1,,,6
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,13.0,,,,,,,,,10,760,,,,0.2,,,50.0,,,,северный,7,,,6
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,10,761,,,,4.1,,,43.9,,,,северный,9,,,6
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,10,760,,,,7.4,,,30.8,,,,северный,7,,,4
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,760,,,,6.9,,,25.6,,,,северо-западный,7,,8.0,5
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,10,760,,,,3.1,,,25.7,,,,западный,2,,,2
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,10,760,,,,2.3,,,26.8,,,,западный,0,,,3
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,10,759,,,,3.0,,,25.5,,,,западный,4,,,3
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,10.0,,0,,,0,,,,10,757,,,,3.6,,,24.4,,2.0,,западный,10,,,3
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,10,755,,,,6.5,,,31.5,,,,западный,10,,,3
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,10,753,,,,12.5,,,30.5,,,,юго-западный,6,,,6
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,15.0,,,,,,,,,10,751,,,,16.2,,,24.7,,,,западный,7,,,6
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,14.0,,0,,,,,,,10,750,,,,15.1,,,25.5,,,,западный,2,,16.5,4
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,10,750,,,,12.4,,,30.9,,,,западный,4,,,4
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,14.0,,,,,,,,,10,749,,,,11.2,,,31.5,,,,юго-западный,2,,,5
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,11.0,,,,,,,,,10,750,,,,9.1,,,39.4,,,,юго-восточный,2,,,3
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,750,,,,8.7,,,51.3,,7.9,,западный,7,,,2
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,10,751,,,,13.7,,,38.4,,,,юго-западный,4,,,2
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,10,751,,,,15.8,,,30.3,,,,южный,4,,,2
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,10,751,,,,17.2,,,23.7,,,,юго-западный,6,,,3
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,751,,,,14.0,,,23.9,,,,южный,0,,17.4,4
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,10,752,,,,10.8,,,29.5,,,,южный,0,,,4
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,10,752,,,,8.4,,,39.2,,,,южный,2,,,3
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,10,751,,,,7.2,,,47.6,,,,южный,1,,,3
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,10.0,,0,,,0,,,,10,750,,,,5.3,,,63.3,,3.8,,южный,7,,,5
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,12.0,,,,,,,,,10,750,,,,10.1,,,52.0,,,,южный,10,,,6
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,10,750,,,,12.5,,,42.5,,,,южный,7,,,5
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,10,749,,,,13.3,,,36.4,,,,южный,7,,,4
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,10.0,,0,,,,,,,10,748,,,,11.7,,,42.6,,,,южный,9,,13.7,3
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,10,748,,,,9.4,,,48.5,,,,южный,6,,,3
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,10,748,,,,8.6,,,51.6,,,,южный,2,,,4
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,10,747,,,,5.3,,,61.0,,,,южный,2,,,4
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,747,,,,3.6,,,63.4,,3.4,,южный,10,,,4
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,10.0,,,,,,,,,10,746,,,,6.1,,,54.4,,,,южный,10,,,4
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,10,744,,,,11.4,,,42.5,,,,южный,10,,,2
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,12.0,,,,,,,,,10,743,,,,12.5,,,32.8,,,,южный,10,,,4
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,10.0,,0,,,,,,,10,742,,,,11.0,,,48.3,,,,юго-западный,10,,13.1,3
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,True,,,,,,,,10,741,,,,4.8,,,91.9,,,,западный,10,,,5
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,4,740,,,,0.1,True,,91.6,,,,западный,10,,,6
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,14.0,,,,,,,,,10,738,,,,-0.2,,,94.3,True,,,северо-западный,10,,,8
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,18.0,,7,4.0,,7,,,,10,738,,,,-0.2,,,94.3,True,-0.2,,западный,10,,,8
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,16.0,,,,,,,,,1,737,,,,-0.3,True,,94.3,,-0.6,,северо-западный,10,,,10
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,20.0,,,,,,,,,1,739,,,,-0.5,True,,95.0,,,,северо-западный,10,,,12
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,21.0,,,,,,,,,1,741,,,,-0.4,True,,93.6,,,,северо-западный,10,,,11
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,19.0,,3,,,,,,,1,743,,,,-0.1,True,,94.3,,,,северо-западный,10,,-0.1,12
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,17.0,,,,,,,,,10,745,,,,1.0,,,83.4,,,True,северо-западный,10,,,11
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,18.0,,,,,,,,,10,746,,,,1.3,,,64.3,,,,северо-западный,7,,,9
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,15.0,,,,,,,,,10,747,,,,-0.4,,,62.9,,,,северо-западный,7,,,8
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,14.0,,менее 0.1,10.0,,3,,,,10,749,,,,-2.1,,,62.0,,-2.1,,западный,0,,,5
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,12.0,,,,,,,,,10,750,,,,0.7,,,53.8,,,,западный,0,,,7
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,15.0,,,,,,,,,10,750,,,,3.8,,,46.2,,,,северо-западный,0,,,9
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,10,750,,,,6.3,,,40.6,,,,северо-западный,0,,,6
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,11.0,,0,,,,,,,10,750,,,,7.2,,,39.4,,,,северо-западный,0,,7.3,2
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,10,750,,,,4.8,,,46.5,,,,южный,0,,,2
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,10,750,,,,4.0,,,56.3,,,,юго-восточный,7,,,2
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,10,749,,,,5.0,,,55.0,,,True,восточный,7,,,2
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,0,10.0,,0,,,,10,748,,,,4.6,,,56.9,,3.0,,юго-восточный,9,,,2
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,10,748,,,,13.4,,,31.0,,,,юго-западный,6,,,2
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,10.0,,,,,,,,,10,748,,,,14.8,,,30.7,,,,юго-западный,7,,,4
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,10.0,,,,,,,,,10,747,,,,16.2,,,22.1,,,,юго-западный,9,,,4
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,747,,,,15.0,,,21.1,,,,южный,10,,17.1,2
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,10,747,,,,12.4,,,31.4,,,,южный,5,,,2
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,10,747,,,,11.0,,,31.7,,,,южный,0,,,2
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,10,746,,,,5.6,,,60.7,,,,южный,2,,,3
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,0,1.0,,0,,,,10,744,,,,4.4,,,72.0,,4.0,,южный,10,,,5
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,12.0,,,,,,,,,10,743,,,,7.8,,,75.3,,,,южный,7,,,5
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,12.0,,,,,,,,,10,741,,,,11.2,,,62.0,,,,южный,10,,,5
1586952000,"Среда, 15 апреля
12:00 (UTC)",True,,,11.0,,,,,,,,,10,740,,,,12.2,,,61.8,,,,южный,9,,,5
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,14.0,True,2,,,,,,,10,740,,,,4.0,,,89.3,,,,западный,10,,12.5,7
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,14.0,,,,,,True,,,10,743,,,,2.4,,,86.6,,,,западный,4,,,4
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,10,744,,,,2.7,,,79.4,,,,южный,0,,,2
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,10.0,,,,,,,,,10,744,,,,2.3,,,78.8,,,,западный,0,,,4
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,0.5,,,3,,,,10,745,,,,0.9,,,85.8,,0.9,,южный,10,,,2
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,10,745,,,,5.1,,,64.2,,0.8,,юго-западный,10,,,4
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,10,744,,,,6.0,,,62.6,,,,юго-западный,10,,,4
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,14.0,,,,,,,,,10,742,,,,8.0,,,51.1,,,True,юго-западный,9,,,5
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,10.0,,менее 0.1,,,,,,,10,742,,,,6.9,,,53.5,,,,юго-западный,9,,8.0,4
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,11.0,,,,,,,True,,10,741,,,,5.9,,,73.9,,,,южный,10,,,3
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,11.0,,,,,,,,,10,737,,,,6.7,,,66.5,,,True,южный,7,,,4
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,13.0,,,,,,,True,,10,735,,,,5.3,,,85.1,,,,южный,10,,,3
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,12.0,,1,,,1,,,,10,735,,,,6.5,,,80.0,,5.3,True,западный,7,,,5
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,13.0,,,,True,,,,,10,735,,,,7.5,,,74.7,,,,западный,7,,,4
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,14.0,,,,,,,True,,4,737,,,,7.1,,,70.5,,,,западный,7,,,5
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,18.0,,,,,,,True,,4,739,,,,7.8,,,67.7,,,,западный,7,,,9
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,18.0,,0.6,,,,,,,10,740,,,,8.0,,,48.5,,,,западный,7,,8.9,5
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,12.0,,,,,,,,,10,742,,,,5.5,,,62.5,,,,юго-западный,0,,,3
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,10,742,,,,4.4,,,60.8,,,,западный,0,,,2
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,10.0,,,,,,,,,10,742,,,,3.6,,,68.8,,,,юго-западный,2,,,4
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,0,,,0.6,,,,10,743,,,,3.0,,,73.9,,3.0,,юго-западный,2,,,3
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,10,744,,,,6.9,,,62.3,,,,западный,4,,,3
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,11.0,,,,,,,,,10,745,,,,9.2,,,36.3,,,,западный,6,,,5
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,11.0,,,,,,,,,10,745,,,,10.1,,,35.5,,,True,западный,7,,,4
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,11.0,,менее 0.1,,,,,,,10,746,,,,7.7,,,49.9,,,,юго-западный,6,,10.5,4
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,10,748,,,,6.3,,,59.5,,,,западный,2,,,2
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,10,748,,,,4.8,,,61.4,,,,западный,0,,,4
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,10,749,,,,3.6,,,68.8,,,,юго-западный,0,,,3
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,0,,,менее 0.1,,,,10,750,,,,4.1,,,65.9,,2.7,,западный,1,,,1
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,10,751,,,,8.5,,,51.6,,,,юго-восточный,4,,,2
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,10,751,,,,9.1,,,40.9,,,,южный,10,,,1
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,10,750,,,,10.1,,,36.8,,,,южный,9,,,2
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,750,,,,10.0,,,35.4,,,,южный,7,,10.6,2
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,10,750,,,,6.1,,,50.5,,,,южный,7,,,1
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,10,750,,,,6.1,,,54.0,,,,южный,6,,,1
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,10,750,,,,6.8,,,61.0,,,,южный,6,,,1
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,0,,,0,,,,10,750,,,,5.0,,,72.7,,2.2,,южный,4,,,1
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,10,749,,,,9.8,,,49.4,,,,южный,4,,,2
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,10,748,,,,11.8,,,42.6,,,,восточный,10,,,3
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,True,,4,747,,,,8.5,,,72.3,,,,северо-восточный,10,,,2
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,True,3,,,,,,,10,745,,,,7.0,,,85.9,,,,восточный,10,,12.0,2
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,True,,,,,,,,10,742,,,,6.7,,,92.0,,,,восточный,10,,,3
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,,True,,,,,,,,10,740,,,,7.8,,,92.1,,,,юго-восточный,10,,,2
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,10,739,,,,6.3,,,93.3,,,True,юго-западный,7,,,2
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,13,,,16,,,,10,740,,,,2.4,,,86.0,,2.2,,юго-западный,10,,,1
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,True,,,,,,,,10,739,,,,3.0,,,86.1,,,,южный,10,,,3
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,True,,,,,,,,10,738,,,,4.1,,,88.7,,,,южный,10,,,3
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,True,,,,,,,,10,739,,,,5.6,,,81.0,,,,юго-западный,9,,,2
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,0.4,,True,,,,,10,739,,,,5.4,,,83.3,,,,юго-западный,9,,7.0,2
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,True,,10,739,,,,3.7,,,88.0,,,,юго-западный,7,,,3
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,10,738,,,,3.4,,,88.0,,,True,западный,9,,,4
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,10,737,,,,3.5,,,86.7,,,True,западный,9,,,4
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,13.0,,0.5,,,0.9,,True,,10,737,,,,3.6,,,88.6,,2.8,,западный,9,,,6
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,15.0,,,,,,,True,,10,738,,,,4.7,,,82.0,,,,западный,10,,,6
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,16.0,,,,,,,True,,10,739,,,,5.1,,,80.9,,,,западный,10,,,6
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,16.0,,,,,,,,,10,740,,,,5.9,,,80.5,,,True,северо-западный,9,,,8
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,16.0,,0.6,,,,,True,,10,741,,,,3.9,,,83.1,,,,западный,9,,6.7,6
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,11.0,,,,,,True,,,10,743,,,,2.6,,,81.2,,,,западный,0,,,4
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,10,744,,,,0.8,,,84.0,,,,северо-западный,2,,,5
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,10,744,,,,-0.2,,,83.2,,,,северо-западный,2,,,5
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,менее 0.1,,,0.6,,,,10,745,,,,0.1,,,83.3,,-0.6,,западный,7,,,5
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,,10,746,,,,4.5,,,56.9,,,,западный,2,,,4
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,13.0,,,,,,,,,10,746,,,,5.6,,,42.7,,,,северо-западный,9,,,8
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,13.0,,,,,,,,,10,745,,,,8.1,,,35.1,,,,западный,9,,,5
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,13.0,,менее 0.1,,,,,,,10,745,,,,7.0,,,48.2,,,,юго-западный,6,,8.5,2
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,10.0,,,,,,,,,10,745,,,,5.1,,,51.4,,,,юго-западный,0,,,3
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,12.0,,,,,,,,,10,744,,,,5.0,,,45.5,,,,юго-западный,4,,,5
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,12.0,,,,,,,,,10,743,,,,4.9,,,44.4,,,,юго-западный,4,,,4
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,,0,,,менее 0.1,,,,10,744,,,,5.2,,,44.2,,2.6,,северо-западный,7,,,3
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,,10,744,,,,7.1,,,44.1,,,,западный,9,,,2
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,,10,744,,,,11.1,,,34.4,,,,восточный,7,,,2
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,,,10,743,,,,12.5,,,31.4,,,,юго-восточный,7,,,2
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,,0,,,,,,,10,743,,,,13.5,,,33.9,,,,юго-западный,10,,14.2,3
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,,,10,743,,,,11.6,,,49.5,,,,южный,7,,,3
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,,10,742,,,,11.8,,,49.9,,,,южный,7,,,3
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,,,,,,,,,,,10,740,,,,10.6,,,45.1,,,,южный,10,,,4
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,,13.0,,0,,,0,,,,10,740,,,,12.7,,,39.0,,10.3,,юго-западный,7,,,5
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,,12.0,,,,,,,,,10,740,,,,14.7,,,39.6,,,,юго-западный,9,,,5
