timestamp,date,Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман ослабел (небо не видно)
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,728,,,11.4,,58.7,,,северо-восточный,10.0,,,2,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,728,,,14.0,,55.4,,,восточный,10.0,,,1,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,728,,,12.5,,62.8,,,восточный,2.0,,14.5,3,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,730,,,7.5,,81.8,,,юго-западный,0.0,,,3,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,730,,,7.0,,66.5,,,юго-западный,0.0,,,2,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,729,,,4.2,,70.4,,,западный,0.0,,,3,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,0,,,0,,,,10.0,729,,,6.0,,61.2,4.0,,юго-западный,4.0,,,3,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,730,,,9.6,,63.4,,,восточный,9.0,,,1,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,729,,,14.5,,42.5,,,северо-восточный,10.0,,,2,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,728,,,16.7,,33.3,,,северо-восточный,7.0,,,2,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,728,,,13.5,,47.6,,,северо-восточный,10.0,,17.0,2,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,728,,,10.3,,75.2,,,западный,10.0,,,1,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,728,,,9.6,,76.1,,,северо-западный,10.0,,,2,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,True,,,10.0,729,,,6.8,,79.5,,,западный,10.0,,,2,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,1,,,1,True,,,10.0,731,,,3.9,,81.9,3.9,,западный,10.0,,,4,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,733,,,5.1,,61.9,3.9,True,юго-западный,10.0,,,3,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,733,,,8.2,,32.8,,,северо-западный,7.0,,,3,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,10.0,,,,,,,,,20.0,732,,,12.4,,32.3,,,северный,2.0,,,7,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,10.0,,менее 0.1,,,,,,,10.0,734,,,10.2,,33.4,,,северный,0.0,,13.1,4,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,736,,,5.6,,41.7,,,восточный,5.0,,,2,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,737,,,2.2,,52.2,,,юго-западный,0.0,,,1,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,736,,,0.8,,62.2,,,юго-западный,0.0,,,2,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,0,,,менее 0.1,,,,20.0,735,,,-0.1,,60.6,-0.2,,юго-западный,0.0,,,2,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,736,,,8.4,,17.5,,,северный,2.0,,,1,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,734,,,10.8,,17.4,,,северный,0.0,,,2,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,733,,,11.8,,21.0,,,северный,4.0,,,4,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,0,,,,,,,10.0,735,,,8.0,,27.6,,,восточный,4.0,,12.0,3,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,737,,,4.8,,34.1,,,восточный,10.0,,,2,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,737,,,0.3,,54.5,,,северо-восточный,4.0,,,1,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,737,,,-0.8,,60.4,,,юго-западный,0.0,,,2,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,736,,,-1.1,,62.7,-1.8,,южный,0.0,,,1,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,735,,,5.6,,39.8,,,восточный,0.0,,,3,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,733,,,9.5,,32.4,,,восточный,0.0,,,5,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,731,,,12.0,,24.1,,,восточный,0.0,,,4,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,730,,,10.0,,27.7,,,восточный,0.0,,12.5,4,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,729,,,2.7,,52.7,,,северо-западный,0.0,,,1,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,728,,,2.8,,57.7,,,юго-западный,0.0,,,2,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,727,,,-0.7,,71.0,,,западный,0.0,,,2,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,727,,,-2.8,,81.6,-2.8,,западный,0.0,,,1,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,726,,,9.0,,42.4,-2.9,,северо-восточный,0.0,,,2,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,726,,,13.0,,31.1,,,северо-восточный,0.0,,,2,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,725,,,15.2,,22.8,,,северо-восточный,0.0,,,3,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,725,,,12.8,,24.7,,,северо-восточный,4.0,,15.6,3,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,726,,,9.3,,43.1,,,южный,2.0,,,1,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,725,,,3.1,,69.2,,,западный,0.0,,,3,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,724,,,3.5,,63.4,,,юго-западный,0.0,,,2,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,725,,,0.3,,83.3,-0.9,,,0.0,,,0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,724,,,5.4,,72.2,,,северо-восточный,2.0,,,2,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,724,,,7.5,,71.6,,,северо-восточный,6.0,,,2,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,723,,,12.1,,49.0,,,северный,0.0,,,2,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,0,,,,,,,10.0,722,,,11.4,,45.0,,,северо-восточный,2.0,,13.1,2,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,723,,,6.8,,59.7,,,юго-западный,2.0,,,1,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,722,,,4.3,,72.5,,,юго-западный,0.0,,,2,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,722,,,3.6,,71.9,,,западный,0.0,,,1,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,722,,,2.5,,75.4,2.5,,западный,0.0,,,1,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,723,,,11.9,,42.3,2.4,,северный,4.0,,,2,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,722,,,15.8,,33.1,,,северный,4.0,,,2,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,722,,,15.6,,32.5,,,северо-западный,9.0,,,1,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,14.0,,0,,,,,,,10.0,723,,,11.8,,57.2,,,северо-западный,10.0,,16.8,6,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,True,,,10.0,725,,,9.6,,71.0,,,северо-западный,10.0,,,5,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,True,,,10.0,727,,,5.8,,86.4,,,восточный,10.0,,,1,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,True,,,10.0,727,,,5.2,,88.1,,,юго-восточный,10.0,,,2,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,5,,,5,,,,10.0,727,,,5.8,,74.4,5.1,True,северный,10.0,,,2,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,728,,,5.4,,65.7,,True,северо-западный,10.0,,,3,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,728,,,7.8,,48.4,,,северо-западный,10.0,,,3,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,729,,,7.9,,54.9,,,юго-западный,10.0,,,2,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,0,,,,,,,10.0,729,,,7.8,,44.0,,,западный,10.0,,8.7,3,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,730,,,6.3,,65.4,,,юго-западный,10.0,,,2,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,731,,,5.1,,70.1,,,юго-западный,10.0,,,1,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,731,,,2.6,,76.6,,,юго-западный,6.0,,,1,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,731,,,2.1,,72.1,0.3,,юго-западный,0.0,,,3,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,731,,,8.5,,32.6,,,северный,0.0,,,2,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,730,,,11.5,,32.1,,,восточный,0.0,,,3,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,729,,,13.2,,29.1,,,юго-восточный,0.0,,,2,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,728,,,12.2,,30.1,,,восточный,0.0,,13.7,3,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,729,,,7.8,,46.7,,,южный,0.0,,,2,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,728,,,2.6,,69.6,,,юго-западный,0.0,,,1,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,727,,,3.5,,64.3,,,юго-западный,0.0,,,2,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,727,,,3.1,,68.1,2.3,,юго-западный,0.0,,,2,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,726,,,12.3,,38.0,,,восточный,0.0,,,2,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,725,,,16.1,,28.0,,,восточный,0.0,,,4,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,724,,,17.8,,27.3,,,северо-восточный,9.0,,,2,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,724,,,16.4,,27.5,,,восточный,10.0,,18.8,3,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,724,,,9.9,,49.0,,,западный,0.0,,,2,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,724,,,9.3,,47.5,,,юго-западный,0.0,,,3,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,723,,,9.4,,40.7,,,юго-западный,6.0,,,3,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,723,,,11.9,,26.6,7.0,,южный,10.0,,,4,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,722,,,21.4,,15.1,,,юго-восточный,7.0,,,2,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,720,,,23.6,,11.3,,,восточный,10.0,,,4,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,719,,,24.1,,15.5,,,восточный,10.0,,,4,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,719,,,19.6,,31.2,,,восточный,10.0,,24.1,1,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,15.0,,,,,,,,,10.0,722,,,13.3,,38.6,,,северо-западный,9.0,,,3,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,723,,,10.2,,67.2,,,северный,7.0,,,2,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,True,,,10.0,724,,,7.3,,84.7,,,северный,10.0,,,5,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,0.8,,,0.8,True,,,2.0,725,,,4.8,,93.2,4.7,,северный,10.0,,,2,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,True,,,2.0,726,,,3.0,,94.5,2.8,,северный,10.0,,,4,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,727,,,6.2,,57.4,,True,северо-западный,10.0,,,2,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,726,,,8.0,,57.0,,True,северный,10.0,,,2,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,1,,,,,,,10.0,726,,,8.3,,59.2,,,западный,10.0,,9.4,2,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,726,,,5.6,,75.4,,,юго-западный,0.0,,,2,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,726,,,3.4,,79.0,,,западный,0.0,,,2,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,726,,,4.0,,77.9,,,юго-западный,0.0,,,3,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,0,,,1,,,,20.0,725,,,4.3,,75.7,2.2,,юго-западный,2.0,,,2,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,724,,,13.4,,44.0,,,северо-восточный,7.0,,,1,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,723,,,18.4,,22.2,,,северо-восточный,7.0,,,3,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,722,,,20.3,,20.0,,,восточный,7.0,,,2,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,722,,,19.6,,19.8,,,юго-восточный,7.0,,20.7,2,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,724,,,11.2,,49.8,,,юго-западный,4.0,,,3,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,724,,,7.6,,61.2,,,западный,0.0,,,3,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,724,,,8.2,,57.0,,,юго-западный,7.0,,,2,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,724,,,7.5,,60.7,6.3,,юго-западный,10.0,,,3,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,724,,,14.4,,44.9,,,северо-восточный,7.0,,,3,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,724,,,15.9,,30.3,,,восточный,9.0,,,3,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,723,,,18.0,,28.4,,,восточный,10.0,,,1,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,724,,,17.5,,30.6,,,восточный,10.0,,18.9,2,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,725,,,11.3,,52.7,,,юго-западный,2.0,,,2,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,724,,,10.8,,51.5,,,юго-западный,0.0,,,2,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,724,,,6.4,,67.9,,,западный,6.0,,,3,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,724,,,8.6,,51.2,5.8,,западный,4.0,,,1,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,724,,,16.2,,32.7,,,северо-восточный,2.0,,,2,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,724,,,19.8,,29.7,,,северо-восточный,1.0,,,2,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,723,,,21.8,,23.7,,,северо-восточный,7.0,,,2,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,723,,,19.3,,29.1,,,северо-восточный,2.0,,22.0,3,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,724,,,14.0,,44.8,,,юго-западный,0.0,,,2,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,724,,,9.9,,59.6,,,западный,2.0,,,3,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,723,,,7.6,,67.2,,,западный,0.0,,,1,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,722,,,6.8,,71.4,6.6,,юго-западный,4.0,,,2,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,721,,,16.6,,40.1,,,северо-восточный,10.0,,,2,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,719,,,19.8,,36.7,,,северо-восточный,10.0,,,3,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,718,,,21.3,,31.7,,,северо-восточный,7.0,,,2,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,717,,,18.7,,47.8,,,северо-восточный,9.0,,22.2,2,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,15.0,,,,,,,,,10.0,720,,,13.2,,58.7,,,северо-западный,4.0,,,6,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,11.0,,,,,,,,,10.0,722,,,9.8,,71.5,,,северо-восточный,10.0,,,2,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,True,,,,,10.0,723,,,8.0,,91.5,,,южный,10.0,,,2,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,11.0,,2,,,2,True,,,2.0,725,,,4.8,,91.3,4.8,,северный,10.0,,,5,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,725,,,4.6,,81.4,3.9,True,западный,10.0,,,1,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,725,,,6.9,,66.0,,,западный,10.0,,,1,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,725,,,9.5,,48.6,,,восточный,10.0,,,2,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,менее 0.1,,,,,,,10.0,725,,,9.1,,52.1,,,восточный,10.0,,10.0,2,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,726,,,8.9,,56.8,,,юго-западный,10.0,,,1,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,725,,,7.3,,74.7,,,западный,10.0,,,1,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,725,,,7.4,,67.1,,,северный,10.0,,,2,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,0,,,0,,,,10.0,725,,,5.7,,70.2,5.7,,северный,10.0,,,3,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,,True,,,10.0,726,,,4.6,,83.2,4.3,,северный,10.0,,,3,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,,,,,,,True,,,10.0,725,,,7.4,,76.3,,,северный,10.0,,,2,
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,True,,,10.0,725,,,6.6,,74.0,,,северо-западный,10.0,,,2,
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,1,,,,,,,10.0,725,,,5.9,,77.7,,True,западный,10.0,,7.9,3,
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,True,,,,,10.0,725,,,5.8,,77.6,,,юго-западный,10.0,,,4,
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,725,,,6.4,,70.9,,,юго-западный,10.0,,,3,
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,725,,,6.1,,74.4,,,юго-западный,10.0,,,2,
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,0.5,,,2,,,,10.0,726,,,5.0,,80.9,5.0,,юго-западный,10.0,,,2,
1587621600,"Четверг, 23 апреля
06:00 (UTC)",,,,,,,,,,,,10.0,726,,,8.5,,53.9,,,западный,10.0,,,3,
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,726,,,9.9,,46.6,,,,10.0,,,0,
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,725,,,11.9,,39.6,,,западный,7.0,,,2,
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,0,,,,,,,10.0,725,,,10.9,,44.9,,,западный,7.0,,12.7,3,
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,726,,,8.6,,52.8,,,юго-западный,7.0,,,3,
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,727,,,6.8,,58.4,,,юго-западный,6.0,,,2,
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,726,,,4.8,,62.7,,,северо-западный,7.0,,,2,
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,726,,,5.6,,64.3,3.0,,юго-западный,7.0,,,1,
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,726,,,12.9,,35.5,,,северо-восточный,6.0,,,2,
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,725,,,13.3,,30.0,,,восточный,9.0,,,2,
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,723,,,16.0,,25.0,,,восточный,4.0,,,2,
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,0,,,,,,,20.0,722,,,14.6,,28.0,,,восточный,2.0,,16.5,3,
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,,10.0,723,,,10.1,,46.7,,,,0.0,,,0,
1587762000,"Пятница, 24 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,723,,,5.1,,66.6,,,западный,0.0,,,2,
1587772800,"Суббота, 25 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,722,,,5.1,,65.6,,,юго-западный,0.0,,,2,
1587783600,"Суббота, 25 апреля
03:00 (UTC)",,,,,0,,,0,,,,20.0,721,,,4.0,,73.0,2.8,,юго-западный,6.0,,,2,
1587794400,"Суббота, 25 апреля
06:00 (UTC)",,,,,,,,,,,,20.0,720,,,12.7,,42.2,,,северный,7.0,,,1,
1587805200,"Суббота, 25 апреля
09:00 (UTC)",,,,,,,,,,,,20.0,719,,,14.8,,35.0,,,восточный,10.0,,,3,
1587816000,"Суббота, 25 апреля
12:00 (UTC)",,,,,,,,,,,,20.0,717,,,17.5,,30.8,,,восточный,0.0,,,3,
