timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,Мгла,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,Зарница,Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Морось (незамерзающая) сильная непрерывная,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,88.2,,,,,,4.4,0,,,,,0.5,,,,,,,,2,750,,,,-1.1,,,True,,,,10.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,90.8,,,,восточный,,,1,,,,,,,,,,,,,10,751,,,,-1.5,,,,True,,,10.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,85.6,,,,северный,,,2,,,,,,,,,,,,,10,751,,,,-1.1,,,,,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,62.5,,,,северный,,,2,,,,,,,,,,,,,10,752,,,,-0.1,,,,,,,10.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,63.8,,,-1.5,северный,,,3,,,,,менее 0.1,,,,,0.5,,,50,753,,,,-0.9,,,,,,,10.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,47.1,,,,северный,,,4,,,,,,,,,,,,,50,754,,,,2.0,,,,,,,10.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,13.0,,,,,,,,,,36.5,,,,северо-восточный,,,6,,,,,,,,,,,,,50,755,,,,5.4,,,,,,,9.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,13.0,,,,,,,,,,34.0,,,,северо-восточный,,,5,,,,,,,,,,,,,50,755,,,,6.2,,,,,,,10.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,12.0,,,,,,,,,,42.6,,,,восточный,,6.9,5,,,,,0,,,,,,,,50,757,,,,4.4,,,,,,,10.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,50.5,,,,северо-восточный,,,3,,,,,,,,,,,,,50,759,,,,1.8,,,,,,,0.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,50.8,,,,северный,,,2,,,,,,,,,,,,,50,759,,,,0.2,,,,,,,0.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,55.3,,,,северный,,,2,,,,,,,,,,,,,50,759,,,,-1.4,,,,,,,0.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,63.8,,,-2.8,северный,,,2,,,,,0,,,,,0,,,50,759,,,,-2.7,,,,,,,0.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,40.8,,,,северо-восточный,,,3,,,,,,,,,,,,,50,759,,,,3.6,,,,,,,0.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,34.3,,,,северный,,,3,,,,,,,,,,,,,50,758,,,,7.1,,,,,,,0.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,26.8,,,,северный,,,2,,,,,,,,,,,,,50,756,,,,10.4,,,,,,,0.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,24.1,,,,северный,,11.2,1,,,,,0,,,,,,,,50,755,,,,10.0,,,,,,,0.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,31.2,,,,северо-западный,,,2,,,,,,,,,,,,,50,756,,,,3.8,,,,,,,0.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,39.1,,,,северо-западный,,,2,,,,,,,,,,,,,50,756,,,,1.3,,,,,,,0.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,70.4,,,,северо-западный,,,1,,,,,,,,,,,,,50,755,,,,-3.8,,,,,,,0.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,74.6,,,-6.1,,,,0,,,,,0,,,,,0,,,50,755,,,,-5.0,,,,,,,0.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,32.3,,,,северный,,,2,,,,,,,,,,,,,50,754,,,,4.9,,,,,,,0.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,22.0,,,,северный,,,1,,,,,,,,,,,,,50,753,,,,10.8,,,,,,,0.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,16.8,,,,восточный,,,1,,,,,,,,,,,,,50,751,,,,13.2,,,,,,,1.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,24.8,,,,юго-восточный,,13.4,2,,,,,0,,,,,,,,10,750,,,,11.1,,,,,,,2.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,37.7,,,,восточный,,,1,,,,,,,,,,,,,10,751,,,,5.4,,,,,,,7.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,59.6,,,,восточный,,,2,,,,,,,,,,,,,10,752,,,,3.3,,,,,,,2.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,55.4,,,,северный,,,1,,,,,,,,,,,,,10,752,,,,1.9,,,,,,,10.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,78.4,,,-0.8,северо-западный,,,1,,,,,0,,,,,0,,,50,753,,,,-0.5,,,,,,,10.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,43.9,,,,северо-восточный,,,2,,,,,,,,,,,,,50,753,,,,5.3,,,,,,,10.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,30.9,,,,северный,,,4,,,,,,,,,,,,,50,752,,,,9.9,,,,,,,10.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,11.0,,,,,,,,,,74.2,,,,восточный,,,5,,,,,,,,,,,,,20,753,,,,4.5,,,,,,,10.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,93.0,,,,восточный,,10.7,1,,,,,0.7,,,,,,True,,4,755,,,,1.3,,,,,,,10.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,94.4,,,,северный,,,2,,,,,,,,,,,,,4,755,,,,0.8,,,True,,,,10.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,,77.0,,,,северный,,,3,,,,,,,,,,,,,10,755,,,,1.7,,,,True,,,10.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,14.0,,,,,,,,,,54.0,,,,северо-восточный,,,5,,,,,,,,,,,,,10,756,,,,3.0,,,,True,,,10.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,12.0,,,,,,,,,,45.9,,,0.4,северо-восточный,,,5,,,,,1,,,,,2,,,20,757,,,,2.9,,,,,,,10.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,13.0,,,,,,,,,,47.5,,,,северо-восточный,,,6,,,,,,,,,,,,,50,758,,,,4.6,,,,,,,10.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,14.0,,,,,,,,,,50.1,,,,северо-восточный,,,5,,,,,,,,,,,,,20,758,,,,7.1,,,,,,,10.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,11.0,,,,,,,,,,44.7,,,,северо-восточный,,,3,,,,,,,,,,,,,50,758,,,,6.9,,,,,,,10.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,47.5,,,,восточный,,7.7,2,,,,,0,,,,,,,,50,759,,,,6.9,,,,,,,10.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,64.5,,,,северо-западный,,,2,,,,,,,,,,,,,50,760,,,,2.2,,,,,,,10.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,,,,,41.9,,,,восточный,,,3,,,,,,,,,,,,,50,760,,,,4.3,,,,,,,10.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,65.3,,,,северный,,,1,,,,,,,,,,,,,50,761,,,,-0.5,,,,,,,2.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,72.6,,,-1.4,северный,,,1,,,,,0,,,,,0,,,50,761,,,,-1.0,,,,,,,2.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,35.9,,,,северо-западный,,,2,,,,,,,,,,,,,50,761,,,,6.3,,,,,,,0.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,23.5,,,,северо-западный,,,2,,,,,,,,,,,,,50,760,,,,10.5,,,,,,,2.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,13.6,,,,юго-восточный,,,1,,,,,,,,,,,,,50,758,,,,12.2,,,,,,,2.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,13.0,,,,южный,,13.6,1,,,,,0,,,,,,,,50,758,,,,12.6,,,,,,,0.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,37.2,,,,западный,,,1,,,,,,,,,,,,,50,758,,,,3.1,,,,,,,0.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,65.5,,,,юго-восточный,,,1,,,,,,,,,,,,,50,758,,,,-2.1,,,,,,,0.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,57.2,,,,северный,,,1,,,,,,,,,,,,,50,759,,,,-1.1,,,,,,,0.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,86.5,,,-4.9,северный,,,1,,,,,0,,,,,0,,,50,759,,,,-4.8,,,,,,,0.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,33.2,,,,северный,,,1,,,,,,,,,,,,,50,759,,,,7.9,,,,,,,4.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,17.0,,,,южный,,,2,,,,,,,,,,,,,50,757,,,,14.1,,,,,,,10.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,18.7,,,,южный,,,4,,,,,,,,,,,,,50,756,,,,14.9,,,,,,,10.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,26.1,,,,восточный,,15.6,3,,,,,0,,,,,,,,50,756,,,,13.0,,,,,,,10.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,11.0,,,,,,,,,,52.8,,,,восточный,,,2,,,,,,,,,,,,,50,759,,,,7.4,,,,,,,10.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,True,,,,,,59.6,,,,северо-восточный,,,1,,,,,,,,,,,,,50,760,,,,4.9,,,,,,,6.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,52.9,,,,северо-восточный,,,1,,,,,,,,,,,,,50,760,,,,3.6,,,,True,,,10.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,54.8,,,0.9,северный,,,1,,,,,менее 0.1,,,,,менее 0.1,,,50,760,,,,1.5,,,,,,,5.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,31.0,,,,восточный,,,2,,,,,,,,,,,,,50,760,,,,7.2,,,,,,,4.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,30.3,,,,юго-восточный,,,2,,,,,,,,,,,,,50,759,,,,9.5,,,,,,,1.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,24.2,,,,южный,,,2,,,,,,,,,,,,,50,757,,,,11.8,,,,,,,0.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,28.9,,,,южный,,12.8,3,,,,,0,,,,,,,,50,757,,,,11.1,,,,,,,0.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,41.0,,,,юго-западный,,,3,,,,,,,,,,,,,50,757,,,,5.5,,,,,,,0.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,,,,,57.7,,,,южный,,,1,,,,,,,,,,,,,50,756,,,,0.9,,,,,,,1.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,71.5,,,,,,,0,,,,,,,,,,,,,50,756,,,,-0.9,,,,,,,0.0,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,80.4,,,-3.6,,,,0,,,,,0,,,,,0,,,50,756,,,,-2.7,,,,,,,0.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,43.0,,,,северный,,,1,,,,,,,,,,,,,50,756,,,,6.7,,,,,,,0.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,,,,,23.0,,,,южный,,,2,,,,,,,,,,,,,50,755,,,,15.7,,,,,,,0.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,22.2,,,,юго-восточный,,,4,,,,,,,,,,,,,50,753,,,,17.9,,,,,,,0.0,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,27.1,,,,юго-восточный,,18.1,3,,,,,0,,,,,,,,50,753,,,,16.5,,,,,,,2.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,53.6,,,,восточный,,,2,,,,,,,,,,,,,50,753,,,,8.8,,,,,,,2.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,,,,,54.7,,,,северный,,,1,,,,,,,,,,,,,50,753,,,,5.4,,,,,,,0.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,48.8,,,,северный,,,2,,,,,,,,,,,,,50,754,,,,5.2,,,,,,,0.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,65.8,,,0.8,северный,,,1,,,,,0,,,,,0,,,20,753,,,,1.6,,,,,,,5.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,36.8,,,,северо-восточный,,,2,,,,,,,,,,,,,20,753,,,,10.0,,,,,,,0.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,,,33.1,,,,восточный,,,1,,,,,,,,,,,,,20,751,,,,15.2,,,,,,,0.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,23.9,,,,восточный,,,1,,,,,,,,,,,,,10,750,,,,18.5,,,,,,,0.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,29.4,,,,юго-восточный,,19.1,1,,,,,0,,,,,,,,10,749,,,,17.1,,,,,,,5.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,59.8,,,,южный,,,1,,,,,,,,,,,,,10,749,,,,7.4,,,,,,,0.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,,,79.3,,,,,,,0,,,,,,,,,,,,,10,748,,,,2.1,,,,,,,9.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,49.4,,,,северный,,,2,,,,,,,,,,,,,10,748,,,,5.9,,,,,,,10.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,44.9,,,0.7,северный,,,3,,,,,0,,,,,0,,,50,749,,,,7.4,,,,,,,9.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,41.7,,,,северо-восточный,,,5,,,,,,,,,,,,,50,751,,,,9.7,,,,,,,1.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,,,37.3,,,,восточный,,,4,,,,,,,,,,,,,50,751,,,,11.8,,,,,,,2.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,28.6,,,,юго-западный,,,1,,,,,,,,,,,,,50,751,,,,12.9,,,,,,,9.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,36.4,,,,восточный,,13.6,3,,,,,0,,,,,,,,50,753,,,,10.6,,,,,,,2.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,64.2,,,,южный,,,1,,,,,,,,,,,,,50,755,,,,2.9,,,,,,,0.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,,,88.1,,,,,,,0,,,,,,,,,,,,,50,756,,,,-1.8,,,,,,,0.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,92.8,,,,северо-западный,,,1,,,,,,,,,,,,,50,757,,,,-3.1,,,,,,,0.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,92.8,,,-4.8,северо-западный,,,1,,,,,0,,,,,0,,,50,757,,,,-3.0,,,,,,,0.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,43.7,,,,северо-западный,,,1,,,,,,,,,,,,,50,758,,,,7.9,,,,,,,0.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,,,28.6,,,,западный,,,4,,,,,,,,,,,,,50,756,,,,12.2,,,,,,,6.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,21.7,,,,юго-западный,,,1,,,,,,,,,,,,,50,755,,,,13.7,,,,,,,4.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,27.6,,,,юго-восточный,,14.8,3,,,,,0,,,,,,,,50,755,,,,12.6,,,,,,,2.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,46.7,,,,южный,,,3,,,,,,,,,,,,,50,756,,,,6.6,,,,,,,0.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,,,,,54.0,,,,юго-западный,,,2,,,,,,,,,,,,,50,757,,,,4.6,,,,,,,0.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,69.2,,,,восточный,,,1,,,,,,,,,,,,,50,757,,,,0.6,,,,,,,0.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,81.2,,,-2.6,северный,,,1,,,,,0,,,,,0,,,50,757,,,,-1.3,,,,,,,0.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,40.3,,,,южный,,,1,,,,,,,,,,,,,50,757,,,,9.2,,,,,,,4.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,10.0,,,,,,,,,,23.8,,,,западный,,,6,,,,,,,,,,,,,50,757,,,,14.9,,,,,,,1.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,10.0,,,,,,,,,,21.8,,,,юго-западный,,,3,,,,,,,,,,,,,50,755,,,,15.8,,,,,,,7.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,12.0,,,,,,,,,,23.8,,,,юго-западный,,16.7,4,,,,,0,,,,,,,,50,755,,,,14.4,,,,,,,1.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,34.3,,,,юго-западный,,,3,,,,,,,,,,,,,50,756,,,,8.2,,,,,,,0.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,,,,,51.6,,,,южный,,,1,,,,,,,,,,,,,50,756,,,,3.1,,,,,,,0.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,72.2,,,,северо-западный,,,1,,,,,,,,,,,,,50,756,,,,0.1,,,,,,,0.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,76.0,,,-2.0,южный,,,1,,,,,0,,,,,0,,,50,756,,,,-0.9,,,,,,,0.0,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,39.9,,,,восточный,,,1,,,,,,,,,,,,,50,756,,,,9.8,,,,,,,0.0,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,,,,,24.6,,,,южный,,,4,,,,,,,,,,,,,20,755,,,,17.2,,,,,,,1.0,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,10.0,,,,,,,,,,17.1,,,,юго-западный,,,4,,,,,,,,,,,,,50,753,,,,17.9,,,,,,,2.0,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,10.0,,,,,,,,,,28.0,,,,южный,,18.1,5,,,,,0,,,,,,,,50,753,,,,15.3,,,,,,,1.0,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,60.2,,,,юго-западный,,,3,,,,,,,,,,,,,50,754,,,,9.0,,,,,,,0.0,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,,,,,84.3,,,,западный,,,2,,,,,,,,,,,,,50,754,,,,3.8,,,,,,,0.0,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,94.4,,,,,,,0,,,,,,,,,,,,,50,754,,,,0.3,,,,,,,0.0,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,97.1,,,-2.3,,,,0,,,,,0,,,,,0,,True,1,755,,,,-1.5,,,,,,,0.0,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,67.0,,,,южный,,,1,,,,,,,,,,,,True,4,755,,,,9.0,,,,,,,0.0,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,,,41.1,,,,юго-восточный,,,3,,,,,,,,,,,,,10,754,,,,16.8,,,,,,,0.0,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,21.4,,,,юго-западный,,,3,,,,,,,,,,,,,50,754,,,,18.1,,,,,,,9.0,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,12.0,,,,,,,,,,32.0,,,,южный,,19.7,3,,,,,менее 0.1,,,,,,,,20,754,,,,15.3,,,,True,,,7.0,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,65.8,,,,,,,0,,,,,,,,,,,,,20,755,,,,5.6,,,,True,,,2.0,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,,,,,83.5,,,,,,,0,,,,,,,,,,,,,20,756,,,,1.9,,,,,,,0.0,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,82.2,,,,северо-восточный,,,1,,,,,,,,,,,,,20,756,,,,1.7,,,,,,,0.0,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,80.5,,,0.1,северо-восточный,,,1,,,,,0,,,,,менее 0.1,,,10,757,,,,2.2,,,,,,,0.0,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,61.3,,,,восточный,,,2,,,,,,,,,,,,,20,757,,,,6.2,,,,,,,10.0,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,,,57.1,,,,восточный,,,3,,,,,,,,,,,,,50,756,,,,11.5,,,,,,,10.0,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,34.9,,,,юго-восточный,,,4,,,,,,,,,,,,,10,753,,,,17.0,,,,,,,10.0,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,True,,,49.2,,,,южный,,17.3,4,,,,,0,,,,,,,,4,752,,,,15.3,,,,,,,10.0,
