timestamp,date,Дождь (незамерзающий),Зарница,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Гроза, но без осадков","Температура воздуха, °C","Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,744,,,,5.9,94.6,,,восточный,0.0,,,1.0
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,True,,,4,745,,,,4.1,97.2,,,,0.0,,,0.0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,True,,,4,743,,,,3.9,97.2,,,,0.0,,,0.0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,,0,,,True,,,4,744,,,,3.1,99.3,2.3,,юго-западный,0.0,,,1.0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,10,744,,,,8.8,84.3,,,юго-западный,9.0,,,1.0
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,,12.5,69.1,,,северный,5.0,,,2.0
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,,15.1,66.9,,,северо-восточный,0.0,,,2.0
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,742,,,,12.6,67.3,,,восточный,10.0,,15.5,1.0
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,743,,,,9.2,84.9,,,восточный,10.0,,,1.0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,742,,,,8.7,90.3,,,,10.0,,,0.0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,742,,,,8.9,84.3,,,,10.0,,,0.0
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,2,,,2,,,,,,4,744,True,,,6.0,85.8,5.9,,западный,10.0,,,3.0
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,4,747,True,,,4.6,88.7,4.4,,северо-западный,10.0,,,4.0
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,,6.8,66.0,,True,западный,10.0,,,4.0
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,12.0,,,,,,,True,,,,,20,747,,,,10.9,47.2,,,западный,7.0,,,6.0
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,11.0,,,4,,,,,,,,,20,748,,,,9.4,42.2,,,западный,2.0,,11.6,3.0
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,751,,,,6.1,45.1,,,западный,7.0,,,2.0
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,751,,,,3.6,50.2,,,западный,0.0,,,2.0
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,751,,,,1.1,58.6,,,северо-западный,0.0,,,1.0
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,0,,,4,,,,,,20,750,,,,0.9,57.7,-0.6,,южный,0.0,,,1.0
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,750,,,,6.8,41.1,,,западный,7.0,,,2.0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,,9.8,34.3,,,северный,4.0,,,3.0
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,,10.3,30.3,,,северо-восточный,4.0,,,3.0
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,750,,,,6.4,35.4,,,восточный,10.0,,10.9,3.0
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,752,,,,5.1,39.4,,,восточный,10.0,,,1.0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,752,,,,2.8,58.2,,,восточный,0.0,,,2.0
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,752,,,,-0.2,79.0,,,восточный,0.0,,,2.0
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,752,,,,-1.3,81.8,-1.5,,восточный,0.0,,,1.0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,751,,,,5.6,43.0,,,восточный,0.0,,,4.0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,749,,,,8.9,30.6,,,восточный,0.0,,,4.0
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,747,,,,10.7,29.7,,,восточный,0.0,,,4.0
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,745,,,,8.0,41.5,,,восточный,0.0,,11.6,3.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,744,,,,2.8,66.1,,,северо-западный,0.0,,,1.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,742,,,,-0.2,82.0,,,восточный,0.0,,,1.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,742,,,,-1.7,86.8,,,,0.0,,,0.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,741,,,,-1.8,86.2,-2.2,,,0.0,,,0.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,7.6,51.3,,,западный,0.0,,,2.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,11.7,37.8,,,северный,0.0,,,2.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,14.5,34.2,,,северный,0.0,,,2.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,739,,,,13.2,41.5,,,восточный,0.0,,14.9,1.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,,7.2,71.5,,,восточный,0.0,,,2.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,3.2,89.9,,,восточный,0.0,,,1.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,1.3,93.7,,,восточный,0.0,,,1.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,739,,,,0.5,95.1,0.3,,,0.0,,,0.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,True,,,,,,,,,,,4,739,,,,3.7,96.5,,,восточный,10.0,,,2.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,7.9,78.5,,,восточный,7.0,,,3.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,13.1,51.7,,,восточный,0.0,,,2.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,737,,,,11.8,60.9,,,восточный,0.0,,14.1,2.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,7.3,76.8,,,юго-восточный,0.0,,,2.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,3.5,92.5,,,,0.0,,,0.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,1.7,94.4,,,восточный,0.0,,,2.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,737,,,,1.8,97.9,0.7,,юго-западный,0.0,,,1.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,9.7,68.6,,,западный,0.0,,,1.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,14.5,50.3,,,западный,0.0,,,2.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,736,,,,16.9,33.4,,,северо-восточный,2.0,,,2.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,737,,,,14.9,45.4,,,юго-восточный,7.0,,17.4,1.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,12.6,61.5,,,северо-западный,10.0,,,2.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,True,,,,4,741,,,,9.0,85.5,,,западный,10.0,,,3.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,4,741,True,,,5.7,90.1,,,юго-западный,10.0,,,2.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,5,,True,5,,,,,,10,742,,,,5.5,88.8,5.2,,южный,10.0,,,3.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,742,,,,6.3,90.7,,True,юго-западный,10.0,,,2.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,,6.5,88.3,,True,юго-западный,10.0,,,3.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,743,,,,7.5,72.6,,True,юго-западный,10.0,,,3.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,0.1,,,,,,,,,20,744,,,,6.8,72.0,,,западный,10.0,,7.9,4.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,745,,,,5.8,75.5,,,юго-западный,10.0,,,2.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,745,,,,5.0,80.9,,,юго-западный,9.0,,,1.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,745,,,,3.4,87.4,,,юго-восточный,4.0,,,1.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,0,,,0.1,,,,,,20,746,,,,2.9,85.4,2.4,,,0.0,,,0.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,746,,,,8.7,49.4,,,западный,0.0,,,2.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,745,,,,11.3,36.1,,,северо-западный,0.0,,,3.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,744,,,,13.5,30.5,,,восточный,0.0,,,2.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,743,,,,12.3,33.0,,,восточный,0.0,,14.6,2.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,743,,,,6.3,58.7,,,восточный,0.0,,,2.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,743,,,,3.3,73.4,,,,0.0,,,0.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,742,,,,1.3,85.3,,,восточный,0.0,,,2.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,742,,,,0.6,87.1,0.3,,восточный,0.0,,,1.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,10.8,50.4,,,северный,0.0,,,1.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,15.2,32.4,,,восточный,0.0,,,4.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,18.0,37.8,,,восточный,0.0,,,4.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,738,,,,14.8,45.0,,,восточный,7.0,,18.9,2.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,9.7,65.3,,,юго-восточный,6.0,,,1.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,5.6,83.9,,,восточный,0.0,,,2.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,4.3,87.4,,,,0.0,,,0.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,737,,,,4.3,88.1,3.3,,южный,0.0,,,1.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,14.0,53.8,,,западный,2.0,,,1.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,734,,,,20.7,40.2,,,восточный,7.0,,,3.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,732,,,,22.5,34.1,,,восточный,5.0,,,4.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,732,,,,18.8,51.1,,,восточный,7.0,,22.9,3.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,733,,,,12.1,72.5,,,юго-восточный,0.0,,,1.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,12.0,,,,,,,,,,,,10,737,,,,13.1,59.1,,,западный,9.0,,,3.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,12.4,70.1,,,северо-восточный,10.0,,,1.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,4,,,4,,,,,,4,739,True,,,7.1,97.3,6.9,,северо-западный,10.0,,,3.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,True,,,,,,,,,,4,740,,,,5.8,97.9,5.5,,западный,10.0,,,2.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",True,,,,,,,,,,,,,,,10,741,,,,5.5,90.1,,,северо-западный,10.0,,,2.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,6.9,86.5,,True,южный,10.0,,,3.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,3,,,,,,,,,20,741,,,,7.4,72.6,,,южный,5.0,,8.1,1.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,4.6,93.2,,,восточный,2.0,,,1.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,3.2,95.8,,,восточный,0.0,,,1.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,1.8,96.5,,,восточный,0.0,,,2.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,0,,,3,,,,,,20,741,,,,2.6,94.5,1.2,,,0.0,,,0.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,11.1,66.0,,,западный,0.0,,,1.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,16.4,48.8,,,восточный,7.0,,,2.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,19.1,32.4,,,северо-восточный,7.0,,,2.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,737,,,,18.1,36.5,,,восточный,7.0,,19.8,2.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,10.7,71.7,,,восточный,0.0,,,2.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,7.4,83.0,,,восточный,0.0,,,2.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,6.1,85.8,,,восточный,5.0,,,1.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,738,,,,7.9,67.7,2.5,,,6.0,,,0.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,739,,,,12.6,58.2,,,западный,9.0,,,1.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,15.1,49.1,,,западный,10.0,,,1.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,16.0,51.4,,,северо-западный,10.0,,,1.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,738,,,,14.6,59.5,,,южный,10.0,,16.7,1.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,10.5,80.6,,,восточный,10.0,,,1.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,8.1,86.0,,,восточный,6.0,,,1.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,7.2,87.7,,,,9.0,,,0.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,738,,,,7.8,82.5,6.4,,восточный,10.0,,,1.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,13.2,64.7,,,северо-западный,6.0,,,1.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,17.8,43.4,,,северо-восточный,7.0,,,2.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,737,,,,20.3,39.8,,,восточный,5.0,,,2.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,737,,,,17.7,51.6,,,восточный,2.0,,20.7,3.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,12.2,80.3,,,восточный,9.0,,,2.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,9.6,87.3,,,,0.0,,,0.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,7.9,95.3,,,,0.0,,,0.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,0,,,0,,,,,,20,737,,,,6.3,95.3,5.9,,,0.0,,,0.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,736,,,,14.5,65.9,,,северный,2.0,,,2.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,734,,,,16.7,57.6,,,восточный,9.0,,,3.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,732,,,,19.6,52.8,,,северо-восточный,9.0,,,2.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,731,,,,18.5,58.0,,,,9.0,,21.4,0.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,731,,,,13.0,83.1,,,северо-западный,10.0,,,1.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,,10.0,,,,,,,,,,,,10,736,,,,11.0,70.3,,,западный,10.0,,,5.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,737,,,,9.5,78.8,,,западный,10.0,,,2.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",True,,,,,,0.2,,,0.2,,,,,,10,738,,,,7.8,97.3,7.7,,юго-западный,10.0,,,1.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,739,,,,6.9,85.9,6.9,True,северо-западный,10.0,,,2.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,739,,,,7.5,72.6,,,западный,10.0,,,2.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,739,,,,9.0,67.5,,,западный,10.0,,,2.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,0.8,,,,,,,,,20,740,,,,8.4,72.8,,,юго-западный,10.0,,9.2,2.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,,7.5,81.3,,,южный,10.0,,,2.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,6.8,88.3,,,,10.0,,,0.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,739,,,,6.9,88.9,,,,10.0,,,0.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,0.2,,,1,,,,,True,4,739,,,,6.8,89.5,6.6,,восточный,10.0,,,1.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,True,,,,,,,,,,4,740,,,,6.1,93.3,6.1,,восточный,10.0,,,1.0
1587546000,"Среда, 22 апреля
09:00 (UTC)",True,,,,,,,,,,,,,,,10,740,,,,5.6,90.1,,,северо-западный,10.0,,,1.0
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,7.0,84.1,,True,юго-западный,10.0,,,2.0
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,4,,,,,,,,,20,740,,,,6.6,86.4,,,южный,10.0,,7.2,2.0
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,,6.4,85.8,,,,10.0,,,0.0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,,6.1,94.0,,,юго-западный,10.0,,,2.0
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,740,,,,5.9,93.3,,,юго-западный,10.0,,,2.0
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,,,1,,,5,,,,,True,4,741,,,,5.3,97.9,5.3,,юго-западный,10.0,,,2.0
1587621600,"Четверг, 23 апреля
06:00 (UTC)",True,,,,,,,,,,,,,,,10,741,,,,6.2,91.4,5.2,,западный,10.0,,,2.0
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,8.5,73.8,,,юго-западный,10.0,,,3.0
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,9.7,69.5,,,южный,10.0,,,3.0
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,,,2,,,,,,,,,20,740,,,,8.9,74.9,,,южный,10.0,,10.1,3.0
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,7.8,70.6,,,южный,7.0,,,2.0
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,5.4,85.7,,,юго-восточный,2.0,,,1.0
1587686400,"Пятница, 24 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,10,741,,,,2.9,88.6,,,,5.0,,,0.0
1587697200,"Пятница, 24 апреля
03:00 (UTC)",,,,,,,0,,,2,,,,,,20,741,,,,2.4,91.1,1.8,,восточный,2.0,,,1.0
1587708000,"Пятница, 24 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,20,741,,,,11.0,64.2,,,западный,2.0,,,1.0
1587718800,"Пятница, 24 апреля
09:00 (UTC)",,,,,,,,,,,,,,,,20,740,,,,15.1,37.5,,,восточный,9.0,,,3.0
1587729600,"Пятница, 24 апреля
12:00 (UTC)",,,,,,,,,,,,,,,,20,738,,,,15.5,37.6,,,восточный,4.0,,,3.0
1587740400,"Пятница, 24 апреля
15:00 (UTC)",,,,,,,0,,,,,,,,,20,737,,,,13.5,46.3,,,восточный,0.0,,16.4,3.0
1587751200,"Пятница, 24 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,10,738,,,,9.0,63.3,,,восточный,0.0,,,2.0
