timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) умеренный с перерывами,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,86.7,,,южный,,,1,,,,,,,,True,,,4.0,701,,,3.1,,,10.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,89.2,,2.6,южный,,,1,,,,0,,0,,True,,,4.0,702,,,2.6,,,10.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,69.5,,2.4,северный,,,1,,,,,,,,,,,20.0,703,,,7.1,,,9.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,38.3,,,северо-западный,,,2,,,,,,,,,,,20.0,703,,,11.2,,,9.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,37.5,,,западный,,,2,,,,,,,,,,,20.0,704,,,12.5,,,10.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,57.8,,,северо-западный,,13.3,1,,,,0,,,,,,,20.0,704,,,11.1,,,6.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,81.6,,,южный,,,1,,,,,,,,,,,10.0,706,,,5.6,,,2.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,72.0,,,южный,,,1,,,,,,,,,,,10.0,706,,,4.5,,,0.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,69.4,,,южный,,,2,,,,,,,,,,,10.0,705,,,4.0,,,0.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,66.9,,3.2,южный,,,1,,,,0,,0,,,,,50.0,705,,,4.0,,,4.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,41.2,,,западный,,,1,,,,,,,,,,,20.0,705,,,11.3,,,10.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,31.1,,,северо-западный,,,2,,,,,,,,,,,20.0,705,,,13.2,,,10.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,24.5,,,северо-западный,,,2,,,,,,,,,,,20.0,704,,,14.7,,,10.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,47.5,,,восточный,,15.0,2,,,,0,,,,,,,20.0,704,,,11.8,,,10.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,62.8,,,западный,,,1,,,,,,,,,,,10.0,704,,,9.0,,,10.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,69.2,,,,,,0,,,,,,,,,,,10.0,704,,,8.0,,,10.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,70.6,,,западный,,,1,,,,,,,,,,,10.0,704,,,7.6,,,10.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,88.0,,3.7,северо-западный,,,2,,,,1,,1,True,,,,4.0,706,,,3.8,,,10.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,91.0,,1.2,западный,,,2,,,,,,,,,,True,2.0,708,,,1.2,,,10.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,64.0,,,западный,,,2,,,,,,,,,,,10.0,709,,,4.2,,True,10.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,38.3,,,северо-западный,,,2,,,,,,,,,,,50.0,708,,,8.4,,True,7.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,42.0,,,северо-западный,,9.5,1,,,,5,,,,,,,50.0,709,,,7.8,,,1.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,46.1,,,западный,,,1,,,,,,,,,,,10.0,711,,,5.8,,,10.0,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,40.7,,,,,,0,,,,,,,,,,,10.0,712,,,2.5,,,2.0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,62.5,,,юго-восточный,,,1,,,,,,,,,,,10.0,711,,,-0.2,,,10.0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,62.2,,-1.4,,,,0,,,,0,,5,,,,,50.0,710,,,-1.3,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,26.1,,,северный,,,1,,,,,,,,,,,50.0,711,,,4.5,,,2.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,25.0,,,северный,,,2,,,,,,,,,,,50.0,710,,,7.6,,,1.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,22.2,,,северо-западный,,,3,,,,,,,,,,,50.0,709,,,9.0,,,2.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,32.8,,,северо-восточный,,10.0,2,,,,0,,,,,,,20.0,710,,,5.6,,,7.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,43.7,,,восточный,,,3,,,,,,,,,,,10.0,712,,,2.3,,,10.0,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,57.4,,,юго-западный,,,1,,,,,,,,,,,10.0,711,,,0.0,,,9.0,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,65.6,,,южный,,,1,,,,,,,,,,,10.0,711,,,-1.4,,,0.0,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,68.1,,-2.4,южный,,,1,,,,0,,0,,,,,50.0,711,,,-2.0,,,0.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,42.9,,,северо-восточный,,,1,,,,,,,,,,,50.0,710,,,4.3,,,0.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,29.0,,,западный,,,1,,,,,,,,,,,50.0,708,,,9.1,,,0.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,28.2,,,северный,,,2,,,,,,,,,,,50.0,706,,,10.9,,,0.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,,,,30.4,,,северо-западный,,11.5,2,,,,0,,,,,,,20.0,705,,,9.0,,,0.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,50.0,,,,,,0,,,,,,,,,,,10.0,704,,,4.1,,,0.0,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,58.0,,,,,,0,,,,,,,,,,,10.0,703,,,2.0,,,0.0,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,67.5,,,,,,0,,,,,,,,,,,10.0,703,,,0.0,,,0.0,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,63.5,,-0.5,южный,,,1,,,,0,,0,,,,,50.0,702,,,0.0,,,0.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,32.4,,,северный,,,1,,,,,,,,,,,50.0,702,,,10.1,,,0.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,27.6,,,северный,,,2,,,,,,,,,,,50.0,701,,,13.2,,,0.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,21.4,,,восточный,,,2,,,,,,,,,,,50.0,700,,,15.0,,,0.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,27.9,,,северный,,15.9,1,,,,0,,,,,,,50.0,701,,,11.3,,,0.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,50.8,,,южный,,,1,,,,,,,,,,,10.0,701,,,5.6,,,4.0,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,57.6,,,южный,,,1,,,,,,,,,,,10.0,701,,,3.7,,,2.0,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,61.7,,,южный,,,1,,,,,,,,,,,10.0,700,,,2.3,,,0.0,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,67.2,,0.7,южный,,,1,,,,0,,0,,,,,50.0,700,,,1.2,,,0.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,41.3,,,северо-западный,,,1,,,,,,,,,,,50.0,700,,,9.4,,,0.0,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,30.1,,,северный,,,1,,,,,,,,,,,50.0,699,,,13.5,,,2.0,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,36.2,,,северо-восточный,,,2,,,,,,,,,,,50.0,698,,,13.5,,,2.0,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,42.4,,,северо-восточный,,15.0,1,,,,0,,,,,,,20.0,698,,,11.0,,,2.0,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,63.5,,,,,,0,,,,,,,,,,,10.0,699,,,6.2,,,0.0,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,70.9,,,,,,0,,,,,,,,,,,10.0,698,,,4.1,,,0.0,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,76.5,,,,,,0,,,,,,,,,,,10.0,698,,,2.5,,,0.0,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,76.0,,1.8,южный,,,1,,,,0,,0,,,,,20.0,698,,,2.5,,,4.0,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,38.2,,,западный,,,2,,,,,,,,,,,50.0,699,,,11.9,,,2.0,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,27.0,,,северо-западный,,,3,,,,,,,,,,,20.0,698,,,14.6,,,4.0,
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,24.5,,,северо-западный,,,2,,,,,,,,,,,20.0,698,,,16.0,,,5.0,
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,,37.1,,,северо-восточный,,16.6,1,,,,0,,,,,,,20.0,699,,,12.8,,,10.0,
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,84.7,,,юго-восточный,,,1,,,,,,,True,,,,10.0,701,,,7.0,,,10.0,
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,88.8,,,западный,,,2,,,,,,,,,,,10.0,702,,True,5.0,,,10.0,
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,,,,,,88.5,,,восточный,,,1,,,,,,,,,,,4.0,703,,True,2.6,,,10.0,
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,,89.2,,2.3,южный,,,1,,,,15,,15,True,,,,10.0,703,,,2.5,,,10.0,
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,89.2,,,западный,,,3,,,,,,,True,,,,2.0,703,,,3.0,,,10.0,
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,True,,,,,83.6,,,западный,,,1,,,,,,,,,,,2.0,704,,,3.0,,,10.0,
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,64.1,,,южный,,,2,,,,,,,,,,,20.0,705,,,4.5,,True,10.0,
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,,,,,,60.0,,,юго-западный,,5.2,1,,,,2,,,,,,,20.0,705,,,4.7,,,10.0,
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,,True,,,,74.5,,,южный,,,1,,,,,,,,,,,10.0,706,,,3.4,,,10.0,
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,79.4,,,южный,,,1,,,,,,,,,,,10.0,706,,,2.7,,,9.0,
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,85.9,,,южный,,,1,,,,,,,,,,,10.0,706,,,1.3,,,9.0,
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,85.1,,-0.6,южный,,,1,,,,менее 0.1,,2,,,,,50.0,707,,,-0.1,,,1.0,
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,41.5,,,западный,,,1,,,,,,,,,,,50.0,707,,,7.0,,,2.0,
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,39.9,,,северный,,,2,,,,,,,,,,,20.0,706,,,9.9,,,1.0,
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,28.9,,,северный,,,1,,,,,,,,,,,20.0,704,,,11.7,,,1.0,
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,31.2,,,северо-восточный,,12.6,1,,,,0,,,,,,,20.0,704,,,10.3,,,0.0,
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,57.9,,,,,,0,,,,,,,,,,,10.0,704,,,5.2,,,0.0,
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,64.2,,,южный,,,1,,,,,,,,,,,10.0,704,,,3.2,,,0.0,
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,71.0,,,южный,,,1,,,,,,,,,,,10.0,703,,,1.8,,,0.0,
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,72.5,,0.3,,,,0,,,,0,,0,,,,,50.0,702,,,1.3,,,0.0,
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,38.7,,,северо-западный,,,1,,,,,,,,,,,50.0,702,,,10.9,,,0.0,
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,24.4,,,северо-западный,,,2,,,,,,,,,,,50.0,701,,,16.3,,,2.0,
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,21.0,,,северо-западный,,,2,,,,,,,,,,,50.0,700,,,18.9,,,5.0,
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,27.5,,,северный,,19.3,1,,,,0,,,,,,,20.0,700,,,15.6,,,9.0,
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,52.7,,,южный,,,1,,,,,,,,,,,10.0,700,,,9.7,,,7.0,
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,55.2,,,южный,,,1,,,,,,,,,,,10.0,700,,,7.6,,,2.0,
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,62.7,,,юго-восточный,,,1,,,,,,,,,,,10.0,700,,,4.7,,,2.0,
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,53.4,,3.7,юго-восточный,,,1,,,,0,,0,,,,,50.0,700,,,5.3,,,9.0,
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,16.3,,,северо-западный,,,1,,,,,,,,,,,50.0,699,,,19.2,,,5.0,
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,12.8,,,северный,,,2,,,,,,,,,,,20.0,696,,,23.2,,,5.0,
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,13.5,,,западный,,,2,,,,,,,,,,,20.0,695,,,23.1,,,6.0,
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,,15.8,,,юго-западный,,25.0,1,,,,0,,,,,,,20.0,695,,,20.9,,,9.0,
1586973600,"Среда, 15 апреля
18:00 (UTC)",,13.0,,,,,,31.5,,,западный,,,4,,,,,,,,,,,10.0,699,,,13.5,,,7.0,
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,49.8,,,,,,0,,,,,,,,,,,10.0,699,,,8.8,,,5.0,
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,59.9,,,северо-восточный,,,1,,,,,,,,,,,10.0,700,,,9.7,,,10.0,
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,True,,,,,90.0,,5.2,северный,,,1,,,,0.3,,0.3,,,,,4.0,700,,,5.3,,,10.0,
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,88.7,True,3.9,северо-восточный,,,1,,,,,,,,,,,1.0,701,,,4.1,,,10.0,
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,,,,,,88.6,True,,северо-западный,,,2,,,,,,,,,,,1.0,702,,,3.4,,,10.0,
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,,,,,,78.6,,,западный,,,1,,,,,,,,,,,4.0,702,,,4.9,,,10.0,
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,,,,,,65.9,,,северный,,7.3,1,,,,3,,,,,,,20.0,702,,,6.3,,,7.0,
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,72.7,,,,,,0,,,,,,,,,,,10.0,702,,,5.5,,,10.0,
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,86.6,,,южный,,,1,,,,,,,,,,,10.0,702,,,2.3,,,2.0,
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,87.8,,,южный,,,1,,,,,,,,,,,10.0,702,,,1.3,,,0.0,
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,,82.3,,0.8,южный,,,1,,,,0,,3,,,,,50.0,702,,,2.4,,,0.0,
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,43.9,,,,,,0,,,,,,,,,,,50.0,701,,,13.0,,,2.0,
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,24.9,,,северо-восточный,,,2,,,,,,,,,,,50.0,700,,,16.1,,,4.0,
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,25.1,,,восточный,,,1,,,,,,,,,,,50.0,699,,,17.6,,,5.0,
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,,24.1,,,северо-восточный,,18.3,1,,,,0,,,,,,,50.0,699,,,16.7,,,5.0,
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,50.8,,,южный,,,1,,,,,,,,,,,10.0,700,,,9.7,,,0.0,
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,49.9,,,южный,,,1,,,,,,,,,,,,699,,,9.1,,,0.0,
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,58.8,,,,,,0,,,,,,,,,,,10.0,700,,,6.9,,,9.0,
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,67.2,,4.8,,,,0,,,,0,,0,,,,,50.0,700,,,5.4,,,7.0,
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,39.4,,,северо-восточный,,,1,,,,,,,,,,,50.0,700,,,12.3,,,7.0,
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,40.5,,,северный,,,1,,,,,,,,,,,20.0,700,,,13.0,,,10.0,
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,35.4,,,северо-западный,,,1,,,,,,,,,,,20.0,700,,,15.3,,,9.0,
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,,34.3,,,северный,,16.3,1,,,,0,,,,,,,20.0,700,,,14.9,,,6.0,
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,57.4,,,южный,,,1,,,,,,,,,,,10.0,701,,,9.7,,,5.0,
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,63.5,,,южный,,,1,,,,,,,,,,,10.0,700,,,7.9,,,5.0,
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,60.8,,,южный,,,1,,,,,,,,,,,10.0,700,,,7.8,,,0.0,
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,62.0,,6.3,южный,,,2,,,,0,,0,,,,,20.0,700,,,7.2,,,7.0,
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,43.8,,,северо-западный,,,2,,,,,,,,,,,20.0,700,,,13.8,,,7.0,
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,30.9,,,северо-западный,,,1,,,,,,,,,,,20.0,700,,,17.9,,,2.0,
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,21.8,,,северо-западный,,,2,,,,,,,,,,,20.0,699,,,19.7,,,5.0,
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,30.1,,,восточный,,21.0,2,,,,0,,,,,,,20.0,699,,,18.2,,,5.0,
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,54.9,,,юго-восточный,,,1,,,,,,,,,,,10.0,700,,,12.1,,,0.0,
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,61.1,,,южный,,,1,,,,,,,,,,,10.0,700,,,9.2,,,0.0,
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,60.8,,,южный,,,1,,,,,,,,,,,10.0,700,,,8.1,,,0.0,
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,66.0,,5.3,юго-восточный,,,1,,,,0,,0,,,,,50.0,699,,,6.8,,,2.0,
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,46.7,,,северный,,,2,,,,,,,,,,,50.0,698,,,14.9,,,9.0,
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,42.6,,,северо-восточный,,,1,,,,,,,,,,,20.0,696,,,17.1,,,9.0,
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,39.1,,,северо-западный,,,3,,,,,,,,,,,20.0,695,,,19.9,,,7.0,
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,,,,,,41.2,,,западный,,21.4,1,,,,0,,,,,,,20.0,694,,,18.2,,,7.0,
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,,,,,,56.1,,,южный,,,1,,,,,,,,,,,10.0,695,,,13.9,,,10.0,
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,10.0,,,,,,68.9,,,северо-западный,,,2,,,,,,,,,,,10.0,698,,,9.2,,,10.0,
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,,,,,,82.3,,,юго-восточный,,,1,,,,,,,,,,,10.0,699,,,6.9,,,10.0,
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,,,,,,85.9,,6.4,восточный,,,1,,,,0.8,,0.8,,,,,4.0,699,,,7.0,,,10.0,
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,,,,True,,89.9,,3.9,западный,,,3,,,,,,,,,,,2.0,700,,,4.0,,,10.0,
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,True,,,,,89.9,,,северо-западный,,,2,,,,,,,,,,,2.0,700,,,3.2,,,10.0,
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,89.3,,,северо-западный,,,1,,,,,,,,True,,,1.0,701,,,3.7,,,10.0,
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,80.9,,,западный,,7.4,1,,,,3,,,,True,,,2.0,701,,,4.7,,,10.0,
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,83.2,,,южный,,,1,,,,,,,,,,,10.0,702,,,4.8,,,10.0,
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,83.2,,,южный,,,1,,,,,,,,,,,10.0,701,,,4.6,,,10.0,
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,83.2,,,южный,,,1,,,,,,,,,,,10.0,700,,,4.4,,,10.0,
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,,83.7,,3.4,западный,,,1,,,,1,,4,True,,,,2.0,700,,,3.5,,,10.0,
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,,,,86.1,,3.2,северо-западный,,,1,,,,,,,True,,,,2.0,701,,,3.3,,,10.0,
1587546000,"Среда, 22 апреля
09:00 (UTC)",,,True,,,,,89.2,,,северо-западный,,,1,,,,,,,,,,,2.0,701,,,3.1,,,10.0,
