timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C",Дождь со снегом (ледяной дождь),"Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Снег умеренный непрерывный,"Температура воздуха, °C",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности
1586358000,"Среда, 8 апреля
15:00 (UTC)",,12.0,,,,,,,,19.1,,,,северо-западный,,17.8,,6,,,0,,,,,,,10.0,743,,15.7,,,,7.0
1586368800,"Среда, 8 апреля
18:00 (UTC)",,10.0,,,,,,,,49.3,,,,юго-западный,,,,2,,,,,,,,,,10.0,744,,9.7,,,,9.0
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,61.7,,,,юго-западный,,,,2,,,,,,,,,,10.0,745,,6.1,,,,2.0
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,75.5,,,,юго-западный,,,,2,,,,,,,,,,10.0,745,,2.9,,,,7.0
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,82.8,,,1.0,юго-западный,,,,1,,,0,,,,0,,,10.0,746,,1.2,,,,10.0
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,57.6,,,,северо-восточный,,,,2,,,,,,,,,,10.0,747,,8.7,,,,6.0
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,32.7,,,,юго-западный,,,,2,,,,,,,,,,10.0,746,,16.1,,,,2.0
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,26.4,,,,западный,,,,2,,,,,,,,,,10.0,746,,18.1,,,,7.0
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,31.5,,,,юго-западный,,18.1,,2,,,0,,,,,,,10.0,745,,15.4,,,,7.0
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,46.8,,,,юго-западный,,,,2,,,,,,,,,,10.0,745,,9.4,,,,4.0
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,45.5,,,,юго-западный,,,,2,,,,,,,,,,10.0,745,,8.4,,,,2.0
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,47.0,,,,южный,,,,2,,,,,,,,,,10.0,744,,6.4,,,,7.0
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,50.4,,,5.5,южный,,,,3,,,0,,,,0,,,10.0,744,,5.7,,,,6.0
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,44.0,,,,юго-западный,,,,2,,,,,,,,,,10.0,743,,10.1,,,,10.0
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,13.0,,,,,,,,35.2,,,,южный,,,,6,,,,,,,,,,10.0,743,,14.6,,,,10.0
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,14.0,,,,,,,,32.4,,,,юго-западный,,,,6,,,,,,,,,,10.0,742,,16.0,,,,10.0
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,14.0,,,True,,,,,38.4,,,,южный,,16.4,,5,,,менее 0.1,,,,,,,10.0,741,,13.4,,,,10.0
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,10.0,True,,,,,,,47.8,,,,южный,,,,4,,,,,,,,,,4.0,742,,11.6,,,,10.0
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,10.0,,,,,,,,51.3,,,,южный,,,,4,,,,,,,,,,10.0,741,,10.0,,,True,10.0
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,True,,,,,,,73.6,,,,южный,,,,3,,,,,,,,,,4.0,740,,7.3,,,,10.0
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,True,,,,,,,80.0,,,6.8,юго-западный,,,,1,,,0.9,,,,0.9,,,4.0,740,,6.8,,,,10.0
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,True,,,,,,,93.9,,,4.2,северный,,,,2,,,,,,,,,,4.0,740,,4.2,,,,10.0
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,True,,,,,,,95.1,,,,северный,,,,2,,,,,,,,,,4.0,740,,2.5,,,,10.0
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,97.2,,,,северный,,,,2,,,,,,,,,,4.0,740,,0.6,,True,,10.0
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,10.0,,,,,,,,100.0,,,,северный,,6.8,,4,,,16,,,,,,,2.0,740,True,-0.2,,,,10.0
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,12.0,,,,,,,,100.0,,,,северный,,,,5,,,,,,,,,,1.0,740,True,-0.6,,,,10.0
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,14.0,,,,,,,,100.0,,,,северный,,,,6,,,,,,,,,,1.0,739,,-0.5,True,,,10.0
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,14.0,,,,,,,,100.0,,,,северный,,,,5,,,,,,,,,,1.0,738,,-0.6,True,,,10.0
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,17.0,,,,,,,,100.0,,,-1.3,северный,,,,7,,,19,,21.0,,35,,,1.0,738,,-1.2,True,,,10.0
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,18.0,,,,,,,,100.0,,,-1.3,северный,,,,7,,,,,,,,,,1.0,739,,-1.3,True,,,10.0
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,17.0,,,,,,,,100.0,,,,северный,,,,6,,,,,,,,,,1.0,740,,-1.0,True,,,10.0
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,16.0,,,,,,,,100.0,,,,северный,,,,8,,,,,,,,,,4.0,741,,-0.3,,True,,10.0
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,17.0,,,,,,,,64.5,,,,северный,,2.3,,6,,,11,,,,,,,10.0,742,,2.3,,,True,10.0
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,15.0,,,,,,,,57.8,,,,северный,,,,4,,,,,,,,,,10.0,743,,1.4,,,True,10.0
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,11.0,,,,,,,,52.7,,,,северо-западный,,,,4,,,,,,,,,,10.0,744,,0.0,,,,0.0
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,51.2,,,,северо-западный,,,,3,,,,,,,,,,10.0,744,,-1.2,,,,0.0
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,,,,60.6,,,-4.2,западный,,,,2,,,0,,19.0,,11,,,10.0,745,,-3.8,,,,0.0
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,37.5,,,,северо-западный,,,,4,,,,,,,,,,10.0,746,,1.9,,,,0.0
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,10.0,,,,,,,,31.0,,,,северо-западный,,,,4,,,,,,,,,,10.0,746,,4.7,,,,0.0
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,27.1,,,,западный,,,,2,,,,,,,,,,10.0,745,,7.2,,,,2.0
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,,,,,,,,29.2,,,,южный,,8.6,,1,,,0,,,,,,,10.0,744,,7.3,,,,6.0
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,,,,,,,,54.7,,,,восточный,,,,1,,,,,,,,,,10.0,745,,2.4,,,,2.0
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,55.4,,,,юго-восточный,,,,1,,,,,,,,,,10.0,744,,3.5,,,,7.0
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,58.4,,,,юго-восточный,,,,2,,,,,,,,,,10.0,743,,3.6,,,,10.0
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,,,,66.9,,,1.6,юго-восточный,,,,2,,,0,,12.0,,0,,,10.0,743,,2.0,,,,6.0
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,50.8,,,,восточный,,,,1,,,,,,,,,,10.0,743,,7.1,,,,7.0
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,46.9,,,,южный,,,,3,,,,,,,,,,10.0,742,,10.8,,,,7.0
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,,,,,,,,45.3,,,,юго-восточный,,,,3,,,,,,,,,,10.0,741,,13.4,,,,9.0
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,,,,,,,,50.6,,,,юго-западный,,14.3,,2,,,0,,,,,,,10.0,741,,11.5,,,,9.0
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,54.1,,,,южный,,,,3,,,,,,,,,,10.0,741,,9.1,,,,2.0
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,55.7,,,,южный,,,,2,,,,,,,,,,10.0,741,,7.9,,,,0.0
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,56.4,,,,юго-восточный,,,,2,,,,,,,,,,10.0,740,,5.6,,,,0.0
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,,,,45.4,,,4.3,южный,,,,4,,,0,,1.0,,0,,,10.0,738,,6.9,,,,10.0
1586930400,"Среда, 15 апреля
06:00 (UTC)",,10.0,,,,,,,,48.7,,,,южный,,,,4,,,,,,,,,,10.0,737,,7.5,,,,10.0
1586941200,"Среда, 15 апреля
09:00 (UTC)",,12.0,True,,,,,,,68.6,,,,южный,,,,5,,,,,,,,,,10.0,735,,7.4,,,,10.0
1586952000,"Среда, 15 апреля
12:00 (UTC)",,14.0,True,,,,,,,93.4,,,,юго-западный,,,,5,,,,,,,,,,4.0,733,,7.3,,,,10.0
1586962800,"Среда, 15 апреля
15:00 (UTC)",,12.0,True,,,,,,,93.1,,,,западный,,9.5,,4,,,6,,,,,,,4.0,735,,1.6,,,,10.0
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,87.7,,,,юго-западный,,,,3,,,,,,,,,,10.0,737,,0.6,,,True,10.0
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,87.8,,,,юго-западный,,,,4,,,,,,,,,,10.0,738,,0.9,,,,7.0
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,,,,,,,,93.6,,,,юго-западный,,,,4,,,,,,,,,,10.0,738,,-0.7,,,,0.0
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,,,,,,,,88.3,,,-1.0,юго-западный,,,,3,,,менее 0.1,,,,6,,,10.0,738,,-0.1,,,,4.0
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,80.5,,,,юго-западный,,,,5,,,,,,,,,,10.0,738,,2.1,,,,10.0
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,12.0,,,,,,,,70.0,,True,,юго-западный,,,,6,,,,,,,,,,10.0,737,,4.9,,,,10.0
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,12.0,,,,,,,,62.1,,,,юго-западный,,,,5,True,,,,,,,,,10.0,736,,5.9,,,,10.0
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,14.0,,,,,,,,67.6,,,,юго-западный,,6.0,,2,,,менее 0.1,,,,,,,10.0,734,,5.2,,,,10.0
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,11.0,True,,,,,,,89.2,,,,южный,,,,4,,,,,,,,,,4.0,733,,3.2,,,,10.0
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,11.0,,,,,,,,84.4,,,,южный,,,,6,,,,,,,,,,10.0,730,,4.6,,,True,10.0
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,11.0,True,,,,,,,91.3,,,,юго-западный,,,,6,,,,,,,,,,4.0,727,,4.6,,,,10.0
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,10.0,,,,,,,,90.0,,,3.0,западный,,,,4,,,4,,,,4,,,10.0,728,,4.6,,,True,10.0
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,10.0,,,True,,,,,79.9,,,,западный,,,,5,,,,,,,,,,10.0,729,,5.8,,,,10.0
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,14.0,,,True,,,,,75.2,,,,западный,,,,6,,,,,,,,,,10.0,730,,7.2,,,,7.0
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,14.0,,,True,,,,,73.7,,,,западный,,,,5,,,,,,,,,,10.0,733,,5.2,,,,10.0
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,12.0,,,,,,,,58.9,,,,западный,,7.4,,5,,,1,,,,,,,10.0,735,,5.5,,,True,7.0
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,74.0,,,,западный,,,,5,,,,,,,,,,10.0,736,,3.8,,,True,7.0
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,77.7,,,,западный,,,,3,,,,,,,,,,10.0,736,,2.8,,,,10.0
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,82.2,,,,юго-западный,,,,3,,,,,,,,,,10.0,737,,1.5,,,,7.0
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,,,,89.6,,,-0.2,юго-западный,,,,2,,,0,,,,1,,,10.0,737,,0.3,,,,7.0
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,72.6,,,,западный,,,,4,,,,,,,,,,10.0,738,,4.5,,,,4.0
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,11.0,,,True,,,,,47.3,,,,западный,,,,6,,,,,,,,,,10.0,739,,7.5,,,,7.0
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,10.0,,,,,,,,57.6,,,,юго-западный,,,,5,,,,,,,,,,10.0,740,,7.2,,,True,6.0
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,10.0,,,,,,,,65.8,,,,западный,,8.1,,2,,,менее 0.1,,,,,,,10.0,741,,5.8,,,,6.0
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,True,,,,78.2,,,,юго-западный,,,,2,,,,,,,,,,10.0,742,,2.2,,,,2.0
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,85.7,,,,юго-западный,,,,1,,,,,,,,,,10.0,743,,-0.6,,,,0.0
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,85.7,,,,западный,,,,2,,,,,,,,,,10.0,744,,-0.4,,,,2.0
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,,,,,,,76.2,,,-1.1,юго-западный,,,,2,,,менее 0.1,,,,менее 0.1,,,10.0,745,,0.4,,,,2.0
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,56.5,,,,юго-западный,,,,4,,,,,,,,,,10.0,745,,6.2,,,,4.0
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,10.0,,,,,,,,43.2,,,,юго-западный,,,,3,,,,,,,,,,10.0,746,,7.3,,,,10.0
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,True,,,,,39.8,,,,юго-западный,,,,4,,,,,,,,,,10.0,745,,8.7,,,,10.0
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,,,,40.7,,,,юго-западный,,9.3,,2,,,менее 0.1,,,,,,,10.0,745,,8.5,,,,10.0
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,55.2,,,,южный,,,,1,,,,,,,,,,10.0,746,,6.0,,,,10.0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,66.4,,,,юго-западный,,,,1,,,,,,,,,,10.0,746,,4.2,,,,10.0
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,72.8,,,,юго-восточный,,,,2,,,,,,,,,,10.0,746,,3.2,,,,5.0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,,,,85.8,,,0.0,северный,,,,1,,,0,,,,менее 0.1,,,10.0,745,,0.2,,,,6.0
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,59.8,,,,восточный,,,,1,,,,,,,,,,10.0,745,,7.4,,,,4.0
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,38.1,,,,восточный,,,,1,,,,,,,,,,10.0,745,,9.8,,,,10.0
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,,,,,,,,35.0,,,,юго-восточный,,,,3,,,,,,,,,,10.0,744,,10.5,,,,10.0
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,True,,,,,,,55.3,,,,юго-восточный,,10.8,,3,,,менее 0.1,,,,,,,4.0,743,,7.9,,,,10.0
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,True,,,,,,,84.5,,,,северо-восточный,,,,4,,,,,,,,,,4.0,742,,5.1,,,,10.0
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,11.0,True,,,,,,,90.6,,,,северо-восточный,,,,4,,,,,,,,,,4.0,739,,4.2,,,,10.0
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,11.0,True,,,,,,,91.2,,,,северо-восточный,,,,4,,,,,,,,,,4.0,737,,3.7,,,,10.0
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,10.0,True,,,,,,,93.8,,,2.3,северо-восточный,,,,4,,,8,,,,8,,,4.0,735,,2.3,,,,10.0
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,True,,,,,,,95.8,,,1.6,северо-восточный,,,,2,,,,,,,,,,4.0,735,,2.1,,,,10.0
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,True,,,,,,,92.5,,,,южный,,,,2,,,,,,,,,,4.0,734,,3.0,,,,10.0
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,76.9,,,,,,,,0,,,,,,,,,,10.0,734,,4.6,,,True,10.0
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,,,,93.7,,,,южный,,4.6,,1,,,4,,,,,,,4.0,734,,1.3,,True,,10.0
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,98.6,,,,,,,,0,,,,,,,,,,4.0,734,,0.1,,True,,10.0
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,,,,,,99.3,,,,,,,,0,,,,,,,,,,4.0,733,,0.3,,True,,10.0
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,True,,,,,,,95.8,,,,западный,,,,3,,,,,,,,,,4.0,732,,1.0,,,,10.0
1587524400,"Среда, 22 апреля
03:00 (UTC)",,10.0,True,,,,,,,91.1,,,0.0,северо-западный,,,,5,,,9,,2.0,,13,,,4.0,732,,1.9,,,,10.0
1587535200,"Среда, 22 апреля
06:00 (UTC)",,11.0,True,,,,,,,91.1,,,0.5,северо-западный,,,,5,,,,,,,,,,4.0,732,,2.0,,,,10.0
