timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм",Ливневой дождь очень сильный,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,,35.6,,,,северо-западный,,,3,,,,,,,10.0,745,,,6.2,,,7.0,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,,,,,,,,,,34.9,,,,западный,,,2,,,,,,,10.0,745,,,7.5,,,6.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,43.6,,,,юго-западный,,,2,,,,,,,10.0,745,,,6.6,,,7.0,
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,,,,,,,,,,49.2,,,,юго-западный,,,2,,,,,,,10.0,746,,,6.6,,,9.0,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,,,,,,,,,,43.0,,,,западный,,,2,,,,,,,10.0,746,,,7.7,,,7.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,11.0,,,,,,,,84.2,,True,,,,,0,,,,,,,10.0,747,,,2.8,,,10.0,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,,,,,,,,,,51.6,,,,западный,,,1,,,,,,,10.0,747,,,7.3,,,7.0,
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,,24.1,,,,западный,,,2,,,,,,,10.0,747,,,8.0,,,6.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,26.0,,,,северо-западный,,,2,,1,,,,,10.0,748,,,7.1,,,7.0,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,,,,,,,,,,31.1,,,,северо-западный,,,2,,,,,,,10.0,749,,,6.0,,,6.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,52.7,,,,,,8.0,0,,1,,,,,,750,,,2.9,,,0.0,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,,,,,,,,,,55.5,,,,западный,,,1,,,,,,,,751,,,2.4,,,,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,,,,,,,,,,62.8,,,,,,,0,,,,,,,,751,,,1.3,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,60.5,,,,,,,0,,,,,,,,751,,,1.4,,,0.0,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,,63.7,,,,,,,0,,,,,,,,752,,,0.8,,,,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,,70.1,,,,западный,,,1,,,,,,,,752,,,0.2,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,71.2,,,,западный,,,1,,,,,,,,752,,,0.1,,,0.0,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,,81.3,,,,,,,0,,,,,,,,752,,,-1.1,,,,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,,81.3,,,,,,,0,,,,,,,,752,,,-1.1,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,77.2,,,-1.7,,,,0,,0,,1,,,10.0,752,,,-0.5,,,7.0,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,,75.6,,,,,,,0,,,,,,,10.0,752,,,0.1,,,9.0,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,,71.9,,,,западный,,,1,,,,,,,10.0,752,,,1.2,,,7.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,68.9,,,-1.7,западный,,,1,,0,,,,,10.0,752,,,1.9,,,9.0,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,,60.0,,,,западный,,,2,,,,,,,10.0,752,,,2.9,,,10.0,True
1586073600,"Воскресенье, 5 апреля
08:00 (UTC)",,,,,,True,,,,,58.0,,,,западный,,,1,,,,,,,10.0,752,,,3.9,,,7.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,44.0,,,,западный,,,2,,,,,,,10.0,752,,,4.6,,True,9.0,
1586080800,"Воскресенье, 5 апреля
10:00 (UTC)",,,,,,,,,,,43.0,,,,западный,,,1,,,,,,,10.0,752,,,3.6,,,7.0,
1586084400,"Воскресенье, 5 апреля
11:00 (UTC)",,,,,,True,,,,,43.2,,,,северо-западный,,,3,,,,,,,10.0,753,,,3.1,,,9.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,11.0,,,,,,,,37.8,,,,северо-западный,,,2,,,,,,,10.0,753,,,3.9,,,9.0,True
1586091600,"Воскресенье, 5 апреля
13:00 (UTC)",,,,,,,,,,,27.5,,,,северо-западный,,,3,,,,,,,10.0,753,,,4.2,,,7.0,
1586095200,"Воскресенье, 5 апреля
14:00 (UTC)",,,,,,,,,,,51.8,,,,северный,,,4,,,,,,,10.0,754,,,2.5,,,5.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,14.0,,,,,,,,38.8,,,,северо-западный,,,3,,менее 0.1,,,,,10.0,754,,,3.4,,True,6.0,
1586102400,"Воскресенье, 5 апреля
16:00 (UTC)",,,,,,,,,,,41.1,,,,северо-западный,,,2,,,,,,,10.0,754,,,2.7,,,2.0,
1586106000,"Воскресенье, 5 апреля
17:00 (UTC)",,,,,,,,,,,40.9,,,,северо-западный,,,2,,,,,,,,755,,,2.1,,,0.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,10.0,,,,,,,,46.1,,,,северо-западный,,5.0,2,,менее 0.1,,,,,,755,,,1.1,,True,2.0,
1586113200,"Воскресенье, 5 апреля
19:00 (UTC)",,,,,,,,,,,53.7,,,,северо-западный,,,1,,,,,,,,755,,,0.5,,,,
1586116800,"Воскресенье, 5 апреля
20:00 (UTC)",,,,,,,,,,,60.5,,,,западный,,,1,,,,,,,,755,,,-0.5,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,53.2,,,,северо-западный,,,1,,,,,,,,756,,,0.0,,,2.0,
1586124000,"Воскресенье, 5 апреля
22:00 (UTC)",,,,,,,,,,,50.3,,,,северо-западный,,,2,,,,,,,,756,,,0.0,,,,
1586127600,"Воскресенье, 5 апреля
23:00 (UTC)",,,,,,,,,,,52.2,,,,северо-западный,,,2,,,,,,,,756,,,-0.5,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,50.9,,,,северо-западный,,,2,,,,,,,,756,,,-0.9,,,0.0,
1586134800,"Понедельник, 6 апреля
01:00 (UTC)",,,,,,,,,,,49.2,,,,северо-западный,,,2,,,,,,,,757,,,-1.3,,,,
1586138400,"Понедельник, 6 апреля
02:00 (UTC)",,,,,,,,,,,47.9,,,,северо-западный,,,2,,,,,,,,757,,,-1.5,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,51.0,,,-1.9,северо-западный,,,2,,0,,менее 0.1,,,10.0,758,,,-1.8,,,0.0,
1586145600,"Понедельник, 6 апреля
04:00 (UTC)",,,,,,,,,,,51.8,,,,северо-западный,,,2,,,,,,,10.0,758,,,-1.7,,,0.0,
1586149200,"Понедельник, 6 апреля
05:00 (UTC)",,,,,,,,,,,47.5,,,,северный,,,2,,,,,,,10.0,758,,,-0.4,,,7.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,43.5,,,-1.9,северо-западный,,,3,,0,,,,,10.0,759,,,0.6,,,9.0,
1586156400,"Понедельник, 6 апреля
07:00 (UTC)",,,,,,,,,,,40.0,,,,северный,,,3,,,,,,,10.0,759,,,1.2,,,10.0,
1586160000,"Понедельник, 6 апреля
08:00 (UTC)",,,,,,,,,,,36.6,,,,северо-западный,,,3,,,,,,,10.0,759,,,2.0,,,7.0,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,29.3,,,,северный,,,5,,,,,,,10.0,759,,,2.4,,,7.0,
1586167200,"Понедельник, 6 апреля
10:00 (UTC)",,,,,,,,,,,28.4,,,,северо-западный,,,3,,,,,,,10.0,759,,,3.2,,,9.0,
1586170800,"Понедельник, 6 апреля
11:00 (UTC)",,,,,,,,,,,27.6,,,,северный,,,3,,,,,,,10.0,759,,,3.5,,,10.0,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,10.0,,,,,,,,28.5,,,,северный,,,3,,,,,,,10.0,759,,,3.6,,,10.0,
1586178000,"Понедельник, 6 апреля
13:00 (UTC)",,,,,,,,,,,28.0,,,,северо-западный,,,3,,,,,,,10.0,759,,,3.6,,,10.0,
1586181600,"Понедельник, 6 апреля
14:00 (UTC)",,,,,,,,,,,30.4,,,,северный,,,2,,,,,,,10.0,759,,,3.5,,,10.0,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,34.3,,,,северо-западный,,,2,,0,,,,,10.0,759,,,2.8,,,10.0,
1586188800,"Понедельник, 6 апреля
16:00 (UTC)",,,,,,,,,,,38.6,,,,северный,,,2,,,,,,,10.0,759,,,2.6,,,10.0,
1586192400,"Понедельник, 6 апреля
17:00 (UTC)",,,,,,,,,,,38.5,,,,северный,,,1,,,,,,,,760,,,2.3,,,10.0,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,39.4,,,,северный,,3.8,1,,0,,,,,,760,,,2.1,,,7.0,
1586199600,"Понедельник, 6 апреля
19:00 (UTC)",,,,,,,,,,,41.1,,,,северный,,,1,,,,,,,,760,,,1.6,,,,
1586203200,"Понедельник, 6 апреля
20:00 (UTC)",,,,,,,,,,,50.0,,,,,,,0,,,,,,,,761,,,0.1,,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,58.2,,,,,,,0,,,,,,,,761,,,-2.1,,,0.0,
1586210400,"Понедельник, 6 апреля
22:00 (UTC)",,,,,,,,,,,61.8,,,,,,,0,,,,,,,,762,,,-2.9,,,,
1586214000,"Понедельник, 6 апреля
23:00 (UTC)",,,,,,,,,,,62.7,,,,,,,0,,,,,,,,762,,,-3.3,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,67.6,,,,,,,0,,,,,,,,762,,,-4.3,,,0.0,
1586221200,"Вторник, 7 апреля
01:00 (UTC)",,,,,,,,,,,73.6,,,,,,,0,,,,,,,,762,,,-4.6,,,,
1586224800,"Вторник, 7 апреля
02:00 (UTC)",,,,,,,,,,,80.6,,,,,,,0,,,,,,,,763,,,-5.7,,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,78.2,,,-5.7,,,,0,,0,,0,,,10.0,763,,,-5.4,,,0.0,
1586235600,"Вторник, 7 апреля
05:00 (UTC)",,,,,,,,,,,35.8,,,,южный,,,1,,,,,,,10.0,763,,,2.3,,,0.0,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,29.4,,,-5.7,западный,,,1,,0,,,,,10.0,763,,,3.5,,,2.0,
1586242800,"Вторник, 7 апреля
07:00 (UTC)",,,,,,,,,,,29.9,,,,западный,,,2,,,,,,,10.0,763,,,4.4,,,6.0,
1586246400,"Вторник, 7 апреля
08:00 (UTC)",,,,,,,,,,,28.8,,,,западный,,,1,,,,,,,10.0,762,,,5.4,,,9.0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,31.4,,,,западный,,,1,,,,,,,10.0,762,,,5.1,,,10.0,
1586253600,"Вторник, 7 апреля
10:00 (UTC)",,,,,,,,,,,34.3,,,,юго-западный,,,1,,,,,,,10.0,761,,,5.3,,,10.0,
1586257200,"Вторник, 7 апреля
11:00 (UTC)",,,,,,,,,,,35.9,,,,южный,,,1,,,,,,,10.0,760,,,6.3,,,10.0,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,35.9,,,,юго-западный,,,1,,,,,,,10.0,760,,,8.1,,,2.0,
1586264400,"Вторник, 7 апреля
13:00 (UTC)",,,,,,,,,,,39.1,,,,западный,,,2,,,,,,,10.0,759,,,9.3,,,4.0,
1586268000,"Вторник, 7 апреля
14:00 (UTC)",,,,,,,,,,,38.8,,,,южный,,,1,,,,,,,10.0,758,,,10.2,,,4.0,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,41.1,,,,южный,,,1,,0,,,,,10.0,757,,,9.9,,,7.0,
1586278800,"Вторник, 7 апреля
17:00 (UTC)",,,,,,,,,,,49.2,,,,,,,0,,,,,,,,755,,,7.9,,,4.0,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,57.3,,,,,,10.4,0,,0,,,,,,754,,,6.1,,,2.0,
1586286000,"Вторник, 7 апреля
19:00 (UTC)",,,,,,,,,,,51.9,,,,юго-западный,,,1,,,,,,,,754,,,8.3,,,,
1586289600,"Вторник, 7 апреля
20:00 (UTC)",,,,,,,,,,,54.0,,,,,,,0,,,,,,,,753,,,7.6,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,50.8,,,,западный,,,1,,,,,,,,752,,,8.2,,,0.0,
1586296800,"Вторник, 7 апреля
22:00 (UTC)",,,,,,,,,,,45.3,,,,западный,,,2,,,,,,,,751,,,8.9,,,,
1586300400,"Вторник, 7 апреля
23:00 (UTC)",,,,,,,,,,,46.1,,,,западный,,,1,,,,,,,,750,,,8.2,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,48.3,,,,юго-западный,,,1,,,,,,,,750,,,7.3,,,2.0,
1586307600,"Среда, 8 апреля
01:00 (UTC)",,,,,,,,,,,47.2,,,,,,,0,,,,,,,,749,,,7.3,,,,
1586311200,"Среда, 8 апреля
02:00 (UTC)",,,,,,,,,,,49.2,,,,западный,,,1,,,,,,,,748,,,6.5,,,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,48.0,,,6.1,,,,0,,0,,0,,,10.0,747,,,6.4,,,4.0,
1586318400,"Среда, 8 апреля
04:00 (UTC)",,,,,,,,,,,44.2,,,,западный,,,2,,,,,,,10.0,747,,,7.4,,,9.0,
1586322000,"Среда, 8 апреля
05:00 (UTC)",,,,,,,,,,,43.3,,,,западный,,,1,,,,,,,10.0,746,,,7.7,,,9.0,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,42.5,,,6.1,западный,,,1,,0,,,,,10.0,746,,,8.4,,,9.0,
1586329200,"Среда, 8 апреля
07:00 (UTC)",,,,,,,,,,,40.7,,,,северо-западный,,,1,,,,,,,10.0,747,,,9.6,,,10.0,
1586332800,"Среда, 8 апреля
08:00 (UTC)",,,,,,,,,,,40.9,,,,северо-западный,,,1,,,,,,,10.0,747,,,11.1,,,10.0,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,42.9,,,,северо-западный,,,2,,,,,,,10.0,747,,,11.9,,,10.0,
1586340000,"Среда, 8 апреля
10:00 (UTC)",,,,,,,,,,,77.1,,,,северо-западный,,,1,,,,,True,,4.0,748,,,9.1,,,10.0,
1586343600,"Среда, 8 апреля
11:00 (UTC)",,,,,,,True,,,,69.5,,,,северо-западный,,,2,,,,,,,10.0,748,,,11.7,,,6.0,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,58.5,,,,северо-западный,,,2,,,,,,,10.0,748,,,12.5,,True,6.0,
1586350800,"Среда, 8 апреля
13:00 (UTC)",,,,,,,,,,,57.2,,,,северо-западный,,,2,,,,,,,10.0,748,,,11.8,,,10.0,
1586354400,"Среда, 8 апреля
14:00 (UTC)",,,,,,,,,,,60.0,,,,северо-западный,,,2,,,,,,,10.0,749,,,11.5,,,10.0,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,10.0,,,,,,,,60.3,,,,северо-западный,,,2,,0.5,,,,,10.0,749,,,11.2,,,10.0,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,10.0,,,,,,,,62.8,,,,северо-западный,,12.6,2,,0.5,,,,,,750,,,8.9,,,4.0,
1586372400,"Среда, 8 апреля
19:00 (UTC)",,,,,,,,,,,66.7,,,,северо-западный,,,2,,,,,,,,750,,,7.8,,,,
1586376000,"Среда, 8 апреля
20:00 (UTC)",,,,,,,,,,,70.9,,,,северо-западный,,,1,,,,,,,,750,,,6.8,,,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,79.2,,,,,,,0,,,,,,,,750,,,5.0,,,0.0,
1586383200,"Среда, 8 апреля
22:00 (UTC)",,,,,,,,,,,81.4,,,,,,,0,,,,,,,,750,,,4.3,,,,
1586386800,"Среда, 8 апреля
23:00 (UTC)",,,,,,,,,,,83.7,,,,,,,0,,,,,,,,750,,,3.7,,,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,87.9,,,,,,,0,,,,,,True,,750,,,2.7,,,10.0,
1586394000,"Четверг, 9 апреля
01:00 (UTC)",,,,,,,,,,,89.8,,,,,,,0,,,,,,,,750,,,2.2,,,,
1586397600,"Четверг, 9 апреля
02:00 (UTC)",,,,,,,,,,,93.7,,,,,,,0,,,,,,,,750,,,0.8,,,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,96.4,,,0.0,,,,0,,0,,0.5,,True,4.0,749,,,0.1,,,4.0,
1586404800,"Четверг, 9 апреля
04:00 (UTC)",,,,,,,,,,,100.0,,,,,,,0,,,,,,True,4.0,749,,,1.0,,,2.0,
1586408400,"Четверг, 9 апреля
05:00 (UTC)",,,,,,,,,,,67.0,,,,юго-западный,,,1,,,,,,True,10.0,749,,,6.9,,,0.0,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,52.9,,,0.0,юго-западный,,,1,,0,,,,,10.0,749,,,9.2,,,2.0,
1586415600,"Четверг, 9 апреля
07:00 (UTC)",,,,,,,,,,,43.5,,,,юго-западный,,,1,,,,,,,10.0,748,,,11.7,,,0.0,
1586419200,"Четверг, 9 апреля
08:00 (UTC)",,,,,,,,,,,36.0,,,,западный,,,2,,,,,,,10.0,748,,,12.9,,,0.0,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,35.2,,,,юго-западный,,,1,,,,,,,10.0,747,,,13.8,,,2.0,
1586426400,"Четверг, 9 апреля
10:00 (UTC)",,,,,,,,,,,31.1,,,,западный,,,2,,,,,,,10.0,746,,,14.7,,,4.0,
1586430000,"Четверг, 9 апреля
11:00 (UTC)",,,,,,,,,,,30.2,,,,южный,,,1,,,,,,,10.0,746,,,15.3,,,4.0,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,30.0,,,,юго-западный,,,1,,,,,,,10.0,745,,,15.7,,,7.0,
1586437200,"Четверг, 9 апреля
13:00 (UTC)",,,,,,,,,,,30.4,,,,западный,,,2,,,,,,,10.0,744,,,15.3,,,7.0,
1586440800,"Четверг, 9 апреля
14:00 (UTC)",,,,,,,,,,,30.4,,,,юго-западный,,,1,,,,,,,10.0,743,,,15.5,,,7.0,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,31.6,,,,южный,,,1,,0,,,,,10.0,743,,,14.8,,,7.0,
1586448000,"Четверг, 9 апреля
16:00 (UTC)",,,,,,,,,,,32.5,,,,,,,0,,,,,,,10.0,742,,,13.9,,,9.0,
1586451600,"Четверг, 9 апреля
17:00 (UTC)",,,,,,,,,,,31.4,,,,,,,0,,,,,,,,742,,,12.4,,,9.0,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,35.0,,,,,,15.9,0,,0,,,,,,742,,,11.2,,,6.0,
1586458800,"Четверг, 9 апреля
19:00 (UTC)",,,,,,,,,,,35.2,,,,,,,0,,,,,,,,741,,,11.8,,,,
1586462400,"Четверг, 9 апреля
20:00 (UTC)",,,,,,,,,,,40.1,,,,западный,,,2,,,,,,,,741,,,12.4,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,True,,,,54.5,,,,,,,0,,,,,,,,740,,,10.9,,,10.0,
1586469600,"Четверг, 9 апреля
22:00 (UTC)",,,,,,,,,,,52.9,,,,,,,0,,,,,,,,739,,,10.5,,,,
1586473200,"Четверг, 9 апреля
23:00 (UTC)",,,,,,,,,,,47.4,,,,западный,,,1,,,,,,,,739,,,11.4,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,68.1,,,,северо-западный,,,2,,,,,True,,,739,,,9.7,,,10.0,
1586480400,"Пятница, 10 апреля
01:00 (UTC)",,,,,,,,,,,80.1,,,,западный,,,1,,,,,,,,740,,,7.5,,,,
1586484000,"Пятница, 10 апреля
02:00 (UTC)",,,,,,,,,,,83.0,,,,западный,,,2,,,,,,,,740,,,7.4,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,86.4,,,5.8,северо-западный,,,3,,0.3,,0.3,,True,4.0,740,,,5.8,,,10.0,
1586491200,"Пятница, 10 апреля
04:00 (UTC)",,,,,,,,,,,79.2,,,,северо-западный,,,2,,,,,,True,10.0,741,,,5.0,,,10.0,
1586494800,"Пятница, 10 апреля
05:00 (UTC)",,,,,,,,,,,75.8,,,,северо-западный,,,3,,,,,,,10.0,742,,,4.9,,,10.0,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,74.8,,,4.8,северо-западный,,,3,,0.3,,,,,10.0,742,,,5.0,,,10.0,
1586502000,"Пятница, 10 апреля
07:00 (UTC)",,,,,,,,,,,67.8,,,,северо-западный,,,3,,,,,,,10.0,743,,,5.9,,,9.0,
1586505600,"Пятница, 10 апреля
08:00 (UTC)",,,,,,,,,,,59.1,,,,северо-западный,,,3,,,,,,,10.0,743,,,6.2,,,9.0,
