timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Пыльная или песчаная буря (сильная) началась (усилилась),"Осадки за 12 часов, мм",Ливневый дождь,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Гроза сильная (возможен град),"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый",Туман начался (усилился). Небо не видно,"Относительная влажность, %","Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,769.0,,,,,8.9,,,74.4,,,восточный,10.0,,,1
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,769.0,,,,,9.4,,,76.1,,,юго-восточный,7.0,,,4
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,0,,,,,,10.0,769.0,,,,,8.9,,,83.2,,,восточный,9.0,,11.1,3
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,True,,,4.0,770.0,,,,,8.1,,,86.0,,,юго-восточный,7.0,,,2
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,True,,,4.0,770.0,,,,,5.6,,,88.2,,,,0.0,,,0
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,,769.0,,,,,2.5,,,90.5,,,,,,,0
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,769.0,,,,,3.5,,,86.1,3.0,,,0.0,,,0
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,769.0,,,,,9.5,,,81.5,,,юго-восточный,2.0,,,3
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,769.0,,,,,9.5,,,82.7,,,юго-восточный,10.0,,,1
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,768.0,,,,,10.4,,,79.5,,,юго-восточный,9.0,,,3
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,True,0,,,,,,10.0,767.0,,,,,9.0,,,84.3,,,юго-восточный,9.0,,10.5,1
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,768.0,,,,,9.0,,,87.9,,,юго-восточный,10.0,,,1
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,767.0,,,,,7.1,,,88.9,,,,7.0,,,0
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,6.9,,,90.8,,,северо-западный,9.0,,,1
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,0,,0,,,,10.0,767.0,,,,,9.1,,,83.8,5.8,,северо-западный,9.0,,,2
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,12.0,,,,,True,,,,,20.0,770.0,,,,,7.8,,,72.7,,,южный,10.0,,,6
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,20.0,771.0,,,,,8.6,,,49.8,,,южный,10.0,,,5
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,20.0,770.0,,,,,12.7,,,34.9,,,юго-западный,7.0,,,6
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,12.0,,,,0,,,,,,20.0,772.0,,,,,10.5,,,33.2,,,юго-западный,7.0,,12.7,6
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,14.0,,,,,,,,,,10.0,775.0,,,,,8.0,,,30.8,,,северо-западный,7.0,,,5
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,11.0,,,,,,,,,,20.0,775.0,,,,,6.6,,,34.4,,,северо-западный,0.0,,,6
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,11.0,,,,,,,,,,20.0,775.0,,,,,3.4,,,45.0,,,западный,0.0,,,1
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,776.0,,,,,2.4,,,49.1,1.7,,северо-западный,2.0,,,2
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,777.0,,,,,6.3,,,34.8,,,,9.0,,,0
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,776.0,,,,,7.9,,,36.1,,,северо-западный,7.0,,,3
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,20.0,776.0,,,,,7.5,,,40.4,,,северный,9.0,,,2
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,0,,,,,,20.0,776.0,,,,,6.3,,,41.0,,,юго-восточный,9.0,,9.6,2
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,778.0,,,,,5.3,,,52.6,,,,10.0,,,0
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,778.0,,,,,4.6,,,54.8,,,юго-восточный,9.0,,,1
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,20.0,778.0,,,,,3.6,,,53.8,,,южный,7.0,,,1
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,779.0,,,,,1.2,,,57.8,0.4,,,2.0,,,0
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,779.0,,,,,8.1,,,22.4,,,,0.0,,,0
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,777.0,,,,,8.3,,,29.0,,,восточный,0.0,,,2
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,13.0,,,,,,,,,,20.0,774.0,,,,,8.0,,,47.1,,,юго-восточный,0.0,,,6
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,15.0,,,,0,,,,,,20.0,772.0,,,,,7.4,,,49.8,,,южный,0.0,,,6
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,14.0,,,,,,,,,,20.0,771.0,,,,,6.3,,,59.1,,,южный,0.0,,,4
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,14.0,,,,,,,,,,20.0,769.0,,,,,6.0,,,66.8,,,южный,0.0,,,5
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,12.0,,,,,,,,,,20.0,767.0,,,,,6.5,,,74.0,,,южный,10.0,,,4
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,766.0,,,,,3.3,,,75.6,3.3,,северо-западный,0.0,,,1
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,9.4,,,56.5,3.1,,северный,0.0,,,1
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,766.0,,,,,10.7,,,67.8,,,юго-восточный,0.0,,,2
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,10.8,,,65.5,,,южный,0.0,,,2
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,0,,,,,,10.0,765.0,,,,,9.1,,,80.4,,,юго-восточный,0.0,,11.0,2
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,True,,,4.0,765.0,,,,,5.3,,,88.2,,,северо-западный,0.0,,,1
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,,764.0,,,,,5.9,,,91.4,,,северо-западный,,,,1
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,True,1.0,764.0,,,,,3.2,,,92.5,,,северо-западный,,,,1
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,0,,0,,,,,764.0,,,,,3.6,,,93.2,3.2,,западный,,,,3
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,True,,,4.0,765.0,,,,,7.4,,,79.0,,,северо-западный,10.0,,,2
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,10.3,,,71.6,,,юго-восточный,2.0,,,2
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,10.3,,,73.6,,,южный,0.0,,,3
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,0,,,,,,10.0,763.0,,,,,9.0,,,79.8,,,южный,0.0,,11.1,3
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,8.6,,,78.6,,,южный,0.0,,,4
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,8.1,,,80.8,,,южный,0.0,,,3
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,762.0,,,,,3.0,,,87.3,,,западный,0.0,,,1
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,0,,0,True,,,2.0,762.0,,,,,2.6,,,89.2,2.3,,северный,10.0,,,2
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,True,,,4.0,763.0,,,,,9.7,,,72.5,2.3,,юго-восточный,4.0,,,1
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,10.9,,,68.3,,,юго-восточный,4.0,,,3
1586606400,"Суббота, 11 апреля
12:00 (UTC)",,,,,,,,,,,,,20.0,761.0,,,,,11.6,,,65.2,,,юго-восточный,6.0,,,3
1586617200,"Суббота, 11 апреля
15:00 (UTC)",,,,,,,0,,,,,,20.0,762.0,,,,,11.1,,,72.8,,,южный,7.0,,12.1,3
1586628000,"Суббота, 11 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,9.7,,,81.6,,,южный,7.0,,,2
1586638800,"Суббота, 11 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,10.6,,,72.7,,,северо-западный,9.0,,,3
1586649600,"Воскресенье, 12 апреля
00:00 (UTC)",,,11.0,,,,,,,,,,20.0,765.0,,,,,10.0,,,74.6,,True,северо-западный,10.0,,,4
1586660400,"Воскресенье, 12 апреля
03:00 (UTC)",,,,,,,менее 0.1,,менее 0.1,,,,20.0,766.0,,,,,8.5,,,66.9,7.7,,северный,9.0,,,2
1586671200,"Воскресенье, 12 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,10.5,,,44.1,,,северный,10.0,,,3
1586682000,"Воскресенье, 12 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,10.9,,,42.6,,,западный,10.0,,,1
1586692800,"Воскресенье, 12 апреля
12:00 (UTC)",,,,,,,,,,,,,20.0,768.0,,,,,11.0,,,50.4,,,северо-западный,10.0,,,4
1586703600,"Воскресенье, 12 апреля
15:00 (UTC)",,,12.0,,,,0,,,,,,20.0,769.0,,,,,10.0,,,52.0,,,северный,10.0,,11.4,6
1586714400,"Воскресенье, 12 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,10.0,770.0,,,,,9.8,,,48.3,,,северо-западный,10.0,,,5
1586725200,"Воскресенье, 12 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,770.0,,,,,8.6,,,48.7,,,северо-западный,7.0,,,2
1586736000,"Понедельник, 13 апреля
00:00 (UTC)",,,,,,,,,,,,,20.0,770.0,,,,,5.6,,,64.8,,,северо-западный,4.0,,,1
1586746800,"Понедельник, 13 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,771.0,,,,,8.2,,,44.4,5.2,,северо-западный,9.0,,,2
1586757600,"Понедельник, 13 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,772.0,,,,,10.3,,,29.6,,,северный,9.0,,,4
1586768400,"Понедельник, 13 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,771.0,,,,,13.5,,,24.3,,,северный,0.0,,,2
1586779200,"Понедельник, 13 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,770.0,,,,,11.0,,,47.9,,,южный,0.0,,,6
1586790000,"Понедельник, 13 апреля
15:00 (UTC)",,,11.0,,,,0,,,,,,10.0,769.0,,,,,10.6,,,36.4,,,южный,0.0,,13.9,4
1586800800,"Понедельник, 13 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,10.0,770.0,,,,,9.2,,,40.3,,,южный,0.0,,,4
1586811600,"Понедельник, 13 апреля
21:00 (UTC)",,,,,,,,,,,,,,769.0,,,,,7.5,,,53.6,,,южный,,,,2
1586822400,"Вторник, 14 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,768.0,,,,,7.2,,,58.0,,,южный,0.0,,,3
1586833200,"Вторник, 14 апреля
03:00 (UTC)",,,,,,,0,,0,,,,,768.0,,,,,7.3,,,58.5,6.9,,южный,,,,4
1586844000,"Вторник, 14 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,10.3,,,75.7,,,юго-восточный,0.0,,,4
1586854800,"Вторник, 14 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,11.0,,,76.3,,,восточный,0.0,,,4
1586865600,"Вторник, 14 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,20.0,765.0,,,,,10.5,,,77.8,,,юго-восточный,0.0,,,6
1586876400,"Вторник, 14 апреля
15:00 (UTC)",,,11.0,,,,0,,,,,,20.0,764.0,,,,,9.6,,,86.7,,,юго-восточный,0.0,,11.1,5
1586887200,"Вторник, 14 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,8.8,,,88.5,,,южный,0.0,,,4
1586898000,"Вторник, 14 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,5.2,,,91.3,,,западный,0.0,,,2
1586908800,"Среда, 15 апреля
00:00 (UTC)",,,,,,,,,,,,,1.0,762.0,,,,,5.7,,True,93.3,,,северо-западный,,,,2
1586919600,"Среда, 15 апреля
03:00 (UTC)",,,,,,,0,,0,,,True,1.0,763.0,,,,,5.9,,,93.3,5.0,,северо-западный,,,,2
1586930400,"Среда, 15 апреля
06:00 (UTC)",,,,,,,,,,,,True,1.0,763.0,,,,,7.6,,,93.4,,,северный,,,,1
1586941200,"Среда, 15 апреля
09:00 (UTC)",,,,,,,,,,True,,,4.0,761.0,,,,,9.1,,,83.2,,,юго-восточный,9.0,,,2
1586952000,"Среда, 15 апреля
12:00 (UTC)",,,,,,,,,,True,,,4.0,759.0,,,,,8.9,,,89.7,,,восточный,7.0,,,4
1586962800,"Среда, 15 апреля
15:00 (UTC)",,,,,,,0,,,,,,20.0,757.0,,,,,9.1,,,88.5,,,юго-восточный,7.0,,9.8,2
1586973600,"Среда, 15 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,757.0,,,,,9.1,,,89.7,,,юго-восточный,9.0,,,2
1586984400,"Среда, 15 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,759.0,,,,,8.5,,,90.9,,,западный,7.0,,,3
1586995200,"Четверг, 16 апреля
00:00 (UTC)",,,17.0,,,,,,,,,,10.0,762.0,,,,,13.8,,,61.4,,,северный,9.0,,,7
1587006000,"Четверг, 16 апреля
03:00 (UTC)",,,12.0,,,,0,,0,,,,10.0,763.0,,,,,12.1,,,72.5,8.0,,северо-западный,9.0,,,3
1587016800,"Четверг, 16 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,10.5,,,74.2,,,северо-западный,10.0,,,6
1587027600,"Четверг, 16 апреля
09:00 (UTC)",,,12.0,,,,,,,,,,10.0,765.0,,,,,9.5,,,70.5,,,северный,10.0,,,6
1587038400,"Четверг, 16 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,10.0,766.0,,,,,8.2,,,73.3,,,северо-западный,10.0,,,6
1587049200,"Четверг, 16 апреля
15:00 (UTC)",,,12.0,,,,0,,,,,,20.0,766.0,,,,,9.1,,,61.1,,,северный,10.0,,12.1,4
1587060000,"Четверг, 16 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,767.0,,,,,8.3,,,68.8,,,северо-западный,9.0,,,2
1587070800,"Четверг, 16 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,6.0,,,72.3,,,западный,0.0,,,1
1587081600,"Пятница, 17 апреля
00:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,2.7,,,80.0,,,северный,0.0,,,1
1587092400,"Пятница, 17 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,766.0,,,,,3.3,,,81.3,1.1,,северо-западный,0.0,,,1
1587103200,"Пятница, 17 апреля
06:00 (UTC)",,,,,,,,,,,,,20.0,765.0,,,,,12.6,,,61.5,,,юго-восточный,0.0,,,2
1587114000,"Пятница, 17 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,764.0,,,,,12.4,,,59.8,,,юго-восточный,0.0,,,4
1587124800,"Пятница, 17 апреля
12:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,12.1,,,64.9,,,юго-восточный,4.0,,,3
1587135600,"Пятница, 17 апреля
15:00 (UTC)",,,,,,,0,,,,,,20.0,762.0,,,,,12.2,,,60.1,,,южный,7.0,,13.3,5
1587146400,"Пятница, 17 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,9.7,,,77.2,,,южный,0.0,,,3
1587157200,"Пятница, 17 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,8.8,,,82.6,,,южный,0.0,,,3
1587168000,"Суббота, 18 апреля
00:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,8.5,,,81.4,,,южный,0.0,,,3
1587178800,"Суббота, 18 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,762.0,,,,,5.8,,,85.2,5.7,,западный,7.0,,,1
1587189600,"Суббота, 18 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,13.8,,,56.9,,,северный,9.0,,,3
1587200400,"Суббота, 18 апреля
09:00 (UTC)",,,,,,,,,,,,,,763.0,,,,,12.3,,,77.6,,,восточный,,,,2
1587211200,"Суббота, 18 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,11.4,,,80.7,,,юго-восточный,9.0,,,2
1587222000,"Суббота, 18 апреля
15:00 (UTC)",,,,,,,0,,,True,,,4.0,763.0,,,,,8.9,,,90.3,,,юго-восточный,10.0,,14.9,2
1587232800,"Суббота, 18 апреля
18:00 (UTC)",,,,,,,,,,,,True,1.0,764.0,,,,,8.6,,,92.8,,,юго-восточный,,,,2
1587243600,"Суббота, 18 апреля
21:00 (UTC)",,,,,,,,,,,,,,763.0,,,,,9.3,,,93.5,,,восточный,,,,1
1587254400,"Воскресенье, 19 апреля
00:00 (UTC)",,,,,,,,,,,,True,1.0,763.0,,,,,8.3,,,93.4,,,юго-восточный,,,,2
1587265200,"Воскресенье, 19 апреля
03:00 (UTC)",,,,True,,,0,,0,,,,4.0,763.0,,,,,8.5,,,93.4,8.2,,южный,10.0,,,1
1587276000,"Воскресенье, 19 апреля
06:00 (UTC)",,,,,,,,,,True,,,4.0,764.0,,,,,9.8,,,88.6,,,юго-восточный,10.0,,,2
1587286800,"Воскресенье, 19 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,11.9,,,79.7,,,восточный,7.0,,,2
1587297600,"Воскресенье, 19 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,763.0,,,,,12.2,,,80.3,,,юго-восточный,9.0,,,3
1587308400,"Воскресенье, 19 апреля
15:00 (UTC)",,,,,,,0,,,,,True,1.0,763.0,,,,,8.7,,,92.8,,,юго-восточный,,,14.1,2
1587319200,"Воскресенье, 19 апреля
18:00 (UTC)",,,,,,,,,,,,True,1.0,763.0,,,,,8.6,,,93.4,,,,,,,0
1587330000,"Воскресенье, 19 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,763.0,,,,,8.1,,,94.0,,True,западный,6.0,,,2
1587340800,"Понедельник, 20 апреля
00:00 (UTC)",,,,,,,,,,,,,20.0,762.0,,,,,6.5,,,89.5,,True,,4.0,,,0
1587351600,"Понедельник, 20 апреля
03:00 (UTC)",,,,,,,0,,0,,,,20.0,762.0,,,,,7.3,,,87.7,6.5,,северо-западный,7.0,,,1
1587362400,"Понедельник, 20 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,761.0,,,,,13.6,,,64.3,,,восточный,0.0,,,2
1587373200,"Понедельник, 20 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,759.0,,,,,14.0,,,68.5,,,юго-восточный,9.0,,,4
1587384000,"Понедельник, 20 апреля
12:00 (UTC)",,,12.0,,,,,,,,,,20.0,757.0,,,,,12.8,,,76.6,,,юго-восточный,10.0,,,6
1587394800,"Понедельник, 20 апреля
15:00 (UTC)",,,13.0,,,,0,,,,,,20.0,755.0,,,,,12.9,,,73.6,,,юго-восточный,10.0,,14.6,3
1587405600,"Понедельник, 20 апреля
18:00 (UTC)",,,11.0,,,,,,,,,,20.0,755.0,,,,,10.0,,,89.8,,,южный,0.0,,,5
1587416400,"Понедельник, 20 апреля
21:00 (UTC)",,,11.0,,,,,,,,,,10.0,757.0,,,,,10.3,,,85.6,,,западный,10.0,,,4
1587427200,"Вторник, 21 апреля
00:00 (UTC)",,,20.0,,,,,,,,,,10.0,760.0,,,,,12.3,,,65.4,,,северо-западный,10.0,,,10
1587438000,"Вторник, 21 апреля
03:00 (UTC)",,,18.0,,,,0,,0,,,,20.0,762.0,,,,,11.6,,,68.0,9.7,,северо-западный,10.0,,,7
1587448800,"Вторник, 21 апреля
06:00 (UTC)",,,14.0,,,,,,,,,,10.0,763.0,,,,,12.1,,,66.7,,,северо-западный,10.0,,,6
1587459600,"Вторник, 21 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,10.0,764.0,,,,,12.7,,,52.4,,,северный,10.0,,,4
1587470400,"Вторник, 21 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,11.8,,,52.9,,,северо-западный,10.0,,,4
1587481200,"Вторник, 21 апреля
15:00 (UTC)",,,,,,,0,,,,,,10.0,765.0,,,,,11.2,,,57.4,,,северо-западный,10.0,,12.9,3
1587492000,"Вторник, 21 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,10.8,,,53.7,,,северо-западный,10.0,,,2
1587502800,"Вторник, 21 апреля
21:00 (UTC)",,,,,True,,,,,,,,4.0,765.0,,,,,10.2,,,62.2,,,западный,10.0,,,2
1587513600,"Среда, 22 апреля
00:00 (UTC)",,,,,,,,,,True,,,4.0,764.0,,,,,9.7,,,67.1,,,северный,10.0,,,2
1587524400,"Среда, 22 апреля
03:00 (UTC)",,,,,,,менее 0.1,,менее 0.1,True,,,4.0,764.0,,,,,9.5,,,70.0,8.9,,северо-западный,10.0,,,1
1587535200,"Среда, 22 апреля
06:00 (UTC)",,,,,True,,,,,,,,2.0,765.0,,,,,8.7,,,80.3,8.7,,северный,10.0,,,2
1587546000,"Среда, 22 апреля
09:00 (UTC)",True,,,,,,,,,,,,4.0,765.0,,,,,8.8,,,81.4,,,восточный,10.0,,,1
1587556800,"Среда, 22 апреля
12:00 (UTC)",,,,,True,,,,,,,,2.0,765.0,,,,,7.6,,,89.6,,,северный,10.0,,,2
1587567600,"Среда, 22 апреля
15:00 (UTC)",,,,,,,1,,,True,,,2.0,765.0,,,,,7.7,,,87.2,,,западный,10.0,,9.5,1
1587578400,"Среда, 22 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,7.6,,,87.1,,True,,10.0,,,0
1587589200,"Среда, 22 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,765.0,,,,,7.5,,,87.1,,,западный,10.0,,,1
1587600000,"Четверг, 23 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,764.0,,,,,8.2,,,84.8,,,южный,10.0,,,1
1587610800,"Четверг, 23 апреля
03:00 (UTC)",,,,,True,,0.5,,2,,,,10.0,765.0,,,,,7.8,,,87.8,7.4,,западный,10.0,,,1
1587621600,"Четверг, 23 апреля
06:00 (UTC)",True,,,,,,,,,,,,10.0,766.0,,,,,10.8,,,61.1,,,северный,10.0,,,3
1587632400,"Четверг, 23 апреля
09:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,11.2,,,54.2,,,северный,10.0,,,4
1587643200,"Четверг, 23 апреля
12:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,12.8,,,42.6,,,северо-западный,9.0,,,3
1587654000,"Четверг, 23 апреля
15:00 (UTC)",,,,,,,менее 0.1,,,,,,20.0,765.0,,,,,12.2,,,46.3,,,западный,9.0,,13.3,2
1587664800,"Четверг, 23 апреля
18:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,10.6,,,51.4,,,западный,9.0,,,1
1587675600,"Четверг, 23 апреля
21:00 (UTC)",,,,,,,,,,,,,20.0,766.0,,,,,9.0,,,59.3,,,северо-западный,10.0,,,1
